O que ocorreu em 1960 nas relações Brasil-Comunidade Europeia?;Estabelecimento de relações diplomáticas.
O que foi assinado em 1992 entre MERCOSUL e Comissão Europeia?;Acordo de Cooperação Institucional.
Qual acordo foi assinado em 1995 entre MERCOSUL e Comunidade Europeia?;Acordo-Quadro de Cooperação Inter-regional.
O que foi celebrado em 2004 entre Brasil e UE?;Acordo de Cooperação Científica e Tecnológica.
O que foi estabelecido em 2007 entre Brasil e UE?;Parceria Estratégica.
O que foi lançado em 2008 entre Brasil e UE?;I Plano de Ação Conjunta (2008-2011).
O que marca o período de 2008 a 2011 entre Brasil e UE?;Realização anual de cúpulas Brasil-UE.
O que aconteceu em 2013 envolvendo CELAC e UE?;Primeira Cúpula CELAC-UE.
O que foi concluído em 2019-2020 entre MERCOSUL e UE?;Negociações do Acordo de Associação.
O que é a Cúpula Brasil-UE?;Encontro de alto nível entre líderes brasileiros e europeus.
O que é a Comissão Mista Bilateral (1992)?;Coordena temas da agenda bilateral entre Brasil e UE.
Qual a função dos Diálogos Setoriais Brasil-UE?;Abordam temas como segurança, comércio, clima e educação.
O que são os encontros da sociedade civil Brasil-UE?;Debates sobre oportunidades e desafios bilaterais.
Quem representou o Brasil na UE em 2017?;Chanceler Aloysio Nunes Ferreira.
Quem se encontrou com Mogherini em 2019?;Chanceler Ernesto Araújo.
Que evento ocorreu em Brasília em 2020 com embaixadores da UE?;Diálogo sobre crescimento, sustentabilidade e políticas públicas.
O que foi adiado em 2020 por causa da COVID-19?;Visita de Josep Borrell e Ursula von der Leyen.
Quem visitou o Brasil em novembro de 2021?;Josep Borrell, Alto Representante da UE.
O que foi assinado em 2021 entre Brasil e UE?;Memorando sobre Cooperação Internacional trilateral.
O que ocorreu em janeiro de 2023 em Brasília?;Encontro entre Maria Laura da Rocha e Frans Timmermans.
O que discutiram Lula e Ursula em fevereiro de 2023?;Desmatamento, acordo MERCOSUL-UE e democracia.
Qual foi o compromisso reiterado por von der Leyen em 2023?;Finalizar as negociações com o MERCOSUL até o fim do ano.
O que Lula defende sobre exigências ambientais da UE?;Revisão de sanções previstas ao Brasil.
Por que a UE é importante para o Brasil?;Laços históricos, culturais e valores comuns como democracia.
O que representa a Parceria Estratégica Brasil-UE?;Aprofundamento das relações políticas, econômicas e de cooperação.
Qual o papel da cooperação trilateral Brasil-UE?;Ampliar o escopo da cooperação internacional conjunta.
O que são convergências multilaterais entre Brasil e UE?;Apoio à reforma da governança global (CSNU e OMC), defesa do multilateralismo, democracia e livre comércio.
Por que Brasil e UE apoiam a reforma do CSNU?;Para tornar o Conselho mais representativo e eficaz.
