DIREITO CONSTITUCIONAL ;
Norma jurídica;comando de dever/proibição
Exemplo norma jurídica;“é proibido matar”
Regras;específicas e objetivas
Regras;lógica tudo ou nada
Princípios;gerais e abstratos
Princípios;orientam interpretação
Lei;forma escrita da norma
Ato normativo;manifestação oficial
Ordenamento jurídico;conjunto de normas
Ordenamento jurídico;sistema hierárquico
Personalidade jurídica;aptidão direitos e deveres
Pessoa física;personalidade ao nascer
Pessoa jurídica;personalidade com registro
PJ direito público;integra administração pública
PJ direito público;criada por lei
PJ direito público;bens impenhoráveis
PJ direito público;licitação e concurso
Exemplo PJ pública;autarquia
PJ direito privado;criada por registro
PJ direito privado;regida Código Civil
PJ direito privado;pode ter lucro
Exemplo PJ privada;ONG e empresa
Capacidade civil;exercer atos da vida civil
Absolutamente incapaz;menor de 16 anos
Absolutamente incapaz;precisa representação
Relativamente capaz;precisa assistência
Relativamente capaz;16 a 18 anos
Plenamente capaz;age sozinho
Indígenas;Estatuto do Índio
Pessoa com deficiência;regra geral plenamente capaz
Constituição 1988;promulgada
Constituição 1988;escrita
Constituição 1988;dogmática
Constituição 1988;analítica
Constituição 1988;formal
Constituição 1988;rígida
Federação brasileira;União, Estados, DF e Municípios
Soberania;atributo da República Federativa
Soberania;direito público internacional
Autonomia;autogoverno
Autonomia;direito público interno
Indissolubilidade federação;sem secessão
Divisibilidade federação;criação novos entes
Controle constitucionalidade;compatibilidade com CF
Pressuposto controle;constituição rígida
Controle preventivo;antes promulgação
Controle repressivo;após promulgação
Controle difuso;qualquer juiz
Controle difuso;caso concreto
Controle difuso;efeitos inter partes
Controle concentrado;STF e TJs
Controle concentrado;efeitos erga omnes
Controle concentrado;efeitos ex tunc
Modulação efeitos;decisão de 2/3
ADI;questiona lei federal/estadual
ADC;confirma constitucionalidade lei federal
ADPF;protege preceito fundamental
ADPF;caráter subsidiário
ADPF;cabe contra lei municipal
ADPF;cabe contra norma pré-constitucional
ADO;combate omissão constitucional
ADO;ciência ao poder competente
;
;
