"O que significava o mundo ser ""menor"" na década de 1780?";"Era menor em conhecimento geográfico: mesmo homens instruídos conheciam apenas partes do mundo habitado; mapas tinham grandes lacunas; muitos rios, montanhas e interiores eram desconhecidos."
Como era a distribuição da população mundial em 1800?;Estimada em um terço da atual: 2/3 asiáticos, 1/5 europeus, 1/10 africanos e 1/33 americanos ou da Oceania. Europa tinha ~187 milhões de habitantes.
"Por que se diz que o mundo era ""maior"" na década de 1780?";As dificuldades de comunicação e transporte faziam com que o mundo parecesse maior, apesar do conhecimento geográfico limitado.
Qual era a limitação no conhecimento geográfico do século XVIII?;Conhecia-se o contorno dos continentes, mas o interior era praticamente desconhecido fora das áreas costeiras. Rios e montanhas fora da Europa eram mal mapeados ou ignorados.
Como eram as condições da colonização humana em 1780?;Limitada por clima (mais frio/úmido que hoje), doenças endêmicas (como a malária) e formas primitivas de economia. Muitas terras ainda eram incultas.
Como era a estatura média dos europeus na época?;Eram mais baixos e leves. Ex: na Ligúria, entre 1792-1799, 72% dos recrutas tinham menos de 1,50 m.
O que explica a baixa estatura dos europeus na época?;"Condições nutricionais precárias e trabalho físico árduo desde cedo; apesar disso, tinham grande resistência física."
Como era o transporte e a comunicação no fim do século XVIII?;Melhor que nos séculos anteriores, mas ainda lento. Ex: Londres–Glasgow caiu de 10 dias para 62h. Paris–Strasburgo levava 36h em 1833.
Quem dominava o transporte terrestre na prática?;"O transporte era dominado pela marcha a pé ou pelo carreteiro ao lado da mula; carruagens eram para poucos privilegiados."
Por que as cartas eram inúteis para a maioria da população?;"Porque a maioria era analfabeta; mesmo com 20 milhões de cartas circulando no Reino Unido, o acesso e a utilidade eram limitados."
Que papel tinham os “sujeitos altos” nos exércitos?;Eram valorizados como elite militar, compondo guardas ou tropas especiais, devido à raridade de indivíduos altos na população.
Que regiões do mundo tinham densidade populacional comparável à moderna?;Algumas áreas de agricultura intensiva ou urbanização, como partes da China, Índia e Europa Ocidental/Central.
Quais inovações melhoraram a comunicação no século XVIII?;Aperfeiçoamento das estradas, veículos puxados a cavalo e introdução das diligências postais, com serviços regulares e mais rápidos.
O que era a “campagna romana” no início do século XIX?;Região vazia e malsã, infestada de malária, com ruínas e gado, símbolo das áreas ainda não efetivamente colonizadas.
Por que o transporte por água era preferido?;Era mais rápido, barato e eficiente que o transporte terrestre.
O que significava estar perto de um porto?;Estar conectado com o mundo.
"Exemplo de distância por água ser mais ""curta"" que por terra?";Londres estava mais próxima de Plymouth (porto) do que de vilarejos em Norfolk.
Principal problema do transporte marítimo?;Intermitência: dependia dos ventos e do tempo.
O que demonstrava a lentidão da comunicação no interior?;A queda da Bastilha levou 13 dias para chegar a Madri, mas quase um mês para Péronne (a 133 km de Paris).
Qual era a experiência da maioria das pessoas com o mundo?;"Viviam e morriam no mesmo local onde nasceram; o mundo era ""imenso""."
Qual era a principal fonte de notícias para o povo?;Viajantes, mascates, soldados, peregrinos e rumores.
Quem mais levava informações além do povo itinerante?;Estado e Igreja, por meio de seus agentes locais.
Qual era o perfil dos funcionários públicos nas províncias?;"Em geral, eram do próprio local; transferências entre regiões eram raras."
Como era o mundo em 1789, segundo Hobsbawm?;Essencialmente rural: maioria da população vivia no campo.
Percentual rural em regiões como Rússia ou Bálcãs?;Entre 90% e 97% da população.
População rural na Itália (1789)?;85% na Lombardia, 90% ou mais na Calábria e Lucânia.
Quando a população urbana superou a rural na Inglaterra?;Em 1851.
Quais eram as grandes cidades da Europa em 1789?;Londres (~1 milhão) e Paris (~500 mil).
Característica das “cidades urbanas” menores?;"População geralmente abaixo de 20 mil habitantes; maioria das cidades eram pequenas."
Como era a visão dos citadinos sobre os camponeses?;Desprezo: viam-nos como ignorantes, lentos e rudes.
A linha entre cidade e campo era nítida?;Sim, havia separações físicas, fiscais e até culturais.
Exemplo de separação rígida entre campo e cidade?;Prússia: governo separava atividades urbanas e rurais.
Diferença física entre camponeses e citadinos?;Cidadãos eram mais altos, vestiam-se diferente e eram mais letrados.
Os habitantes das cidades sabiam mais sobre o mundo?;Um pouco, mas também viviam limitados ao seu distrito.
Qual era o papel da cidade provinciana no século XVIII?;"Dependia da economia rural; vivia às custas dos camponeses vizinhos."
Quem compunha as classes médias das cidades pequenas?;Comerciantes de trigo/gado, advogados, tabeliões, empresários rurais e representantes da Igreja e do Estado.
Por que a cidade provinciana se fechava economicamente?;Para proteger seu monopólio local, resistindo à concorrência externa.
De onde vinha a prosperidade de muitas cidades provincianas?;Da riqueza gerada pelo campo.
