"What does ""anew"" mean in the sentence: ""The film tells anew the story...""?";✅ A - novamente
;"Explicação: ""Anew"" significa ""novamente"", ou seja, contar algo de novo, de uma nova maneira."
"2. What does ""apiece"" mean in: ""...dolls from this period sell for £500 apiece""?";✅ C - cada
;"Explicação: ""Apiece"" é usado para indicar que cada item custa ou vale uma certa quantia – neste caso, cada boneca."
"3. What does ""to no avail"" mean in: ""We tried... but to no avail""?";✅ D - em vão
;"Explicação: ""To no avail"" é uma expressão que significa que algo foi feito sem sucesso ou foi inútil."
"4. What does ""avowed"" mean in: ""He avowed that he regretted...""?";✅ B - confessou
;"Explicação: ""Avowed"" significa declarar ou confessar algo publicamente ou abertamente."
"5. What does ""awe"" mean in: ""You can’t help but stand in awe...""?";❌ B - espanto
;✅ D - respeito
;"Explicação: ""Awe"" é uma mistura de respeito profundo e admiração, às vezes com um pouco de temor."
"6. What does ""awkward"" mean in: ""There followed an awkward silence...""?";❌ E - embaraçoso
;✅ C - estranho também seria aceito
;"Explicação: ""Awkward"" pode significar ""constrangedor"" ou ""estranho"", dependendo do contexto. Mas ""embaraçoso"" é geralmente aceito."
"7. What does ""background"" mean in: ""They come from a privileged background""?";✅ C - formação
;"Explicação: ""Background"" nesse contexto refere-se à formação social, cultural ou familiar de uma pessoa."
"8. What does ""take the bait"" mean in: ""...she didn’t take the bait""?";❌ A - oferta
;✅ B - isca
;"Explicação: ""Take the bait"" é uma expressão idiomática que significa ""cair na isca"" ou ""ser enganado por uma proposta ou truque""."
"What does ""begets"" mean in: ""Poverty begets hunger...""?";✅ D - gera
;"Explicação: ""Beget"" significa ""gerar"" ou ""dar origem a"", especialmente em contextos de causa e efeito."
"10. What does ""beseech"" mean in: ""I beseech you""?";✅ B - imploro
;"Explicação: ""Beseech"" é um verbo formal que significa ""implorar"" com grande urgência."
"11. What does ""bestowed"" mean in: ""...that is bestowed on British civilians""?";✅ E - concedida
;"Explicação: ""Bestow"" significa ""conceder"" ou ""outorgar"" algo, geralmente um prêmio ou honra."
"12. What does ""blizzard"" mean in: ""a blizzard of statistics""?";✅ A - grande quantidade
;"Explicação: Metaforicamente, ""blizzard"" indica uma grande quantidade de algo, como dados ou informações."
"13. What does ""breadth"" mean in: ""The breadth of her knowledge...""?";✅ C - extensão
;"Explicação: ""Breadth"" refere-se à extensão ou amplitude de algo, neste caso, do conhecimento."
"14. What does ""budge"" mean in: ""She won’t budge""?";✅ C - mudar
;"Explicação: ""Budge"" significa ""mover-se"" ou ""ceder"", tanto fisicamente quanto em termos de opinião."
". What does ""built-in"" mean in: ""All the rooms have built-in cupboards...""?";✅ D - embutidos
;"Explicação: ""Built-in"" significa que algo está integrado à estrutura do ambiente, como armários embutidos."
"16. What does ""caked"" mean in: ""The men were caked in layers of filth...""?";✅ E - cobertos
;"Explicação: ""Caked"" significa estar coberto com uma camada espessa de algo, como sujeira."
"17. What does ""caucus"" mean in: ""The caucus was held to decide...""?";✅ B - reunião
;"Explicação: ""Caucus"" é uma reunião de membros de um partido para tomar decisões políticas, como apoiar um candidato."
"18. What does ""clumsy"" mean in: ""My attempts to apologize were clumsy""?";✅ A - desastrosas
;"Explicação: ""Clumsy"" refere-se a algo feito de forma desajeitada ou inepta, podendo causar constrangimento."
"19. What does ""concealed"" mean in: ""The police concealed vital evidence""?";✅ C - escondeu
;"Explicação: ""Concealed"" significa esconder ou manter algo fora de vista, como evidências."
"20. What does ""cue"" mean in: ""...that was our cue to leave the party""?";✅ A - sinal
;"Explicação: ""Cue"" é um sinal ou indicação para que se faça algo, como sair discretamente de uma festa."
"21. What does ""dainty"" mean in: ""She was a small, dainty child...""?";✅ C - delicada
;"Explicação: ""Dainty"" descreve algo pequeno, gracioso e delicado."
"22. What does ""daring"" mean in: ""This is a daring new film...""?";✅ E - audacioso
;"Explicação: ""Daring"" descreve algo ousado, inovador ou corajoso, especialmente em termos artísticos ou criativos."
"What does ""dawdling"" mean in: ""Stop dawdling!""?";✅ C - perder tempo
;"Explicação: ""Dawdling"" significa procrastinar ou demorar demais, especialmente quando se deveria estar agindo com mais rapidez."
"24. What does ""dead heat"" mean in: ""The race ended in a dead heat""?";✅ D - empate
;"Explicação: ""Dead heat"" é uma expressão que significa um empate, especialmente em corridas ou competições."
"25. What does ""deceits"" mean in: ""...all his earlier deceits were revealed""?";✅ B - fraudes
;"Explicação: ""Deceits"" são enganos ou fraudes deliberadas com o intuito de enganar."
"26. What does ""dean"" mean in: ""She is the new dean...""?";✅ A - reitora
;"Explicação: ""Dean"" é o cargo de chefe de uma faculdade ou departamento universitário — no Brasil, equivalente a ""reitora"" ou ""decana""."
"27. What does ""deemed"" mean in: ""...will be deemed to have withdrawn""?";✅ C - considerado
;"Explicação: ""Deemed"" significa ""considerado como"", usado em contextos legais ou formais."
"28. What does ""deploys"" mean in: ""...it deploys its resources""?";✅ E - aplique
;"Explicação: ""Deploy"" refere-se a aplicar ou utilizar eficientemente recursos ou pessoas."
"29. What does ""digest"" mean in: ""A digest of the research findings...""?";✅ D - resumo
;"Explicação: ""Digest"" neste contexto é um resumo condensado de informações importantes."
"30. What does ""diffident"" mean in: ""You shouldn’t be so diffident...""?";✅ A - hesitante
;"Explicação: ""Diffident"" descreve alguém que tem falta de confiança ou é tímido sobre algo."
"31. What does ""dire straits"" mean in: ""That bank is in dire straits""?";✅ B - situação terrível
;"Explicação: ""Dire straits"" é uma expressão que indica uma situação financeira ou circunstância extremamente difícil ou grave."
"What does ""dour"" mean in: ""The normally dour Mr James...""?";✅ E - sisudo
;"Explicação: ""Dour"" significa alguém sério, austero ou sisudo, frequentemente sem mostrar emoções."
"33. What does ""dwindled"" mean in: ""...has dwindled to a tenth of its former size""?";✅ D - diminuiu
;"Explicação: ""Dwindled"" quer dizer diminuir gradualmente em tamanho, quantidade ou força."
"34. What does ""eager"" mean in: ""...eager for any news""?";✅ B - ansiosos
;"Explicação: ""Eager"" significa estar muito interessado ou ansioso por algo, esperando com vontade."
