"1. Substantivos terminados em ""s"", ""ss"", ""sh"", ""ch"", ""x"" e ""z"" formam o plural adicionando apenas ""s"".";"Falso - Adiciona-se ""es"". Exemplo: bus → buses."
"2. Substantivos terminados em ""y"" precedidos por uma vogal formam o plural com ""s"".";Verdadeiro - Exemplo: boy → boys.
"3. Substantivos terminados em ""o"" precedidos por uma consoante formam o plural com ""s"".";"Falso - Adiciona-se ""es"". Exemplo: tomato → tomatoes."
"4. Substantivos terminados em ""f"" ou ""fe"" sempre formam o plural com ""s"".";"Falso - Mudam para ""ves"" (ex.: wife → wives), mas há exceções como roof → roofs."
"5. ""Man"" no plural é ""men"".";Verdadeiro.
"6. O plural de ""foot"" é ""feet"".";Verdadeiro.
"7. ""City"" forma o plural com apenas ""s"".";"Falso - Forma o plural com ""es"" (ex.: cities)."
"8. ""Radio"" no plural é ""radios"".";Verdadeiro.
"9. ""Child"" no plural é ""children"".";Verdadeiro.
"10. ""Fish"" tem a mesma forma no singular e no plural.";Verdadeiro.
"11. Substantivos de origem latina, como ""criterion"", formam o plural com ""s"".";"Falso - ""Criterion"" → ""criteria""."
"12. ""Bacterium"" no plural é ""bacteriums"".";"Falso - ""Bacterium"" → ""bacteria""."
"13. ""Atlas"" no plural é ""atlases"".";Verdadeiro.
"14. O plural de ""dogma"" pode ser ""dogmata"" ou ""dogmas"".";Verdadeiro.
"15. ""Deer"" tem a mesma forma no singular e no plural.";Verdadeiro.
"16. O plural de ""mango"" é ""mangos"".";"Falso - O plural correto é ""mangoes""."
"17. Substantivos coletivos como ""family"" podem ser seguidos por verbo no singular ou plural.";Verdadeiro.
"18. ""The police"" exige verbo no singular.";"Falso - ""The police"" exige verbo no plural."
"19. ""The youth of today"" sempre exige verbo no singular.";Falso - Pode exigir verbo no singular ou plural, dependendo do contexto.
"20. Substantivos como ""news"" e ""billiards"" exigem verbo no plural.";Falso - Exigem verbo no singular. Exemplo: The news is starting.
"1. Substantivos terminados em ""s"", ""ss"", ""sh"", ""ch"", ""x"" e ""z"" formam o plural com apenas ""s"".";"ERRADO - Deve-se adicionar ""es"" (Exemplo: bus → buses)."
"2. Substantivos terminados em ""y"" precedidos por uma vogal formam o plural com ""s"".";CERTO - (Exemplo: boy → boys).
"3. ""City"" no plural é ""cities"" porque termina com ""y"" precedido por uma consoante.";CERTO - (Exemplo: city → cities).
"4. O plural de ""radio"" é ""radios"".";CERTO - (Exemplo: radio → radios).
"5. Substantivos terminados em ""o"" precedidos por uma vogal formam o plural com ""es"".";"ERRADO - Adiciona-se apenas ""s"" (Exemplo: zoo → zoos)."
"6. ""Baby"" no plural é ""babys"".";"ERRADO - O plural correto é ""babies""."
"7. Substantivos terminados em ""f"" ou ""fe"" formam o plural trocando ""f"" ou ""fe"" por ""ves"".";CERTO - (Exemplo: wife → wives).
"8. ""Roof"" no plural é ""roofs"".";CERTO - (Exemplo: roof → roofs).
"9. ""Man"" no plural é ""mans"".";"ERRADO - O plural de ""man"" é ""men""."
"10. ""Woman"" no plural é ""womans"".";"ERRADO - O plural de ""woman"" é ""women""."
"11. Substantivos de origem latina, como ""phenomenon"", formam o plural com ""s"".";"ERRADO - O plural de ""phenomenon"" é ""phenomena""."
"12. ""Atlas"" no plural é ""atlases"".";CERTO - (Exemplo: atlas → atlases).
"13. ""Deer"" tem a mesma forma no singular e no plural.";CERTO - (Exemplo: deer → deer).
"14. ""Foot"" no plural é ""foots"".";"ERRADO - O plural de ""foot"" é ""feet""."
"15. ""Species"" tem a mesma forma no singular e no plural.";CERTO - (Exemplo: species → species).
"16. ""Bacterium"" no plural é ""bacteriums"".";"ERRADO - O plural de ""bacterium"" é ""bacteria""."
"17. ""The police"" exige verbo no singular.";"ERRADO - ""The police"" exige verbo no plural."
