Eixo Temático;Tópico / Subtópico;Descrição Detalhada (conforme seu material)
1. Normas jurídicas;Dicotomia do direito;Análise da paulatina erosão da dicotomia do direito (summa divisio) e a moderna publicização do direito privado.
2. Personalidade jurídica;Personalidade no DIP;Discussão sobre o reconhecimento da personalidade jurídica no Direito Internacional Público entre a abstração e a realidade.
4. Estado;Repartição de competências na Federação brasileira;Competências enumeradas e concorrentes entre União, estados, DF e municípios.
;Soberania estatal;Análise da soberania estatal: se absoluta ou relativa frente aos interesses da comunidade internacional.
;Soberania vs. livre comércio;O conflito entre a soberania sobre recursos naturais e o livre comércio no âmbito da OMC.
5. Estado Democrático de Direito;Separação de poderes;A importância do princípio da separação de poderes no debate sobre o controle externo do Poder Judiciário.
6. Organização e competências dos poderes no Brasil;Congresso Nacional e política externa;Atuação da Câmara e do Senado, isolada e conjuntamente, na formulação e condução da política externa brasileira.
7. Processo legislativo brasileiro;Rejeição de medidas provisórias;Análise jurídica sobre a rejeição de MPs e a manutenção de relações jurídicas constituídas durante sua vigência (ex.: gratificações a diplomatas).
;Trancamento de pauta por MP;Sugestões de revogação, reedição ou declaração de inconstitucionalidade de MPs que trancam a pauta da Câmara dos Deputados.
8. Direitos e garantias fundamentais;Absolutismo vs. relativização;Análise sobre se os direitos fundamentais são absolutos ou comportam relativização e se pessoas jurídicas são beneficiárias desses direitos.
;Direitos/garantias individuais e instrumentos;"Diferenciação entre direitos e garantias; identificação de instrumentos como mandado de segurança e habeas data."
;Pena de morte para estrangeiros;Discussão sobre a viabilidade jurídica de emenda constitucional prevendo pena de morte para estrangeiros em casos de terrorismo.
;Ações afirmativas;Análise jurídica das ações afirmativas sob a ótica do princípio da igualdade.
9. Administração Pública no Brasil;Princípios da Administração Pública (Art. 37, CF/88);Identificação e explicação do conteúdo jurídico dos princípios que regem a Administração Pública.
11. Responsabilidade civil do Estado;Pressupostos e espécies;Responsabilidade objetiva e subjetiva e o princípio da dupla garantia.
;Danos por fenômenos naturais;Análise da responsabilidade municipal em danos causados por deslizamentos em áreas de risco.
15. Direito Internacional e Direito Interno;Relação entre Direito Constitucional e DIP;Complementaridade e ações recíprocas entre o Direito Constitucional e o Direito Internacional.
;Incorporação de tratados no Brasil;Fases do processo de incorporação e o entendimento do STF sobre hierarquia.
;Compromissos internacionais por governadores;Validade de compromissos internacionais assumidos por governadores de estados-membros.
16. Princípios das relações internacionais do Brasil (Art. 4º, CF/88);Conteúdo normativo e exemplos;Enumeração e análise reflexiva dos princípios do Art. 4º da CF/88, com exemplos históricos de sua incidência na política externa.
;Solução pacífica de controvérsias;Relação entre a obrigação de solução pacífica de controvérsias e o texto constitucional brasileiro.
17. DIP e Direito Internacional Privado (LINDB);Princípios gerais do direito;A função dos princípios gerais do direito no ordenamento jurídico à luz da LINDB.
;Homologação de divórcio homoafetivo;Possibilidade de homologação de sentença estrangeira de divórcio homoafetivo no Brasil.
;Dívida de jogo contraída no exterior;Análise da cobrança de dívida de jogo contraída no exterior e viabilidade de homologação da sentença estrangeira correspondente.
18. Estado (surgimento, extinção, soberania, reconhecimento);Desaparecimento de território por elevação do mar;Impactos na existência do Estado nacional.
;Reconhecimento da República brasileira (1889);O pedido de reconhecimento à luz das normas atuais de reconhecimento de Estado e governo.
;Caso Lotus;Análise da premissa de que limitações à independência dos Estados não se presumem.
;Doutrinas Drago, Tobar e Estrada;Importância para o direito das gentes.
19. Território (formação do território brasileiro);Tratados Brasil-Paraguai (1872-1975);Pressupostos da personalidade jurídica, critérios de delimitação territorial e aproveitamento hídrico.
20. Povo (nacionalidade, estrangeiro, extradição, asilo);Nacionalidade e apatridia;Conceito de nacionalidade, formas de aquisição, perda e proteção aos apátridas no direito brasileiro e internacional.
;Asilo vs. refúgio;Diferenciação e o tratamento dado pela Lei de Migração em comparação ao antigo Estatuto do Estrangeiro.
;Brasileiro processado por crime no exterior;Possibilidade de brasileiro ser processado no Brasil por crime cometido no exterior.
;Expulsão de estrangeiro com vínculos familiares;Análise da legalidade da expulsão de estrangeiro com vínculos familiares e tempo de residência no Brasil.
21. Jurisdição, imunidades, responsabilidade internacional;Imunidades diplomáticas e consulares;Definição, propósitos e instrumentos convencionais que as regem.
;Responsabilidade por edição de lei interna;A responsabilidade internacional do Estado pela mera edição de lei interna contrária a obrigações internacionais.
;Imunidade de organização internacional (ato de império vs. gestão);Decisão sobre imunidade de jurisdição em reclamações trabalhistas.
23. Fontes do DIP;Tratados como fonte;Importância dos tratados, princípios do livre consentimento, boa-fé e pacta sunt servanda.
;Jus cogens;Conceito e abrangência como ordem internacional superior e sua efetividade diante do uso da força.
;Reservas a tratados;Distinção de declaração interpretativa e efeitos de objeções às reservas.
;Art. 38 do Estatuto da CIJ;Análise se constitui enumeração exaustiva das fontes do DIP.
24. Solução pacífica de controvérsias;Meios diplomáticos e jurisdicionais;Bons ofícios, mediação, conciliação, arbitragem e CIJ.
;Jurisdição da CIJ;Espécies (contenciosa e consultiva) e formas de fixação de competência.
;Pacto de Bogotá;Importância para a resolução de controvérsias perante a CIJ.
25. Organizações internacionais;"Carta da ONU como ""constituição internacional""";Debate sobre a primazia sobre outros tratados (Art. 103).
;Limites ao poder do Conselho de Segurança;Possibilidade de a CIJ invalidar suas resoluções.
;Controle judicial brasileiro sobre resoluções do CS;Controle sobre resoluções internalizadas por decreto.
26. Direito da Integração Regional (MERCOSUL);Desenvolvimento do MERCOSUL;Tratado de Assunção e participação brasileira em sistemas de solução de controvérsias regionais.
;Modelos supranacional vs. intergovernamental;Comparação entre União Europeia e MERCOSUL.
27. Uso da força e segurança coletiva;Legítima defesa na Carta da ONU;Condições para o exercício e controvérsias sobre legítima defesa preventiva.
;Armas nucleares;Regulação da ameaça ou uso e pareceres da CIJ.
28. Direito internacional dos direitos humanos;Sistema Interamericano de DH;Papel da Comissão e da Corte IDH e relação do Brasil com o sistema.
;Tratados de DH como emendas constitucionais;Equivalência (Art. 5º, §3º da CF/88).
29. Conflitos armados e Direito Humanitário / Refugiados;Convenções de Genebra e Protocolos;Pedra angular do DIH.
;Convergências entre DIH, DIDH e Direito dos Refugiados;Pontos de contato e integração normativa.
;Princípio do non-refoulement;Proteção aos refugiados na legislação brasileira e internacional.
30. Direito penal internacional;TPI e tribunais ad hoc;Processo de criação, tribunais para Ex-Iugoslávia e Ruanda, princípio da complementaridade.
;Crimes do Estatuto de Roma;Espécies de crimes sob competência do TPI e responsabilidade do indivíduo vs. Estado.
31. Direito do comércio internacional (OMC);Sistema de solução de controvérsias da OMC;"Eficácia exemplificada pelo ""Contencioso do Algodão""."
;Cláusula da nação mais favorecida e blocos regionais;Conciliação entre a cláusula e a existência de blocos econômicos regionais.
32. Meio Ambiente e Direito do Mar;Elevação do nível do mar e zonas marítimas;Impactos nas delimitações à luz da CNUDM.
;Direito Internacional e Água;Dissertação geral sobre o tema em suas diversas dimensões.
Extras (temas transversais);Teoria e História do DIP;Afirmação de que o DIP surgiu para erguer fronteiras e hoje se ocupa de derrubá-las.
;Natureza jurídica do DIP;Discussão se o DIP é um código de regras morais ou um sistema jurídico de coordenação eficaz.
;"""Doutrina das Danaides""";Reflexão sobre o trabalho incessante dos internacionalistas em defender a existência e o esgotamento do tema do direito das gentes.
