O que é Literatura, segundo o texto?;É a expressão cultural de um povo, podendo ser oral ou escrita. Envolve fantasia, ficção, invenção e é a expressão estética da linguagem verbal.
Por que os primeiros textos no Brasil não eram de ficção?;Porque os portugueses estavam iniciando a colonização e era mais útil e necessário descrever a nova terra e os costumes dos ameríndios.
Como são classificados os textos do século XVI?;Como Literatura de Informação, devido ao seu valor informativo sobre a terra e os nativos, ainda que feitos pela visão tendenciosa do colonizador.
Qual foi o primeiro texto informativo sobre o Brasil?;A carta escrita por Pero Vaz de Caminha para o rei D. Manuel, em 1500.
Por que a carta de Caminha só foi divulgada no século XIX?;Por razões de estratégia político-econômica da Coroa Portuguesa.
Qual é um dos trechos mais famosos da carta de Caminha?;"Aquele que fala das possíveis riquezas e que o ""melhor fruto"" a se tirar da terra seria salvar (catequizar) a gente que nela habitava."
Quando a colonização portuguesa se efetivou de fato?;A partir de 1531, com Martim Afonso de Souza, com objetivos de povoar, expulsar invasores e iniciar o cultivo de cana-de-açúcar.
Qual era o papel dos jesuítas na colonização?;"Catequizar a população local, cumprindo o objetivo religioso proposto por Caminha de ""salvar esta gente"" e acrescentar a fé cristã."
Que influência a Literatura de Informação teve posteriormente?;Forneceu material para a literatura indianista no Romantismo e para a revisão da História oficial pelos modernistas de 1922.
Cite três autores e obras da Literatura de Informação.;- Pero Lopes de Sousa: Diário de Navegação (1532)
;- Pe. Manuel da Nóbrega: Cartas do Brasil (1549)
;- Gabriel Soares de Sousa: Tratado Descritivo do Brasil (1587)
"Por que o termo ""Tupã"" é um exemplo de visão distorcida do colonizador?";"Os portugueses o tomaram como sinônimo de ""Deus"", mas para os indígenas era apenas a expressão do ""alto"" ou o ""trovão"", sem a mesma dimensão do Deus cristão criador."
Qual foi o nome original planejado para o Brasil e por que mudou?;Era para ser Terra de Santa Cruz, mas prevaleceu o nome Brasil devido à abundância da madeira pau-brasil.
Quem fundou a Companhia de Jesus (jesuítas) e quando?;Foi fundada em 1534 por Inácio de Loyola.
Qual era o principal objetivo dos textos da Literatura de Informação?;O objetivo principal era informar a corte portuguesa e o clero sobre a nova terra, e não a fruição estética.
Por que a Literatura de Informação não formou uma base cultural na colônia?;Porque sua circulação era restrita à corte e ao clero, não sendo acessível ao público em geral.
Como a Literatura de Informação foi utilizada no século XIX?;Forneceu material para os escritores indianistas do Romantismo, como Gonçalves Dias e José de Alencar.
Dê um exemplo de como Gândavo influenciou um autor romântico.;A descrição de um ritual antropofágico no Tratado da Terra do Brasil foi usada por José de Alencar em O Guarani e por Gonçalves Dias em I-Juca Pirama.
Quem foi a principal figura da produção catequética no Brasil do século XVI?;O padre José de Anchieta.
Quais idiomas José de Anchieta usava em seus escritos e por quê?;Escrevia em português, tupi, latim e espanhol para facilitar a catequese dos indígenas e colonos.
Qual era a finalidade principal dos escritos de Anchieta?;Tinham finalidade catequética e didático-pedagógica, não de fruição literária pura.
Cite um poema épico escrito por Anchieta e seu tema.;De Gestis Mendi de Saa (Dos feitos de Mem de Sá), que narra a luta do governador contra índios e franceses na Confederação dos Tamoios.
Qual gênero literário português influenciou o teatro de Anchieta?;Os autos religiosos de Gil Vicente.
Que forma métrica Anchieta usava em seus poemas de apelo popular?;A redondilha menor (versos de 5 sílabas poéticas), organizados em quadras.
Cite um poema popular de Anchieta.;"""A Santa Inês"", que começa com: ""Cordeirinha linda, / Como folga o povo / Porque vossa vinda / Lhe dá lume novo!"""
"Por que, apesar de sua produção, não se considera que Anchieta fez ""literatura brasileira""?";Porque seus textos tinham finalidade catequética, eram em múltiplas línguas e não visavam à formação de uma literatura nacional.
Qual era o contexto cultural da Europa vs. Brasil no início da colonização?;Europa: Era Clássica (Classicismo de Camões). Brasil: Sem alta criação literária, focada em descrição e catequese.
Quando e por que começou a surgir arte no Brasil?;A partir de 1600 (século XVII), impulsionado pela exploração de cana-de-açúcar e, principalmente, ouro em Minas Gerais no século XVIII.
O que é o Barroco e como ele se relaciona com o Classicismo?;"É uma ""corrupção"" do Classicismo. Enquanto o Classicismo prezava pela racionalidade e cultura greco-romana, o Barroco busca o inusitado e tem como referência o cristianismo."
Qual foi o papel da Igreja Católica no Barroco?;"""Patrocinou"" o movimento ao estimular a discussão de conceitos religiosos para recuperar sua concepção teocêntrica de mundo, abalada pela Renascença e Reforma Protestante."
Quais fatores históricos contribuíram para a crise existencial barroca?;A teoria heliocêntrica de Copérnico (que tirou a Terra do centro do universo) e a Reforma Protestante, levando o homem a uma crise entre a infinitude e a finitude.
Quais são as características estilísticas principais do Barroco?;Uso de antíteses, metáforas, hipérboles, hipérbatos (inversões sintáticas), engenhosidade verbal e o conflito entre o profano e o sagrado.
Qual é considerada a primeira obra do Barroco no Brasil?;"""Prosopopeia"" (1601), um poema épico de Bento Teixeira."
"Qual era o objetivo principal da ""Prosopopeia"" de Bento Teixeira?";"Laudatório: exaltar os feitos do governador Jorge d'Albuquerque Coelho, não literário. É considerado confuso e de qualidade inferior a ""Os Lusíadas""."
Quais são os dois principais autores do Barroco brasileiro?;Padre Antônio Vieira (português) e Gregório de Matos.
"O que é ""Cultismo"" no Barroco?";"É o estilo que busca a engenhosidade verbal, usando metáforas complexas (ex: ""cristal"" no lugar de ""pele clara"", ""rubi"" no lugar de ""sangue"") e jogos de linguagem."
"Cite um tema central do soneto ""Discreta e formosíssima Maria"" de Gregório de Matos.";"A efemeridade da vida e da beleza (memento mori), usando o princípio do ""carpe diem"" (aproveitar o dia) contra a ação destrutiva do tempo."
"Qual princípio filosófico é expresso em ""gozai da flor da formosura""?";"Carpe Diem (""aproveite o dia""), um convite para usufruir da juventude e da beleza antes que o tempo as destrua."
"Manuel Botelho de Oliveira era um autor ""nacionalista""?";"Não, é um exagero. O Brasil não era uma nação. Seu objetivo, como em ""A Ilha da Maré"", era registrar e exaltar as qualidades da terra (nativismo), não fazer literatura nacional."
"O que é ""Cultismo"" e como Botelho o exemplifica?";É o estilo que busca a engenhosidade verbal através de metáforas inusitadas. Exemplo: Comparar a amada (Anarda) a uma rosa, mas afirmando que o sol deve seu brilho a ela, e não o contrário.
Quais são as duas figuras mais importantes do Barroco brasileiro?;Gregório de Matos Guerra (1633-1695) e o Padre Antônio Vieira (1608-1697).
"Por que Gregório de Matos era chamado de ""Boca do Inferno""?";Por causa de sua poesia satírica e ácida, que criticava figuras públicas e os costumes da época.
