Tópico / Subtópico do Edital;Tema de Redação Discursiva
1.1 A configuração territorial da América Portuguesa;"Analise o Tratado de Tordesilhas (1494) e os tratados posteriores (Madri, 1750; Santo Ildefonso, 1777) como instrumentos de definição das fronteiras do Brasil, discutindo a atuação dos bandeirantes e a diferença entre os conceitos de limites e fronteiras móveis."
1.2 As dimensões econômicas e sociais da América Portuguesa;Discorra sobre a montagem da economia açucareira no Nordeste (séculos XVI-XVII) e sua estrutura social tripartite (senhor de engenho, escravizado, trabalhador livre pobre), relacionando-a com a formação de uma sociedade patriarcal, rural e excludente.
2.1 Movimentos emancipacionistas;Compare a Inconfidência Mineira (1789) com a Conjuração Baiana (1798), destacando seus diferentes projetos sociais (separatista vs. igualitário), sua base social de apoio e a influência do Iluminismo em cada um.
2.2 A situação política e econômica europeia;Explique como a invasão napoleônica a Portugal (1807) e o Bloqueio Continental foram consequências diretas da expansão do Império Francês e, paradoxalmente, criaram as condições para o rompimento político entre Brasil e Portugal.
2.3 O Brasil sede do Estado monárquico português;Avalie os impactos da transferência da corte portuguesa para o Rio de Janeiro (1808) na urbanização, na abertura dos portos às nações amigas e na emergência de um sentimento de autonomia política que culminaria na independência.
2.4 O Constitucionalismo português e a independência do Brasil;"Analise o papel das Cortes de Lisboa (1821-1822) como fator catalisador do processo de independência brasileira, discutindo o chamado ""Dia do Fico"" e o ""Grito do Ipiranga"" como respostas às tentativas de recolonização."
2.5 A influência das ideias liberais e sua repercussão no Brasil;Discorra sobre como os princípios do liberalismo (soberania popular, divisão de poderes, direitos individuais) foram apropriados seletivamente pela elite brasileira no processo de independência, sem romper com a estrutura escravocrata e latifundiária.
3.1 A Constituição de 1824;Caracterize a Constituição outorgada de 1824 destacando seus quatro poderes (com destaque para o Poder Moderador) e o sistema de voto censitário, relacionando-os com a centralização política no Primeiro Reinado.
3.2 Quadro político interno;Analise a Confederação do Equador (1824) como expressão da insatisfação nordestina com o autoritarismo de D. Pedro I e com a dissolução da Assembleia Constituinte, discutindo a ideia de republicanismo federalista presente no movimento.
3.3 Política exterior do Primeiro Reinado;Explique os objetivos da Guerra da Cisplatina (1825-1828) para o Império do Brasil e discuta as consequências de sua derrota e da independência do Uruguai para o prestígio político e a estabilidade do Primeiro Reinado.
4.1 Centralização versus descentralização: reformas institucionais;"Caracterize o debate político entre ""liberais moderados"" (centralizadores) e ""liberais exaltados"" (descentralizadores) durante o Período Regencial (1831-1840), identificando seus argumentos sobre o equilíbrio entre ordem e autonomia provincial."
