Abertura dos Portos (1808);Fim do monopólio colonial português
D. João VI;Transferiu a corte portuguesa para o Brasil
Guerras Napoleônicas;Contexto da Independência do Brasil
Reino Unido de Portugal, Brasil e Algarves (1815);Brasil deixa de ser colônia formalmente
Tratado de Comércio e Navegação (1810);Privilégios comerciais para a Grã-Bretanha
Rubens Ricupero;Destaca tentativa portuguesa de limitar domínio inglês
Santa Catarina;Local desejado pelos britânicos para porto exclusivo
Cortes de Lisboa;Tentaram recolonizar o Brasil
Independência do Brasil (1822);Processo com continuidade monárquica
D. Pedro I;Proclamou a Independência
Elite agrária do Sudeste;Base de apoio da Independência
América Hispânica;Independências com maior ruptura política
Legitimidade dinástica;Fonte de autoridade de D. Pedro I
Estado brasileiro nascente;Já possuía burocracia e forças militares
Confederação do Equador (1824);Revolta republicana reprimida por D. Pedro I
Manifesto aos Governos e Nações Amigas (1822);Declaração prévia da independência política
José Bonifácio;Defendia modernização e autonomia nacional
Felisberto Caldeira Brant;Primeiro representante brasileiro em Londres
Escravidão;Base da economia brasileira
Reforma agrária;Proposta de José Bonifácio
Elite escravocrata;Rejeitou reformas sociais
Queda de José Bonifácio (1823);Vitória do conservadorismo imperial
Objetivo da Independência;Manter estrutura agroexportadora escravista
Reconhecimento dos EUA (1824);Primeiro reconhecimento importante
Mediação britânica;Facilitou reconhecimento português
Tratado de Paz Brasil-Portugal (1825);Portugal reconhece independência brasileira
Indenização a Portugal;Brasil pagou 2 milhões de libras
Casa de Bragança;Dinastia preservada após independência
Charles Stuart;Diplomata britânico nas negociações
George Canning;Exigiu mais vantagens para a Grã-Bretanha
Convenção de 1826;Brasil prometeu acabar com tráfico negreiro
Direito de inspeção;Britânicos podiam fiscalizar navios negreiros
Tratado de Amizade, Comércio e Navegação (1827);Consolidação dos privilégios ingleses
Tarifa de 15%;Imposto reduzido para produtos britânicos
Nação mais favorecida;Benefícios britânicos automáticos
Receita alfandegária;Principal fonte do Tesouro imperial
Centralização política;Marca do Primeiro Reinado
Cisplatina;Província perdida pelo Brasil
Período Regencial;Instabilidade política e fraqueza externa
Maioridade de Pedro II;Reforço do poder central
Política do Segundo Reinado;Busca de autonomia externa e atuação no Prata
;
Colônia do Sacramento (1680);Base portuguesa no Rio da Prata
Objetivo da Colônia do Sacramento;Controlar comércio e acesso ao interior sul-americano
Potosí;Região produtora de prata na atual Bolívia
Tratado de Badajoz (1801);Sacramento passou para a Espanha
Banda Oriental;Atual Uruguai
Ocupação portuguesa de 1811;Intervenção nas disputas do Prata
José Gervasio Artigas;Líder federalista da Banda Oriental
Liga dos Povos Livres (1814);República federal criada por Artigas
Artiguistas;Defendiam reformas sociais e federalismo
Buenos Aires;Defendia centralização política
D. João VI;Ordenou ocupação da Banda Oriental em 1816
Derrota de Artigas (1820);Fim da resistência oriental
Província da Cisplatina (1821);Nome dado ao Uruguai anexado ao Brasil
Montevidéu;Último foco de resistência portuguesa
Álvaro da Costa;General português contrário à independência brasileira
Projeto geopolítico português;Dominar território até o Rio da Prata
D. Pedro I;Recusou devolver a Banda Oriental
Treinta y tres orientales;Grupo liderado por Lavalleja contra o Brasil
Juan Antonio Lavalleja;Líder da revolta oriental
Guerra da Cisplatina (1825-1828);Conflito entre Brasil e Províncias Unidas
Províncias Unidas do Rio da Prata;Futuro Estado argentino
Batalha de Sarandí;Derrota brasileira na Cisplatina
Montevidéu e Colônia;Áreas mantidas pelo Brasil após derrotas
Superioridade naval brasileira;Não garantiu controle do Prata
Grande calado dos navios brasileiros;Dificultava manobras nos rios platinos
Corsários das Províncias Unidas;Atacavam comércio brasileiro
Cartas de corso;Autorizações para ataques navais privados
Navio Spark;Caso que gerou crise Brasil-EUA
Rompimento diplomático Brasil-EUA (1827);Consequência do apresamento do Spark
Tratado Brasil-EUA (1828);Restabeleceu relações amistosas
Batalha de Passo do Rosário (Ituzaingó);Principal vitória argentina
General Alvear;Comandante das forças argentinas
Bernardino Rivadávia;Presidente das Províncias Unidas
Manuel Garcia;Diplomata enviado para negociar paz
Tratado rejeitado em Buenos Aires;Reconhecia Cisplatina como brasileira
Renúncia de Rivadávia;Resultado da crise política argentina
Batalha de Juncal;Vitória naval das Províncias Unidas
Intervenção britânica;Impôs solução diplomática para a guerra
Convenção Preliminar de Paz (1828);Reconheceu independência uruguaia
República Oriental do Uruguai;Estado criado após a guerra
Inglaterra;Garantidora da independência uruguaia
Guerra da Cisplatina;Herança da geopolítica colonial
Pecuaristas gaúchos e platinos;Interessados economicamente na região
Desgaste político de D. Pedro I;Aumentado pela guerra
Dissolução da Constituinte;Exemplo do autoritarismo de D. Pedro I
Abdicação de D. Pedro I (1831);Fim do Primeiro Reinado
Período Regencial (1831-1840);Governo exercido por regentes
Regentes;Tentaram manter centralização monárquica
Fragilidade do Estado brasileiro;Limitava política externa ativa
Política externa regencial;Defensiva e reativa
Ameaça ao norte;Expansão europeia na Amazônia
Ameaça ao sul;Guerra civil uruguaia
Pressão inglesa;Exigência do fim do tráfico negreiro
Convenção de 1826;Proibiu tráfico negreiro a partir de 1830
Lei Feijó (1831);Regulamentou proibição do tráfico
“Lei para inglês ver”;Lei sem aplicação prática
Elite escravocrata;Sustentava continuidade do tráfico
Tribunal misto de Serra Leoa;Julgava tráfico ilegal de escravos
Marinha britânica;Reprimia tráfico negreiro no Atlântico
;
;
Expansionismo europeu na Amazônia;Ameaça enfrentada pelos regentes
Cabanagem (1835-1840);Revolta no Pará durante a Regência
Revolução Farroupilha (1835-1845);Rebelião separatista no Sul
Tratado de Utrecht (1713);França reconheceu soberania portuguesa no Amapá
Rio Oiapoque;Limite reconhecido entre Brasil e Guiana Francesa
Ocupação da Guiana Francesa;Realizada por D. João
Congresso de Viena (1815);Confirmou fronteira no Oiapoque
Luís Felipe;Rei francês que retomou ambições amazônicas
David Baillie Warden;Defendeu reivindicação francesa sobre Amazônia
Rio Araguari;Franceses tentaram impor como fronteira
Ocupação francesa de 1836;França avançou até o Araguari
Protestos brasileiros;Reação diplomática à invasão francesa
Apoio britânico ao Brasil;Inglaterra pressionou França a recuar
Território neutro (1841);Solução provisória entre Brasil e França
Guiana Inglesa;Região de interesse expansionista britânico
Distrito do Pirara;Área disputada em Roraima
Thomas Yound;Missionário britânico enviado ao Pirara
Expulsão de Yound;Reação brasileira contra expansão inglesa
Zona neutra no Pirara;Solução diplomática de 1842
Juan Manuel de Rosas;Líder da Confederação Argentina
Guerra civil uruguaia (1839);Conflito entre colorados e blancos
Rosas;Defensor do federalismo argentino
Pacto Federal (1831);Base da Confederação Argentina
Nacionalismo antiliberal;Ideologia de Rosas
“Morte aos selvagens unitários”;Lema do governo Rosas
Fructuoso Rivera;Líder do Partido Colorado
Manuel Oribe;Líder do Partido Blanco
Partido Colorado;Grupo liberal uruguaio
Partido Blanco;Grupo nacionalista uruguaio
Guerra Grande (1839-1851);Guerra civil uruguaia
Unitários argentinos;Apoiaram Rivera
Rosas apoiou Oribe;Intervenção argentina no Uruguai
República Rio-grandense;Estado proclamado pelos farroupilhas
Farroupilhas;Rebeldes separatistas gaúchos
Porto Alegre;Base legalista no Sul
Apoio britânico e francês a Rivera;Defesa do livre comércio
Rosas;Impedia livre navegação do Paraná
Livre navegação do Paraná;Interesse europeu no Prata
Maioridade de Pedro II (1840);Fim do Período Regencial
