What is abrogation in international law?;"A unilateral act that attempts to end an unwelcome international obligation; has no legal effect unless permitted by the legal arrangement. Synonym of denunciation."
What does abstention mean in a multilateral forum?;It is the decision to refrain from voting for or against a proposed resolution.
What is the meaning of accession in treaty law?;The act of a state joining a treaty it did not originally sign. Sometimes used like ratification, but refers specifically to non-original signatories.
Who is an accredited diplomatic representative?;"A formal term for a head of mission or diplomatic agent; can also refer to a representative granted privileges but not full diplomatic status."
What is accreditation in diplomatic terms?;(1) The process of giving credentials to a head of mission. (2) The appointment of someone to a diplomatic mission.
What is the acquis communautaire?;The body of EU legislation, including court rulings and practices, that new EU members must adopt in full.
What is an acte de présence?;A formal appearance by a head of mission at a diplomatic event as a sign of respect.
What is the Act of Anne (1708)?;A British law granting diplomatic immunity to ambassadors and their household, passed after the unlawful arrest of the Russian ambassador.
What does ad hoc diplomacy refer to?;Diplomacy carried out by special or occasional missions, not through permanent or resident missions.
What is an ad hoc diplomat?;A temporary diplomat, often a political leader or a special mission member, involved in specific diplomatic activities.
What does ad interim mean?;Indicates that a position or arrangement is temporary, such as a chargé d’affaires ad interim.
What is adjudication in international law?;A dispute resolution process under international law, through arbitration or judicial settlement.
Who are administrative and technical staff in a diplomatic mission?;Staff responsible for support roles (e.g. secretarial, communication), who receive almost the same privileges as diplomats.
What does adoption mean in treaty-making?;The formal act by which states agree to a treaty during or after negotiations. Signature also counts as adoption.
What does ad referendum mean?;A conditional agreement made by a diplomat that requires approval from their government.
What is adhesion in the context of treaties?;A synonym for accession—joining a treaty not originally signed.
Who is designated as an adviser in permanent missions?;A less senior member of a permanent mission to an international organization, commonly used by the U.S. at the UN.
What is an advisory opinion?;"A legal opinion given by the ICJ to a UN organ or specialized agency; not binding but carries authority."
What is an advisory treaty?;A treaty between a colonial power and a tribal ruler under which the ruler agrees to accept advice only from the colonial power.
What is an affirmative vote?;"A ""yes"" vote in a multilateral decision-making process; abstentions are not counted as affirmative votes."
What is the African Union (AU)?;"A regional organization founded in 2002 to promote African unity, replacing the OAU; headquartered in Addis Ababa."
What is meant by agenda in diplomacy?;(1) The list of negotiation topics. (2) In “hidden agenda”, it means underlying goals or intentions.
What are the meanings of agent in diplomatic history?;(1) Lowest rank in early diplomacy. (2) A general term for diplomat. (3) A representative without diplomatic status. (4) A clerk/banker for diplomats (historical). (5) A secret agent.
What is an agent-general?;"A representative of a Canadian province or Australian state in London; has consular privileges but not diplomatic status."
Who is an agent in place?;"A local person with sensitive access providing intelligence to a foreign agency; a key human intelligence (humint) asset."
What is aggression in international law?;"An unwarranted attack by one state on another; defined by the UN General Assembly in 1974 but still open to interpretation."
What is agrément?;The formal approval by a receiving state to accept a proposed head of mission. It is required under the Vienna Convention.
What are agreed minutes?;A type of record or summary mutually accepted by all parties, often used during negotiations or meetings.
What is meant by agreement in international law?;A formal term for certain international legal instruments, often less formal and with fewer parties than treaties.
What is an aide-mémoire?;"A written summary of a diplomatic presentation left with a counterpart to avoid miscommunication; informal and unsigned."
What is an air attaché?;"An air force officer assigned to a diplomatic mission; in Commonwealth countries, the equivalent is called an air adviser."
What does Air Force One refer to?;"The call-sign of any U.S. Air Force plane carrying the President; most commonly a specially equipped Boeing 747-200B."
What is an airgram?;"A formal U.S. State Department diplomatic communication sent by diplomatic bag when telegrams were too costly or laborious; now obsolete."
What is air space in international law?;"The space above a state's territory and territorial sea, over which the state has sovereignty; foreign aircraft require permission to enter."
What was the Congress of Aix-la-Chapelle (1818)?;A post-Napoleonic meeting to review the Treaty of Paris and consider European stability. Linked to the Regulation of Vienna.
What is an alliance?;"A formal treaty between two or more states for military cooperation under specific conditions; marked by detailed commitments."
What is the Alliance Française?;"A French cultural institution founded in 1880 to promote French language and culture abroad; model for other countries’ cultural diplomacy."
What is an alliance of convenience?;"An alliance between ideological opposites based on a shared threat; also known as an alliance à rebours."
What does all necessary means refer to in diplomacy?;A euphemism for authorizing the use of armed force, often used in UN Security Council resolutions.
What is all-source analysis in intelligence?;The process of analyzing intelligence from all sources—technical, human, and diplomatic—by a central body like the CIA or UK JIC.
What is alphabetical seating in international meetings?;A seating arrangement based on alphabetical order of country names, influenced by the language used in the forum.
What is the alternat in treaty practice?;A procedure allowing each signatory state to have its own treaty copy naming its officials first, used to manage issues of diplomatic precedence.
Who is an alternate representative?;A member of a permanent mission to an international organization who serves as an alternate to a representative on a specific organ.
What are the Amarna letters?;"Fourteenth-century BC diplomatic correspondence between Egypt and neighboring states, written mainly in Akkadian; discovered at El Amarna."
What is an ambassador?;A diplomatic agent of the highest rank, typically the head of an embassy or a permanent representative to an international organization.
What is an ambassador-at-large?;A roving ambassador not assigned to a specific country but responsible for specific issues or regions.
What is the ambassador’s suite?;A term referring to the family and immediate household staff of an ambassador.
What does Amcits mean?;Abbreviation used by the U.S. State Department to refer to American citizens abroad.
What is the American Foreign Service Association (AFSA)?;The professional association of active and retired members of the U.S. Foreign Service, founded in 1924.
What is annexation in international law?;The formal act by which a state incorporates conquered foreign territory within its own jurisdiction. It is now almost universally regarded as a violation of international law.
What is an annexe in a treaty?;A detailed appendix to a treaty, often containing key provisions and having equal validity with the main text.
What is an annual review in diplomatic practice?;A year-end report submitted by ambassadors detailing developments in the host country and assessing progress on diplomatic objectives.
What is anti-localitis?;See localitis – a term used to describe a diplomat becoming too sympathetic to the host country's views.
Who is an apostolic delegate?;The Pope’s representative to a branch of the Roman Catholic Church outside Italy, usually without diplomatic status.
What is an apostolic nunciature?;See nunciature – the office or residence of a nuncio.
Who is an apostolic nuncio?;See nuncio – a diplomatic representative of the Holy See.
What is an apostille?;A legalization certificate verifying the authenticity of a document for international use.
Who is an apostolic pro-nuncio?;See pro-nuncio – a title used for certain papal diplomats.
What is appeasement in diplomacy?;A policy of satisfying another state's demands, often seen negatively since the 1930s as a dishonourable attempt to avoid conflict.
What is an appel?;The formal salutation in a personal letter sent by a diplomat.
What is the Arab League?;See League of Arab States – a regional organization of Arab countries.
What is arbitration in international law?;The settlement of disputes by an arbitral tribunal, often based on international law and agreed to by the involved states.
What is a compromis in arbitration?;The agreement by which states agree to submit a dispute to arbitration.
What are archives and documents in diplomacy?;See diplomatic archives – official records and documents kept by a mission or foreign ministry.
Who is an archivist in diplomacy?;See chancelier – the officer responsible for maintaining a mission’s records.
What defines armed conflict (international)?;Conflict between states without a formal declaration of war, still governed by international humanitarian law.
What defines armed conflict (non-international)?;"Internal conflict resembling war between a state’s forces and organized groups; also subject to parts of international humanitarian law."
Who is an armed forces attaché?;See service attaché – a military representative attached to a diplomatic mission.
What is an armistice?;An agreement to suspend hostilities, historically temporary but now often used to end conflicts entirely.
Who is an army attaché?;See military attaché or service attaché – a military expert assigned to a diplomatic mission.
What is the Arria formula?;An informal UN Security Council procedure for private meetings with non-members, initiated by Diego Arria of Venezuela in 1992–93.
What is the Arthashastra?;See Kautilya – an ancient Indian treatise on statecraft and diplomacy.
"What does ""ask for passports"" mean in diplomacy?";A phrase used when a head of mission is recalled from a receiving state, typically in protest, based on the historical need for a passport (exit visa) to leave a country.
What are assemblies in diplomacy?;See parliamentary assemblies – gatherings like the UN General Assembly or parliamentary bodies in international organizations.
Who is an assistant attaché?;See attaché – a junior member of a diplomatic mission.
What is an assistant under-secretary of state?;A senior diplomatic post in the British Foreign Office (now called ‘director’) and in the US State Department.
What is an associated state?;"A non-sovereign entity with internal self-government; defense and foreign affairs are handled by another state."
What is ASEAN?;The Association of Southeast Asian Nations, founded in 1967 to promote regional cooperation. Members include 10 Southeast Asian countries.
What is asylum in diplomacy?;See diplomatic asylum – protection granted by a diplomatic mission to individuals from persecution.
What is an attaché?;A specialist or junior official attached to a diplomatic mission, often from domestic departments like Trade or Defense.
