Espaço;"Base das relações sociais, econômicas e ambientais; campo dinâmico modificado pelas ações humanas. Forma + função."
Paisagem;"Aparência visível do espaço geográfico, formada por elementos naturais e culturais; percebida pelos sentidos."
Território;Espaço marcado pelo domínio e controle (poder), delimitado por fronteiras políticas, administrativas ou simbólicas.
Lugar;Espaço vivido, carregado de significados, experiências, identidades culturais e relações afetivas.
Região;Divisão espacial baseada em características naturais, culturais, econômicas ou políticas.
Determinismo (Ratzel);A natureza determina o desenvolvimento das sociedades humanas.
Espaço Vital (Ratzel);Recursos e territórios necessários à sobrevivência e expansão de uma sociedade.
Possibilismo (La Blache);"O meio natural oferece possibilidades; o homem adapta-se por técnicas e hábitos."
Gênero de Vida;Conjunto de técnicas e hábitos que permitem a adaptação humana ao meio.
Método Regional (Hartshorne);Estudo das particularidades das regiões, sem buscar leis universais.
Geografia Teorética;Uso de métodos quantitativos, matemáticos e estatísticos para explicar padrões espaciais.
Geografia Crítica;"Influenciada pelo marxismo; vê o espaço como produto das relações sociais de produção."
Geografia Humanista;Valoriza subjetividade, percepção e experiência humana do espaço.
Topofilia;Laços afetivos entre pessoas e lugares.
Mackinder;"Defensor do poder terrestre; quem controla o Heartland controla o mundo."
Heartland;Região central da Eurásia considerada estratégica e protegida do poder marítimo.
Haushofer;Defendia pan-regiões autárquicas lideradas por grandes potências.
Mahan;O poder marítimo e o controle dos oceanos garantem domínio global.
Spykman;O controle do Rimland é essencial para conter o Heartland e dominar o mundo.
Rimland;Faixa costeira da Eurásia estratégica para equilíbrio global.
Golbery do Couto e Silva;Integração territorial e segurança nacional como bases do poder brasileiro.
Carlos de Meira Mattos;Defesa da Amazônia como eixo estratégico da projeção geopolítica brasileira.
Therezinha de Castro;Destacou a importância do Atlântico Sul e da Antártica para o Brasil.
Teoria da Defrontação;Países voltados para a Antártica teriam direitos geopolíticos sobre ela.
André Martin;Defende a centralidade geopolítica da América do Sul e do Brasil.
População Mundial;Aproximadamente 8,27 bilhões de habitantes em 2024.
Ásia;Continente mais populoso, com cerca de 59% da população mundial.
África Subsaariana;Região com maior taxa de fecundidade do mundo (4,4).
Taxa de Reposição;Nível de fecundidade necessário para manter a população estável: 2,1 filhos por mulher.
Índia;País mais populoso do mundo em 2024.
Expectativa de Vida Mundial;73,3 anos em 2024.
Pico Populacional Mundial;Estimativa de 10,3 bilhões de habitantes em 2080.
Migração Internacional;Deslocamento populacional entre países por motivos econômicos, políticos ou sociais.
Censo 2022;Recenseamento populacional realizado pelo IBGE no Brasil.
Crescimento Populacional Brasileiro;Entre 2010 e 2022 foi de 0,52% ao ano, o menor desde 1872.
Região Sudeste;Região mais populosa do Brasil.
Centro-Oeste;Região brasileira com maior crescimento populacional recente.
Índice de Envelhecimento;Relação entre idosos e crianças na população.
Idade Mediana;"Idade que divide a população em duas partes iguais; no Brasil chegou a 35 anos."
População Parda;Grupo mais numeroso no Brasil segundo o Censo 2022.
Taxa de Alfabetização;Percentual de pessoas alfabetizadas com 15 anos ou mais.
;
Espaço;Base das relações sociais, econômicas e ambientais. Campo dinâmico das interações humanas e naturais, constantemente modificado pelas ações humanas. Fórmula: forma + função.
Paisagem;Aparência visível do espaço geográfico, formada por elementos naturais e culturais. Percebida pelos sentidos e revela transformações sociais ao longo do tempo.
Território;Espaço marcado por domínio e controle (poder sobre o espaço). Delimitado por fronteiras políticas, administrativas ou simbólicas.
Lugar;Espaço vivido, carregado de significados, afetos, identidades culturais e experiências individuais e coletivas.
Região;Divisão espacial baseada em características naturais, culturais, econômicas ou políticas que diferenciam áreas entre si.
Friedrich Ratzel — Determinismo;A natureza determina o desenvolvimento das sociedades humanas.
Friedrich Ratzel — Espaço Vital;Estados são comparados a organismos vivos e precisam expandir território para sobreviver e se desenvolver.
Paul Vidal de La Blache — Possibilismo;O meio natural oferece possibilidades, mas não determina a vida humana.
La Blache — Gênero de Vida;Técnicas e hábitos que permitem ao homem adaptar-se ao meio.
Hartshorne — Método Regional;A geografia deve explicar diferenças espaciais e compreender particularidades das regiões, sem buscar leis universais.
Geografia Teorética;"Influenciada pelo behaviorismo; uso de métodos quantitativos, estatísticos e matemáticos para buscar leis gerais e padrões espaciais."
Expoentes da Geografia Teorética;Walter Christaller e Brian Berry.
Geografia Crítica;"Influenciada pelo materialismo histórico e dialético; espaço visto como produto das relações sociais de produção."
Objetivo da Geografia Crítica;Fazer análise crítica do papel do Estado e do capital na produção do espaço.
Expoentes da Geografia Crítica;Milton Santos, Yves Lacoste e David Harvey.
Geografia Humanista;"Influenciada pela fenomenologia e existencialismo; valoriza subjetividade, experiência e percepção humana do espaço."
Topofilia;Laços afetivos entre pessoas e lugares.
Expoentes da Geografia Humanista;Yi-Fu Tuan e Anne Buttimer.
Mackinder — Heartland;Região central da Eurásia considerada a chave do poder mundial.
Mackinder — Frase central;"“Quem controla o Heartland comanda a Ilha Mundial; quem domina a Ilha Mundial comanda o mundo.”"
Mackinder — Objetivo geopolítico;Impedir que uma única potência domine o Heartland.
Haushofer — Pan-regiões;Divisão do mundo em grandes espaços autárquicos liderados por potências dominantes.
Haushofer — Aliança estratégica;Defendia aliança entre Alemanha, Rússia e Japão.
Haushofer — Pan-América;Continente americano sob liderança dos EUA.
Haushofer — Pan-África;Europa, África e Oriente Médio sob liderança alemã.
Haushofer — Pan-Rússia;Rússia, Irã e Índia sob liderança soviética.
Haushofer — Pan-Ásia;China, Coreia, Sudeste Asiático e Oceania sob liderança japonesa.
Alfred Mahan — Poder Marítimo;Controle dos oceanos é essencial para o poder econômico e militar global.
Mahan — Estratégia;Fortalecimento da marinha de guerra, marinha mercante e bases navais estratégicas.
Spykman — Rimland;Região costeira da Eurásia considerada chave para controlar o mundo.
Spykman — Função do Rimland;Zona-tampão entre Heartland e potências marítimas.
Spykman — Estratégia dos EUA;Criar linha de defesa no Rimland para conter a URSS.
;
;
