O que é o MERCOSUL?;Bloco econômico regional sul-americano criado em 1991 para promover integração econômica e livre comércio entre seus membros.
Quais são os principais órgãos do MERCOSUL?;Conselho do Mercado Comum (CMC), Grupo Mercado Comum (GMC), Comissão de Comércio do MERCOSUL (CCM).
Quais países fundaram o MERCOSUL?;Brasil, Argentina, Uruguai e Paraguai.
Qual a principal função do Conselho do Mercado Comum (CMC)?;Fixar os objetivos políticos e econômicos do MERCOSUL.
O que é a CELAC?;Comunidade de Estados Latino-Americanos e Caribenhos, criada para promover a integração regional sem a presença dos EUA e Canadá.
Por que a CELAC é importante para o Brasil?;Retomou relevância com a volta do Brasil e reforça o diálogo político latino-americano.
Quando o Brasil voltou à CELAC?;Em 2023, com presença na Cúpula CELAC-UE em Bruxelas.
O que é a UNASUL?;União de Nações Sul-Americanas, criada para integrar política e infraestrutura da América do Sul.
Quando o Brasil retornou à UNASUL?;Em 2023, com a Cúpula de Presidentes em Brasília.
O que é a OTCA?;Organização do Tratado de Cooperação Amazônica, voltada para o desenvolvimento sustentável da Amazônia.
Quando ocorrerá a Cúpula dos Países Amazônicos sediada pelo Brasil?;Agosto de 2023.
O que é o PROSUL?;Foro político criado em 2019 como alternativa à UNASUL, com foco em cooperação prática.
O PROSUL é tema central para o CACD?;Não, sua cobrança tende a ser periférica ou contextual.
O que é a OEA?;Organização dos Estados Americanos, principal foro político do continente americano.
Por que a OEA é importante para o Brasil?;Participa de temas como democracia, direitos humanos e segurança regional.
O que é o sistema interamericano de direitos humanos?;Conjunto de instituições e normas voltadas à proteção dos direitos humanos nas Américas.
O que é a CPLP?;Comunidade dos Países de Língua Portuguesa, voltada à cooperação entre países lusófonos.
Qual a importância da CPLP para o Brasil?;Reforça laços culturais, diplomáticos e econômicos com países lusófonos.
O que é o Fórum IBAS?;Diálogo trilateral entre Índia, Brasil e África do Sul, voltado à cooperação Sul-Sul.
O que são os BRICS?;Grupo formado por Brasil, Rússia, Índia, China e África do Sul, com foco em reforma da governança global.
Qual a relevância atual do BRICS para o Brasil?;Espaço estratégico para multilateralismo, comércio e financiamento alternativo.
O que é o FOCALAL?;Foro de Cooperação América Latina–Ásia do Leste, com foco em diálogo inter-regional.
O FOCALAL é prioritário no CACD?;Não, tem menor centralidade em relação a outros mecanismos.
O que foi o PICE?;Programa de Integração e Cooperação Econômica criado por Brasil e Argentina em 1986 para promover integração setorial e comercial.
Por que o PICE é importante?;Marca a transição da cooperação para a integração entre Brasil e Argentina.
O que estabeleceu a Ata para a Integração Argentino-Brasileira?;Criou o PICE e firmou protocolos em áreas como trigo, energia e empresas binacionais.
Por que o PICE tinha enfoque setorial?;Para permitir uma integração gradual e evitar assimetrias prejudiciais, especialmente para a Argentina.
O que foi o TICE?;Tratado de Integração, Cooperação e Desenvolvimento assinado em 1988 entre Brasil e Argentina.
Qual era o objetivo do TICE?;Criar um espaço econômico comum entre Brasil e Argentina em até 10 anos.
Quais princípios norteiam o TICE?;Gradualismo, flexibilidade, equilíbrio e simetria.
Por que o TICE foi relevante para o MERCOSUL?;Estabeleceu a base jurídica e institucional para a integração posterior.
O que foi o ACE nº 14?;Acordo que consolidou os 24 protocolos do TICE em um único documento em 1990.
Qual o papel da ALADI no processo?;O PICE e o TICE eram abertos à adesão de países da ALADI, ampliando o escopo do processo.
O que foi a Ata de Buenos Aires de 1990?;Documento que acelerou o processo de integração e estabeleceu prazo para criação do Mercado Comum.
Por que a Ata de Buenos Aires marcou uma mudança?;Abandonou a integração gradual e adotou liberalização rápida, alinhada ao Consenso de Washington.
Qual era o prazo para a criação do Mercado Comum segundo a Ata de Buenos Aires?;Até 31 de dezembro de 1994.
Que órgão foi criado pela Ata de Buenos Aires?;Grupo Mercado Comum (GMC), mantido depois pelo Tratado de Assunção.
Que países se juntaram após a Ata de Buenos Aires?;Uruguai e Paraguai, participando das negociações que levaram ao Tratado de Assunção.
Quando foi assinado o Tratado de Assunção?;Em 26 de março de 1991.
O que são relações em eixo?;Parceria estratégica entre dois países que estruturam a integração regional, como Brasil e Argentina.
Por que a relação Brasil-Argentina é comparada à de Alemanha e França?;Ambas superaram rivalidades históricas e lideraram seus processos de integração regional.
Qual o papel das relações em eixo no MERCOSUL?;Foram a base política e estratégica para a consolidação do bloco.
Quando Brasil e Argentina firmaram aliança estratégica?;Em 1997, elevando o nível de cooperação bilateral.
Quais são os valores fundacionais do MERCOSUL?;Livre comércio, democracia e, em menor grau, direitos humanos.
Qual a importância do setor automotivo na integração?;Representa um exemplo de complementaridade econômica entre Brasil e Argentina.
Qual a importância do Tratado de Tlatelolco para a integração?;Reforçou a confiança mútua ao estabelecer zona livre de armas nucleares na América Latina.
O que foi a COBEN?;Comissão Bilateral de Energia Nuclear criada por Brasil e Argentina como instrumento de confiança mútua.
