tiempo;tempo
hombre;homem
camino;caminho
gente;pessoas
vida;vida
día;dia
trabajo;trabalho
llamada;chamada
noche;noite
hogar;lar
pensamiento;pensamento
dinero;dinheiro
nombre;nome
padre;pai
chico;rapaz
lugar;lugar
sentimiento;sentimento
chica;garota
casa;casa
izquierda;esquerda
derecha;direita
madre;mãe
curso;curso
papá;papai
mundo;mundo
hijo;filho
coche / auto;carro
mujer;mulher
amigo / amiga;amigo / amiga
mente;mente
cabeza;cabeça
mamá;mamãe
niño;menino
bebé;bebê
familia;família
habitación;quarto
hermano;irmão
idea;ideia
esposa;esposa
inicio;início
puerta;porta
pedazo;pedaço
materia;matéria
carrera;corrida
escuela;escola
juego;jogo
problema;problema
fin;fim
teléfono;telefone
esperanza;esperança
excusa;desculpa
cara;cara
turno;turno
policía;polícia
corazón;coração
preocupación;preocupação
negocio;negócio
reloj;relógio
año;ano
mano;mão
médico;médico
sentada;sentada
segundo;segundo
niño / niña;criança
pago;pagamento
agua;água
muerte;morte
cosas;coisas
minuto;minuto
parte;parte
persona;pessoa
bebida;bebida
cambio;mudança
golpe;golpe
cheque;cheque
música;música
interior;interior
sueño;sono
mío / mía;meu / minha
acuerdo;acordo
punto;ponto
cuerpo;corpo
querido / querida;querido / querida
oportunidad;oportunidade
cierre;fechamento
fiesta;festa
hija;filha
palabra;palavra
diversión;diversão
número;número
historia;história
conjunto;conjunto
deseo;desejo
esposo;esposo
fuego;fogo
pelea;briga
descanso;descanso
momento;momento
semana;semana
soporte;suporte
juego;jogo
corte;corte
hermana;irmã
niño / niña;criança
lado;lado
sangre;sangue
verdad;verdade
dama;dama
disparo;tiro
guerra;guerra
ruptura;ruptura
paseo;passeio
razón;razão
problema;problema
ciudad;cidade
pueblo;vila / povoado
confianza;confiança
pregunta;pergunta
oficina;escritório
mitad;metade
bienvenida;boas-vindas
pareja;casal
prisa;pressa
cariño;querido / amor
poder;poder
cama;cama
frente;frente
respuesta;resposta
pistola;pistola
línea;linha
equipo;equipe
noticias;notícias
capitán;capitão
odio;ódio
perro;cachorro
comida;comida
luz;luz
orden;ordem
país;país
elección;escolha
hecho;fato
negro;preto
jefe;chefe
causa;causa
cena;jantar
promesa;promessa
plan;plano
tipo;tipo
libro;livro
hora;hora
tío;tio
caja fuerte / seguro;cofre / seguro
disparo;disparo
toque;toque
empresa;empresa
pasado;passado
perra;cadela
sonido;som
pelo;cabelo
ser humano;ser humano
conducción;condução
suerte;sorte
cima;topo
victoria;vitória
control;controle
frío;frio
aire;ar
maestro;mestre
baile;dança
sexo;sexo
otros;outros
hospital;hospital
calle;rua
asesinato;assassinato
mentira;mentira
sueño;sonho
captura;captura
dulce / dulzura;doce / doçura
sentido;sentido
apuesta;aposta
voz;voz
señal;sinal
silencio;silêncio
latido;batida
regreso;retorno
café;café
cita;encontro / cita
tirón;puxão
secreto;segredo
culpa;culpa
caída;queda
canción;canção
calma;calma
camino;caminho
gota;gota
futuro;futuro
lanzamiento;lançamento
;
;
paso;passo
pieza;peça
imagen;imagem
tierra;terra
maravilla;maravilha
valor;valor
presidente;presidente
ojo;olho
tipo;cara (gíria) / tipo
estado;estado
figura;figura
acto;ato
ley;lei
beso;beijo
obras;obras
informe;informe
dolor;dor
pase;passe
despertar;despertar
general;general
barco;navio / barco
elección;escolha
clase;classe
oficial;oficial
error;erro
jefe;chefe
edad;idade
boca;boca
finalización;finalização
ropa;roupa
paseo;passeio
cumpleaños;aniversário
oscuridad;escuridão
sistema;sistema
película;filme
tribunal;tribunal
película;filme
mes;mês
uso;uso
tren;trem
hotel;hotel
evidencia;evidência
seguridad;segurança
información;informação
bolsa;bolsa
ataque;ataque
ronda;ronda
azul;azul
estación;estação
mesa;mesa
mensaje;mensagem
historia;história
tonto / tonta;tolo / tola
amigo / amiga;amigo / amiga
suelo;chão
sol;sol
mango;cabo
ejército;exército
matrimonio;casamento
carta;carta
atención;atenção
paz;paz
situación;situação
medio;meio
roca;rocha
prueba;prova
liderazgo;liderança
club;clube
miedo;medo
regalo;presente
idiota;idiota
caja;caixa
pelota;bola
grupo;grupo
barco;barco
conteo;contagem
bastardo;bastardo
crimen;crime
llave;chave
fuerza;força
caballo;cavalo
almuerzo;almoço
americano / americana;americano / americana
papel;papel
cargo;cargo / encargo
sorpresa;surpresa
espacio;espaço
caída;queda
honor;honra
accidente;acidente
pez;peixe
bar;bar
suelo;solo
gobierno;governo
banco;banco
cubierta;cobertura / tampa
mayor;major
escondite;esconderijo
palo;pau / vara
mar;mar
té;chá
área;área
vestido;vestido
servicio;serviço
viaje;viagem
radio;rádio
golpe;golpe
estrella;estrela
récord;recorde
oferta;oferta
prisión;prisão
alma;alma
lista;lista
oro;ouro
tarde;tarde
agente;agente
detective;detetive
arreglo;conserto / arranjo
respeto;respeito
público;público
novia;namorada
borracho;bêbado
cerebro;cérebro
célula;célula
