Assembleia Nacional Constituinte (1789–1791);Queda da Bastilha, Grande Medo, fim dos privilégios feudais, Declaração dos Direitos do Homem, Constituição Civil do Clero
Monarquia Constitucional (1791–1792);Constituição de 1791, limitação do rei, voto censitário, separação dos poderes
Convenção Nacional (1792–1795);República, disputa girondinos × jacobinos, Constituição de 1793, sufrágio universal masculino
Período do Terror (1793–1794);Robespierre, Comitê de Salvação Pública, execuções em massa, repressão interna
Reação Termidoriana (1794);Queda dos jacobinos, fim do Terror, ascensão girondina, início da guilhotina política dos líderes jacobinos
Diretório (1795–1799);Constituição de 1795, 5 diretores, voto censitário, instabilidade política, Conspiração dos Iguais
Golpe do 18 Brumário (1799);Fim do Diretório, ascensão de Napoleão, início do Consulado
;
;
;
;
;
Consulado (1799–1804);Napoleão como Primeiro Cônsul, centralização do poder, Banco da França, Código Civil, Concordata
Império (1804–1814);Napoleão imperador, expansão territorial, guerras napoleônicas, Bloqueio Continental
Bloqueio Continental (1806);Tentativa de enfraquecer a Inglaterra proibindo comércio europeu com britânicos
Derrota de Napoleão;Rússia (1812), Leipzig, Paris, abdicação em Fontainebleau, Waterloo
Independência do Haiti;Revolução bem-sucedida de escravizados contra domínio francês
Venda da Louisiana;Transferência territorial da França para os EUA
;
;
;
;
;
Princípio da Legitimidade;Restauração das monarquias pré-revolucionárias
Princípio do Equilíbrio;Evitar hegemonia europeia
Princípio das Compensações;Redistribuição territorial entre potências
Santa Aliança;Rússia, Áustria e Prússia contra revoluções
Sistema de Congressos;Reuniões diplomáticas para manter a ordem europeia
;
;
;
;
;
Invasão napoleônica;Colapso da autoridade espanhola
Crise da monarquia;Desorganização do império espanhol
Conflito criollos × peninsulares;Exclusão política das elites americanas
Reformas bourbônicas;Centralização e aumento de impostos
Ideias iluministas;Inspiração liberal e republicana
Restrições comerciais;Monopólios e controle metropolitano
;
Simón Bolívar;"Liderou independências na Venezuela, Colômbia, Equador, Peru e Bolívia; criou a Grã-Colômbia"
Bolívar (ideia política);Executivo forte e centralizado para evitar fragmentação
José de San Martín;"Liderou Argentina, Chile e Peru; Exército dos Andes"
San Martín (ideia política);Favorável à monarquia constitucional e estabilidade institucional
Bernardo O’Higgins;Líder da independência chilena e Diretor Supremo (1818–1823)
O’Higgins (ideia política);República com Executivo forte e reformas liberais
;
;
;
;
;
Independência do Chile;Consolidada em 1818 na Batalha de Maipú
O’Higgins no poder;Diretor Supremo e reformas institucionais
Constituições de 1818 e 1822;Organização do Estado chileno inicial
Período 1823–1830;Conflitos entre liberais e conservadores
Constituição de 1833;Estabilidade política e consolidação institucional
;
;
;
;
;
Revolução de Maio (1810);Fim do vice-reinado e início da autonomia
Congresso de Tucumán (1816);Independência formal das Províncias Unidas
Federais;Autonomia provincial e descentralização
Unitários;Centralização política em Buenos Aires
Conflito político;Instabilidade e guerras civis internas
;
;
;
;
;
Grito de Dolores (1810);Início da independência liderado por Hidalgo
José Morelos;Continuidade do movimento independentista
Plano de Iguala (1821);Independência, união e catolicismo oficial
Agustín de Iturbide;Primeiro imperador mexicano (1822–1823)
Constituição de 1824;República federal com instabilidade política
;
;
;
;
;
Zollverein (1834);União aduaneira liderada pela Prússia
Assembleia de Frankfurt (1848);Tentativa liberal de unificação fracassada
Pequena vs Grande Alemanha;Disputa entre incluir ou excluir a Áustria
Otto von Bismarck;Liderança da unificação pela Realpolitik
Guerra dos Ducados (1864);Prússia e Áustria contra a Dinamarca
Guerra Austro-Prussiana (1866);Vitória prussiana e criação da Confederação do Norte
Guerra Franco-Prussiana (1870–71);Unificação alemã e derrota francesa
Tratado de Frankfurt (1871);Anexação da Alsácia-Lorena e consolidação do Império Alemão
Proclamação do Império Alemão;Versalhes, 1871
;
;
Risorgimento;Movimento nacionalista italiano de unificação
Situação pré-unificação;Fragmentação política sob Áustria, França e Estados Pontifícios
Mazzini (Jovem Itália);Projeto republicano, unitário e laico
Cavour;Unificação moderada sob monarquia do Piemonte-Sardenha
1ª Guerra contra Áustria (1848–49);Derrota do Piemonte e abdicação de Carlos Alberto
2ª Guerra contra Áustria (1859);"Aliança Piemonte–França; ganhos territoriais ao norte"
Garibaldi;"Expedição dos Camisas Vermelhas; conquista do sul"
Reino da Itália (1861);Unificação parcial sob Vittorio Emanuele II
Vêneto (1866);Anexado após guerra austro-prussiana
Roma (1870);"Anexação após retirada francesa; capital da Itália"
Questão Romana;Conflito entre Estado italiano e papado até 1929
;
;
;
;
;
Base ideológica;Darwinismo social e superioridade europeia
África do Sul;Colonização britânica e conflito com bôeres
Grande Trek;Migração bôer e criação de Orange e Transvaal
Guerra dos Bôeres (1899–1902);Conflito entre britânicos e bôeres por ouro e diamantes
China (Ópio);Abertura forçada do mercado chinês pela Grã-Bretanha
Tratado de Nanquim (1842);Hong Kong cedida e abertura de portos chineses
Segunda Guerra do Ópio;Ampliação da presença franco-britânica na China
Egito;Controle europeu e construção do Canal de Suez
Ocupação do Egito (1882);Domínio britânico estratégico no Oriente Médio
Índia;Domínio britânico via Companhia das Índias Orientais
Revolta dos Cipaios (1857);Levante contra exploração e domínio britânico
Raj Britânico;Governo direto da Coroa britânica na Índia
Japão (Perry);Abertura forçada ao comércio ocidental
Tratado de Kanagawa (1854);Abertura de portos japoneses aos EUA
Restauração Meiji;Modernização e industrialização do Japão
Japão imperial;Expansão sobre China e Rússia (1894–1905)
;
;
;
;
;
Conferência de Berlim;Divisão da África entre potências europeias
Princípio da ocupação efetiva;Só vale posse com controle real do território
Livre navegação;Garantia de comércio no Congo
Estado Livre do Congo;Controle pessoal de Leopoldo II
Proibição de tráfico;Restrição formal da escravidão africana
Mapa cor-de-rosa;Projeto português Angola–Moçambique barrado pela Inglaterra
;
;
;
;
;
Primeira Guerra do Ópio;Abertura forçada da China ao comércio britânico
Tratado de Nanquim;Cessão de Hong Kong e abertura de portos
Tratados desiguais;Perda de soberania econômica chinesa
Rebelião Taiping;Guerra civil contra a dinastia Qing
Hong Xiuquan;Líder do Reino Celestial Taiping
Objetivos Taiping;Reforma agrária, anti-confucionismo e cristianismo heterodoxo
Queda dos Taiping;Repressão por exércitos provinciais e reconquista Qing
;
;
;
;
;
Base política;Nacionalismo e fragmentação regional
Estratégia principal;Diplomacia (Cavour) + ação militar + voluntariado (Garibaldi)
Resultado;Estado nacional unificado sob monarquia
Problema estrutural;Desigualdade Norte–Sul
Conflito persistente;Questão Romana
;
;
;
Romantismo;Emoção, individualismo, natureza, passado idealizado
Realismo;Objetividade, crítica social, vida cotidiana
Impressionismo;Luz, cor, instante visual, pinceladas rápidas
Simbolismo;Subjetividade, símbolos, sonhos, espiritualidade
Cubismo;Formas geométricas, múltiplas perspectivas
Expressionismo;Emoção intensa, distorção, angústia humana
Surrealismo;Sonhos, inconsciente, imagens irracionais
Dadaísmo;Absurdo, antiarte, negação de valores tradicionais
;
;
Antecedentes;Imperialismo, nacionalismos, rivalidades e alianças rígidas
Tríplice Entente;França, Reino Unido e Rússia
Tríplice Aliança;Alemanha, Áustria-Hungria e Itália
Estopim;Assassinato do arquiduque Francisco Ferdinando
Plano Schlieffen;Invasão rápida da França pela Bélgica
Guerra de trincheiras;Conflito estático na Frente Ocidental
Entrada dos EUA;1917, reforço aos Aliados
Revolução Russa;Saída da Rússia da guerra
Fim dos impérios;Colapso austro-húngaro, russo, otomano e alemão
Tratado de Versalhes;Punições à Alemanha e criação da Liga das Nações
Saint-Germain;Dissolução do Império Austro-Húngaro
Neuilly;Punições à Bulgária
Trianon;Redução da Hungria
Sèvres / Lausanne;Fim do Império Otomano e formação da Turquia moderna
Consequências gerais;Reordenação da Europa e enfraquecimento europeu global
;
Teerã (1943);Coordenação militar e abertura do segundo фронт na França
Dumbarton Oaks (1944);Esboço da ONU e ordem internacional pós-guerra
Bretton Woods (1944);Sistema financeiro internacional, FMI e Banco Mundial
Ialta (1945);Divisão de zonas de influência na Europa e organização do pós-guerra
Potsdam (1945);Divisão da Alemanha e ajustes territoriais finais
São Francisco (1945);Criação oficial da ONU e assinatura da Carta das Nações Unidas
;
;
;
;
;
Fase clássica;Polarização EUA x URSS e formação dos blocos
Doutrina Truman;Contenção do comunismo pelos EUA
Plano Marshall;Ajuda econômica à reconstrução europeia
Comecon;Integração econômica do bloco soviético
OTAN / Pacto de Varsóvia;Alianças militares rivais
Crise de Berlim;Bloqueio e divisão da Alemanha
Guerra da Coreia;Primeiro conflito armado indireto
Coexistência pacífica;Redução parcial das tensões
Crise dos mísseis de Cuba;Maior tensão nuclear da Guerra Fria
Détente;Período de distensão e acordos de limitação nuclear
SALT I e II;Limitação de armas estratégicas
Invasão do Afeganistão;Recrudescimento das tensões
Perestroika e Glasnost;Reformas de Gorbachev
Queda do Muro de Berlim;Símbolo do fim da Guerra Fria
;
Tratado de Paris (1783);Independência e definição inicial das fronteiras
Marcha para o Oeste;Expansão territorial após a independência
Destino Manifesto;Ideia de expansão continental dos EUA
Compra da Louisiana (1803);Aquisição de território da França
Tratado de Adams-Onís (1819);Incorporação da Flórida
Corolário Polk (1845);Expansão e anexações nas Américas
Anexação do Texas (1845);Incorporação após independência do Texas
Guerra Mexicano-Americana;Conquista de territórios do México
Anexação da Califórnia (1848);Resultado da guerra com o México
Tratado do Oregon (1846);Divisão territorial com o Reino Unido
Homestead Act (1862);Distribuição de terras no Oeste
;
;
;
;
;
Andrew Jackson;Presidente populista (1829–1837)
Lei de Remoção dos Índios;Expulsão forçada para o Oeste
Trilha das Lágrimas;Deslocamento indígena forçado
Oposição aos bancos;Enfraquecimento do Banco Nacional
Vetos de Jackson;Ataque ao poder financeiro central
Expansão do voto;Ampliação da participação política masculina branca
Doutrina da Anulação;Contestação de leis federais pelos estados
;
;
;
;
;
Crash da Bolsa (1929);Início da Grande Depressão
Superprodução;Excesso de oferta industrial e agrícola
Especulação;Compra de ações a crédito
Hoover;Presidente de resposta limitada inicial
Smoot–Hawley (1930);Tarifas protecionistas elevadas
Reconstruction Finance Corporation;Crédito emergencial a bancos e empresas
New Deal;Política intervencionista de Roosevelt
;
;
;
;
;
First New Deal;Recuperação econômica e empregos imediatos
Emergency Banking Act;Reorganização do sistema bancário
Glass-Steagall Act;Separação entre bancos comerciais e de investimento
CCC;Empregos em conservação ambiental
AAA;Controle da produção agrícola
Second New Deal;Reformas sociais estruturais
Wagner Act;Direito de sindicalização
Social Security Act;Previdência e assistência social
Federal Reserve reformado;Maior regulação bancária
Seguro agrícola;Proteção contra perdas na produção
