ropósito das teorias de RI;Identificar relações de causa e efeito para explicar conflitos e cooperação
Raymond Aron;Questiona a possibilidade de uma teoria científica rigorosa em RI
Dois sentidos de “teoria” segundo Aron;Filosófico e científico
Teoria filosófica;Distante da aplicação prática
Teoria científica;Baseada em observação empírica e dados quantitativos
Economia política segundo Aron;Avançou mais em formulações hipotético-dedutivas
Crítica de Aron às teorias;Não devem gerar doutrinas automáticas de ação
Condição para teoria em RI;Delimitação clara do objeto de estudo
Relação teoria-prática;O progresso ocorre pela interação entre ambas
Situações fictícias ideais;Servem como referência analítica
Estatística nas RI;Auxilia, mas não basta devido à imprevisibilidade
Teoria como fundamento exclusivo da ação;Aron rejeita essa ideia
Sistema internacional;Caracterizado pela anarquia
Ausência de soberano central;Elemento central das RI
Hegemonia estatal;Pode garantir ordem sem eliminar a anarquia
Cooperação entre Estados;Surge pela ausência de monopólio legítimo da força
Interesse nacional segundo Aron;Pode ser apenas conceitualização, não teoria
Limitação das teorias em RI;Impossibilidade de separar variáveis endógenas e exógenas
História nas RI;Deve ser contextualizada, não apenas narrada
Previsão de conflitos;Pode ser frustrante e perigosa
Teoria rígida;Tende à abstração excessiva e ineficácia
Kenneth Waltz;Defende que teorias simplificam a realidade
Função das teorias segundo Waltz;Explicar aspectos centrais sem abarcar tudo
Risco de teorias causais rígidas;Produção de estereótipos comportamentais
Imprevisibilidade humana;Impede prescrições exatas em RI
Origem da disciplina de RI;Busca compreender as causas da Primeira Guerra Mundial
Primeira cátedra de RI;Universidade de University of Aberystwyth em 1919
Influências clássicas das RI;Tucídides, Maquiavel, Kant, Rousseau e Hobbes
Expansão das RI;Relacionada à ascensão dos EUA após a Primeira Guerra
Idealismo Wilsoniano;Baseado no racionalismo, democracia e opinião pública
Influências do idealismo;Rousseau e Kant
Democracias republicanas;Tendem a evitar guerras
Liga das Nações;Criada em 1919 com inspiração liberal
Base filosófica da Liga;Liberalismo político e contrato social de Locke
Objetivo das leis internacionais;Garantir a paz
Falha do idealismo em 1931;Invasão japonesa da Manchúria
Crise de 1929 e idealismo;Incapacidade de conter protecionismo e tensões
Edward Carr;Principal crítico do idealismo
Obra de Edward Carr;The Twenty Years' Crisis
Harmonia de interesses segundo Carr;Considerada inviável
Ética e política segundo Carr;A ética não se sobrepõe ao poder
Moral segundo Carr;Produto do poder
Influência filosófica de Carr;Maquiavel
Segunda Guerra Mundial;Demonstrou a falência do idealismo
Origem da crítica realista;Reforço da visão anárquica do sistema internacional
Realismo político;Valoriza poder e interesse nacional
ONU e realismo;Reflete desigualdade de poder entre Estados
Conselho de Segurança da ONU;Possui membros permanentes com veto
Realismo Clássico;Corrente tradicional do realismo
Escola Inglesa;Corrente intermediária entre realismo e liberalismo
Neorrealismo;Também chamado de realismo estrutural
Realismo Neoclássico;Integra fatores domésticos e sistêmicos
;
;
Ator central no Realismo;Estado
Função principal do Estado;Garantir paz interna e segurança externa
Metáfora da “bola de bilhar”;Relações externas importam mais que dinâmicas internas
Sistema internacional segundo o Realismo;Anárquico
Anarquia internacional;Ausência de autoridade central reguladora
Cooperação entre Estados;Ocorre quando o benefício conjunto supera a ação individual
Meta principal do Estado;Sobrevivência
Prioridades do Estado;Paz interna e segurança externa
Ética da responsabilidade;Decisões guiadas pelas consequências práticas
Ética da convicção;Baseada em princípios morais abstratos
Busca permanente dos Estados;Acúmulo de poder
Função do poder no Realismo;Garantir sobrevivência e interesses nacionais
Balança de poder;Equilíbrio obtido por alianças estratégicas
Autoajuda;Estados devem garantir sua própria segurança
Fragilidade das alianças;Dependem da conjuntura política
Autodefesa;Essencial em um sistema internacional inseguro
Principal obra do Realismo;Politics Among Nations
Autor de “A Política entre as Nações”;Hans Morgenthau
Ano de publicação de “Politics Among Nations”;1948
Fundamento do Realismo;Política entendida como luta pelo poder
Primeiro princípio de Morgenthau;Existência de leis objetivas da política
Base das leis políticas;Natureza humana
Razão segundo Morgenthau;Análise racional da política
Opinião segundo Morgenthau;Julgamento subjetivo
Adaptação da teoria política;Deve considerar realidades históricas distintas
Segundo princípio de Morgenthau;Interesse definido em termos de poder
Interesse político;Ferramenta para compreender a realidade internacional
Política externa racional;Baseada em racionalidade e experiência prática
Crítica de Morgenthau à demonização;Líderes não devem ser reduzidos a julgamentos morais
Terceiro princípio de Morgenthau;Interesse é objetivo, mas não fixo
Política segundo Morgenthau;Ditada por relações de interesse
Interesse político e contexto;Variam conforme fatores históricos e culturais
Quarto princípio de Morgenthau;Moralidade guiada pela prudência
Moral universal no Realismo;Não pode ser aplicada abstratamente
Prudência política;Avaliação das consequências das ações
Quinto princípio de Morgenthau;Rejeição da moral nacional como universal
Dogmatismo político;Rejeitado pelo Realismo
Compreensão dos interesses alheios;Necessária para evitar erros políticos
Sexto princípio de Morgenthau;Autonomia da política
Política e religião;Devem ser analisadas separadamente
Economia e direito no Realismo;Influenciam o interesse político
Política internacional segundo o Realismo;Não se reduz a regras e instituições legais
Relações de causa e efeito em RI;Difíceis de estabelecer permanentemente
Alianças internacionais;Mutáveis e guiadas pelo interesse estatal
Leis científicas em RI;Impossíveis de prever completamente o comportamento estatal
Função da história no Realismo;Identificar tendências e orientar decisões
Leviatã de Hobbes;Ausente no sistema internacional
Anarquia segundo o Realismo;Principal causa da disputa pelo poder
Visão idealista da anarquia;Pode ser corrigida pela cooperação internacional
Visão realista da anarquia;Torna os conflitos inevitáveis
Idealismo em RI;Valoriza cooperação e instituições
Realismo em RI;Valoriza poder e interesse nacional
Aproximação do Realismo;Visão sistêmica das Relações Internacionais
;
Obra central de Morgenthau;Politics Among Nations
Hans Morgenthau;Hans Morgenthau
Objetivo teórico de Morgenthau;Prever e evitar conflitos internacionais
Contexto da Guerra Fria;Conflito bipolar entre EUA e URSS
Guerra Fria e alianças;Moldou alianças e políticas externas
Corrida armamentista;Intensificou tensões e insegurança
Militarização dos aliados;Produziu efeito cascata na segurança regional
John Herz;John Herz
Obra de John Herz (1950);“Idealist Internationalism and the Security Dilemma”
Dilema da segurança;Busca por segurança gera insegurança nos rivais
Lógica do dilema da segurança;Estados ampliam armamentos para se proteger
Consequência do dilema da segurança;Espiral de corrida armamentista
Behaviorismo em RI;Uso de métodos quantitativos e estatísticos
Objetivo do behaviorismo;Buscar previsibilidade nas relações internacionais
Crítica behaviorista;Rejeição do método histórico-sociológico tradicional
Correlates of War (COW);Projeto de coleta e análise de dados sobre guerras
Ano de criação do COW;1963
Martin Wight;Martin Wight
Escola Inglesa;Corrente que valoriza filosofia política e história
Crítica de Martin Wight;Rejeição do behaviorismo
Três paradigmas segundo Wight;Realismo, racionalismo e revolucionismo
Realismo segundo Wight;Sistema anárquico baseado em soberania e autoajuda
Racionalismo segundo Wight;Cooperação via Direito Internacional
Revolucionismo segundo Wight;Busca de uma única civilização humana
Hedley Bull;Hedley Bull
Obra principal de Hedley Bull;The Anarchical Society
Sociedade Anárquica;Ordem internacional baseada em regras e diplomacia
Posição de Bull;Racionalismo intermediário entre realismo e idealismo
Crítica de Bull ao Realismo hobbesiano;Ignora a cooperação jurídica entre Estados
Doutrina hobbesiana;Guerra permanente e estado de natureza
Doutrina contratualista;Possibilidade de contrato social interestatal
Doutrina intermediária de Bull;Ordem baseada em regras diplomáticas
Diplomacia segundo Bull;Elemento essencial da ordem internacional
Comércio internacional segundo Bull;Instrumento de estabilidade sistêmica
Direito Internacional segundo Bull;Regula relações sem eliminar a anarquia
Contexto do surgimento do Neorrealismo;Transformações internacionais nos anos 1970
Reconstrução econômica europeia;Enfraqueceu explicações do Realismo Clássico
Entrada do Reino Unido na CEE;1973
Crescimento do Japão;Descentralização da produção industrial
Avanços tecnológicos;Facilitaram comunicação e transporte globais
Crise do Petróleo de 1973;Intensificou críticas ao estadocentrismo
Détente;Relaxamento das tensões entre EUA e URSS
Détente e Realismo;Questionou a centralidade da disputa pelo poder
Principal autor do Neorrealismo;Kenneth Waltz
Obra central do Neorrealismo;Theory of International Politics
Neorrealismo;Também chamado de Realismo Estrutural
Revisão feita pelo Neorrealismo;Inclusão da estrutura internacional como variável central
Estrutura internacional;Condiciona escolhas dos Estados
Sistema internacional no Neorrealismo;Anárquico
Autoajuda no Neorrealismo;Estados dependem de si próprios para sobreviver
Poder no Neorrealismo;Meio para garantir segurança
Estados no Neorrealismo;Unidades autônomas e funcionalmente semelhantes
Diferença central entre Morgenthau e Waltz;Origem da luta pelo poder
Morgenthau sobre poder;Decorre da natureza humana
Waltz sobre poder;Decorre da estrutura anárquica
Anarquia no Realismo Clássico;Condição geral do sistema
Anarquia no Neorrealismo;Estrutura determinante das interações
Estados no Realismo Clássico;Diferentes entre si
Estados no Neorrealismo;Iguais funcionalmente
Crítica neorrealista a Morgenthau;Ignora fatores sociais e econômicos
Limitação do Realismo Clássico;Não explica toda a complexidade internacional
Segurança no Neorrealismo;Principal preocupação estatal
Estrutura internacional segundo Waltz;Define limites e oportunidades dos Estados
;
;
Objetivo do Neorrealismo;Tornar a teoria de RI mais analítica e estruturada
Limite do Neorrealismo;Não pretende explicar toda a dinâmica internacional
Função do Neorrealismo;Oferecer modelo útil de análise
Liberalismo nas RI;Uma das principais matrizes teóricas da disciplina
Principal debate em RI;Realismo versus Liberalismo
Objetivo do Liberalismo;Reduzir conflitos gerados pela anarquia internacional
Ponto comum entre liberais e realistas;Reconhecimento da anarquia e soberania estatal
Autoajuda para os realistas;Inevitável
Cooperação para os realistas;Vista com ceticismo
Visão liberal da sociedade internacional;Possibilidade de cooperação harmônica
Autoajuda para os liberais;Não é inevitável
Funcionalismo;Cooperação internacional em setores técnicos e econômicos
Neofuncionalismo;Amplia o funcionalismo para dimensões políticas e sociais
Interdependência Complexa;Destaca interdependência econômica e institucional
Método analítico liberal;Empirismo e behaviorismo
Objetivo do método liberal;Reduzir a autoajuda
Primeiro mecanismo liberal de cooperação;Livre-comércio
Livre-comércio e estabilidade;Comércio desestimula guerras
Liberalismo e mercantilismo;Liberalismo critica mercantilismo
Liberalismo e guerras de conquista;Consideradas prejudiciais ao comércio
Segundo mecanismo liberal de cooperação;Democracia
Base filosófica da paz democrática;Perpetual Peace
Democracias segundo os liberais;Tendem a ser mais pacíficas
Papel da opinião pública;Desestimular conflitos
Crítica à paz democrática;Democracias também praticaram imperialismo
Terceiro mecanismo liberal de cooperação;Instituições internacionais
Inspiração jurídica liberal;Hugo Grotius
Objetivo das instituições internacionais;Transparência e cooperação
Instituições internacionais e anarquia;Reduzem desconfiança sem eliminar soberania
Liberalismo e governo supranacional;Não defendem necessariamente um governo mundial
Base histórica do Liberalismo moderno;14 Pontos de Woodrow Wilson
Ano dos 14 Pontos;1918
Liga das Nações;Fracasso enfraqueceu o Liberalismo clássico
Guerra Fria e Liberalismo;Realismo tornou-se dominante
