Relações Internacionais (disciplina);Campo multidisciplinar que estuda as interações entre atores além das fronteiras estatais.
Relações internacionais (fenômeno);Interações transfronteiriças entre Estados e outros atores.
Tucídides;Autor grego considerado precursor da reflexão sobre guerra e relações entre unidades políticas.
Sun Tzu;Pensador chinês que teorizou sobre estratégia militar e guerra.
Cautília (Kautilya);Autor indiano que analisou poder, conquista e relações entre reinos.
Universidade de Aberystwyth (1919);Local da primeira cátedra de Política Internacional, marco institucional das RI modernas.
Estado;Unidade básica de análise das teorias clássicas das Relações Internacionais.
Convenção de Montevidéu (1933);Instrumento que definiu critérios clássicos de estatalidade.
População permanente;Primeiro requisito para caracterização de um Estado segundo Montevidéu.
Território definido;Segundo requisito para caracterização de um Estado segundo Montevidéu.
Governo;Terceiro requisito para caracterização de um Estado segundo Montevidéu.
Capacidade de relacionar-se com outros Estados;Quarto requisito para caracterização de um Estado segundo Montevidéu.
Paz de Vestfália (1648);Marco associado ao surgimento do sistema moderno de Estados soberanos.
Soberania interna;Exercício das funções de governo sobre um território.
Soberania externa;Relação entre Estados em condição formal de igualdade e independência.
Estado moderno;Forma política baseada na soberania estatal e distinção entre público e privado.
John Locke;Filósofo liberal que defendeu o consentimento político e criticou o absolutismo.
Dois Tratados sobre o Governo Civil (1689);Obra de Locke que fundamenta o liberalismo político.
Finalidade principal do Estado para Locke;Preservação da propriedade.
Montesquieu;Autor da teoria da separação dos poderes.
Do Espírito das Leis (1748);Obra em que Montesquieu desenvolveu a separação dos poderes.
Poder Legislativo;Responsável pela elaboração das leis.
Poder Executivo;Responsável pela execução das leis.
Poder Judiciário;Responsável pelo controle e aplicação das leis.
Anarquia internacional;Ausência de autoridade supranacional acima dos Estados.
Hierarquia;Princípio ordenador interno dos Estados.
Ator internacional;Ente que participa das relações internacionais.
Estado (como ator);Principal ator para as teorias clássicas das RI.
Governança;Sistema multilateral de debate e tomada de decisões sobre temas internacionais.
Governança global;Coordenação multilateral de temas de interesse comum mundial.
Reforma da governança global;Mudança das instituições e processos decisórios internacionais para torná-los mais representativos e eficazes.
BRICS;Grupo que defende reformas na governança econômica e política global.
Hegemonia;Situação em que um Estado exerce liderança predominante sobre os demais.
Potência hegemônica;Estado que ocupa posição de liderança no sistema internacional.
Teoria da Estabilidade Hegemônica;Teoria segundo a qual a estabilidade internacional é favorecida pela existência de um hegemon.
Charles Kindleberger;Autor que associou a crise entreguerras à ausência de uma potência hegemônica.
The World in Depression (1973);Obra de Kindleberger sobre a estabilidade hegemônica.
John Mearsheimer;Autor neorrealista que relaciona hegemonia à estabilidade internacional.
The Tragedy of Great Power Politics (2001);Obra de Mearsheimer sobre competição entre grandes potências.
Instituição;Conjunto de regras e padrões que moldam comportamentos e expectativas.
Robert Keohane;Autor que definiu instituições como estruturas que moldam comportamentos.
Multilateralismo;Relações entre três ou mais Estados baseadas em princípios compartilhados.
Bilateralismo;Relações entre dois Estados.
Unilateralismo;Ação tomada por um Estado sem coordenação com outros.
Multilateralismo normativo;Produção de normas internacionais por meio de tratados e convenções.
Organização internacional;Entidade criada por tratado constitutivo entre Estados ou outros sujeitos internacionais.
ONU;Exemplo de organização internacional universal.
OMC;Organização internacional voltada para o comércio internacional.
BRICS;Foro informal de cooperação, não uma organização internacional.
CELAC;Foro político-diplomático informal, sem tratado constitutivo.
G20;Foro de cooperação econômica internacional.
Regime internacional;Conjunto de princípios, normas, regras e procedimentos em determinada área temática.
Stephen Krasner;Autor da definição clássica de regime internacional.
Regime de não proliferação nuclear;Conjunto de normas, tratados e instituições voltados a limitar a disseminação de armas nucleares.
Regime internacional de mudança do clima;Conjunto de instrumentos e instituições voltados ao enfrentamento das mudanças climáticas.
Sistema internacional;Ambiente de interação entre Estados e outros atores.
Sistema internacional unipolar;Sistema organizado em torno de um único centro de poder.
Sistema internacional bipolar;Sistema organizado em torno de dois polos de poder.
Sistema internacional multipolar;Sistema organizado em torno de múltiplos polos de poder.
Soberania;Autoridade político-jurídica exercida pelo Estado sobre determinado território.
Dimensão positiva da soberania;Exercício interno da autoridade estatal.
Dimensão negativa da soberania;Independência externa perante outros Estados.
UNESCO;Organização internacional da qual a Palestina é membro.
Palestina;Exemplo de Estado com reconhecimento internacional parcial.
UNFCCC;Convenção-Quadro das Nações Unidas sobre Mudança do Clima.
COPs;Conferências das Partes da UNFCCC, integrantes da governança climática global.
Reconhecimento de Estado;Ato pelo qual outros Estados aceitam determinada entidade como Estado.
Monopólio do uso legítimo da força;Característica central do Estado moderno.
Absolutismo;Sistema político baseado na concentração de poder no monarca.
Liberalismo político;Doutrina que enfatiza liberdade individual, consentimento político e limitação do poder estatal.
Estado-nação;Forma de organização política baseada na soberania nacional e distinção entre público e privado.
Teoria das Relações Internacionais;Conjunto de modelos explicativos para compreender fenômenos internacionais.
;
;
Ontologia;Ramo da Filosofia que estuda a natureza da realidade e do objeto de estudo de uma teoria.
Ontologia em RI;Concepção sobre quais atores, fenômenos e acontecimentos existem e interagem no sistema internacional.
Ontologia objetivista;Entende que a realidade existe independentemente dos observadores.
Ontologia subjetivista;Entende que a realidade depende da percepção e interpretação dos observadores.
Perspectiva objetivista (realista);Os fenômenos internacionais podem ser observados de forma objetiva e independente.
Perspectiva subjetivista (relativista/nominalista);Os fenômenos internacionais são construídos por interpretações subjetivas.
Realismo (ontologia);Adota ontologia objetivista ao considerar a busca pelo poder como fato da realidade internacional.
Pós-Modernismo (ontologia);Adota ontologia subjetivista ao enfatizar interpretações e percepções dos fenômenos internacionais.
Epistemologia;Ramo da Filosofia que estuda a natureza e a produção do conhecimento.
Epistemologia em RI;Analisa como os pesquisadores percebem e produzem conhecimento sobre a realidade internacional.
Ontologia x Epistemologia;"Ontologia pergunta ""o que existe?""; epistemologia pergunta ""como conhecemos?""."
Epistemologia positivista;Defende que o conhecimento pode ser obtido objetivamente por meio do método científico.
Epistemologia interpretativista;Defende que o conhecimento é construído por interpretações dos observadores.
Perspectiva positivista;O pesquisador é neutro e observa os fatos objetivamente.
Perspectiva interpretativista;O pesquisador influencia e interpreta a realidade estudada.
Neorrealismo (epistemologia);Adota epistemologia positivista e busca análises científicas e objetivas.
Pós-Modernismo (epistemologia);Adota epistemologia interpretativista e enfatiza a subjetividade do conhecimento.
Método;Conjunto de técnicas e ferramentas utilizadas para coletar e analisar dados.
Métodos quantitativos;Utilizam estatísticas, modelagens e análise de dados numéricos.
Métodos qualitativos;Utilizam entrevistas, estudos de caso, etnografia e análise histórica.
Métodos mistos;Combinam abordagens quantitativas e qualitativas.
Metodologia;Estratégia geral que orienta a utilização dos métodos na pesquisa.
Metodologia indutiva;Parte de observações específicas para construir teorias gerais.
Metodologia dedutiva;Parte de teorias gerais para explicar casos concretos.
Bottom-up;"Expressão associada à metodologia indutiva (""de baixo para cima"")."
Top-down;"Expressão associada à metodologia dedutiva (""de cima para baixo"")."
Realismo clássico (metodologia);Utiliza metodologia indutiva.
Neorrealismo (metodologia);Utiliza metodologia dedutiva.
Escola Inglesa;Utiliza metodologia indutiva baseada na observação histórica.
Materialismo histórico;Metodologia marxista baseada nas condições materiais de produção.
Materialismo histórico em RI;Analisa como as condições materiais moldam a organização social e internacional.
Níveis de análise;Diferentes recortes da realidade utilizados para estudar as relações internacionais.
Nível individual;Analisa o papel dos indivíduos nas relações internacionais.
Exemplo do nível individual;Decisões de líderes políticos que afetam outros países.
Nível estatal;Analisa os Estados e suas características internas e externas.
Exemplo do nível estatal;Sistema político, grupos de interesse e interesse nacional.
Nível sistêmico;Analisa a estrutura geral do sistema internacional.
Exemplo do nível sistêmico;Anarquia, distribuição de poder, instituições e regimes internacionais.
Níveis de análise tradicionais;Individual, estatal e sistêmico.
Novos níveis de análise;Classe, gênero, raça, discurso e outras categorias sociais.
Interesse nacional;Objetivos e prioridades que orientam a ação externa do Estado.
Anarquia internacional;Elemento frequentemente estudado no nível sistêmico.
Distribuição de poder;Aspecto sistêmico relacionado à organização do sistema internacional.
Instituições internacionais;Elementos frequentemente analisados no nível sistêmico.
Regimes internacionais;Conjuntos de normas e regras analisados no nível sistêmico.
Positivismo;Corrente epistemológica que busca conhecimento objetivo e verificável.
Interpretativismo;Corrente epistemológica que entende o conhecimento como socialmente construído.
Objetivismo;Perspectiva que considera a realidade independente da percepção humana.
Subjetivismo;Perspectiva que considera a realidade dependente da interpretação humana.
Realismo clássico;Teoria que enfatiza o Estado e utiliza metodologia predominantemente indutiva.
Neorrealismo;Teoria que enfatiza a estrutura anárquica do sistema internacional e utiliza metodologia dedutiva.
Pós-Modernismo;Teoria que enfatiza a subjetividade, o discurso e a interpretação dos fenômenos internacionais.
Escola Inglesa;Abordagem histórica que enfatiza a sociedade internacional e utiliza metodologia indutiva.
CACD – dica prática;"Ontologia = realidade estudada; Epistemologia = forma de conhecer; Método = técnica; Metodologia = estratégia de pesquisa."
;
Liberalismo;Teoria que enfatiza cooperação, racionalidade, democracia, comércio e paz nas relações internacionais.
Pressuposto central do Liberalismo;Os Estados podem cooperar e alcançar benefícios mútuos.
Visão liberal sobre a guerra;A guerra não é inevitável e pode ser evitada pela razão e cooperação.
Visão liberal sobre a paz;A paz pode ser alcançada por meio da cooperação e da interdependência.
Ganhos absolutos;Benefícios que todos os Estados podem obter simultaneamente por meio da cooperação.
Cooperação internacional;Processo pelo qual Estados trabalham juntos para alcançar objetivos comuns.
Interdependência;Situação em que Estados se tornam mutuamente dependentes econômica e politicamente.
Harmonia de interesses;Ideia liberal de que os interesses dos Estados podem ser compatíveis.
Natureza dos Estados segundo o Liberalismo;Os Estados não são naturalmente violentos ou beligerantes.
Razão;Instrumento capaz de promover cooperação e evitar conflitos.
Comércio internacional (Liberalismo);Principal mecanismo de promoção da cooperação e da paz.
Comércio como jogo de soma positiva;Situação em que todos os participantes obtêm benefícios.
Jogo de soma positiva;Interação na qual todos ganham.
Relação entre comércio e paz;O comércio reduz incentivos à guerra ao gerar benefícios mútuos.
Benefício do exportador;Recebe recursos pela venda de produtos.
Benefício do importador;Obtém acesso a bens e serviços desejados.
Guerra segundo os liberais;Produz custos econômicos, políticos e sociais elevados.
Paz segundo os liberais;Possibilita prosperidade e ampliação dos benefícios do comércio.
Liberalismo clássico;Corrente inspirada pelo Iluminismo e pelos direitos individuais.
Iluminismo;Movimento intelectual que influenciou a formação do pensamento liberal.
Direitos naturais;Liberdade, propriedade e vida.
Temas centrais do Liberalismo;Cooperação, democracia, liberdade, Direito Internacional, paz e progresso.
Visão liberal do futuro;Otimista quanto ao progresso humano e internacional.
Livre comércio;Mecanismo de promoção do desenvolvimento e da paz.
Livre comércio e tolerância;Favorece contato e entendimento entre diferentes povos e culturas.
