O que foi a Liga das Nações e qual seu objetivo?;Foi a primeira organização intergovernamental criada para promover a paz, a cooperação internacional e a segurança coletiva com base no desarmamento e na solução pacífica de disputas.
Em que tratado e ano foi criada a LDN?;Foi criada em 1919, por meio do Pacto da Liga das Nações, parte do Tratado de Versalhes.
Qual o papel de Woodrow Wilson na criação da LDN?;Wilson liderou o comitê que redigiu o Pacto da Liga durante a Conferência de Paz de Paris.
Quem representou o Brasil na criação da LDN?;O senador Epitácio Pessoa representou o Brasil e participou do comitê de redação do Pacto.
Onde ficava a sede da Liga das Nações?;Em Genebra, Suíça.
Por que os EUA não ingressaram na LDN?;O Congresso dos EUA rejeitou o ingresso, temendo comprometer o isolacionismo americano.
Quando a URSS entrou e saiu da LDN?;Entrou em 1934 e foi expulsa em 1939.
Quando a Alemanha entrou e saiu da LDN?;Ingressou em 1926 e saiu em 1933.
Qual o princípio fundamental da segurança coletiva na LDN?;Um ataque a um Estado-Membro seria considerado um ataque a todos os membros.
O que eram os mandatos da LDN?;Eram ex-colônias alemãs ou otomanas entregues à tutela de potências mandatárias até sua independência.
Como funcionava a resolução de disputas na LDN?;As disputas deviam passar por arbitragem ou decisão judicial antes de qualquer uso da força.
Quais eram os principais órgãos da LDN?;Assembleia, Conselho Executivo e Secretariado.
Qual o papel da Assembleia da LDN?;Era o principal órgão deliberativo e representativo, com um voto por Estado-Membro.
Como era tomada a decisão na Assembleia da LDN?;Por unanimidade dos Estados presentes, exceto em alguns casos como admissão de novos membros.
Que papel o Conselho Executivo da LDN exercia?;Tratava de questões urgentes de paz e segurança, formulação de desarmamento e supervisão de mandatos.
Quem eram os membros permanentes originais do Conselho?;França, Itália, Japão, Reino Unido e EUA (que não ingressaram).
Quando e por que o Brasil saiu da LDN?;"Saiu em 1926, após ser membro rotativo do Conselho; a decisão teve motivação política."
Como era tomada a decisão no Conselho Executivo?;Por unanimidade entre membros permanentes e rotativos, todos com poder de veto.
Qual era a lógica por trás da exigência de unanimidade nas decisões?;Garantir respeito à soberania estatal e promover a conciliação em vez da imposição.
Que papel teve a LDN na criação de organismos especializados?;Estimulou a criação de organismos associados como a OIT e da Corte Permanente de Justiça Internacional.
Quais eram as três classes de mandatos e suas características?;"Classe A: territórios otomanos mais desenvolvidos; Classe B: ex-colônias africanas alemãs com maior tutela; Classe C: territórios menos desenvolvidos, administrados como parte integrante das potências mandatárias."
O que aconteceu com os mandatos da LDN após a Segunda Guerra?;Foram transferidos ao sistema de tutelas da ONU, conforme decidido na Conferência de Yalta (1945).
Qual era a função do Secretariado da LDN?;Era o órgão administrativo, chefiado pelo secretário-geral, responsável por preparar reuniões, supervisionar decisões e garantir transparência com a publicação de tratados.
O que era inovador na composição do Secretariado da LDN?;Os cargos estavam igualmente abertos a homens e mulheres, graças à pressão de grupos feministas na Conferência de Paz de Paris.
Quem foram os secretários-gerais da LDN?;Sir Eric Drummond (1920-1933), Joseph Avenol (1933-1940) e Sean Lester (1940-1946).
