El chico alto;Masculino, singular
La chica alta;Femenino, singular
El libro rojo;Masculino, singular
Los libros rojos;Masculino, plural
Artículos Definidos;El, La, Los, Las
Artículos Indefinidos;Un, Una, Unos, Unas
Pronombre personal de 1ª persona singular;Yo
Pronombre personal de 2ª persona singular;Tú
Pronombre personal de 3ª persona singular masculino;Él
Verbo -AR (ejemplo: hablar) 1ª persona singular;Yo hablo
Verbo -AR (ejemplo: hablar) 2ª persona singular;Tú hablas
Verbo -ER (ejemplo: comer) 3ª persona singular;Él come
Verbo -ER (ejemplo: comer) 1ª persona plural;Nosotros comemos
Verbo -IR (ejemplo: vivir) 3ª persona plural;Ellos viven
Verbo -IR (ejemplo: vivir) 1ª persona singular;Yo vivo
Ser (identidade);Yo soy
Estar (lugar/estado);Yo estoy
(A mí) me gusta + singular;El chocolate
(A mí) me gustan + plural;Los perros
¿Dónde vives?;Pergunta sobre localização
¿Cuántos años tienes?;Pergunta sobre idade
;
;
Ser vs. Estar (contraste);Soy doctor (profissão) → Ser / Estoy cansado (estado temporário) → Estar
Soy doctor;Profissão (uso de Ser)
Estoy cansado;Estado temporário (uso de Estar)
Pretérito Perfecto Compuesto;Hoy he comido paella
Hoy he comido paella;Exemplo de Pretérito Perfecto Compuesto
Esta semana hemos ido al cine;Exemplo de Pretérito Perfecto Compuesto (1ª pessoa plural)
Pretérito Indefinido (Regulares);Ayer hablé con Juan
Ayer hablé con Juan;Pretérito Indefinido, 1ª pessoa singular (-AR)
Ellos vivieron en Madrid;Pretérito Indefinido, 3ª pessoa plural (-IR)
Pretérito Indefinido (Irregulares);Yo fui al parque (verbos ir/ser)
Yo fui al parque;Indefinido irregular de ir ou ser
Tú hiciste la tarea;Indefinido irregular de hacer
Imperativo Afirmativo (Tú);¡Come más verduras! / ¡Habla más despacio!
¡Come más verduras!;Imperativo afirmativo de comer (tú)
¡Habla más despacio!;Imperativo afirmativo de hablar (tú)
Comparativo de superioridade;Más grande que
Comparativo de igualdade;Tan alto como
Futuro Próximo;Voy a estudiar
Voy a estudiar;Futuro próximo (1ª pessoa singular)
Vamos a viajar mañana;Futuro próximo (1ª pessoa plural)
Pronomes de Objeto Direto (OD);Lo / La / Los / Las
¿El libro?;Lo tengo (OD masculino singular)
¿Las llaves?;Las busco (OD feminino plural)
Adverbio de frequência (sempre);Siempre
Adverbio de frequência (às vezes);A veces
Adverbio de frequência (nunca);Nunca
;
Contraste Passados;Indefinido (acción puntual) ↔ Imperfecto (descripción/costumbre)
Indefinido (acción puntual);Ayer compré un coche
Imperfecto (descripción/costumbre);Antes compraba el pan aquí
Pretérito Pluscuamperfecto;Cuando llegué, ya había salido
Cuando llegué, ya había salido;Nunca había visto algo así
Futuro Imperfecto;Mañana lloverá
Mañana lloverá;Te llamaré luego
Condicional Simple;Me gustaría un café
Me gustaría un café;¿Podrías ayudarme?
Presente do Subjuntivo;Quiero que hables español
Quiero que hables español;Es importante que estudies
Imperativo Negativo (tú);¡No hables!
Imperativo Negativo (usted);¡No beba!
Pronomes de OI + OD juntos;¿El libro a mí? → Dámelo
¿El libro a mí? Dámelo;Las flores, se las compré
