O que o Brasil exportava no século XIX?;Açúcar, algodão, fumo e café.
Qual produto passou a liderar as exportações na década de 1830?;Café.
Qual era a participação do café nas exportações em 1821-22?;⅔ das exportações.
Qual era a participação do café nas exportações em 1888-89?;72,2% das exportações.
Onde se produzia mais café em 1840?;Rio de Janeiro (80%).
Como estava a produção de café em 1870?;Rio (55%), SP (23%), MG (14%).
Como estava a produção de café em 1880?;Rio (41%), SP (35%), MG (21%), ES (4%).
Qual era a participação do açúcar nas exportações de 1820 a 1850?;30%.
Qual era a participação do açúcar nas exportações em 1880?;10%.
Quem liderava a produção de açúcar em 1850?;Pernambuco (43%).
Quem liderava a produção de açúcar em 1880?;Pernambuco (50%).
Como era a produção de algodão de 1820 a 1850?;Modesta (12-13 mil toneladas).
O que causou o pico da produção de algodão em 1870?;Guerra de Secessão nos EUA.
Como estava a produção de algodão em 1880?;Caiu para 12-34 mil toneladas.
Como estava a exportação de fumo entre 1850 e 1880?;Cresceu de 7 mil para 20 mil toneladas.
Quem dominava a exportação de fumo no século XIX?;Bahia.
Como estava a exportação de borracha em 1850?;1.500 toneladas.
Como estava a exportação de borracha em 1880?;15 mil toneladas, líder mundial.
Como era a indústria brasileira no Império?;Agrária, com indústrias incipientes.
Qual era o peso da indústria no PIB em 1889?;Cerca de 10%.
Que tipo de indústria se destacava no Império?;Têxtil, alimentos e bebidas.
Quais indústrias eram importantes no Império?;Estaleiro de Ponta d’Areia, Arsenais.
O que fez o tratado de 1827 com as tarifas?;Manteve tarifa de importação em 15%.
Quando o Brasil teve mais liberdade comercial?;Em 1845.
Quando foi o auge da mineração no Império?;Década de 1850.
Quais minérios foram mais explorados?;Ouro e diamantes.
Quais empresas britânicas mineravam ouro no Brasil?;Imperial Brazilian, St. John del Rey.
Quanto ouro produziam as empresas britânicas nos anos 1840?;1,5 tonelada por ano.
Como variaram as exportações de ouro e diamantes?;Caíram de 5% para menos de 1% (1850–1880).
Quantos km de ferrovias havia em 1870?;700 km.
Quantos km de ferrovias havia em 1889?;9.583 km.
Que serviços receberam investimentos estrangeiros?;Gás, bondes, água e esgoto.
Como era o setor público no Império?;Pequeno, menos de 20 mil funcionários.
Quantos funcionários públicos havia em 1872?;10.710 civis e 27.716 militares.
Qual era a principal ocupação no Império?;Agricultura (2/3 da população ativa).
Quantos imigrantes europeus vieram entre 1851 e 1870?;219.229 imigrantes.
O que foi a Lei de Terras de 1850?;Regulou propriedade após fim das sesmarias.
Qual efeito do fim do tráfico de escravos?;Alta nos preços e tráfico interno.
O que era o sistema de parceria no café?;Imigrantes pagavam dívidas com trabalho.
O que determinava a Lei do Ventre Livre de 1871?;Filhos de escravos nascidos livres.
Como a imigração afetou o café após 1870?;Substituiu trabalho escravo por assalariado.
O que diz a hipótese de Domar?;Apenas dois coexistem: terra, trabalho livre ou proprietário inativo.
Onde estavam as colônias de imigrantes europeus?;Sul do Brasil: RS, SC, PR, Nova Friburgo.
Como o café afetou a infraestrutura?;Estimulou ferrovias, portos, telégrafos.
Quem investiu nas ferrovias?;Governo imperial, províncias e particulares.
Quanto o Império investiu na Central do Brasil?;£9,7 milhões.
Quanto as ferrovias privadas paulistas receberam?;£2,2 milhões.
Como cresceu o investimento britânico no Brasil?;De £1 milhão (1840) para £40,6 milhões (1890).
Em que setores estrangeiros investiram no Império?;Bancos, navegação, cabos telegráficos.
Quais empresas britânicas dominavam a navegação no Brasil?;Royal Mail, Amazon Steam, Lamport & Holt.
Como o governo brasileiro incentivava a navegação?;Subsidiava navegação interior e de cabotagem com garantias de retorno.
Qual era a taxa de retorno garantida pelo governo?;7% (5% do governo imperial e 2% das províncias).
Qual impacto teve a política de garantias no transporte?;Redução de custos e aumento da eficiência, como no transporte de algodão.
Quanto o governo imperial gastou cobrindo garantias até 1888?;£11,3 milhões.
Como o Brasil se posicionou no comércio exterior no Império?;Perdeu espaço global, mas dominou 60% do mercado mundial de café nos anos 1880.
Como evoluiu a produção de açúcar no Império?;Caiu de 21% da produção mundial (1850) para menos de 10% (1880).
Como evoluiu a produção de algodão no Império?;Cresceu com a Guerra Civil dos EUA e depois caiu.
