"How do you form the plural of nouns ending in ""s"", ""ss"", ""sh"", ""ch"", ""x"", or ""z""?";Add -es. Examples: bus → buses, box → boxes, glass → glasses.
"How do you pluralize nouns ending in ""y"" preceded by a vowel?";Add -s. Examples: boy → boys, key → keys.
"How do you pluralize nouns ending in ""y"" preceded by a consonant?";"Change ""y"" to ""i"" and add -es. Examples: baby → babies, city → cities."
"How is the plural of nouns ending in ""o"" preceded by a vowel formed?";Add -s. Examples: radio → radios, zoo → zoos.
"How is the plural of nouns ending in ""o"" preceded by a consonant formed?";Add -es. Examples: tomato → tomatoes, mango → mangoes.
"What is the plural of nouns ending in ""f"" or ""fe""?";Change to -ves. Examples: knife → knives, wife → wives, wolf → wolves.
"What are exceptions to the ""f/fe → ves"" rule?";Some just take -s. Examples: roof → roofs, chief → chiefs.
What are some common irregular plural forms in English?;man → men, woman → women, child → children, foot → feet.
When do we use apostrophe + s (’s) to form a plural?;For years and abbreviations (though optional today). Examples: the 60’s/60s, CD’s/CDs.
Which nouns have the same form in singular and plural?;Examples: deer, fish, species, sheep. Context shows number.
"What is the plural of ""criterion""?";criteria – it’s of Latin origin.
"What is the plural of ""phenomenon""?";phenomena – from Greek origin.
"What is the plural of ""bacterium""?";bacteria – Latin origin.
"What is the plural of ""curriculum""?";curricula (or curriculums) – Latin origin.
"What is the plural of ""dogma""?";dogmata (classical) or dogmas (modern) – Greek origin.
"Can collective nouns like ""family"" or ""team"" take singular or plural verbs?";"Yes. Use singular verb when referring to the group as a unit; plural verb when emphasizing members."
"Example of collective noun in singular: ""government""?";The government is trying to control inflation. (Group as one.)
"Example of collective noun in plural: ""group""?";The group are looking for an outstanding victory. (Focus on individuals.)
Can proper names of teams take singular or plural verbs?;Yes. Example: Santos is/are playing tomorrow.
Give examples of collective nouns with no plural form but with plural/singular verb.;The youth, the majority, the public. Example: The youth want/wants freedom.
Which collective nouns require a plural verb?;Examples: cattle, the military, the police, swine, the clergy. E.g., The police have arrived.
Which nouns look plural but use singular verbs?;Examples: news, billiards, dominoes, darts. Example: The news is shocking.
"What is the meaning of ""air"" in singular and plural?";"Singular: air = the substance we breathe; Plural: airs = affectation, pretentious behavior."
"What’s the difference between ""content"" and ""contents""?";"Singular: content = abstract idea (e.g., meaning); Plural: contents = items inside something."
