Qual período é analisado no pós-Guerra no Brasil?;De 1945 (fim da Segunda Guerra Mundial) a 1955 (eleição de Juscelino Kubitschek).
Qual tendência predominava na economia mundial após 1945?;Transição gradual para princípios liberais definidos em Bretton Woods (1944).
O que marcou o início do período pós-Guerra no Brasil?;Fim do Estado Novo (1937-1945) e início do governo Dutra.
Quais fatores internacionais impactaram a economia brasileira no pós-Guerra?;Início da Guerra Fria e a “escassez de dólares”.
O que foi a “escassez de dólares”?;Período de dificuldade global de acesso à moeda americana, essencial para importações e pagamentos internacionais.
Qual consequência das crises de balanço de pagamentos no Brasil?;Abandono do modelo liberal e adoção de um modelo industrial com maior intervenção estatal.
Como se caracterizou a atuação do Estado nesse período?;Predominantemente indireta, com controles cambiais, restrições às importações e regulação econômica.
Qual foi o papel de Getúlio Vargas no pós-Guerra?;Referência central na política, influenciando debates econômicos e sociais mesmo após sair do poder.
Quais foram realizações importantes do período Vargas?;Legislação trabalhista, profissionalização do Estado, criação da CSN e da Vale.
Qual mudança política fundamental ocorreu no período Vargas?;Inclusão da classe trabalhadora como agente político relevante.
Qual foi a reação ao legado político de Vargas?;Oposição do projeto liberal-conservador.
Quais partidos representavam os dois projetos políticos principais?;UDN (liberal-conservadora) vs. PSD e PTB (getulistas).
O que influenciou a política econômica entre 1945 e 1955?;Disputas internas e restrições internacionais.
Quais governos são analisados nesse período?;Dutra (1946-1950), Vargas (1951-1954) e Café Filho (1954-1955).
O que levou à queda de Vargas em 1945?;Contradição entre apoio às democracias na guerra e manutenção de uma ditadura interna.
Quem assumiu após a queda de Vargas?;Eurico Gaspar Dutra, eleito em 1945.
Quem foi o principal adversário de Dutra na eleição?;Eduardo Gomes, candidato da UDN.
Qual foi o primeiro marco da política econômica de Dutra?;Fim do mercado livre de câmbio e adoção de controle de importações (1947-48).
Qual foi o segundo marco da política econômica de Dutra?;Substituição do ministro da Fazenda em 1949, indicando flexibilização econômica.
Qual era a visão inicial do governo Dutra?;Confiança na rápida reorganização liberal da economia mundial.
Por que essa visão foi abandonada?;Falha na implementação dos princípios de Bretton Woods e mudanças no cenário internacional.
O que foi a “ilusão de divisas”?;Crença de que o Brasil tinha reservas internacionais suficientes e situação externa confortável.
Quais fatores sustentavam essa ilusão?;Expectativa de investimentos estrangeiros, alta do café e crédito político com os EUA.
Qual era o principal problema identificado pelo governo Dutra?;A inflação.
Qual era a causa da inflação segundo o governo?;Déficits orçamentários acumulados.
Qual política foi adotada para combater a inflação?;Política monetária e fiscal contracionista (ortodoxa).
;
;
Como devem ser analisadas as políticas cambial e de comércio exterior no início do governo Dutra?;À luz da “ilusão de divisas” e da prioridade ao combate à inflação.
Qual foi a política cambial adotada no início do governo Dutra?;Taxa de câmbio fixa em torno de Cr$18-19 por dólar, com relaxamento dos controles cambiais em 1946.
O que ocorreu com as restrições cambiais em 1946?;Foram abolidas as restrições a pagamentos existentes desde os anos 1930.
O que caracterizava a taxa de câmbio brasileira no período?;Forte sobrevalorização real da moeda.
Quais eram os objetivos da política cambial sobrevalorizada?;Reequipar a indústria, reduzir preços internos via importações e atrair capitais estrangeiros.
Como a política cambial ajudaria a combater a inflação?;Aumentando a oferta de bens importados, pressionando os preços para baixo.
Por que a avaliação das reservas internacionais era equivocada?;Porque grande parte não era líquida nem utilizável.
Como eram compostas as reservas internacionais brasileiras em 1946?;Metade em ouro, parte em libras bloqueadas e apenas pequena parcela em dólares utilizáveis.
Qual era o problema da balança comercial brasileira no período?;Superávits com países de moeda inconversível e déficits com países de moeda forte.
Por que falhou a expectativa de ajuda externa dos EUA?;Porque os EUA priorizaram a reconstrução da Europa no pós-guerra.
Qual alternativa restou ao Brasil para financiar o desenvolvimento?;Atração de capitais privados internacionais.
Por que o governo não desvalorizou a moeda?;Para sustentar preços do café, evitar inflação e devido à estrutura das exportações.
Qual característica da demanda por café influenciou a decisão cambial?;Era relativamente inelástica ao preço.
Qual era o risco inflacionário da desvalorização cambial?;Poderia elevar os preços internos.
Qual fator estrutural limitava os efeitos de uma desvalorização?;Alta dependência de exportações para áreas de moeda inconversível.
Qual medida foi adotada em vez da desvalorização?;Controle cambial e de importações a partir de 1947.
Como funcionava o controle cambial de 1947?;Bancos deviam vender 30% das divisas ao Banco do Brasil, que distribuía conforme prioridades.
Qual era o objetivo do controle de importações?;Priorizar bens essenciais e racionalizar o uso de divisas.
Quando foi implementado o sistema de licenças de importação?;Em fevereiro de 1948.
Até quando o sistema de controle de importações permaneceu?;Na prática até 1951 e legalmente até 1953 (Instrução 70 da Sumoc).
O sistema de controle de importações foi eficaz?;Sim, reduziu o déficit com países de moeda conversível.
