Revolução de Avis (1385);Movimento que consolidou a independência portuguesa frente a Castela e estabeleceu a dinastia de Avis. Favoreceu a centralização do poder monárquico e contou com o apoio da burguesia mercantil urbana, enfraquecendo a nobreza feudal.
Lei de Sesmarias (1375);Criada para combater o abandono de terras e estimular a produção agrícola, obrigando proprietários a cultivarem suas terras, a fim de conter o êxodo rural e garantir o abastecimento alimentar.
Aliança luso-britânica durante a Guerra dos Cem Anos;Acordo político-militar que beneficiou a burguesia mercantil portuguesa ao garantir acesso a rotas comerciais marítimas seguras, contornando os bloqueios continentais.
Batalha de Aljubarrota (1385);Vitória das forças portuguesas, lideradas por D. João I e apoiadas pelos ingleses, contra os castelhanos. Consolidou a dinastia de Avis e a independência de Portugal.
Centralização política e expansão marítima portuguesa;A centralização promovida pelos reis da dinastia de Avis permitiu apoio estatal às navegações, garantindo organização e recursos para a expansão ultramarina.
Conquista de Ceuta (1415);Primeiro passo da expansão portuguesa fora da Península Ibérica. Ceuta era estratégica no controle do comércio no norte da África e das rotas de especiarias.
Cabo Bojador;Obstáculo temido pelos navegadores devido às águas rasas e correntes traiçoeiras. Sua superação simbolizou o avanço técnico da navegação portuguesa no século XV.
Bartolomeu Dias (1487);Primeiro europeu a contornar o extremo sul da África, dobrando o Cabo da Boa Esperança e abrindo caminho para a rota marítima às Índias.
Feitorias portuguesas na África;Entrepostos comerciais construídos no litoral africano para facilitar o comércio de escravos, ouro e outros produtos, sem intenção de colonização agrícola.
Expedição de Pedro Álvares Cabral (1500);"Seguindo a técnica da ""volta da África"", Cabral desviou-se para oeste e alcançou o Brasil. Há indícios de que a manobra foi intencional."
Objetivos da expansão marítima portuguesa;Inicialmente voltada para o comércio de especiarias, metais preciosos e escravizados, e não para a colonização imediata das novas terras.
Acidentalidade da chegada de Cabral ao Brasil;Apesar da narrativa tradicional, muitos estudiosos sustentam que a rota fazia parte de um plano da Coroa para explorar possíveis terras a oeste.
Centralização e Casa de Avis;A dinastia de Avis fortaleceu o poder real e garantiu apoio contínuo às navegações. Isso destacou Portugal na vanguarda da expansão ultramarina europeia.
Tratado de Alcáçovas-Toledo (1479);Reconheceu a soberania de Castela sobre as Ilhas Canárias, enquanto Portugal assegurou direitos sobre outras áreas do Atlântico, como a Guiné e os arquipélagos atlânticos.
Bula Æterni regis (1481);Documento papal que confirmou os direitos portugueses sobre as terras ao sul do Cabo Bojador, reforçando os acordos anteriores.
Bula Inter Coetera (1493);Documento papal que dividia as terras do Novo Mundo entre Portugal e Castela segundo um meridiano leste-oeste, favorecendo os interesses castelhanos.
Tratado de Tordesilhas (1494);Acordo direto entre Portugal e Castela que deslocou a linha divisória para 370 léguas a oeste de Cabo Verde, garantindo a Portugal parte do atual território brasileiro.
Tratado de Saragoça (1521);Complemento ao Tratado de Tordesilhas, estabelecendo os limites entre as áreas de influência portuguesa e castelhana no hemisfério oriental.
França Antártica (1555);Colônia francesa fundada por Nicolas Durand de Villegagnon na Baía de Guanabara, com o apoio de calvinistas franceses e dos tupinambás.
Fundação do Rio de Janeiro (1565);Realizada por Estácio de Sá, como resposta à presença francesa na Baía de Guanabara, e parte da estratégia de expulsão da França Antártica.
França Equinocial (1612);Tentativa francesa de colonização no Maranhão, liderada por Daniel de La Touche, com apoio de frades capuchinhos católicos franceses.
Expulsão dos franceses do Maranhão (1615);Ação militar portuguesa liderada por Alexandre de Moura que derrotou os colonizadores da França Equinocial e retomou o controle da região.
Companhia das Índias Ocidentais (WIC);Empresa holandesa responsável por ataques ao Brasil durante a União Ibérica, incluindo a invasão de Salvador em 1624, com o objetivo de controlar o comércio do açúcar.
Quem liderou a invasão holandesa de Salvador em 1624?;Jacob Willekens foi o responsável pela invasão de Salvador, e não Maurício de Nassau.
Qual foi o papel de Maurício de Nassau no Brasil holandês?;Administrou o Brasil holandês a partir de 1637, promovendo tolerância religiosa, urbanismo e incentivo às ciências.
Quando ocorreu a primeira grande vitória da Insurreição Pernambucana?;Em 1648, na Batalha dos Guararapes, marco da resistência organizada contra os holandeses.
Quem foram Filipe Camarão e Henrique Dias?;"Líderes da resistência luso-brasileira contra os holandeses; o primeiro era indígena e o segundo, afrodescendente."
O que representou a fundação de Caiena pelos franceses em 1635?;A consolidação da presença francesa na América do Sul após a expulsão do Brasil.
Por que a Coroa portuguesa demonstrou pouco interesse inicial pela colonização?;Devido à ausência de metais preciosos, como ouro e prata, nas terras recém-descobertas.
Qual a atuação de Fernão de Noronha na colonização portuguesa?;Obteve o monopólio da exploração do pau-brasil no início da colonização, não tendo ligação com a mineração.
O que motivou a criação das Capitanias Hereditárias?;A necessidade de ocupar e defender o território, após a expedição de Martim Afonso de Sousa em 1530.
Como eram delimitadas as capitanias hereditárias?;Divididas em faixas no litoral com extensão definida em latitude e indefinida em direção ao interior.
Quais capitanias tiveram sucesso relativo no século XVI?;Apenas Pernambuco e São Vicente prosperaram de forma significativa.
Quais obrigações tinham os donatários das capitanias?;Deveriam povoar, cultivar, construir engenhos e enviar parte dos lucros à Coroa, conforme previsto nos forais e cartas de doação.
Qual lei regulava a distribuição de terras nas capitanias?;A Lei de Sesmarias, que obrigava os donatários a distribuir e garantir a produtividade das terras.
Por que foi criado o Governo-Geral em 1549?;Para centralizar a administração colonial, após o fracasso do sistema de capitanias.
Quem fundou a cidade de Salvador e assumiu como primeiro Governador-Geral do Brasil?;Tomé de Sousa, em 1549, fundou Salvador como sede do Governo-Geral.
Quais eram as funções do Ouvidor-mor, Provedor-mor e Capitão-mor?;Justiça, finanças e defesa, respectivamente, compondo a estrutura do Governo-Geral.
Quando foi fundado o bispado da Bahia e qual sua importância?;Fundado em 1551, marcou o início da atuação institucional da Igreja Católica no Brasil, incluindo os jesuítas.
Como atuava a Inquisição no Brasil colonial?;De forma indireta, com julgamentos realizados em Portugal, principalmente em Évora.
Qual foi a função do Tribunal da Relação da Bahia?;Criado em 1609 como instância superior de justiça na colônia.
Qual cidade foi a capital do Estado do Maranhão após sua criação em 1621?;São Luís foi a capital, não Belém.
Quais funções exerciam as Câmaras Municipais no período colonial?;Legislavam, julgavam, executavam e administravam, representando o poder local.
Qual era o objetivo da Companhia Geral do Comércio do Brasil (1649)?;Dinamizar o comércio colonial e controlar melhor a economia da colônia.
Quando foi criada a Companhia do Comércio do Maranhão?;Em 1682, posteriormente à Companhia do Comércio do Brasil.
Quem eram os colonizadores no Brasil colonial?;Reinóis, burocratas, militares e administradores enviados pela Coroa.
Qual foi o papel da Igreja Católica na colonização?;Central, especialmente por meio da atuação dos jesuítas na catequese, educação e organização do território.
O que era o padroado?;Sistema que dava à Coroa o direito de nomear bispos, recolher dízimos e controlar a Igreja na colônia.
Quem compunha a categoria dos colonos ou “homens bons”?;Senhores de engenho, mineradores e outros proprietários de terras com influência nas câmaras municipais.
Quem eram os colonizados?;Indígenas, africanos escravizados, mestiços e brancos pobres, sujeitos à dominação social e econômica.
O que foi a derrama?;Um confisco forçado de bens aplicado aos mineradores quando não se atingia a meta da arrecadação do quinto real.
O Tribunal do Santo Ofício tinha sede no Brasil?;Não. Sua atuação era indireta e os julgamentos eram feitos em Portugal.
Qual o papel das Irmandades Religiosas na sociedade colonial?;Atuação social e religiosa, organizadas segundo critérios étnicos e de classe, oferecendo apoio aos seus membros.
Qual setor teve maior controle estatal: a produção de açúcar ou a mineração de ouro?;A mineração de ouro, com impostos rigorosos como o quinto, a capitação e a derrama.
A nobreza da terra no Brasil colonial era igual à europeia?;Não. Era uma elite local sem títulos hereditários nem isenção fiscal, diferente da nobreza de Portugal.
Quem desenvolveu a teoria dos ciclos econômicos na história do Brasil?;Roberto Simonsen, com a ideia de que o Brasil evoluiu por meio de ciclos produtivos como pau-brasil, açúcar, ouro e café.
O que propõe a teoria dos ciclos econômicos de Roberto Simonsen?;Que a economia colonial brasileira se desenvolveu em ciclos sucessivos e predominantes, como pau-brasil, açúcar, ouro e café.
Quando ocorreu o ciclo do pau-brasil e qual mão de obra foi utilizada?;Entre 1500 e 1600, com uso predominante de mão de obra indígena.
Qual foi a principal mão de obra utilizada no ciclo do açúcar?;Mão de obra escravizada, indígena inicialmente e depois majoritariamente africana.
Como se caracterizou o ciclo do ouro e diamantes?;Interiorização da colônia (especialmente em Minas Gerais), com uso intensivo de mão de obra africana escravizada.
Qual foi o produto agrícola mais importante do Brasil entre 1830 e 1950?;O café, cultivado com mão de obra escravizada e depois com imigrantes europeus e asiáticos.
Como a historiografia recente interpreta os ciclos econômicos coloniais?;Destaca a coexistência e complementaridade entre atividades econômicas, em contraste à sucessão linear proposta por Simonsen.
O que foram as drogas do sertão?;Produtos amazônicos como cacau, baunilha, cravo, canela e castanha, explorados desde o século XVI com auxílio de missões jesuíticas.
Qual foi o papel da pecuária na colonização?;Fundamental para a interiorização, fornecendo alimentos, força de tração e integração econômica entre regiões.
Como o rio São Francisco contribuiu para a economia colonial?;Serviu como via de transporte e comunicação entre o Nordeste e o Sudeste, integrando áreas produtoras e consumidoras.
Onde se destacou a produção de fumo no período colonial?;No Recôncavo Baiano, especialmente a partir do século XVIII, com uso para exportação e troca por escravizados na África.
O Tratado de Tordesilhas impediu a ocupação do interior?;Não. A Coroa incentivou incursões além do tratado, promovendo a interiorização com ações de bandeirantes e missões.
Qual foi a importância das missões jesuíticas na Amazônia?;Ocuparam o vale do Amazonas e facilitaram a coleta das drogas do sertão, exercendo também função catequizadora e política.
O que foi o Forte do Presépio?;Forte fundado em Belém, em 1616, como ponto de entrada atlântica para a exploração da Amazônia.
Por que os espanhóis não controlaram a Amazônia?;A geografia dos Andes dificultava a passagem de produtos, o que favoreceu a tolerância à presença portuguesa na região.
Quando foi fundada a Colônia do Sacramento e o que motivou sua criação?;Em 1680, por Portugal, para disputar o controle do Rio da Prata com a Espanha.
Quem foram os bandeirantes e como atuaram?;Grupos paulistas que exploraram o interior por meio de entradas, bandeiras e monções, buscando capturar indígenas e encontrar riquezas.
Como era a relação entre bandeirantes e jesuítas?;Conflituosa, pois os bandeirantes escravizavam indígenas protegidos pelas missões jesuíticas.
O que foi o Quilombo de Palmares?;Maior comunidade quilombola do período colonial, localizada em Pernambuco, resistindo por cerca de um século.
O que foi o mito da ilha Brasil e como foi superado?;"Ideia de ligação fluvial entre Amazonas e Prata; refutada pelas expedições bandeirantes no interior do continente."
A Coroa portuguesa controlava todos os territórios coloniais?;Não. Muitas áreas eram de difícil controle e dominadas por interesses locais ou grupos autônomos como os bandeirantes.
Havia um pacto formal entre metrópole e colônia?;Não. A relação era de dominação e exploração, sem contrato formal, embora houvesse expectativas recíprocas.
A economia de Portugal dependia da colônia brasileira?;Sim. A riqueza colonial sustentava a metrópole por meio de tributos, comércio e recursos naturais.
As sedições coloniais refletiam que tipo de relação com a Coroa?;Mostravam tensões e conflitos, geralmente por impostos abusivos ou restrições comerciais.
Todas as sedições coloniais foram separatistas?;Não. A maioria tinha caráter antifiscal ou regionalista, sem intenção de independência.
Como a historiografia do século XIX via as sedições coloniais?;Como movimentos nativistas e identitários, com traços de brasilidade precoce.
Qual é a visão da historiografia recente sobre as sedições coloniais?;Enfatiza o caráter antifiscalista, como reações a tributos excessivos, mais que por sentimento nacionalista.
Houve movimentos separatistas antes do século XIX?;Sim. Desde o século XVIII, como a Inconfidência Mineira e a Conjuração Baiana.
O que foi a Aclamação de Amador Bueno (1640–1641)?;Movimento paulista que expressou desejo de autonomia comercial após o fim da União Ibérica.
O que motivou a Revolta da Cachaça (1660–1661)?;Resistência ao imposto sobre aguardente no Rio de Janeiro, imposto pela Coroa portuguesa.
O que motivou a Revolta dos Beckman no Maranhão?;A insatisfação com o monopólio da Companhia de Comércio do Maranhão e a proibição da escravidão indígena.
Quem foram os principais grupos envolvidos na Revolta dos Emboabas (1708–1709)?;Paulistas (bandeirantes) e emboabas (forasteiros portugueses), disputando o controle da mineração em Minas Gerais.
O que motivou a Revolta dos Mascates (1710–1711) em Pernambuco?;O conflito entre senhores de engenho de Olinda e comerciantes de Recife pelo poder político e econômico.
Qual foi a causa principal da Revolta de Vila Rica (1720)?;A reação à cobrança do quinto real e à criação das Casas de Fundição pela Coroa portuguesa.
As sedições coloniais resultaram em mudanças imediatas nas políticas coloniais?;Não. A maioria foi violentamente reprimida e só teve impacto indireto ou posterior.
O que estabelecia o Tratado de Methuen (1703)?;Um acordo entre Portugal e Inglaterra que favorecia a entrada de tecidos ingleses e escoava o ouro brasileiro para a Inglaterra.
Por que o Marquês de Pombal extinguiu o Conselho Ultramarino?;Por considerá-lo corrupto e ineficaz na administração fiscal e colonial.
