Capitanias hereditárias;Modelo descentralizado criado em 1534
Donatários;Administravam as capitanias
Carta de Doação;Documento que concedia a capitania
Foral;Definia direitos e deveres do donatário
Sesmarias;Grandes concessões de terra
Pernambuco;Capitania hereditária próspera
São Vicente;Capitania hereditária próspera
Governo-Geral;Centralização administrativa da colônia
Tomé de Souza;Primeiro governador-geral
Salvador;Primeira capital do Brasil
Provedor-mor;Responsável pelas finanças
Ouvidor-mor;Responsável pela justiça
Capitão-mor da costa;Responsável pela defesa
Vice-Reino do Brasil;Maior centralização colonial
Rio de Janeiro;Capital desde 1763
Câmaras municipais;Poder local dos “homens bons”
Homens bons;Elite colonial local
Conselho Ultramarino;Órgão de controle colonial em Lisboa
Tratado de Tordesilhas;Divisão colonial entre Portugal e Espanha
Tratado de Utrecht (1713);Definiu o Oiapoque como limite com a França
Tratado de Utrecht (1715);Restituiu Sacramento a Portugal
Tratado de Madri;Baseado no uti possidetis
Uti possidetis;Posse efetiva garante domínio
Alexandre de Gusmão;Negociador do Tratado de Madri
Tratado de El Pardo;Anulou o Tratado de Madri
Tratado de Santo Ildefonso;Espanha ficou com Sacramento
Tratado de Badajoz;Portugal manteve conquistas no Sul
Guerra das Laranjas;Contexto do Tratado de Badajoz
Abertura dos portos;Permitiu entrada de estrangeiros
Nova Friburgo;Colônia de imigrantes fundada em 1820
Santa Leopoldina;Colônia de imigrantes fundada em 1818
Rio de Janeiro escravista;Maior porto escravista do mundo
Bantos;Grupo africano predominante inicialmente
Iorubás;Grupo africano predominante depois
Escravo boçal;Escravizado recém-chegado da África
Escravo ladino;Escravizado adaptado à cultura colonial
Escravo de ganho;Trabalhava nas cidades e entregava renda ao senhor
Segunda Escravidão;Intensificação escravista no século XIX
Missão Francesa;Introduziu o neoclassicismo no Brasil
Aristocracia joanina;Elite ligada ao Estado português
José Bonifácio;Líder da fase soberana da PEB
Fase soberana;Reconhecimento sem concessões
Fase dinástica;Política ligada aos Bragança
Primeiro Reinado;Consolidação da independência
Reconhecimento internacional;Objetivo inicial da PEB
Unidade territorial;Prioridade do Império brasileiro
Rubens Ricupero;Historiador da PEB
Sacramento;Área disputada no sul
Sete Povos das Missões;Região disputada entre PT e ESP
Oiapoque;Limite com a Guiana Francesa
Neoclassicismo;Estilo artístico trazido pela Missão Francesa
Corte joanina;Família real portuguesa no Brasil
Centralização colonial;Objetivo do Governo-Geral
Colonização portuguesa;Base agrária e escravista
Elite colonial;Dominava câmaras municipais
Vice-Reino;Estrutura mais centralizada da colônia
;
;
Reinos de Onim e Benim;Primeiros a reconhecer o Brasil (1823)
Estados Unidos;Reconheceram a independência em 1824
México;Reconheceu a independência em 1825
Sir Charles Stuart;Diplomata britânico mediador da independência
Tratado de Paz, Aliança e Amizade;Portugal reconheceu o Brasil em 1825
Indenização de 2 milhões de libras;Exigência portuguesa pelo reconhecimento
Tarifa de 15%;Benefício comercial a Portugal e Inglaterra
Convenção contra o tráfico (1826);Brasil prometeu acabar com tráfico negreiro
Tratado de Comércio e Navegação (1827);Favoreceu produtos britânicos
Tratados desiguais;Benefícios comerciais às potências europeias
Guerra da Cisplatina;Conflito entre Brasil e Províncias Unidas
Cisplatina;Atual Uruguai
Lavalleja;Líder dos 33 Orientais
33 Orientais;Grupo que iniciou a luta cisplatina
Províncias Unidas do Rio da Prata;Atual Argentina
Bloqueio do Rio da Prata;Estratégia militar brasileira
Batalha do Passo do Rosário;Derrota terrestre brasileira
Lord Ponsonby;Mediador britânico na Cisplatina
Estado-tampão;Função do Uruguai entre Brasil e Argentina
“Algodão entre dois cristais”;Expressão sobre o Uruguai
Pedro I;Imperador desgastado pela guerra
Lei da Regência;Criou a Regência Trina Permanente
Regência Trina Permanente;Governo regencial de três membros
Poder Moderador;Atribuição limitada na Regência
Ato Adicional de 1834;Reforma descentralizadora
Regência Una;Substituiu a Regência Trina
Assembleias Provinciais;Maior autonomia regional
Conselho de Estado;Extinto pelo Ato Adicional
Lei Interpretativa de 1840;Recentralização política
Paulino José Soares de Sousa;Autor da Lei Interpretativa
Cabanagem;Revolta popular no Pará
Pará;Província da Cabanagem
Cabanos;Participantes da Cabanagem
Revolução Farroupilha;Revolta elitista no Sul
República Rio-Grandense;República proclamada pelos farroupilhas
Piratini;Capital farroupilha
República Juliana;República criada em SC
Paz de Poncho Verde;Encerramento da Farroupilha
Duque de Caxias;Pacificador da Farroupilha
Revolta dos Malês;Revolta de escravizados muçulmanos
Haitanismo;Medo de revoltas escravas
Sabinada;Revolta separatista baiana
República Baiense;Governo proclamado na Sabinada
Balaiada;Revolta popular no Maranhão
Maranhão;Província da Balaiada
Crise do algodão;Contexto da Balaiada
Regencial;Período entre Pedro I e Pedro II
Descentralização;Marca do Ato Adicional
Recentralização;Marca da Lei Interpretativa
Lusofobia;Hostilidade contra portugueses
Estancieiros;Elite pecuarista gaúcha
Charqueadores;Produtores de charque
Recrutamento forçado;Motivo da Sabinada
Mercenários;Usados na repressão da Cabanagem
Movimento popular;Característica da Cabanagem
Movimento elitista;Característica da Farroupilha
Escravizados muçulmanos;Base da Revolta dos Malês
;
;
Capitanias hereditárias;Divisão inicial do território em lotes para donatários
Governo-Geral;Centralização administrativa colonial
Vice-Reino do Brasil;Maior centralização sob a Coroa portuguesa
Câmaras municipais;Poder local das elites coloniais
Conselho Ultramarino;Órgão de controle colonial em Lisboa
;
;
;
;
;
Tratado de Tordesilhas;Divisão inicial entre Portugal e Espanha
Tratado de Utrecht (1713);Definição do Oiapoque como limite norte
Tratado de Utrecht (1715);Devolução da Colônia do Sacramento
Tratado de Madri (1750);Fronteiras baseadas no uti possidetis
Tratado de El Pardo (1761);Anulação do Tratado de Madri
Tratado de Santo Ildefonso (1777);Ajustes territoriais no sul
Tratado de Badajoz (1801);Confirmação prática das conquistas no sul
;
;
;
;
;
Estrangeiros;Imigração europeia e formação de colônias
Escravizados;Base da economia e maior porto no Rio
Aristocracia/elite;Nobreza ligada ao Estado joanino
Mudanças com a corte;Urbanização e crescimento do Rio de Janeiro
;
;
;
;
;
Lei da Regência (1831);Regência trina com limites ao poder central
Ato Adicional (1834);Descentralização e criação de assembleias provinciais
Lei Interpretativa (1840);Recentralização do poder imperial
Cabanagem;Revolta popular no Pará
Farroupilha;Revolta separatista no Sul
Sabinada;Revolta republicana na Bahia
Balaiada;Revolta popular no Maranhão
Revolta dos Malês;Levante escravizado muçulmano
;
;
;
;
;
Lei eleitoral de 1842;Controle conservador das eleições
