População do Brasil em 1822 (Independência);Entre 4,5 e 4,8 milhões, com 1/3 de escravos.
População do Brasil em 1850;7,5 milhões, com 30% de escravos.
População do Brasil em 1872;10,1 milhões, com 1,5 milhão de escravos.
População do Brasil em 1890;14,3 milhões, com 700 mil escravos em 1886-87.
Distribuição regional da população em 1819;Nordeste (47%), Sudeste (40%), Sul (5%), Norte (4%), Centro-Oeste (3%).
Distribuição regional da população em 1872;Nordeste (46,6%), Sudeste (40,7%), Sul (7,3%), Norte (3,3%), Centro-Oeste (2,2%).
Distribuição regional da população em 1890;Nordeste (41,9%), Sudeste (42,6%), Sul (10%).
Número de escravos no Sudeste e Nordeste em 1822;Número de escravos semelhante no Nordeste e Sudeste.
Número de escravos no Sudeste e Nordeste em 1872;Sudeste tinha 75% mais escravos que o Nordeste.
Número de escravos no Sudeste e Nordeste em 1886-87;Sudeste tinha 133% mais escravos que o Nordeste.
Principais cidades do Brasil em 1821;Rio de Janeiro (112.695 hab.), Salvador (~70 mil), Recife (25-30 mil).
Principais cidades do Brasil em 1872;Rio de Janeiro (275 mil), Salvador (129 mil), Recife (117 mil).
Principais cidades do Brasil em 1890;Rio de Janeiro (523 mil), Salvador (174 mil), Recife (112 mil), São Paulo (65 mil).
Taxa de analfabetismo em 1872;84,3% de analfabetos.
Taxa de analfabetismo em 1890;Analfabetismo ainda próximo de 85%.
Taxa de crescimento do PIB per capita de 1800-1860 (Coatsworth);0,36% ao ano.
Taxa de crescimento do PIB per capita de 1860-1910 (Coatsworth);0,40% ao ano.
Taxa de crescimento do PIB per capita de 1820-1870 (Maddison);0,2% ao ano.
Taxa de crescimento do PIB per capita de 1870-1913 (Maddison);0,3% ao ano.
Taxa de crescimento do PIB per capita de 1800-1850 (Engerman e Sokoloff);0,4% ao ano.
Taxa de crescimento do PIB per capita de 1850-1913 (Engerman e Sokoloff);-0,4% ao ano (incompatível com crescimento cafeeiro e borracha).
Taxa de crescimento do PIB per capita de 1862-1889 (Contador e Haddad);PIB total: 2,68% ao ano, PIB per capita: 0,86% ao ano.
Taxa de crescimento do PIB per capita de 1850-1900 (Furtado);PIB per capita nacional: 1,5% ao ano, PIB per capita da região cafeeira: 2,3% ao ano.
PIB per capita do Brasil em 1820 (Maddison, 2006);US$646.
PIB per capita do Brasil em 1890 (Maddison, 2006);US$794.
PIB per capita do México em 1820 (Maddison, 2006);US$759.
PIB per capita do México em 1890 (Maddison, 2006);US$1.011.
PIB per capita dos EUA em 1820 (Maddison, 2006);US$1.257.
PIB per capita dos EUA em 1890 (Maddison, 2006);US$3.392.
PIB per capita da Europa Ocidental em 1820 (Maddison, 2006);US$1.245 (média).
PIB per capita da Europa Ocidental em 1890 (Maddison, 2006);US$4.009.
Crescimento do PIB no Nordeste durante o Império;Crescimento próximo de zero ou negativo.
Crescimento do PIB no Norte durante o Império;Crescimento per capita de ~4% ao ano.
Crescimento do PIB no Sul durante o Império;Crescimento ligeiramente positivo.
Crescimento do PIB na região cafeeira durante o Império;Crescimento de 1,5% a 2% per capita.
Taxa de crescimento do PIB per capita no Brasil durante o Império;Crescimento entre 0,2% e 0,5% ao ano.
Taxa de crescimento do PIB total no Brasil durante o Império;Crescimento entre 0,3% e 0,4% ao ano.
Produtos exportados do Brasil no século XIX;Açúcar, algodão, fumo e café.
Produto que se tornou o principal exportado a partir da década de 1830;Café.
Percentual de exportações representado por café em 1821-22;⅔ das exportações.
Percentual de exportações representado por café em 1888-89;72,2% das exportações.
Produção de café no Brasil em 1840 (Rio, SP, Minas);Rio (80%), São Paulo (16%), Minas Gerais (6%).
Produção de café no Brasil em 1870 (Rio, SP, Minas);Rio (55%), São Paulo (23%), Minas Gerais (14%).
Produção de café no Brasil em 1880 (Rio, SP, Minas, ES);Rio (41%), São Paulo (35%), Minas Gerais (21%), Espírito Santo (4%).
Participação das exportações de açúcar no total em 1820-1850;30% das exportações.
Participação das exportações de açúcar no total em 1880;10% das exportações.
Produção de açúcar no Brasil em 1850 (Pernambuco, Bahia, Rio de Janeiro);Pernambuco (43%), Bahia (36%), Alagoas, Rio de Janeiro, Paraíba e São Paulo (3-4% cada).
Produção de açúcar no Brasil em 1880 (Pernambuco, Alagoas, Bahia);Pernambuco (50%), Alagoas (15-20%), Bahia e outros estados com pequenas parcelas.
Produção de algodão no Brasil de 1820-1850;Produção modesta (12-13 mil toneladas), liderada por Pernambuco e Maranhão.
Produção de algodão no Brasil em 1870;Pico de 62 mil toneladas devido à Guerra de Secessão nos EUA.
Produção de algodão no Brasil em 1880;Queda para 12-34 mil toneladas, consumo interno tornou-se mais relevante.
Exportação de fumo no Brasil em 1850 e 1880;Exportação de 7 mil toneladas em 1850 para 20 mil toneladas em 1880, com a Bahia dominando o setor.
Exportação de borracha no Brasil em 1850 e 1880;Em 1850, 1.500 toneladas, em 1880, 15 mil toneladas, dominando o mercado mundial.
Indústria no Brasil durante o Império;Economia majoritariamente agrícola com indústrias incipientes no setor têxtil, alimentos e bebidas.
Indústria no Brasil em 1889;Indústria representava cerca de 10% do PIB, com produção doméstica de têxteis atendendo 15% da demanda.
Principais indústrias no Brasil durante o Império;Estaleiro de Ponta d’Areia, Arsenal de Marinha, Arsenal de Guerra.
Impacto do tratado de 1827 na economia brasileira;Manteve a tarifa de importação em 15%, prejudicando a indústria nacional.
Data que o Brasil obteve maior liberdade na política comercial;1845.
Qual foi o pico da mineração no Brasil durante o Império?;A mineração teve pico na década de 1850, seguido por declínio gradual.
