Curvas de Indiferença;"Representação gráfica das preferências do consumidor; combinações de bens que geram o mesmo nível de utilidade."
Inclinação negativa;Ao aumentar o consumo de um bem, reduz-se o do outro.
Convexidade em relação à origem;Reflete a utilidade marginal decrescente: a disposição para substituir um bem por outro diminui à medida que se possui mais de um bem.
Não se cruzam;Cada curva representa um nível único de utilidade.
Taxa Marginal de Substituição (TMS);"Inclinação da curva de indiferença em cada ponto; mostra quanto de um bem o consumidor aceita sacrificar para obter mais de outro mantendo a utilidade constante."
Ponto ótimo de consumo;Ponto em que a curva de indiferença tangencia a restrição orçamentária.
Fronteira de Possibilidade de Produção (FPP);Curva côncava que mostra combinações eficientes de produção de dois bens utilizando plenamente os recursos disponíveis.
Pontos na FPP;"Dentro da curva: ineficiência; fora da curva: inalcançável com os recursos atuais."
Custo de Oportunidade;Quantidade de um bem sacrificada para produzir uma unidade adicional de outro bem.
Lei dos rendimentos decrescentes;Aumentos sucessivos na produção implicam custos de oportunidade crescentes.
Deslocamentos da FPP;Resultam de avanços tecnológicos, aumento dos fatores de produção ou maior eficiência produtiva.
Eficiência produtiva;Ocorre onde a curva de indiferença mais alta tangencia a FPP.
TMT = TMS;A Taxa Marginal de Transformação deve ser igual à Taxa Marginal de Substituição no equilíbrio eficiente.
Elasticidade-preço da demanda;Mede a sensibilidade da quantidade demandada em relação ao preço.
Demanda elástica (|E|>1);A quantidade demandada varia mais que proporcionalmente ao preço.
Demanda inelástica (|E|<1);A quantidade demandada varia menos que proporcionalmente ao preço.
Elasticidade unitária (|E|=1);A variação percentual da quantidade é igual à variação percentual do preço.
Receita total e elasticidade;"Em demanda elástica, aumento de preço reduz RT; em demanda inelástica, aumenta RT."
Elasticidade-renda da demanda;Mede a variação da demanda em resposta a mudanças na renda.
Bem normal;"Elasticidade-renda positiva; demanda aumenta com a renda."
Bem inferior;"Elasticidade-renda negativa; demanda cai quando a renda aumenta."
Bem de Giffen;Bem inferior cuja demanda aumenta quando o preço sobe.
Elasticidade-preço cruzada da demanda;Mede a relação entre a demanda de um bem e o preço de outro.
Bens complementares;"Elasticidade cruzada negativa; consumidos conjuntamente."
Bens substitutos;"Elasticidade cruzada positiva; podem substituir-se mutuamente."
Bens independentes;Elasticidade cruzada igual a zero.
Elasticidade-preço da oferta;Mede a sensibilidade da quantidade ofertada às variações de preço.
Oferta elástica;Quantidade ofertada responde fortemente às mudanças de preço.
Oferta inelástica;Quantidade ofertada responde pouco às mudanças de preço.
Concorrência perfeita;Muitos compradores e vendedores, produtos homogêneos e livre entrada e saída.
Implicações da concorrência perfeita;"P = CMg = RMg; lucro econômico zero no longo prazo; eficiência produtiva e alocativa."
Monopólio;Um único vendedor com poder de mercado e barreiras à entrada.
Implicações do monopólio;"P > CMg; lucro econômico positivo; existência de peso morto."
Discriminação de preços de 1º grau;Cada consumidor paga o preço máximo que aceita pagar.
Discriminação de preços de 2º grau;Preços diferentes conforme quantidade ou versão do produto.
Discriminação de preços de 3º grau;Preços diferentes para grupos distintos de consumidores.
Monopólio natural;Uma empresa produz a custos menores que várias devido a economias de escala.
Oligopólio;Poucos vendedores com interdependência estratégica.
Implicações do oligopólio;Possibilidade de conluio e aplicação da teoria dos jogos.
Modelo de Stackelberg;"Empresas decidem produção sequencialmente; líder possui vantagem estratégica."
Modelo de Bertrand;Empresas competem por preços definidos simultaneamente.
Modelo de Cournot;Empresas escolhem simultaneamente quantidades produzidas.
Custos fixos;"Não variam com a produção; existem apenas no curto prazo."
Custos variáveis;Variam conforme o nível de produção.
Custo total;Soma dos custos fixos e variáveis.
Custo médio;Custo total dividido pela quantidade produzida.
Custo marginal;Custo de produzir uma unidade adicional.
Economia de escala;O custo médio cai conforme aumenta a produção.
Bens públicos;Não rivais e não exclusivos.
Efeito carona;Indivíduo usufrui de um bem público sem pagar por ele.
Bens privados;Rivais e exclusivos.
Recursos comuns;Não exclusivos, mas rivais.
Externalidades;Impactos sobre terceiros não envolvidos diretamente na transação.
Teorema de Coase;Externalidades podem ser resolvidas privadamente se houver baixos custos de transação e direitos bem definidos.
Imposto pigouviano;Tributo criado para corrigir externalidades negativas.
PIB;Soma dos bens e serviços finais produzidos em uma economia em determinado período.
Ótica do produto;PIB = valor da produção − consumos intermediários.
Ótica da renda;PIB = soma das remunerações aos fatores de produção.
Ótica da despesa;PIB = C + I + G + (X − M).
PIBpm x PIBcf;PIB a preços de mercado inclui impostos indiretos e subsídios.
Produto interno x nacional;"Interno: produzido no território; nacional: produzido por nacionais dentro ou fora do país."
Deflator do PIB;Razão entre PIB nominal e PIB real.
Hiato do produto;Diferença percentual entre PIB efetivo e potencial.
Balanço de Pagamentos;Registro das transações entre residentes e não residentes.
Transações correntes;Incluem balança comercial, serviços, renda primária e secundária.
Conta capital;Registra ativos não financeiros não produzidos e transferências de capital.
Conta financeira;Registra transações com ativos e passivos financeiros.
Meio de troca;Função da moeda que elimina a coincidência dupla de desejos.
Unidade de conta;Permite medir e comparar valores.
Reserva de valor;Permite armazenar riqueza ao longo do tempo.
;
Política Monetária;Conjunto de instrumentos usados para controlar a oferta de moeda e as taxas de juros para atingir objetivos macroeconômicos.
