Tópico / Subtópico do Edital;Tema de Redação Discursiva
1.1 Expansão colonial e pensamento geográfico;"Analise como as expedições de exploração e os tratados de limites (Tordesilhas, Madri) produziram um conhecimento geográfico utilitário a serviço das metrópoles europeias, relacionando a ""geografia dos descobridores"" com a justificativa para a ocupação territorial."
1.2 A Geografia moderna e a questão nacional na Europa;Discorra sobre o papel da Geografia moderna (séc. XIX) na construção dos Estados-nação europeus, tomando como exemplo as obras de Humboldt, Ritter e Ratzel, e como o determinismo ambiental serviu para legitimar processos de unificação e expansão territorial.
1.3 As principais correntes teóricas da Geografia;Compare a abordagem regional (Geografia Tradicional - Vidal de La Blache) com a Geografia Crítica (Milton Santos, David Harvey), discutindo como cada uma concebe a relação entre sociedade e natureza e o papel do espaço na reprodução das desigualdades.
2.1 Distribuição espacial da população no Brasil e no mundo;"Analise a formação do ""vazio demográfico"" na Amazônia Legal e a densidade populacional no Sudeste e litoral brasileiros, relacionando-os com fatores históricos (ciclos econômicos), naturais (clima, relevo) e de infraestrutura."
2.2 Os grandes movimentos migratórios internacionais e intranacionais;"Discorra sobre a migração nordestina para o Sudeste (décadas 1950-1980) como reflexo da industrialização concentrada, contrastando-a com o ""novo padrão migratório"" do século XXI (retorno ao Nordeste, fluxos intra-regionais e migração para o Centro-Oeste)."
2.3 Dinâmica populacional e indicadores da qualidade de vida das populações;Analise o processo de transição demográfica brasileira (queda da mortalidade e da fecundidade, envelhecimento populacional) e discuta seus impactos na previdência social, no mercado de trabalho e na demanda por políticas públicas de saúde.
3.1 Globalização e divisão internacional do trabalho;Caracterize a Nova Divisão Internacional do Trabalho (NDIT), na qual os países centrais especializam-se em inovação e serviços (4.0), enquanto países periféricos (como o Brasil) mantêm-se como fornecedores de commodities e plataformas industriais de baixo valor agregado.
3.2 Formação e estrutura dos blocos econômicos internacionais;Compare os modelos de integração regional da União Europeia (aprofundamento político-institucional) com o MERCOSUL (ênfase comercial, com assimetrias entre Brasil e Argentina), discutindo os desafios para avançar além da união aduaneira imperfeita.
3.3 Energia, logística e reordenamento territorial pós-fordista;Analise como o sistema de transporte brasileiro (predomínio rodoviário, gargalos ferroviários e portuários) e a matriz energética (hidrelétrica + pré-sal) condicionam o escoamento da produção do agronegócio e da indústria, gerando ineficiências logísticas.
3.4 Disparidades regionais e planejamento no Brasil;Discuta a atuação das Superintendências Regionais (SUDENE, SUDAM, SUDESUL) como instrumentos de planejamento estatal para redução das desigualdades regionais, avaliando seus resultados e críticas (clientelismo, falta de continuidade).
4.1 Distribuição geográfica da agricultura e pecuária mundiais;Analise a especialização produtiva do cinturão do agronegócio global (soja nos EUA/Brasil/Argentina, trigo na Ucrânia/Rússia, carne bovina no Brasil/Índia), relacionando-a com a dependência alimentar de países importadores e com a volatilidade dos preços internacionais.
4.2 Estruturação e funcionamento do agronegócio no Brasil e no mundo;Caracterize o complexo agroindustrial da soja no Centro-Oeste brasileiro, discutindo a integração entre produção, processamento (commodities) e logística (portos de Santarém, Paranaguá), bem como os impactos socioambientais (desmatamento, concentração fundiária).
4.3 Estrutura fundiária, uso da terra e relações de produção no campo brasileiro;Analise o índice de Gini da terra no Brasil como expressão da concentração fundiária histórica, discutindo os conflitos entre latifúndio exportador e agricultura familiar (assentamentos, MST) e o papel do Estatuto da Terra (1964) e da Funai na demarcação de terras indígenas.
5.1 Processo de urbanização e formação de redes de cidades;Discorra sobre a urbanização tardia e acelerada brasileira (1950-1980) como resultado do êxodo rural e da industrialização, caracterizando a rede urbana brasileira como hierarquizada (metrópoles, capitais regionais, centros locais) e com forte primazia de São Paulo.
5.2 Conurbação, metropolização e cidades-mundiais;Analise a formação da Região Metropolitana de São Paulo como processo de conurbação (ABCD, Guarulhos) e classifique a posição de São Paulo na hierarquia das cidades-globais (Alpha segundo o GaWC), discutindo seus atributos de comando financeiro e seus problemas de governança metropolitana.
5.3 Dinâmica intraurbana das metrópoles brasileiras;"Discuta a segregação socioespacial nas metrópoles brasileiras (Rio, SP, Salvador) a partir da localização das elites em bairros planos e infraestruturados e das periferias populares em áreas de risco (morros, várzeas), relacionando com os conceitos de ""cidade formal vs. informal""."
5.4 O papel das cidades médias na modernização do Brasil;"Analise como cidades médias (ex: Chapecó/SC, São José dos Pinhais/PR, Uberlândia/MG) funcionam como ""centros de gestão do território"" para o agronegócio e polos de ensino superior, articulando o campo com as metrópoles nacionais."
6.1 Teorias geopolíticas e poder mundial;Compare a visão de Heartland de Mackinder (controle da Eurásia) com a visão de Rimland de Spykman (controle das costas) e discuta como essas teorias influenciaram a estratégia norte-americana de contenção à União Soviética durante a Guerra Fria.
6.2 Temas clássicos da geografia política: fronteiras e formas de apropriação política do espaço;"Discuta a evolução do conceito de fronteira: de linha de separação rígida (Estado-nação) para ""fronteira-zona"" de integração (ex: fronteira Brasil-Argentina, com cidades gêmeas como Foz do Iguaçu-Puerto Iguazú) e para fronteira-seletiva (controle migratório na UE pós-2015)."
6.3 Relações Estado e território;"Analise o conceito de ""território usado"" (Milton Santos) como síntese entre o território nacional (jurídico-político) e os fluxos econômicos e sociais, discutindo como a União, estados e municípios disputam a regulação do uso do solo, da mineração e dos recursos hídricos."
7.1 O meio ambiente nas relações internacionais: questões conceituais e institucionais;"Discorra sobre o princípio das ""responsabilidades comuns, porém diferenciadas"" (UNFCCC, 1992) como eixo central das negociações climáticas, analisando o conflito entre países desenvolvidos (históricos emissores) e países em desenvolvimento (direito ao desenvolvimento) no Acordo de Paris."
7.2 Macrodivisão natural do espaço brasileiro: biomas, domínios e ecossistemas;Compare os domínios morfoclimáticos da Amazônia (equatorial úmido) e do Cerrado (savânico), discutindo suas diferenças de biodiversidade, solo e regime hídrico, bem como os impactos da frente de expansão agropecuária sobre a savanização e o arco do desmatamento.
7.3 Política e gestão ambiental no Brasil;Analise o Sistema Nacional de Unidades de Conservação (SNUC - Lei 9.985/2000) e a distinção entre UCs de proteção integral (Parques Nacionais) e de uso sustentável (Reservas Extrativistas, RPPNs), discutindo conflitos fundiários e efetividade da gestão (ICMBio).
