Qual é o período identificado por Eugênio Vargas Garcia como de prevalência do pan-americanismo na política externa brasileira?;De 1889 (I Conferência Pan-Americana) até 1961 (início da Política Externa Independente - PEI).
Qual foi o ponto de inflexão do Brasil na I Conferência Pan-Americana?;A mudança de regime do Império para a República, que resultou em mudança de delegação e postura favorável ao pan-americanismo.
Como o pan-americanismo é conceituado por Eugênio Vargas Garcia?;Um ideal originado no monroísmo, que sustenta o sistema interamericano com base na unidade hemisférica e na alteridade em relação ao resto do mundo.
Que dois elementos marcaram a política externa brasileira entre 1889 e 1961 segundo Garcia?;A idealização do pan-americanismo e a crença em uma entente com os Estados Unidos.
Qual o papel do Barão do Rio Branco no fortalecimento do pan-americanismo?;Aproximou o Brasil dos EUA com uma “aliança não escrita” e incorporou a Doutrina Monroe ao discurso diplomático.
Como o Brasil atuou na III Conferência Pan-Americana (1906)?;Defendeu a Doutrina Monroe e reafirmou o alinhamento com os EUA.
O que motivou a reaproximação com o hemisfério após a Primeira Guerra Mundial?;O fracasso do Brasil em obter assento permanente no Conselho da Liga das Nações.
Como a Doutrina Aranha expressa a política externa brasileira?;Combinava apoio aos EUA no cenário mundial com a expectativa de apoio dos EUA na América do Sul.
Que tratado foi assinado no início da Guerra Fria e simboliza o pan-americanismo?;O Tratado Interamericano de Assistência Recíproca (TIAR), assinado em 1947 no Rio de Janeiro.
O que caracteriza o período conhecido como “alinhamento sem recompensa”?;A frustração das expectativas brasileiras quanto ao apoio dos EUA, apesar do alinhamento político e militar.
Qual foi a proposta de Juscelino Kubitschek no âmbito pan-americanista?;A Operação Pan-Americana (OPA), que priorizava a dimensão econômico-social da integração hemisférica.
O que marca a ruptura com o pan-americanismo tradicional?;A Política Externa Independente (PEI), iniciada em 1961, com foco na autonomia e ampliação das relações internacionais.
Que contexto favoreceu o fim do pan-americanismo na política externa brasileira?;O fracasso da OPA e a vitória da Revolução Cubana em 1959.
Qual foi a importância da I Conferência Pan-Americana (1889–1890)?;Representou o início do sistema interamericano e debateu temas como arbitragem, união aduaneira e moeda comum.
