Com quem o Brasil tinha vínculos mais fortes até o fim do século XIX?;Com a Europa, especialmente a Grã-Bretanha.
Por que o Brasil se aproximou dos EUA no fim do século XIX?;Pelo interesse nos mercados de café e pela inspiração na experiência republicana dos EUA.
Como era a aliança Brasil-EUA até os anos 1940?;Informal, sem assistência militar, mas com apoio diplomático e econômico.
A relação Brasil-EUA no século XX teve tensões?;Sim, houve frustrações e tensões em fases de alinhamento e autonomia.
Quando ocorreu a fase de alinhamento Brasil-EUA?;De 1942 a 1977.
Até quando o Brasil buscou autonomia externa?;Até 1990, com maior independência nas decisões.
Quando começou a fase de ajustamento Brasil-EUA?;Após 1990, com postura mais flexível frente aos EUA.
Como o Brasil se posicionou na Segunda Guerra Mundial?;Alinhou-se totalmente aos EUA, entrando na guerra ao lado dos aliados.
Qual a importância da relação Brasil-EUA para a política hemisférica norte-americana?;Foi central para ambos os países no século XX.
Quando começou a aliança informal Brasil-EUA?;Na Primeira República, com apoio diplomático e econômico.
Qual foi o papel do Barão do Rio Branco na visão sobre os EUA?;Foi fundamental para consolidar a visão dos EUA como principal potência.
Houve frustrações durante a fase de alinhamento?;Sim, especialmente em temas econômicos e militares.
O Brasil buscou apoio econômico dos EUA nas décadas de 1950-60?;Sim, mas houve frustração pela falta de apoio efetivo.
Como o Brasil avaliou a ajuda dos EUA na contenção do comunismo nos anos 1960?;Ficou frustrado pela falta de compensações.
Por que o Brasil se frustrou na década de 1970?;Por não ser reconhecido como país-chave e pelas políticas de não proliferação nuclear.
Qual foi o impacto da crise da dívida externa nos anos 1980?;Frustração do Brasil com a falta de soluções dos EUA.
Como o Brasil reagiu às crises financeiras globais nos anos 1990?;Ficou frustrado com a falta de apoio dos EUA.
O Brasil sempre apoiou as políticas econômicas dos EUA?;Não, teve políticas nacionalistas que geraram tensões.
O Brasil apoiou os EUA nas guerras da Coreia e Vietnã?;Não, resistiu a apoiar.
Qual foi a posição do Brasil sobre a política dos EUA na América Central nos anos 1980?;Criticou abertamente.
Qual foi a posição do Brasil na Guerra do Golfo (1990)?;Criticou e não apoiou os EUA.
Como estava a cooperação Brasil-EUA no final do século XX?;Intensificada, sobretudo em áreas econômicas e diplomáticas.
A relação Brasil-EUA foi estável no século XX?;Não, passou por fases de alinhamento, autonomia e ajustamento.
O que incluía a agenda de primeiro nível Brasil-EUA?;Temas regionais, mundiais e segurança internacional.
O que incluía a agenda de segundo nível Brasil-EUA?;Direitos humanos, meio ambiente e temas não governamentais.
O Brasil sempre alinhou-se às políticas de segurança dos EUA?;Não, resistiu em casos como a Guerra do Iraque.
Qual foi a importância da ALCA para a relação Brasil-EUA nos anos 1990?;Foi parte importante das relações econômicas bilaterais.
Como foi a postura do Brasil no governo Médici frente aos EUA?;Mais independente, com tensões em certas áreas.
O Brasil teve postura passiva nas negociações bilaterais?;Não, buscou afirmar seus interesses.
Como a relação Brasil-EUA mudou no século XXI?;Houve transformações nas perspectivas de ambos os países.
O Brasil seguiu sempre a liderança dos EUA?;Não, frequentemente questionou, especialmente em questões militares e econômicas.
Houve interação governamental Brasil-EUA no século XX?;Sim, com complexa dinâmica de relações oficiais e sociais.
Como foi a posição do Brasil na Guerra Fria?;Buscou maior independência e autonomia, sem alinhamento automático.
O Brasil foi sempre aliado estratégico dos EUA em segurança internacional?;Não, houve momentos de resistência, como nas críticas à Guerra do Iraque e à Guerra do Golfo.
Que eventos nos anos 1930 transformaram Brasil e EUA?;A Revolução de 1930 e a chegada de Franklin Roosevelt ao poder.
O que foi a “política da boa vizinhança” dos EUA?;Política dos anos 1930 para melhorar relações com a América Latina, afastando práticas intervencionistas.
Houve sistema de segurança hemisférica Brasil-EUA na Segunda Guerra Mundial?;Sim, com cooperação militar e diplomática.
Quantas fases de alinhamento Brasil-EUA ocorreram entre 1940 e 1977?;Três fases, com diferentes níveis de cooperação e tensões.
Na 1ª fase de alinhamento, houve pressões dos EUA?;Sim, para financiar o desenvolvimento brasileiro, gerando tensões.
O que marcou a 2ª fase de alinhamento (1960s)?;Modelo nacionalista brasileiro, gerando tensões sobre Petrobrás e políticas econômicas.
O que ocorreu na 3ª fase de alinhamento (1964-1977)?;Abandono da Política Externa Independente após o golpe militar de 1964.
Qual era o objetivo da Política Externa Independente (PEI)?;Ampliar a autonomia do Brasil e se afastar da bipolaridade da Guerra Fria.
Que medidas de Goulart e Brizola afetaram os EUA?;Nacionalização de empresas estrangeiras, prejudicando interesses americanos.
O golpe de 1964 teve influência externa?;Sim, apoio dos EUA ao regime militar.
Qual foi a postura de Geisel nas relações com os EUA?;Buscou autonomia e “relação especial”, interrompida por Jimmy Carter.
Por que houve tensões entre Carter e o Brasil?;Ativismo dos EUA na defesa dos direitos humanos.
Geisel manteve alinhamento irrestrito com os EUA?;Não, buscou maior autonomia.
Geisel focou apenas nos EUA?;Não, diversificou relações com América Latina, China e União Soviética.
Quando começou a fase de ajustamento Brasil-EUA?;Após 1990, com a consolidação democrática.
Quais temas marcaram a agenda externa de Collor?;Direitos humanos, meio ambiente, privatizações e liberalização econômica.
A crise interna de Collor afetou a política externa?;Sim, foco passou a ser o Mercosul e questões regionais.
Qual foi a postura de FHC frente aos EUA?;Buscou relação amistosa e prestígio internacional.
Tensões econômicas e comerciais limitaram reaproximação no governo FHC?;Sim, junto com diferenças no pós-Guerra Fria.
Como os EUA viam os esforços do Brasil no Consenso de Washington?;Consideravam insuficientes para atender às orientações neoliberais.
Situação econômica do Brasil nos anos 1990;Dificuldades para retomar crescimento e vulnerabilidade a crises monetárias internacionais.
Posição do Brasil no comércio mundial nos anos 1990;Tornou-se marginalizado, enfraquecendo posição no cenário empresarial e em organismos de crédito.
Complexidade das relações econômicas Brasil-EUA nos anos 1990;Relações tornaram-se mais complexas, com diferentes interesses e pressões.
Principal fonte de investimentos estrangeiros no Brasil (1991-1998);Estados Unidos, especialmente nos setores financeiro e manufatureiro.
Impacto da estabilização econômica de 1994 nos investimentos;Estabilização e controle da inflação atraíram mais investimentos estrangeiros.
Política econômica brasileira nos anos 1990 e capital externo;Favoreceu o capital privado transnacional.
Satisfação dos EUA com privatizações no Brasil nos anos 1990;Houve insatisfação, especialmente em setores estratégicos.
Críticas dos EUA ao sistema tributário brasileiro nos anos 1990;Sistema tributário pesado, absorvendo cerca de 30% do PIB.
Brasil como destino de investimentos diretos dos EUA;Maior destino na América Latina e no Terceiro Mundo.
Setores que receberam mais investimentos dos EUA nos anos 1990;Financeiro e manufatureiro.
Transparência na regulação econômica brasileira segundo os EUA;Criticada pela falta de transparência.
Privatizações no setor de petróleo e energia elétrica;Processo considerado incompleto pelos EUA.
Saldo comercial dos EUA com o Brasil após 1994;Tornou-se positivo e constante.
Crescimento das exportações EUA-Brasil após 1994;Exportações dos EUA para o Brasil cresceram mais rapidamente.
Queixas bilaterais sobre comércio;Ocorreram devido a assimetrias nas exportações.
Reação brasileira à falta de reciprocidade dos EUA no comércio;Passou a se ressentir da falta de reciprocidade.
Discrepâncias comerciais após liberalização dos anos 1990;Persistiram, não foram superadas.
Impacto das discordâncias comerciais nas negociações multilaterais;Prejudicaram as negociações em fóruns como a OMC.
Efeito da liberalização comercial brasileira nos anos 1990;Impulsionou exportações dos EUA para o Brasil.
Déficit comercial com os EUA após desvalorização do real (1999);Reduziu-se.
Efeito do 11 de setembro nas tensões comerciais Brasil-EUA;Tensões aumentaram devido à “securitização” das políticas protecionistas dos EUA.
Impacto da criação da OMC (1994) na postura do Brasil;Fortaleceu o compromisso com o comércio multilateral e disputas internacionais.
Participação do Brasil em consultas multilaterais pós-OMC;Tornou-se mais ativa.
Estratégia do Brasil na OMC contra restrições dos EUA;Formou coalizões com países em desenvolvimento para contestar políticas.
Disputas do Brasil no GATT (1948-1991);Participou de 13 disputas, sendo 10 como demandante.
Brasil defendeu a criação da OMC e formou coalizão na Rodada do Milênio?;Sim, foi defensor e teve papel central na formação de coalizões no comércio multilateral.
Posição do Brasil sobre Nafta e Mercosul nos anos 1990?;Focou mais no Mercosul, mas passou a se envolver na ALCA após os anos 1990.
Postura inicial e posterior do Brasil sobre a ALCA?;Inicialmente desinteressado, depois defendeu a negociação nas cúpulas de Miami e Santiago.
Preocupação do Brasil com a ALCA em relação ao Mercosul?;Sim, receava impactos negativos, especialmente considerando Chile e Argentina.
Interesse do Brasil pelo Nafta?;Passou a se envolver mais na ALCA e negociações ligadas ao Nafta a partir dos anos 1990.
Relações comerciais Brasil-EUA após 11/09?;Tensões aumentaram e discordâncias ficaram mais visíveis.
Razão do aumento das exportações dos EUA para o Brasil após 1994?;Devido à liberalização comercial e estabilidade econômica, não apenas ao crescimento econômico.
Participação do Brasil no GATT entre 1948 e 1991?;Foi principal demandante em 10 das 13 disputas nesse período.
Impacto do Mercosul no comércio regional?;Positivo, como parte de uma iniciativa para criar área de livre-comércio hemisférica.
Postura do Brasil nas negociações sobre exportações agrícolas?;Favorável à liberalização e contra subsídios agrícolas.
Tensões comerciais após adesão do Brasil à OMC?;Continuaram, especialmente sobre subsídios agrícolas e propriedade intelectual.
Preferência do Brasil: Nafta ou Mercosul?;Mais favorável ao Mercosul, integrando-se a países como Argentina.
