uando começou a Guerra dos Bôeres na África do Sul em 1900?;No início de 1900, com a décima primeira semana da guerra.
Quais eram as duas repúblicas bôeres independentes?;República do Transvaal e Estado Livre de Orange.
Qual cidade foi libertada pelos britânicos em janeiro de 1900?;Ladysmith.
O que significa o verbo “to Maffick”?;Celebrar sem inibição, originado após a libertação de Mafeking.
Quem eram os Boxers na China?;Rebeldes do movimento “Punhos Harmoniosos e Justos” que atacavam estrangeiros e missionários.
Que países enviaram tropas para proteger as legações em Pequim em 1900?;Estados Unidos, Reino Unido, Rússia, Itália, França e Japão.
Qual foi a ordem do Kaiser Guilherme II aos soldados alemães na China?;"“Quando encontrarem o inimigo, derrotem-no; não haverá tréguas nem prisioneiros.”"
Qual evento de destaque marcou a vida política britânica em 1900?;Criação do Comitê de Representação Trabalhista para levar trabalhadores ao Parlamento.
Quem foi o secretário do Comitê de Representação Trabalhista que se tornou primeiro-ministro?;Ramsay MacDonald.
Qual império enfrentava conflitos internos devido à diversidade étnica em 1900?;O Império Austro-Húngaro.
Qual líder revolucionário começou a atuar entre trabalhadores georgianos em 1900?;Josef Dzhugashvili (Stálin).
Qual líder do Partido Operário Social-Democrata Russo estava no exílio na Suíça em 1900?;Vladimir Ulyanov (Lênin).
Que província finlandesa rejeitou a imposição do russo como língua oficial em 1900?;A Finlândia, então sob o Império Russo.
Qual império enfrentava conflitos com várias nacionalidades na Macedônia e Albânia?;O Império Otomano.
Qual epidemia afetou Hong Kong em 1900?;Peste bubônica.
Quantas pessoas morreram na Índia por fome entre 1899 e 1901?;Aproximadamente 2 milhões.
Onde aconteceram os primeiros Jogos Olímpicos modernos fora de Atenas?;Paris, em 1900.
Qual país liderou no número de medalhas de ouro em Paris 1900?;França, com 29 medalhas.
Que invenções importantes surgiram em 1900?;William Crookes isolou o urânio (Reino Unido), inventou-se o revólver (EUA) e o dirigível de Zeppelin fez seu primeiro voo (Alemanha).
Quando morreu a rainha Vitória e quanto tempo reinou?;Em 22 de janeiro de 1901, reinou por 61 anos.
Quantas mulheres e crianças bôeres morreram nos campos de concentração britânicos?;28 mil.
Quantos africanos negros morreram nos campos britânicos na África do Sul?;50 mil.
Por que o Reino Unido entrou em conflito com o Kuwait em 1901?;"O sultão turco tentou controlar o Kuwait; o Reino Unido interveio para proteger seu tratado com o xeque do Kuwait."
Qual foi o primeiro submarino lançado pelo Reino Unido?;"Em 1901, o primeiro submarino britânico foi lançado; em dez anos, 56 haviam sido construídos."
Qual invenção de Marconi em 1901 permitiu transmitir mensagens sem fio pelo Atlântico?;Telegrafia sem fio, recebendo sinais da estação na Cornualha.
Quem foi baleado em 6 de setembro de 1901 nos Estados Unidos?;O presidente William McKinley.
Quem assumiu a presidência dos EUA após o atentado contra McKinley?;Theodore Roosevelt, seu vice-presidente.
Qual descoberta nos EUA em 1901 teve grande impacto econômico?;O petróleo foi descoberto no Texas.
Qual foi a importância da Corporação de Aço dos EUA em 1901?;Tornou-se a maior corporação do país, com capital de 1,3 bilhão de dólares.
Quantos imigrantes chegaram aos EUA em 1901?;"Quase 500 mil; o maior grupo eram italianos (135.996) e judeus russos (mais de 80 mil)."
Quem apoiava os protestos estudantis na Rússia em 1901 e foi excomungado?;O escritor Liev Tolstói.
Que ação simbolizou o início de um movimento revolucionário no Cáucaso?;Protestos estudantis em Tiflis, com participação de Josef Stalin.
Que medida militar britânica foi usada contra os bôeres em 1901?;Construção de 8 mil abrigos e quase 6 mil km de arame farpado.
Que tecnologia musical surgiu em 1901?;O vinil de gramofone feito de goma-laca.
Quem recebeu o primeiro Prêmio Nobel em 1901?;Prêmios foram dados nas áreas de física, química e medicina.
Quantas pessoas morreram de peste na Índia em 1901?;Mais de 250 mil.
Quantas pessoas morreram de fome na China em um único mês de 1901?;Cerca de 2,5 milhões.
Quando terminou a resistência bôer e qual foi a reação em Londres?;"Em junho de 1902; houve comemorações nas ruas de Londres."
Qual ação dos EUA na Colômbia em 1901 demonstrou seu poder militar?;Envio de fuzileiros navais para apoiar o governo colombiano contra revolucionários.
Que país reprimiu atividades revolucionárias no Haiti em 1901?;A Alemanha, com uma canhoneira que afundou um navio-almirante.
Que medidas o governo alemão tomou contra poloneses em 1901-1902?;Restrição à língua polonesa, expulsão de alunos, colonização com alemães, repressão ao sentimento nacional.
Que tratado de paz foi assinado entre a China e as potências estrangeiras em 1901?;Em 7 de setembro de 1901, reconheceu guarnições estrangeiras e indenizações por perdas na Rebelião dos Boxers.
O que aconteceu em Trieste, no Império Austro-Húngaro, em fevereiro de 1902?;"Tropas abriram fogo contra manifestantes que exigiam jornada de oito horas; doze pessoas morreram."
Que cidade espanhola teve manifestantes mortos e estado de sítio declarado em 1902?;Barcelona.
Onde na Bélgica soldados abriram fogo contra manifestantes em 1902?;Em Louvain, oito trabalhadores foram mortos.
Como Roosevelt interveio na greve de carvão nos EUA em 1902?;Ameaçou enviar tropas federais e persuadiu donos e mineiros a aceitar uma comissão de sindicância.
O que aconteceu com os soldados russos relutantes em abrir fogo contra manifestantes em 1902?;Alguns regimentos amotinaram-se, incluindo um sargento em Tula.
Que partido socialista judeu estava forte na Rússia ocidental e nas províncias polonesas e lituanas em 1902?;O Partido dos Trabalhadores Socialistas Judeus, “Bund”.
Que partido russo fundado em 1902 se concentrava em assassinatos de autoridades?;O Partido Socialista Revolucionário.
Quem foi assassinado em São Petersburgo em abril de 1902?;O Ministro do Interior russo.
Que estudante revolucionário foi preso no Cáucaso em 1902 e depois exilado na Sibéria?;Josef Stálin.
Que conflito ocorreu em setembro de 1902 entre sérvios e croatas?;Tumultos em Zagreb devido a um jornal que negava a nacionalidade separada dos croatas.
Que rebeldes búlgaros agiram na Macedônia otomana em 1902?;Cruzaram a fronteira, atacaram o exército turco e declararam um governo provisório.
Quais desastres naturais ocorreram em 1902?;Terremoto no Cáucaso (2 mil mortos), erupção do Monte Pelée na Martinica (30 mil mortos), erupção do Soufrière em São Vicente (2 mil mortos) e cólera no Egito (20 mil mortos).
Quantas pessoas morreram de peste na Índia britânica em 1902?;Mais de meio milhão.
Quem recebeu o Prêmio Nobel de Medicina em 1902 e por quê?;Ronald Ross, pela descoberta do parasita da malária e estudos sobre seu combate.
