O que é soberania para o construtivismo?;Uma prática social construída por normas e interações entre Estados.
Por que a soberania é mutável no construtivismo?;Porque depende das práticas e entendimentos intersubjetivos.
O que é soberania para o realismo?;Um dado natural e permanente dos Estados no sistema anárquico.
Por que a soberania é central no realismo?;Porque garante a autonomia dos Estados num sistema sem autoridade superior.
O que defende Alexander Wendt sobre a soberania?;Que é sustentada por normas sociais compartilhadas entre Estados.
Por que as práticas estatais são importantes no construtivismo?;Porque constroem e mantêm instituições como a soberania.
O que é soberania para o marxismo?;Um instrumento político das elites para manter a dominação capitalista.
Por que o marxismo critica a soberania?;Porque serve aos interesses das classes dominantes e oculta desigualdades.
O que é soberania para o liberalismo?;Um conceito que pode se adaptar à cooperação internacional e interdependência.
Por que o liberalismo flexibiliza a soberania?;Porque valoriza as instituições internacionais e a cooperação entre Estados.
Qual o papel das normas para o construtivismo?;Moldam comportamentos e identidades dos Estados.
Por que a identidade estatal importa para o construtivismo?;Porque a soberania depende do reconhecimento mútuo entre Estados.
O que diz o texto “Anarchy is what states make of it”?;Que a anarquia internacional é construída socialmente, não é um dado fixo.
O que Wendt pensa sobre estrutura e agente?;Que são co-constitutivos, não separados rigidamente.
Por que a soberania pode desaparecer no construtivismo?;Porque precisa ser reproduzida continuamente nas práticas dos Estados.
Como a teoria crítica vê a soberania?;Como construção histórica com efeitos de exclusão e dominação.
Por que a soberania não é neutra para as teorias críticas?;Porque serve para manter estruturas de poder e desigualdade.
O que é necessário para a constituição da soberania segundo Wendt?;Uma comunidade de reconhecimento mútuo entre Estados.
Qual a visão do neorrealismo sobre soberania?;Um dado estrutural que molda comportamentos em um sistema anárquico.
Por que o neorrealismo não vê soberania como causa de autarquia?;Porque o foco está na anarquia e no equilíbrio de poder, não no isolamento.
O que foi o Tratado de Vestfália (1648)?;Um marco do início do modelo moderno de soberania estatal.
O que a Carta da ONU diz sobre soberania?;Reforça a igualdade soberana de todos os Estados membros.
Por que a teoria crítica rejeita a neutralidade analítica?;Porque entende que toda análise carrega valores e posicionamentos.
O que defende o pós-estruturalismo em RI?;A desconstrução das verdades fixas e das categorias tradicionais como “soberania”.
O que trouxe a Revolução Behaviorista às RI?;Uso de métodos quantitativos e rigor científico a partir dos anos 1970.
O que o liberalismo defende sobre intervenção internacional?;"Depende do contexto; valoriza direitos humanos, mas não apoia intervenção automática."
Por que a soberania não impede interação entre Estados?;Porque garante autonomia e permite relações mesmo sob anarquia.
O que o construtivismo pensa sobre o sistema internacional?;Que ele é mutável e socialmente construído.
Quem é Michael Cox nas RI?;Um autor marxista da teoria crítica.
O que propõe o behaviorismo nas RI?;Uso de dados empíricos, sem abandonar a teoria.
O que diz o realismo clássico sobre a estrutura internacional?;Que é estável e baseada na luta constante pelo poder.
Por que a teoria crítica busca emancipação?;Para combater desigualdades e estruturas de dominação.
Quais autores influenciam o pós-estruturalismo?;Foucault e Derrida.
O que a ONU diz sobre intervenção?;Mantém o princípio da não intervenção, com exceções autorizadas.
Quem foi Kenneth Waltz?;Um autor neorrealista, não liberal.
Por que o construtivismo rejeita a separação entre indivíduo e estrutura?;Porque ambos se formam mutuamente.
O que ocorreu com a soberania no século XX?;Foi redefinida, mas não eliminada.
O que o liberalismo pensa sobre soberania e cooperação?;Soberania existe, mas pode coexistir com instituições cooperativas.
Quem é soberano na ONU?;Todos os Estados membros, não só os fundadores.
O que estrutura o sistema para o neorrealismo?;A distribuição de poder entre Estados soberanos.
O que analisa a teoria crítica?;As estruturas que geram dominação e desigualdade.
O que a Revolução Behaviorista introduziu nas RI?;A distinção entre níveis de análise: individual, estatal, sistêmico.
Qual é a unidade central de análise no realismo?;O Estado.
O que os liberais pensam sobre OIGs?;Que ajudam na cooperação e estabilidade internacional.
O que os realistas pensam sobre OIGs?;Que refletem o poder dos Estados e não mudam seus interesses.
O que são ganhos relativos para os realistas?;Vantagens comparadas que podem gerar ameaças.
Quem são os atores relevantes no liberalismo?;Estados, OIGs, ONGs, empresas e outros atores não estatais.
O que é a Teoria da Paz Democrática?;Democracias não guerreiam entre si.
Por que regimes autoritários entram mais em guerra?;Têm menos freios institucionais.
O que defende Michael Doyle?;Que democracia e comércio promovem paz.
O que é interdependência para os neoliberais?;Conceito central para explicar cooperação.
O que é interdependência sensível?;Impacto direto de mudanças nas relações, sem mudar estruturas.
O que é vulnerabilidade na interdependência?;Dificuldade de adaptação e altos custos para mudar dependências.
