O que caracterizou a ordem internacional após a Segunda Guerra Mundial?;A bipolaridade, com divisão do mundo em dois blocos liderados por EUA e URSS, em conflito ideológico e estratégico.
O que foi a Guerra Fria?;Um período de rivalidade entre EUA e URSS marcado pela contenção, sem confronto direto entre as superpotências.
O que significa a política de contenção?;Estratégia de impedir a expansão do bloco rival em áreas de influência política, econômica e militar.
Qual era a prioridade durante a Guerra Fria: economia ou estratégia?;"As questões estratégicas eram prioritárias; decisões econômicas eram subordinadas a elas."
Cite um exemplo de decisão econômica influenciada por estratégia na Guerra Fria.;O Plano Marshall para reconstrução da Europa e o apoio ao Japão após a Guerra da Coreia.
Quais instituições foram criadas no pós-guerra para estabilidade internacional?;ONU, Banco Mundial, FMI e tentativa de criação da OIC.
O que foi o sistema de Bretton Woods?;Um arranjo econômico com dólar atrelado ao ouro e criação de instituições financeiras internacionais.
Por que a OIC não foi implementada?;Porque o Congresso dos EUA não ratificou sua participação.
O que substituiu a OIC?;O GATT (Acordo Geral sobre Tarifas e Comércio), de caráter provisório.
Qual país liderou a estrutura econômica do pós-guerra?;Os Estados Unidos, devido à sua superioridade econômica.
Como Alemanha e Japão se destacaram no pós-guerra?;Foram reconstruídos e se tornaram potências econômicas, embora subordinados estrategicamente aos EUA.
Quando termina a Guerra Fria?;Com a queda do Muro de Berlim (1989) e a dissolução da URSS (1991).
O que se esperava com o fim da Guerra Fria?;Expansão do liberalismo, democracia, mercados livres e maior cooperação internacional.
O que é globalização nesse contexto?;Integração econômica, política e estratégica com tendência à uniformização dos sistemas.
Qual evento reforçou a ideia de cooperação internacional no início dos anos 1990?;A reação internacional contra a invasão do Kuwait pelo Iraque (Guerra do Golfo).
O que é regionalização?;Formação de blocos econômicos e integração regional entre países.
Cite exemplos de regionalização.;União Europeia, APEC e NAFTA.
O que mostraram os conflitos na ex-Iugoslávia?;Que a cooperação internacional não era automática e havia limitações na ação coletiva.
Quais fatores abalaram o otimismo pós-Guerra Fria?;Conflitos regionais, protecionismo, crises financeiras, nacionalismo e terrorismo.
Qual é o desafio central do sistema internacional atual?;Redefinir relações de poder e reorganizar instituições internacionais.
Por que o Conselho de Segurança da ONU é questionado?;Porque reflete a ordem de poder de 1945, não a realidade atual.
Qual contradição existe no CS da ONU?;Países como França e Rússia têm assento permanente, enquanto Japão e Alemanha não.
O que é sistema internacional?;A distribuição de poder entre os Estados.
O que é ordem internacional?;O conjunto de regras e instituições que regulam as relações entre Estados.
Qual é a tendência de distribuição de poder no século XXI?;Multipolaridade com poder mais difuso.
Quais são os principais polos de poder no cenário atual?;EUA, China/Japão e União Europeia.
Quais países são considerados atores regionais relevantes?;Brasil, Índia e África do Sul.
Qual o papel dos EUA no sistema internacional atual?;Atuam como liderança central (ultima ratio) para ações coletivas.
Por que os EUA buscam dividir responsabilidades internacionais?;Limitações de recursos e pressão da opinião pública contra intervenções externas.
O que é a política de engajamento e expansão?;Estratégia dos EUA de atuar seletivamente e incentivar participação de outros países.
Em quais situações os EUA intervêm diretamente?;Quando há impacto em sua segurança, regiões estratégicas ou fluxos comerciais.
Qual a lógica da participação de outros países no sistema internacional?;Divisão de custos e responsabilidades na manutenção da ordem global.
O que significa a ideia de “igualdade” entre potências?;Mesmo com superioridade dos EUA, é necessário apoio de outros Estados.
Como os blocos econômicos se comportam atualmente?;Podem cooperar ou competir entre si.
Qual a dificuldade na construção de regras internacionais?;A soberania dos Estados gera negociações complexas e conflitos de interesse.
Qual o objetivo do estudo da política internacional contemporânea?;Compreender as transformações globais e orientar estratégias de inserção internacional.
Qual é a perspectiva geral sobre os Estados?;Buscam um mundo mais pacífico, mas seus interesses dificultam consensos.
Qual a relação entre economia e estratégia no mundo atual?;Permanecem interligadas como base do desenvolvimento global.
;
Quais eventos marcaram o fim da ordem bipolar?;A queda do Muro de Berlim (1989) e a dissolução da União Soviética (1991).
Qual foi a expectativa inicial após o fim da Guerra Fria?;Fortalecimento da democracia, do direito internacional e da economia de mercado.
O que se entende por “paz kantiana”?;Um sistema internacional baseado em regras compartilhadas, cooperação e paz duradoura.
Por que o otimismo pós-Guerra Fria diminuiu rapidamente?;Devido a conflitos e crises como Bósnia, Kosovo e crise asiática.
Quais eventos demonstraram a persistência de conflitos nos anos 1990?;Guerra da Bósnia, testes nucleares franceses e crise financeira asiática.
Como os analistas passaram a interpretar o período pós-1991?;Como uma fase de transição, não uma nova ordem consolidada.
Qual impacto dos atentados de 11 de setembro de 2001?;Reforçaram a ideia de unipolaridade e centralidade do combate ao terrorismo.
Quem foi responsável pelos atentados de 11 de setembro?;A organização terrorista Al-Qaeda.
O que mudou na política externa dos EUA após 2001?;Maior foco em defesa e combate ao terrorismo, influenciando a agenda internacional.
Por que é importante contextualizar grandes eventos internacionais?;Para evitar interpretações precipitadas sobre mudanças na ordem mundial.
Quais são os três níveis de análise em Relações Internacionais segundo Braudel?;Evento, conjuntura e estrutura.
O que caracteriza o nível do “evento”?;Fatos imediatos e pontuais do cotidiano internacional.
O que caracteriza o nível da “conjuntura”?;Processos de médio prazo e tendências.
O que caracteriza o nível da “estrutura”?;Elementos duradouros e fundamentais do sistema internacional.
Por que a análise multidisciplinar é necessária em RI?;Porque amplia a compreensão ao integrar diferentes áreas do conhecimento.
Quais disciplinas contribuem para o estudo das Relações Internacionais?;Ciência Política, Direito, Economia, Geografia, História e Sociologia.
Quais são as três partes do estudo apresentado no texto?;Ordem internacional, globalização/fragmentação e estruturas hegemônicas.
Quando surgiram as Relações Internacionais como disciplina?;Entre o fim da Primeira Guerra Mundial (1918) e o início da Segunda (1939).
Qual era o foco inicial das Relações Internacionais?;A guerra e a paz, buscando evitar novos conflitos.
Quem são os principais atores nas Relações Internacionais?;Os Estados nacionais.
O que significa “anarquia internacional”?;Ausência de um governo mundial que regule os Estados soberanos.
A anarquia internacional implica necessariamente desordem?;Não, pois ainda existe uma ordem baseada na distribuição de poder.
O que define a hierarquia entre os Estados?;Diferenças de poder militar, econômico, tecnológico e financeiro.
O que é “ordem internacional”?;A organização das relações entre Estados baseada na distribuição de poder.
Quais são os tipos de ordem internacional?;Multipolar, bipolar e unipolar.
O que caracteriza uma ordem multipolar?;Vários centros de poder relevantes no sistema internacional.
Dê exemplo histórico de ordem multipolar.;O Concerto Europeu do século XIX.
O que caracteriza uma ordem bipolar?;Dois polos dominantes de poder global.
Dê exemplo de ordem bipolar.;A Guerra Fria entre EUA e URSS.
O que caracteriza uma ordem unipolar?;Predomínio de uma única superpotência.
Por que alguns consideram o mundo pós-Guerra Fria unipolar?;Pela superioridade militar dos Estados Unidos.
Quem propôs o conceito de “ordem unimultipolar”?;Samuel Huntington.
O que é uma ordem unimultipolar?;Predomínio militar dos EUA combinado com multipolaridade econômica.
Quais regiões exemplificam a multipolaridade econômica atual?;União Europeia e países do Extremo Oriente, como China e Japão.
