O que foi o Congresso de Viena (1815)?;Encontro entre potências europeias para reorganizar a ordem internacional após Napoleão.
Por que 1815 é importante para as relações internacionais?;Marca o início de uma nova ordem internacional baseada no Concerto Europeu.
O que é o Concerto Europeu?;Sistema de cooperação entre as grandes potências para manter a estabilidade na Europa.
Quais as consequências da Revolução Industrial nas relações internacionais?;Mudou a economia mundial e influenciou a política entre Estados.
Como o século XIX influenciou o século XX?;Criou rivalidades e estruturas que levaram aos grandes conflitos mundiais.
O que foi o Império Alemão (1871)?;Unificação dos Estados alemães sob liderança da Prússia, formando nova potência.
Por que o protecionismo retornou após 1870?;Pela crescente concorrência internacional e crise do livre-comércio.
Como o Ocidente se expandiu no século XIX?;Por meio da dominação colonial, separando países em dominantes e dominados.
O que foi a sociedade internacional europeia?;Conjunto de Estados com cultura e práticas comuns nas relações internacionais.
O que causou o fim do equilíbrio de poder tradicional nos séculos XVII e XVIII?;A hegemonia napoleônica rompeu com esse equilíbrio.
Como a Idade Média via as relações entre os povos?;Baseada na cristandade como unificadora de práticas políticas e guerra.
O que a Renascença italiana introduziu na política?;Fortaleceu o Estado centralizado e o poder do príncipe.
Por que surgiram os exércitos profissionais?;Para proteger os Estados e reforçar o poder central.
O que é a balança de poder?;Princípio que busca impedir a dominação de uma única potência.
O que foi o Congresso de Vestfália (1648)?;Marco da independência dos Estados como base do sistema internacional.
O que é a razão de Estado (raison d’État)?;Princípio de que o interesse do Estado justifica suas ações externas.
Quem modernizou o direito internacional no século XVII?;Hugo Grotius, ao propor regras jurídicas entre Estados.
Quais os principais desafios internos do sistema europeu até o século XIX?;Disputas constantes por hegemonia entre potências.
Qual a estratégia europeia no Oriente?;Comércio predominava sobre confrontos militares.
Qual a estratégia europeia no Ocidente?;Dominação e destruição de civilizações indígenas.
O que foi a expansão europeia?;Busca por novas colônias, mercados e influência fora da Europa.
Como os EUA e a Rússia participaram da expansão do sistema internacional?;Ampliaram o modelo europeu de relações internacionais.
Qual o impacto da Revolução Francesa nas relações internacionais?;Trouxe novos ideais políticos que influenciaram o sistema internacional.
Por que o Império Napoleônico gerou reação internacional?;Pela tentativa de hegemonia total na Europa.
O que o Congresso de Viena quis evitar?;A fragmentação política e o retorno de múltiplas independências.
Como o sistema internacional do século XIX era controlado?;Pelas grandes potências por meio do entendimento e cooperação.
O que é sistema internacional?;Conjunto de interações políticas, econômicas e estratégicas entre Estados.
O que é sociedade internacional?;Sistema internacional mais maduro com práticas e cultura política comuns.
O que foi a expansão europeia no século XIX?;Processo de dominação global por Estados europeus com base em interesses econômicos, políticos e culturais.
Por que a sociedade internacional europeia tornou-se global no século XIX?;Porque passou a influenciar normas, modos de vida e relações comerciais no mundo todo.
Quem dominou as relações internacionais entre 1800 e 1914?;As potências europeias.
Por que o domínio europeu foi desafiado após 1945?;Pela ascensão das superpotências e dos países do Terceiro Mundo.
Como ocorreu a expansão europeia?;Por ações individuais de Estados e empresas com base em padrões europeus.
O que foi o Concerto Europeu?;Sistema criado para manter o equilíbrio de poder entre grandes potências europeias.
Como o Concerto Europeu funcionava?;Por meio de negociações, acordos e regras que limitavam o poder absoluto dos Estados.
Por que a hegemonia foi incorporada ao Concerto Europeu?;Para ser controlada e evitar sua destruição por guerras.
Como a América Latina foi incorporada ao sistema internacional?;Após as independências, como mercado e área de influência política europeia.
Quais foram os níveis da expansão europeia?;"1. Dominação estratégica; 2. Exploração econômica; 3. Imperialismo cultural."
Como o resto do mundo participou da ordem europeia?;Submetido às regras e instituições europeias, sem poder alterá-las.
O que o modelo europeu exigia das outras sociedades?;Adaptação às normas e costumes europeus.
O que foi a principal resistência à hegemonia europeia no século XIX?;As independências americanas.
O que ocorreu com EUA e Japão diante do sistema europeu?;Adotaram práticas europeias, mas não foram aceitos como grandes potências.
