"O substantivo ""tristeza"" é concreto.";"❌ Errado. ""Tristeza"" é um substantivo abstrato, pois depende de alguém para existir (sentimento)."
"""Casa"" é um substantivo concreto.";✅ Certo. Designa um ser com existência independente.
Substantivo composto é formado por um único radical.;"❌ Errado. Substantivos compostos têm dois ou mais radicais, como ""pombo-correio""."
"""Pernalta"" é um exemplo de substantivo composto.";"✅ Certo. É formado por dois radicais: ""perna"" + ""alta""."
"""Brasil"" é um substantivo derivado.";✅ Certo. É formado por um radical + sufixo.
"""Café"" é um substantivo derivado.";"❌ Errado. ""Café"" é um substantivo primitivo."
"""Amor"" é um substantivo comum.";✅ Certo. Refere-se ao ser de forma genérica.
"""Maria"" é um substantivo próprio.";✅ Certo. Designa um ser específico entre os de um grupo.
Substantivos coletivos são sempre próprios.;❌ Errado. São comuns, pois se referem a conjuntos genéricos.
"""Cardume"" é coletivo de peixes.";✅ Certo. Refere-se ao conjunto de peixes.
"""Frota"" é coletivo de carros de corrida.";"❌ Errado. ""Frota"" é coletivo de navios, ônibus ou táxis, não de carros de corrida."
"""Alcateia"" é coletivo de lobos.";✅ Certo.
"""Jovem"" é um substantivo comum de dois gêneros.";✅ Certo. Pode ser antecedido por artigos masculino e feminino.
"""Jacaré macho"" é um exemplo de substantivo epiceno.";✅ Certo. Usa-se “macho” ou “fêmea” para indicar o sexo.
"""Criança"" é um substantivo comum de dois gêneros.";❌ Errado. É um substantivo sobrecomum, usado sempre no feminino, independentemente do sexo.
"""Sósia"" é um substantivo sobrecomum.";✅ Certo. Refere-se a homem ou mulher, mas tem uma só forma no masculino.
"""O rádio"" é sempre feminino.";"❌ Errado. ""O rádio"" (aparelho) é masculino; ""a rádio"" (emissora) é feminino."
"""O cura"" e ""a cura"" têm o mesmo significado.";"❌ Errado. ""O cura"" é o padre; ""a cura"" é o ato de curar."
"""Presidente"" e ""Presidenta"" são formas de flexão de gênero.";"❌ Errado. Segundo a teoria gramatical apresentada, ""presidenta"" é derivação, não flexão."
"O substantivo ""cobra"" é epiceno.";✅ Certo. O sexo é indicado por “macho” ou “fêmea”.
"""O intérprete"" e ""a intérprete"" mostram marca interna de gênero.";✅ Certo. São exemplos de comuns de dois gêneros.
"""A vítima"" pode se referir a homem ou mulher.";✅ Certo. É um substantivo sobrecomum.
"""Genro"" e ""nora"" são heterônimos.";✅ Certo. Têm radicais diferentes para masculino e feminino.
Substantivos sobrecomuns indicam o sexo pelo artigo.;"❌ Errado. Não apresentam marca interna ou externa; o contexto indica o sexo."
"""Personagem"" pode ser usado com ""o"" ou ""a"" sem mudar o significado.";✅ Certo. O gênero gramatical não altera o sexo do ser designado.
"""O capital"" e ""a capital"" são substantivos com significados diferentes.";"✅ Certo. ""O capital"" é valor; ""a capital"" é cidade principal."
"""Resma"" é coletivo de peixes.";"❌ Errado. ""Resma"" é coletivo de 500 folhas de papel."
"""Hinário"" é coletivo de hinos.";✅ Certo.
"""Molho"" pode ser coletivo de chaves.";✅ Certo.
"""Hebreu"" e ""hebreia"" têm marca de flexão legítima.";❌ Errado. Segundo o texto, é derivação, não flexão legítima com desinência “a”.
A palavra “pia” forma o plural como “pias”.;✅ Certo. Basta acrescentar “s”.
“Cidadão” tem plural em “cidadões”.;❌ Errado. O correto é “cidadãos”.
“Cão” tem plural em “cães”.;✅ Certo. É uma das formas irregulares terminadas em “ão”.
“Anão” só pode ter um plural correto.;❌ Errado. Pode ser “anãos”, “anões” ou “anães”.
“Vilão” pode ter os plurais “vilões”, “vilãos” e “vilães”.;✅ Certo. Admite essas três formas.
“Espião” forma plural como “espiões”.;✅ Certo. É a forma regular nesse caso.
“Canal” tem plural em “canales”.;❌ Errado. O plural correto é “canais”.
“Pastel” vira “pastéis” no plural.;✅ Certo. Perde o “l” e ganha “is”.
“Cônsul” tem plural “cônsules”.;✅ Certo. Acrescenta-se “es” com vogal de ligação “e”.
“Mal” vira “males” no plural.;✅ Certo. É uma exceção à regra comum de “l” para “is”.
“Fel” só admite o plural “féis”.;❌ Errado. Também pode ser “feles”.
“Aval” pode ter os plurais “avais” ou “avales”.;✅ Certo. Admite as duas formas.
“Barril” forma plural como “barris”.;✅ Certo. Substantivo oxítono terminado em “il”.
“Fóssil” vira “fósseis” no plural.;✅ Certo. Substantivo paroxítono terminado em “il”.
“Homem” tem plural em “homens”.;✅ Certo. Terminado em “m” vira “ns”.
“Colher” no plural vira “colheres”.;✅ Certo. Terminado em “r” ganha “es”.
“Giz” forma o plural “gizes”.;✅ Certo. Substantivo terminado em “z” ganha “es”.
“Tórax” vira “tóraxes” no plural.;❌ Errado. Substantivos terminados em “x” não variam: “os tórax”.
“Deus” tem plural “deuses”.;✅ Certo. Terminado em “s”, ganha “es”.
Substantivos terminados em “x” sempre variam no plural.;❌ Errado. Eles não variam, como em “tórax” – “tórax”.
A palavra “pêsames” tem apenas forma no plural.;✅ Certo. Não existe no singular.
“Núpcias” é usada apenas no plural.;✅ Certo. É um substantivo pluraletantum.
“Férias” pode ser usada no singular.;❌ Errado. Só ocorre no plural.
“Afazeres” tem forma no singular: afazere.;"❌ Errado. Não existe “afazere”; só plural."
“Caráter” vira “caráteres” no plural sem alteração de sílaba tônica.;❌ Errado. A sílaba tônica muda: caráter → caratéres.
“Móvel” no plural vira “móveis”.;✅ Certo. Substitui “l” por “is”.
“Males” é o plural correto de “mal”.;✅ Certo. É uma exceção à regra comum de “l”.
“Cirurgião” pode ter os plurais “cirurgiões” ou “cirurgiães”.;✅ Certo. Admite as duas formas.
O plural de “refrão” pode ser “refrões” ou “refrães”.;✅ Certo. Há mais de uma possibilidade.
Substantivos terminados em “m” formam plural com “es”.;❌ Errado. Formam plural com “ns” (ex: homem → homens).
A palavra “vaivéns” está no plural correto.;✅ Certo. Não há hífen, então apenas o último elemento varia.
Em compostos com hífen, verbos e advérbios são invariáveis.;✅ Certo. Só variam substantivos e adjetivos.
O plural de “saca-rolha” é “sacas-rolhas”.;❌ Errado. O verbo “sacar” é invariável: o correto é “saca-rolhas”.
“Guarda-noturnos” está no plural correto.;❌ Errado. Ambos são substantivos/adjetivos: o correto é “guardas-noturnos”.
“Amores-perfeitos” é plural correto.;✅ Certo. Ambos os termos são substantivos/adjetivos e devem ser pluralizados.
O plural de “sofá-cama” pode ser “sofás-cama”.;✅ Certo. Quando há relação de tipo/finalidade, o segundo pode ficar no singular.
“Sofás-camas” está incorreto.;❌ Errado. Está correto também: pluralização dos dois elementos é facultativa nesse caso.
Em “pés de moleque”, só o primeiro termo vai ao plural.;✅ Certo. A presença da preposição exige que só o primeiro elemento varie.
O plural de “reco-reco” pode ser “recos-recos”.;✅ Certo. Em compostos onomatopeicos, ambos podem ser pluralizados.
“Corre-corres” está incorreto.;❌ Errado. É uma forma correta de plural para compostos com verbos repetidos.
Em “grã-duquesas”, “grã” varia.;❌ Errado. “Grã” é invariável, apenas “duquesa” vai ao plural.
O plural de “bel-prazer” é “bel-prazeres”.;✅ Certo. “Bel” é invariável.
“Leva e traz” permanece invariável no plural.;✅ Certo. Compostos com verbos de sentidos opostos são invariáveis.
O plural de “vice-prefeito” é “vices-prefeitos”.;❌ Errado. “Vice” é prefixo, invariável: o correto é “vice-prefeitos”.
O plural de “ave-maria” é “aves-marias”.;❌ Errado. “Ave-maria” é expressão invariável: o plural correto é “ave-marias”.
“Meninão” é aumentativo sintético de “menino”.;✅ Certo. Aumentativo por sufixo.
“Menino grande” é aumentativo analítico.;✅ Certo. Usa-se um adjetivo para expressar aumento.
“Menininho” é diminutivo sintético de “menino”.;✅ Certo. Diminutivo por sufixo.
“Menino pequeno” é diminutivo sintético.;❌ Errado. É diminutivo analítico, pois usa adjetivo.
“Casarão” é aumentativo sintético de “casa”.;✅ Certo. O sufixo “-ão” indica aumento.
“Casa grande” é aumentativo analítico.;✅ Certo. Aumento indicado por adjetivo.
“Florzinha” é diminutivo sintético.;✅ Certo. Sufixo “-inha” reduz o tamanho.
“Flor pequena” é aumentativo sintético.;❌ Errado. É diminutivo analítico.
“Cavalinho” é o aumentativo de “cavalo”.;❌ Errado. É o diminutivo de “cavalo”.
“Cavalão” é aumentativo sintético.;✅ Certo. Sufixo “-ão” indica aumento.
O plural de “porta-malas” é “portas-malas”.;❌ Errado. “Porta” é verbo aqui, então é invariável: o correto é “porta-malas”.
O plural de “segunda-feira” é “segundas-feiras”.;✅ Certo. Ambos os termos são substantivos, então variam.
Em “pé-de-moleque”, ambos os termos vão ao plural.;❌ Errado. Com preposição, apenas o primeiro termo varia: “pés de moleque”.
“Baixo-assinado” tem plural “baixos-assinados”.;✅ Certo. Ambos os elementos são substantivos/adjetivos.
“Guarda-chuva” tem plural “guardas-chuvas”.;❌ Errado. O correto é “guardas-chuvas”. “Guarda” (substantivo) e “chuva” (substantivo): pluralizam-se os dois.
"Roupas cinzas"" está correto.";❌ Errado. Quando substantivo é usado como adjetivo, fica invariável: o correto é “roupas cinza”.
A expressão “almoço à francesa” é uma locução adjetiva.;✅ Certo. Modifica “almoço” e equivale a um adjetivo.
O adjetivo “livre” no plural é “livres”.;✅ Certo. Adjetivo simples segue a flexão normal de número.
“Ondas monstro” está no plural correto.;✅ Certo. “Monstro” é substantivo com valor de adjetivo e, por isso, é invariável.
Em “olhos verde-claro”, apenas o último elemento varia.;✅ Certo. Em adjetivo composto, apenas o último varia se não houver substantivo.
Em “olhos verde-mar”, o adjetivo é variável.;❌ Errado. “Verde-mar” é adjetivo com substantivo na composição, logo é invariável.
“Blusas azul-marinho” está correto.;✅ Certo. “Azul-marinho” é adjetivo composto invariável.
“Raios ultravioletas” é forma correta.;❌ Errado. “Ultravioleta” é invariável: o correto é “raios ultravioleta”.
“Crianças surdas-mudas” está no plural correto.;✅ Certo. Ambos os elementos do adjetivo composto variam nesse caso.
“Menino é muito educado” é superlativo absoluto analítico.;✅ Certo. Uso de advérbio “muito” caracteriza superlativo absoluto analítico.
“Menino educadíssimo” é superlativo absoluto sintético.;✅ Certo. Uso do sufixo “-íssimo” indica forma sintética.
“O aluno é o mais esforçado da turma” é superlativo relativo de superioridade.;✅ Certo. A estrutura “o mais...” + grupo indica grau superlativo relativo.
“A turma é menos barulhenta que a outra” é comparativo de inferioridade.;✅ Certo. Estrutura “menos... que” indica comparação de inferioridade.
“Ela é tão atenta quanto o professor” está em grau comparativo de igualdade.;✅ Certo. Expressão “tão... quanto” mostra igualdade.
“Ele é o menos atencioso do grupo” é superlativo relativo de inferioridade.;✅ Certo. Uso de “o menos...” indica superlativo relativo.
“José é mais educado do que Pedro” está no grau superlativo.;❌ Errado. Está no grau comparativo de superioridade, não superlativo.
“A criança é a menor da classe” está em grau superlativo relativo.;✅ Certo. Uso de “a menor” indica superlativo relativo de superioridade.
“Estou mais calmo que ontem” é grau comparativo.;✅ Certo. Comparação com ele mesmo caracteriza grau comparativo.
“Ela é mais boa que ruim” é forma aceitável.;✅ Certo. Comparação de características exige forma analítica: “mais boa que ruim”.
“Ele é o mais jovem do grupo” é grau comparativo.;❌ Errado. Está no superlativo relativo, pois há artigo: “o mais jovem”.
“Ele é mais jovem que todos” é superlativo.;❌ Errado. Apesar da comparação com um grupo, é comparativo, pois não há artigo.
O adjetivo composto “verde-escuro” varia os dois elementos.;❌ Errado. Apenas o último elemento varia, desde que não haja substantivo.
“Cores verde-bandeiras” está correto.;❌ Errado. “Verde-bandeira” é invariável por conter substantivo: o correto é “cores verde-bandeira”.
“Saias furta-cor” está certo.;✅ Certo. “Furta-cor” é invariável.
“Vestidos rosa” está correto.;✅ Certo. “Rosa”, como substantivo com valor de adjetivo, não varia.
“Camisas roxas” está certo.;✅ Certo. “Roxa” é adjetivo comum e varia normalmente.
