oberania e igualdade entre Estados;Todos os países são juridicamente iguais no plano internacional, independentemente de tamanho ou riqueza.
Soberania e não imposição;"Um Estado não pode simplesmente mandar em outro; cada um decide por si mesmo."
ONU e legislação interna;"A ONU não manda diretamente nas leis dos países; ela depende da vontade dos Estados."
Direito transnacional;É uma ideia mais ampla que mistura direito público e privado, ultrapassando essa divisão tradicional.
Soberania e tratados de direitos humanos;"Estados só assumem obrigações internacionais (como tratados) se quiserem; não depende de autorização de tribunal penal."
Jurisdição internacional e consentimento;Um Estado só pode ser julgado por tribunais internacionais se aceitar essa autoridade.
Influência do direito civil;Muitos conceitos do direito internacional vieram do direito civil (ex.: contratos, responsabilidade).
Doutrinas voluntarista e objetivista;Voluntarista: direito internacional vem da vontade dos Estados. Objetivista: existem normas acima da vontade dos Estados.
Relações internacionais (horizontalidade);"Não existe um “governo mundial”; os Estados se relacionam como iguais, de forma coordenada."
Não intervenção por organizações internacionais;Em regra, nem Estados nem organizações podem interferir nos assuntos internos de outro país.
Intervenção preventiva;"Um país não pode intervir só por medo de ameaça futura; isso não é permitido."
Intervenção humanitária;Em geral, deve ocorrer por meio de organizações internacionais (como sistemas coletivos), não de forma isolada.
Intervenção diplomática;Pode incluir pressão indireta, como sanções econômicas ou comerciais.
Características da intervenção;Envolve imposição de vontade de um Estado sobre outro, geralmente de forma abusiva.
Integração latino-americana (CF/88);O Brasil busca se integrar com países da América Latina para formar uma comunidade regional.
Princípios nas relações internacionais do Brasil;O Brasil deve respeitar a independência e igualdade dos outros Estados nas suas decisões internas.
;
;
Domínio público internacional;São espaços que pertencem ou interessam a toda a comunidade internacional (ex.: alto-mar, espaço aéreo internacional).
Sibéria;É território da Rússia, não é área de uso comum internacional.
Controle do Legislativo na política externa;O Congresso participa (ex.: aprova tratados), mas o presidente conduz a política externa.
Direito de legação;"É o poder de enviar e receber representantes diplomáticos; no Brasil, é função do presidente."
Não intervenção e MERCOSUL;"O Brasil segue a não intervenção; não há exceção automática só por causa do MERCOSUL."
Princípios da política externa brasileira;Incluem igualdade entre Estados e autodeterminação dos povos.
Reciprocidade no direito internacional;"Nem toda obrigação internacional depende de reciprocidade; muitas devem ser cumpridas independentemente disso."
Repúdio ao racismo;Além de crime interno, também é princípio das relações internacionais do Brasil.
Pacta sunt servanda;Os acordos devem ser cumpridos pelos Estados.
Obrigação de cumprir promessas;Um Estado não é obrigado a firmar acordo, mas se fizer, deve cumprir.
Conselho de Segurança da ONU e veto;Apenas alguns países têm poder de veto (não todos), o que quebra a igualdade absoluta.
Pacta sunt servanda e consentimento;As normas internacionais surgem do consentimento dos Estados e devem ser respeitadas.
Manifestação de vontade estatal;Pode ser expressa (clara) ou tácita (implícita).
Conflito entre estados brasileiros;"Não é direito internacional; é questão interna do Brasil."
Imunidade de jurisdição;Um Estado não pode julgar outro sem consentimento (“iguais não julgam iguais”).
Cortes internacionais;Existem tribunais internacionais que julgam questões entre Estados ou indivíduos.
Governo mundial;Não existe um governo central com poder sobre todos os países.
Norma suprema internacional;Não há uma “constituição mundial” igual à dos Estados.
Legislativo mundial;Não existe um órgão global que crie leis obrigatórias para todos os países.
Monismo (visão geral);Entende que direito interno e internacional fazem parte de um único sistema.
Dualismo (visão geral);Entende que direito interno e internacional são sistemas separados.
STF e direito internacional;O STF exige que normas internacionais sejam incorporadas ao direito interno.
Primado do direito internacional;No Brasil, prevalece a ideia de que o direito interno tem primazia na prática do STF.
;
Personalidade jurídica das organizações internacionais;Organizações internacionais também podem ter direitos e deveres próprios no direito internacional.
Personalidade originária e derivada;"Estados têm personalidade própria (originária); organizações internacionais recebem essa capacidade dos Estados (derivada)."
Personalidade dos Estados e das organizações;"Estados existem por si; organizações existem porque os Estados criaram."
Atos jure gestionis;Quando o Estado atua como particular (ex.: compra bens), pode ser julgado por tribunais estrangeiros.
Imunidade em responsabilidade civil;"A imunidade não é absoluta; depende do tipo de ato praticado pelo Estado."
Imunidade tributária de imóveis diplomáticos;Imóveis usados por missões diplomáticas não pagam impostos como IPTU.
Taxas por serviços públicos;Mesmo com imunidade, podem ser cobradas taxas por serviços específicos (ex.: coleta de lixo).
Execução contra Estado estrangeiro;Se não houver bens disponíveis no país, usa-se via diplomática para cobrar.
Sucessão de Estados e dívidas;Nem sempre o novo Estado assume todas as dívidas, especialmente as ligadas a guerras.
Sucessão em organizações internacionais;Um novo Estado não entra automaticamente no lugar do anterior em organizações internacionais.
Costume internacional e novos Estados;Mesmo novos Estados devem seguir regras internacionais já existentes.
Renúncia à imunidade estatal;Só o próprio Estado pode abrir mão de sua imunidade, não apenas o embaixador.
Imunidade em causas trabalhistas;No Brasil, a imunidade não é absoluta em ações trabalhistas. (CF, art. 114)
Revelia de Estado estrangeiro;A ausência do Estado no processo não gera automaticamente revelia.
Representação externa do Estado;Quem representa o Estado são diplomatas (embaixadores), não os cônsules.
Renúncia à imunidade diplomática;Apenas o Estado de origem pode retirar a imunidade de seus diplomatas.
Princípio da não intervenção;Estados não devem interferir em assuntos internos de outros. (CF, art. 4º, IV)
Direito de legítima defesa;Um Estado pode se defender se sofrer ataque.
Reconhecimento de Estados;O reconhecimento ajuda, mas não cria o Estado por si só.
Continuidade do Estado;Mesmo com crises internas, o Estado continua existindo no direito internacional.
Estados federados e direito internacional;Estados-membros (ex.: Minas Gerais) não são sujeitos de direito internacional.
;
Tratados por estados-membros;"Apenas a União pode celebrar tratados internacionais; estados (ex.: Minas Gerais) não podem agir internacionalmente. (CF, art. 21, I; art. 84, VIII)"
Sucessão de Estados e dívidas;"Dívidas podem ser divididas conforme acordo entre os Estados; não existe regra absoluta que impeça isso."
Bens de missão diplomática;Bens usados para fins diplomáticos não podem ser apreendidos ou sequestrados pela justiça local.
Imunidade de execução trabalhista;Mesmo que haja condenação, bens ligados à missão diplomática não podem ser usados para pagar a dívida.
Imunidade em matéria trabalhista;O Estado estrangeiro pode ser processado no Brasil em questões trabalhistas.
Imunidade absoluta;"Hoje não é absoluta; depende do tipo de ato praticado pelo Estado."
Competência na Justiça do Trabalho;Ações trabalhistas contra Estado estrangeiro são julgadas pela Justiça do Trabalho. (CF, art. 114)
Convenção sobre imunidades;"Nem sempre é aplicada diretamente; o Brasil usa principalmente prática e jurisprudência."
Reconhecimento de Estado;"O reconhecimento não cria o Estado; ele já existe se preencher requisitos básicos."
Requisitos de Estado;População, território, governo e soberania são os elementos essenciais.
Revogação de reconhecimento;O reconhecimento de um Estado, em regra, não é desfeito depois.
Reconhecimento conjunto;Vários Estados podem reconhecer outro ao mesmo tempo, inclusive por tratado.
Sucessão em tratados;"Novo Estado não herda automaticamente todos os tratados; depende do tipo e de manifestação."
Tratados por estados e DF;Estados e DF não podem celebrar tratados, mesmo com autorização da União.
Representação internacional do Brasil;Apenas a União pode assumir obrigações internacionais em nome do país.
Elementos do Estado (território);Ter território definido é requisito básico para existir como Estado.
Reconhecimento e existência do Estado;Um Estado pode existir mesmo sem ser reconhecido por outro.
Reconhecimento tácito;Estabelecer relações diplomáticas já pode valer como reconhecimento.
Critérios para reconhecimento;Avalia-se território, população, governo e capacidade de se relacionar internacionalmente.
Bens de Estados estrangeiros no Brasil;A destinação desses bens envolve regras internacionais e acordos entre os Estados envolvidos.
;
;
Decisões em organizações internacionais;"Nem sempre precisam ser por unanimidade; muitas são por maioria ou outros critérios definidos no tratado."
MERCOSUL;É uma organização internacional com personalidade jurídica própria.
Tratado constitutivo;O tratado que cria uma organização segue as regras gerais do direito dos tratados (ex.: Convenção de Viena de 1969).
Atos das organizações internacionais;"Nem todos os atos são obrigatórios; depende do tipo de decisão (alguns são só recomendações)."
Personalidade jurídica no Brasil;O Brasil reconhece que organizações internacionais têm personalidade jurídica.
Personalidade das organizações internacionais;Pode estar expressa no tratado ou ser percebida pelas funções que exercem (ex.: fazer acordos).
Acordo de sede;Organizações fazem acordos com países para funcionar em seu território e recebem privilégios e imunidades.
Regras internas das organizações;Cada organização tem suas próprias normas, baseadas no tratado que a criou.
Agências da ONU;Muitas têm personalidade jurídica própria, separada da ONU.
Atos como fonte do direito internacional;Algumas decisões de organizações podem criar direitos e deveres para os Estados.
Formação das organizações internacionais;São criadas por acordo entre Estados (tratados internacionais).
Membros de organizações internacionais;"Nem sempre só Estados participam; alguns casos incluem outros entes."
Imunidades das organizações;Baseiam-se tanto em tratados quanto em costumes internacionais.
Capacidade de celebrar tratados;Organizações podem fazer tratados, pois isso faz parte de sua atuação internacional.
Responsabilidade internacional;Organizações internacionais podem ser responsabilizadas por seus atos.
Personalidade internacional e terceiros Estados;Estados que não participam da organização não podem simplesmente negar sua existência jurídica.
Personalidade de organizações governativas;Apenas organizações formadas por Estados (governamentais) têm personalidade no direito internacional público.
;
ONGs e tratados internacionais;Organizações não governamentais, em regra, não celebram tratados internacionais como os Estados e organizações internacionais.
Responsabilidade internacional de organizações;Organizações internacionais podem ser responsabilizadas por seus atos no plano internacional.
Financiamento das organizações internacionais;A principal fonte de recursos são contribuições dos Estados-membros, geralmente proporcionais à capacidade econômica.
Privilégios e imunidades;Organizações internacionais recebem proteções semelhantes às dos Estados para funcionar com independência.
Sede das organizações;"Nem todas têm apenas uma sede; algumas possuem várias ou escritórios em diferentes países."
Tratado constitutivo;Organizações internacionais são criadas por tratados multilaterais que definem regras e objetivos.
Personalidade jurídica das organizações;"Surge principalmente dos tratados que as criam; decisões judiciais apenas reconhecem isso."
Zona de livre comércio;Países reduzem tarifas entre si, mas cada um mantém sua própria tarifa para países de fora.
União aduaneira;Além de livre comércio interno, os países adotam uma tarifa comum para países de fora.
Integração econômica;União aduaneira é um nível mais avançado que zona de livre comércio.
Solução de controvérsias no MERCOSUL/OMC;Existem mecanismos próprios nesses sistemas para resolver disputas entre países.
Indivíduo no direito internacional;Em alguns casos (principalmente direitos humanos), o indivíduo pode atuar internacionalmente.
Personalidade jurídica do indivíduo;Não é totalmente pacífico, mas hoje se admite certa participação do indivíduo no direito internacional.
Indivíduo e tribunais internacionais;Pessoas podem ser julgadas (ex.: crimes internacionais) ou acionar tribunais de direitos humanos.
Santa Sé;É considerada sujeito de direito internacional, com status semelhante ao de Estado.
Vaticano;É um Estado com território próprio e mantém relações diplomáticas por meio de representantes chamados núncios.
;
;
ONGs como sujeitos de direito internacional;Em regra, ONGs não são sujeitos plenos de direito internacional.
Empresas binacionais;"Normalmente não são sujeitos de direito internacional; atuam mais no direito interno/privado."
CVI (Comitê Internacional da Cruz Vermelha);Entidade especial que possui certa personalidade internacional, mesmo não sendo organização entre Estados.
CVI e tratados;Pode participar de acordos internacionais de forma limitada, como sujeito atípico.
Sede da CVI;Fica na Suíça e atua em vários países com ações humanitárias.
Princípio da neutralidade (CVI);Atua sem tomar partido em conflitos, ajudando vítimas de guerra.
ONGs como Greenpeace e Anistia;Não possuem personalidade internacional plena nem celebram tratados como Estados.
Empresas e indivíduos em tribunais internacionais;Em alguns casos específicos, podem participar de processos internacionais.
ONGs e direito internacional;Apesar da importância prática, não são reconhecidas como sujeitos plenos do direito internacional público.
Itaipu Binacional;Empresa criada por Brasil e Paraguai, com natureza jurídica própria (binacional).
ONGs como sujeitos de direito público externo;Não são considerados sujeitos de direito público internacional.
Controle de resoluções do Conselho de Segurança;Não há regra de que apenas um tribunal possa julgar sua legalidade.
Estado federado e ONU;"Estados como Rio Grande do Sul não podem entrar na ONU; só países soberanos."
Carta de Direitos e Deveres Econômicos dos Estados;Busca cooperação econômica internacional baseada em igualdade e soberania.
Uso da força na ONU;"A regra é evitar guerra; uso da força só em situações excepcionais (ex.: legítima defesa ou autorização do Conselho de Segurança)."
Papel da ONU na paz;Pode tomar medidas, inclusive coercitivas, para manter ou restaurar a paz internacional.
Entrada na ONU;Depende de critérios políticos e jurídicos, como aceitação pelos membros, não apenas território ou população.
;
;
Personalidade jurídica da ONU;A ONU tem capacidade própria no direito internacional (ex.: pode celebrar acordos).
