Bipolaridade;Após a Segunda Guerra Mundial, o mundo ficou dividido em dois blocos opostos: liderados pelos Estados Unidos (capitalista) e pela União Soviética (socialista).
Guerra Fria;Período de tensão entre as duas superpotências, sem confronto direto, marcado por disputas políticas, ideológicas, econômicas e militares indiretas.
Política de Contenção;Estratégia das superpotências para impedir a expansão do bloco rival em áreas de influência política, econômica e militar.
Prioridade Estratégica;Durante a Guerra Fria, decisões econômicas eram subordinadas a interesses militares e geopolíticos.
Plano Marshall;Programa dos EUA para reconstrução econômica da Europa Ocidental, visando conter o avanço do socialismo.
Reconstrução do Japão;Apoio econômico dos EUA ao Japão após a guerra, especialmente reforçado pela Guerra da Coreia, com objetivos estratégicos.
Criação da ONU;Organização internacional criada para promover a paz e evitar novos conflitos globais após a Segunda Guerra Mundial.
Sistema Bretton Woods;Estrutura econômica internacional baseada no dólar atrelado ao ouro, incluindo instituições como FMI e Banco Mundial.
FMI e Banco Mundial;Instituições criadas para estabilizar a economia global e financiar reconstrução e desenvolvimento.
GATT;Acordo provisório de comércio internacional que substituiu a não implementada Organização Internacional do Comércio.
Hegemonia dos EUA;No pós-guerra, os EUA influenciaram fortemente a criação das instituições internacionais devido à sua superioridade econômica.
Desenvolvimento de Alemanha e Japão;Países reconstruídos e transformados em potências econômicas, mas subordinados politicamente aos EUA durante a Guerra Fria.
Fim da Guerra Fria;Marcado pela queda do Muro de Berlim (1989) e dissolução da União Soviética (1991).
Vitória dos EUA;Consolidação dos EUA como principal potência global após o colapso soviético.
Expansão do Liberalismo;Ideia de universalização da democracia e do livre mercado como modelo global no pós-Guerra Fria.
Globalização;Integração econômica, política e cultural mundial, com redução de barreiras e maior interdependência entre países.
Regionalização;Formação de blocos econômicos regionais, como União Europeia, APEC e NAFTA.
Guerra do Golfo (1990-91);Exemplo de ação coletiva internacional contra o Iraque após invasão do Kuwait, com apoio da ONU.
Conflitos pós-Guerra Fria;Guerras como na ex-Iugoslávia mostraram limites da cooperação internacional.
Protecionismo e Crises;Crescimento de barreiras comerciais e crises financeiras enfraqueceram o otimismo da globalização.
Terrorismo e Nacionalismo;Novas ameaças à estabilidade internacional no período recente.
Redefinição do Sistema Internacional;Processo atual de reorganização do poder global e das instituições internacionais.
Conselho de Segurança da ONU;Estrutura criada no pós-1945 que não reflete plenamente o equilíbrio de poder atual.
Multipolaridade;Tendência de distribuição de poder entre vários centros (EUA, China, UE, etc.), diferente da bipolaridade.
Potências Emergentes;Países como Brasil, Índia e África do Sul ganham relevância regional e global.
Liderança dos EUA;EUA ainda exercem papel central, sendo essenciais para ações internacionais coletivas.
Política de Engajamento;Estratégia dos EUA de cooperação e compartilhamento de responsabilidades com outros países.
Divisão de Custos;Incentivo dos EUA para que outros países contribuam em ações internacionais.
Interdependência Econômica e Estratégica;Relação entre economia e segurança como base para estabilidade global.
Sistema Internacional;Estrutura de distribuição de poder entre os Estados.
Ordem Internacional;Conjunto de regras e instituições que regulam as relações entre os países.
Soberania dos Estados;Cada país atua de forma independente, sem autoridade superior global, dificultando acordos internacionais.
Negociações Internacionais;Processo complexo devido aos diferentes interesses nacionais.
Inserção Internacional do Brasil;Desafio de posicionamento do país no cenário global em transformação.
;
;
Fim da Guerra Fria;A queda do Muro de Berlim (1989) e a dissolução da URSS (1991) marcaram o fim da ordem bipolar e uma mudança profunda nas relações internacionais.
“Paz Kantiana”;Ideia de um mundo mais pacífico, baseado na democracia, no direito internacional e na cooperação entre os Estados.
Otimismo pós-Guerra Fria;Expectativa inicial de estabilidade global, expansão da democracia e predominância da economia de mercado.
Frustração das expectativas;Conflitos e crises nos anos 1990 mostraram que o mundo não se tornaria automaticamente mais pacífico.
Guerra da Bósnia;Conflito (1992–1995) que evidenciou a persistência de guerras étnicas e instabilidade na Europa.
Testes nucleares franceses;Ensaios no Atol de Mururoa (1995–1996) indicaram continuidade da lógica militar e estratégica.
Crise financeira asiática;Crise iniciada em 1997 na Tailândia, revelando fragilidades da economia globalizada.
