BRICS (2025);Brasil presidência rotativa
OPEP+ (2025);Brasil aderiu fórum consultivo
Comissão Transfronteiriça Brasil-França;Caiena, Guiana Francesa
Declaração LGBT+;Brasil aderiu
Cúpula Brasil-Caribe;acordos e memorandos
Revisão Sul-Sul Brasil/OIT;12ª reunião anual
UNRWA;Brasil presidência comissão consultiva
ONU Clima e Saúde;conferência em Brasília
E-Ciber;nova estratégia de cibersegurança
AIE;pedido brasileiro de adesão plena
Assembleia Geral ONU;Lula abriu debate geral
UPU;Brasil eleito conselhos 2026-2029
OACI;Brasil reeleito 2026-2028
Papa Leão XIV;primeiro encontro com Lula
Convenção Crime Cibernético;Brasil assinou
ASEAN e Leste Asiático;participação de Lula
Celac-UE;Lula participou da 4ª cúpula
Brasil-Reino Unido;acordo contra tráfico humano
IBAS;reunião de líderes
Diálogo Digital Brasil-Índia;1ª edição em Brasília
OPAS;acordo para compra de vacinas
IMO;Brasil reeleito 2026-2027
Congresso Pan-Africano;Brasil convidado de honra
Brasil-UE dados pessoais;equivalência reconhecida
Brasil-Coreia do Sul;parceria estratégica
Brasil-Índia;parceria digital para o futuro
AIE (2026);início processo adesão plena
Trump (2025);retirou EUA da OMS
Trump (2025);retirou EUA do Acordo de Paris
Venezuela-Paraguai;rompimento diplomático
EUA-Cuba;retirada lista terrorismo
EUA-CDH ONU;saída dos EUA
EUA-UNESCO;retirada dos EUA
Panamá-China;cancelou Nova Rota da Seda
Argentina-OMS;saída anunciada
USAID;fechamento
Albert Ramdin;eleito secretário-geral OEA
Tríplice Fronteira;renovação Comando Tripartite
CELAC-China;IV reunião ministerial
Colômbia-NDB;adesão ao banco
OTCA;comissão amazônica de segurança
Trump;tarifa aço e alumínio 50%
Trump-TPI;sanções contra membros
CELAC;reunião sobre presença militar EUA
EUA-México;acordo contra crime organizado
Brasil-Uruguai;mesa binacional trabalho infantil
Peru;afastamento de Dina Boluarte
Petrobras-Vaca Muerta;importação gás argentino
Trump-Rússia;sanções pela guerra Ucrânia
EUA-Japão;acordo minerais críticos
Bolívia;vitória de Rodrigo Paz
Peru-México;rompimento diplomático
Trump-Lula;retirada tarifa produtos brasileiros
Bolívia-Israel;retomada relações diplomáticas
EUA-Paraguai;acordo cooperação militar
Chile;vitória de José Antonio Kast
Estratégia Segurança EUA;reafirmação Doutrina Monroe
Brasil-Peru;representação interesses do México
EUA-Venezuela;captura de Maduro
Trump;retirada de 60 organizações internacionais
UE-México;novo acordo comercial
UE-Síria;suspensão sanções
ReArm Europe;plano defesa UE
UE-Emirados Árabes;negociação livre comércio
UE-palestinos;apoio €1,6 bilhão
Reino Unido-UE;redefinição pós-Brexit
Tratado Alto Mar;ratificação europeia
SAFE;fundo armamentos UE
Reino Unido-Índia;acordo livre comércio
Parlamento Europeu;debate reconhecimento Palestina
Lei antidesmatamento UE;adiamento aprovado
UE;endurecimento normas migratórias
UE-Rússia;proibição gás até 2027
Bulgária;adoção do euro
;
África do Sul;presidência do G20
Ulisses de Mesquita Gomes;comandante da MONUSCO
União Africana;38ª cúpula
Sudão do Sul;oposição revogou acordo de paz
Ruanda-Bélgica;rompimento diplomático
Ruanda-RDC;Acordos de Washington
G20 Joanesburgo;Solidariedade, Igualdade, Sustentabilidade
União Africana-Guiné-Bissau;suspensão após golpe
ZOPACAS;seminário em Cabo Verde
Argélia;lei contra colonização francesa
Israel-Somalilândia;reconhecimento formal
Indonésia;entrou no BRICS
China;pacote climático energético
China-Vietnã;45 acordos
China-OMS;doação US$ 500 milhões
Japão;menor natalidade em um século
Lee Jae-myung;eleito presidente Coreia do Sul
OCX;24ª cúpula
Sanae Takaichi;premiê do Japão
Camboja-Tailândia;acordo de paz
China;restrição terras raras
China-ASEAN;novo acordo comercial
Timor-Leste;admitido na ASEAN
Jacarta;maior cidade do mundo
Tailândia-Camboja;cessar-fogo
Japão;orçamento recorde defesa
Xi Jinping;ajuda à Palestina
China;pior natalidade desde 1949
Israel-Hamas;cessar-fogo Gaza
Joseph Aoun;presidente do Líbano
Israel-UNRWA;ruptura vínculos
Israel-CDH ONU;saída
Israel-Cisjordânia;operação após 20 anos
Liga Árabe-Egito;plano reconstrução Gaza
Ahmad al-Sharaa;presidente interino Síria
Israel;22 novas colônias
Trump;cessar-fogo Israel-Irã
ONU;conferência solução dois Estados
Israel;bombardeio em Damasco
Gaza;fome causada por ação humana
Israel-Hamas-Catar;ataque a líderes
Arábia Saudita-Paquistão;pacto defesa
ONU-CDH;acusação genocídio contra Israel
Liga Árabe-OCI;cúpula emergência
Palestina;segunda conferência dois Estados
Palestina;reconhecimento europeu
EUA-Egito-Qatar-Turquia;acordo cessar-fogo Gaza
CSNU;aprovou plano paz Gaza
Conselho de Paz de Gaza;criado por Trump
Irã;protestos contra governo
Israel;saída de organizações internacionais
EUA-Israel-Irã;ataque conjunto
Lei Reciprocidade Comercial;entrou em vigor no Brasil
Tarifas recíprocas;“Dia da Libertação”
Ana Caetano;árbitra MPIA-OMC
China-Brasil;nova rota marítima
EEBA;encontro em Salvador
Brasil-EUA;protesto contra tarifas
Plano Brasil Soberano;resposta às tarifas EUA
Brasil-OMC;consultas contra EUA
Subsídios à Pesca;acordo entrou em vigor
Porto de Santana;rota China-Brasil
Brasil-Índia;acordo investimentos
Convenção Multilateral Tributária;adesão do Brasil
Lula-Trump;reunião sobre tarifas
Brasil-Azerbaijão;acordo aduaneiro
Brasil-Colômbia;suspensão entendimento automotivo
Japão-MERCOSUL;consultas estratégicas
MERCOSUL-UE;acordo de parceria
Brasil;recorde exportações e importações
CCP ONU;fim presidência brasileira
AGNU;resoluções Rússia-Ucrânia
Acordo sobre Pandemias;aprovado OMS
Annalena Baerbock;presidência 80ª AGNU
CSNU 2026-2027;novos membros eleitos
Paulo Vannuchi;eleito comitê ONU
Carta da ONU;80 anos
Compromisso de Sevilha;adotado na FFD4
UNIFIL;mandato renovado
Painel IA ONU;criado AGNU
ONU;cortes orçamentários 2026
Declaração de Nova Iorque;solução dois Estados
AGNU 80ª sessão;“Melhor Juntos”
Haiti;força multinacional anti-gangues
Governança IA;diálogo global ONU
Cuba;condenação embargo EUA
Declaração de Doha;aprovada em cúpula social
ONU Turismo;Brasil reeleito presidência
ONU;processo escolha secretário-geral
MINURSO;mandato prorrogado
ONU 2026;orçamento US$ 3,45 bilhões
MONUSCO;Congo
UNIFIL;Líbano
UNMISS;Sudão do Sul
MINUSCA;República Centro-Africana
UNISFA;Sudão do Sul
MINURSO;Saara Ocidental
UNFICYP;Chipre
UNMHA;Iêmen
UNTMIS;Somália
UNVMC;Colômbia
;
Irlanda;doação ao Fundo Amazônia
Plataforma continental brasileira;proposta aceita pela ONU
IMO;descarbonização transporte marítimo
Cúpula Virtual Ambição Climática;ONU e Brasil
Vitória-Trindade;candidatura reserva biosfera
Unoc-3;conferência sobre oceanos
Belém 4x;combustíveis sustentáveis
Petrobras-Foz do Amazonas;licença do Ibama
Crimes ambientais;coalizão multilateral
TFFF;Fundo Florestas Tropicais para Sempre
União Europeia;doação ao Fundo Amazônia
OTCA;recursos do Fundo Amazônia
BBNJ;ratificação pelo Brasil
Economia Sustentável do Oceano;adesão do Brasil
Plano Saúde de Belém;adaptação climática
Declaração de Belém;combate ao racismo ambiental
Mercados regulados de carbono;coalizão aberta
Brasil-Japão;Programa Caminho Verde
Acordo BBNJ;entrada em vigor
DIREITO INTERNACIONAL ;
