Quando foram estabelecidas as relações diplomáticas entre Brasil e Rússia?;Em 1828.
Em que ano D. Pedro II visitou o Império Russo?;Em 1876, em caráter privado.
Por que o Brasil rompeu relações com a Rússia em 1917?;Devido ao não reconhecimento do governo bolchevique.
Quando o Brasil e a URSS retomaram relações diplomáticas após 1917?;Em 1945, por pressão dos EUA durante a Segunda Guerra Mundial.
Quem foi o primeiro presidente brasileiro a visitar a URSS?;José Sarney, em 1988.
Qual foi o marco da parceria estratégica entre Brasil e Rússia?;A visita de FHC à Rússia em 2000/2002.
Qual instância representa o mais alto nível de coordenação Brasil-Rússia?;A Comissão Brasileiro-Russa de Alto Nível de Cooperação (CAN), criada em 1997.
Qual mecanismo técnico-operação apoia a CAN?;A Comissão Intergovernamental Brasil-Rússia de Cooperação Econômica, Comercial, Científica e Tecnológica (CIC).
Qual foi o primeiro chefe de Estado russo a visitar o Brasil?;Vladimir Putin, em 2004.
Que presidentes brasileiros visitaram a Rússia mais de uma vez?;Lula (2005, 2009, 2010) e Dilma Rousseff (2012, 2013, 2015).
O que é a Comissão Política Brasil-Rússia?;Mecanismo de consultas sobre temas multilaterais e globais, como ONU e desarmamento.
Quando foi realizada a última reunião da CIC?;Em Brasília, em 2021.
Que tipo de cooperação foi reforçada na visita de Bolsonaro à Rússia em 2022?;Comércio de fertilizantes e cooperação em defesa, ciência e tecnologia.
Qual foi o posicionamento do Brasil na ONU sobre a invasão da Ucrânia pela Rússia?;Votou contra a invasão no CSNU e na AGNU, mas absteve-se na suspensão da Rússia do CDH.
Que acordo bilateral em defesa foi assinado entre Brasil e Rússia em 2012?;O Acordo de Cooperação em Defesa.
Que armamentos o Brasil adquiriu da Rússia?;Mísseis Iglá e helicópteros Mi-35M.
O que impediu a compra do sistema Pantsir S-1 pelo Brasil?;Limitações orçamentárias.
Qual órgão russo copreside a CAN com o Brasil?;O primeiro-ministro da Rússia.
Qual foi o auge do comércio bilateral entre Brasil e Rússia?;US$ 7,9 bilhões em 2008.
Por que o Brasil passou a ter déficit comercial com a Rússia após 2018?;Restrições à carne brasileira e aumento das importações de fertilizantes russos.
Qual país é responsável por um quarto dos fertilizantes importados pelo Brasil?;A Rússia.
Qual empresa brasileira lidera o Conselho Empresarial Brasil-Rússia?;A Marfrig, representando o setor de carnes.
Qual empresa russa lidera o Conselho Empresarial Brasil-Rússia?;A Phosagro, produtora de fertilizantes.
Que organismo sucedeu o mecanismo MERCOSUL-Rússia?;O Memorando de Cooperação entre MERCOSUL e União Econômica Eurasiática (UEE), de 2018.
Que fórum inter-regional foi criado entre a CELAC e a Rússia em 2015?;O Mecanismo Permanente do Diálogo Político e Cooperação CELAC-Rússia.
Que posição comum Brasil e Rússia têm no sistema internacional?;Defesa de um sistema multipolar, multilateral e cooperativo.
Qual posição a Rússia tem quanto ao pleito do Brasil por assento permanente no CSNU?;Apoia o Brasil, mas não apoia o G4.
Em que acordos multilaterais Brasil e Rússia têm posições comuns?;Reforma da OMC, defesa da soberania e combate às mudanças climáticas (Acordo de Paris).
Qual fórum multilateral os dois países utilizam para cooperação estratégica?;O BRICS.
Que tema foi motivo de divergência entre Brasil e Rússia no Oriente Médio?;O conflito israelo-palestino.
FRONT (Pergunta);BACK (Resposta)
Que restrições sanitárias a Rússia impôs ao Brasil em 2017?;Restrições à importação de carne bovina e suína por motivos sanitários.
O que foi acordado após a viagem da ministra Tereza Cristina à Rússia, em 2021?;A importação de 300 mil toneladas de carnes brasileiras com tarifa zero.
