que simbolizou a reforma urbana do Rio de Janeiro em 1903?;O progresso da República, mas com exclusão das camadas populares.
"Por que a Primeira República foi chamada de ""República das Espadas""?";Porque os dois primeiros presidentes foram militares: Deodoro e Floriano.
O que marcou o governo provisório de Deodoro da Fonseca?;Disputas entre positivistas, liberais e republicanos por poder.
Quem participou do Congresso Constituinte de 1890?;Militares, liberais, republicanos e positivistas.
Como era o federalismo na Primeira República?;Descentralizado, como queriam os liberais, não os positivistas.
O que fez o governo provisório em relação à Igreja?;Separou o Estado da Igreja e criou o registro civil.
Quando foi instituído o voto feminino?;Em 1932, com o Código Eleitoral.
O que caracterizou a Primeira República nas instituições?;Início da republicanização dos costumes e da política.
Qual a influência da Constituição de 1891?;Foi liberal, com inspiração nos Estados Unidos.
O que os Estados podiam fazer segundo a Constituição de 1891?;Contrair empréstimos no exterior.
Quem arrecadava impostos de exportação na Primeira República?;Os Estados.
Qual era o objetivo de São Paulo no federalismo?;Autonomia estadual sem romper a unidade nacional.
Quem arrecadava impostos de importação?;Apenas a União.
O que aconteceu com o Poder Moderador na Constituição de 1891?;Foi abolido.
Quem representava quem no Congresso?;"Câmara: povo; Senado: Estados."
Qual era o mandato presidencial em 1891?;Quatro anos, sem reeleição.
Como era o voto na Constituição de 1891?;Direto, mas não secreto.
Quem não podia votar segundo a Constituição de 1891?;Analfabetos, mendigos e soldados de baixa patente.
O que a Constituição de 1891 fez com a pena de morte?;Aboliu.
Qual foi a postura de Deodoro sobre os Estados?;Tentou concentrar poder e limitar a autonomia estadual.
O que fez Deodoro em 3 de novembro de 1891?;Dissolveu o Congresso.
O que aconteceu com Rui Barbosa após a crise econômica?;Foi afastado do Ministério da Fazenda.
Quem assumiu após a renúncia de Deodoro?;Floriano Peixoto, como vice.
Como foi o governo de Floriano Peixoto?;Centralizador, militarista e jacobino.
Como era a relação entre União e Estados na Primeira República?;Tensa e cheia de conflitos.
O que foi a República das Espadas?;Período de domínio militar de Deodoro e Floriano.
O que o PRP fez após a renúncia de Deodoro?;Aceitou Floriano no poder até 1894.
O que foi a Revolução Federalista?;Conflito entre positivistas e federalistas no RS.
O que queria o Partido Federalista no RS?;Reduzir o poder do Executivo estadual.
Quem formou milícias na Revolução Federalista?;Os positivistas republicanos.
Quem Floriano apoiou na Revolução Federalista?;Júlio de Castilhos.
Por que a cidade de Desterro virou Florianópolis?;Em homenagem a Floriano Peixoto.
Quem foi Custódio de Melo?;Almirante que liderou a Revolta da Armada contra Floriano.
O que Floriano fez contra a Revolta da Armada?;Comprou navios dos EUA.
O que aconteceu com os revoltosos em Curitiba?;Tomaram a cidade, mas recuaram.
Quem ajudou Floriano a vencer os rebeldes?;O Partido Republicano Paulista.
Quem foi Prudente de Morais?;Primeiro civil eleito, ligado ao PRP.
O que foi o Partido Republicano Federal?;Criado para garantir apoio no Congresso ao governo.
Como Prudente de Morais tratou os jacobinos?;Cortou verbas e afastou florianistas.
Quem formava a base jacobina?;Classe média, operários e militares de baixa patente.
O que Prudente fez com o Exército?;Tentou dividi-lo para enfraquecer os jacobinos.
O que fez Prudente de Morais no RS em 1894?;Tentou pacificar o Estado, contrariando o acordo com os florianistas.
Quando começou a Guerra de Canudos?;Em 1896, no sertão da Bahia.
Quem foi Antônio Conselheiro?;Líder messiânico que pregava a volta de Dom Sebastião.
Quem se opôs ao movimento de Canudos?;A Igreja e os coronéis locais.
Como os jacobinos viam Canudos?;Como atraso e ameaça à República laica.
O que aconteceu com Moreira César em Canudos?;Morreu na campanha, e só na 4ª expedição Canudos foi destruída.
Como foi vista a destruição de Canudos?;Como vitória da República contra o monarquismo.
"O que denunciou ""Os Sertões"", de Euclides da Cunha?";A brutalidade da repressão em Canudos.
O que ocorreu com os militares após o atentado a Prudente?;Perderam influência política.
O que foi a política dos Estados de Campos Sales?;Aliança entre União e Estados para garantir governabilidade.
O que defendia a política dos Estados?;Fortalecimento dos governos estaduais, não da União.
Como funcionava o apoio entre União e Estados?;A União apoiava presidentes estaduais e controlava eleições.
O que era o coronelismo?;Troca de favores entre coronéis e eleitores.
Onde existia o coronelismo?;Em todo o país, não só no Nordeste.
Para que servia a Comissão de Verificação de Poderes?;Garantir que só aliados assumissem como deputados.
Qual a nova regra de Campos Sales sobre a Comissão?;Presidente reeleito da Câmara formava a Comissão.
"O que expressa ""ser eleito é uma coisa, ser reconhecido é outra""?";O poder da Comissão de Verificação para validar mandatos.
A República Oligárquica era democrática?;Não, restringia a participação popular e favorecia elites.
Qual era a prioridade de Campos Sales?;Estabilidade política, mesmo com modelo oligárquico.
O que resultou da política dos Estados?;Transferência do poder real para os Estados.
Onde estava a principal força política da Primeira República?;Nos Estados, com forte autonomia.
Qual Estado mais influente na República até 1910?;São Paulo, liderando a política nacional.
Qual era a situação política de Minas Gerais?;Tinha grande bancada, mas dependia da União.
Qual a base econômica de Minas Gerais?;Café, não pecuária.
Qual a relação entre cafeicultura e política federal?;Café dependia da política monetária e fiscal da União.
Qual a posição do Rio Grande do Sul frente a SP e MG?;Tinha posição distinta, mais conservadora.
O que destacava o RS nas Forças Armadas?;Maior Força Pública estadual do país.
O que dizia a constituição estadual do RS?;Permitia reeleição indefinida para o presidente estadual.
"O que era a política do ""café com leite""?";Acordo entre SP (café) e MG (leite) para alternar o poder.
Como era a relação entre SP e MG na política?;Havia identidade política, não perfeita complementariedade.
"Quando se consolidou a política do ""café com leite""?";A partir de 1902, com a alternância entre SP e MG.
Como foram os ministérios de Rodrigues Alves?;Sólidos e duradouros.
Para que foi nomeado Oswaldo Cruz?;Modernizar a saúde pública e combater epidemias.
O que determinava a Lei Rosa e Silva?;Manteve o voto aberto, sem garantir o voto secreto.
O que incentivou Afonso Pena?;Expansão das ferrovias para integrar o território.
O que ligava a linha telegráfica de Rondon?;A Amazônia ao Rio de Janeiro.
O que ocorreu no PRM após João Pinheiro?;O partido se dividiu.
O que causou a morte de Afonso Pena?;Enfraqueceu o pacto entre SP e MG.
O que provocou a morte de Afonso Pena no Executivo?;Fortaleceu o RS e enfraqueceu SP e MG.
