Mercantilismo;Doutrina dos séculos XVI–XVIII que associava riqueza ao acúmulo de metais preciosos e à obtenção de superávits comerciais
Jogo de soma zero;Ideia mercantilista de que o ganho de um país ocorre à custa da perda de outro
Protecionismo mercantilista;Política de estimular exportações e restringir importações
David Hume;Autor do mecanismo “preço-espécie-fluxo”
Mecanismo preço-espécie-fluxo;Entrada de ouro → aumento da moeda → alta de preços e salários → perda de competitividade → redução do superávit
Adam Smith;Fundador da teoria clássica do comércio internacional
Visão clássica do comércio;Ambos os países ganham com o comércio internacional
Objetivo das exportações;Permitir a importação de bens desejados
Vantagem absoluta;País produz um bem a custo menor que outro país
Especialização internacional;País concentra produção no bem em que é mais eficiente
Exemplo de vantagem absoluta;País A exporta X e País B exporta Y
Ganho de bem-estar;Aumento da disponibilidade de bens para os consumidores
David Ricardo;Criador da teoria das vantagens comparativas
Vantagem comparativa;País deve especializar-se no bem em que possui menor custo relativo
Custo relativo;Relação entre os custos de produção de dois bens dentro do mesmo país
Modelo ricardiano;Dois países, dois produtos e um fator de produção (trabalho)
Comércio com desvantagem absoluta;Mesmo um país menos eficiente em tudo pode ganhar com o comércio
Especialização completa;País exporta um produto e deixa de produzir outro
Especialização incompleta;País continua produzindo vários bens, mas com intensidades diferentes
Intervalo razoável da taxa de câmbio;Faixa cambial que preserva os ganhos do comércio
Béla Balassa;Criador do conceito de vantagens comparativas reveladas
Vantagens comparativas reveladas;Indicador baseado na participação das exportações de um produto no total exportado
Indicador > 1 em Balassa;País possui vantagem comparativa revelada naquele produto
Fonte de vantagem comparativa: demanda;Diferenças internacionais de preferências dos consumidores
Fonte de vantagem comparativa: técnica;Diferenças em clima, localização ou qualificação
Fonte de vantagem comparativa: dotação de fatores;Países possuem diferentes quantidades de capital, trabalho etc.
Fonte de vantagem comparativa: economias de escala;Produção em larga escala reduz custos
Equalização de preços;Comércio tende a aproximar preços internacionais
Padrão de importação;País importa bens cujo preço interno isolado é mais alto
Padrão de exportação;País exporta bens cujo preço interno isolado é mais baixo
Função de produção;Relação entre insumos utilizados e quantidade produzida
Competitividade internacional;Capacidade de produzir a custos relativamente menores
Superávit comercial;Exportações maiores que importações
Divisão internacional do trabalho;Distribuição da produção mundial conforme vantagens comparativas
;
;
Pensamento neoclássico;Corrente que explica o comércio internacional pela dotação de fatores de produção
Crítica ao modelo clássico;Diferenças de custos precisavam ser explicadas pela estrutura produtiva e fatores
Modelo 2x2x2;Dois países, dois produtos e dois fatores de produção
Dois fatores de produção;Trabalho e capital
Custos crescentes;Produção adicional exige custos cada vez maiores
Fronteira de produção;Limite máximo de produção possível com pleno emprego dos fatores
Fronteira côncava;Reflete custos de oportunidade crescentes
