O que faziam os embaixadores na Grécia Antiga?;Entregavam mensagens, oferendas e representavam interesses políticos.
Por que surgiu a diplomacia nas cidades-Estado da Grécia Antiga?;Para lidar com missões especiais entre as cidades.
O que já existia na Grécia sobre a função diplomática?;Distinção entre público e privado.
O que a diplomacia renascentista italiana consolidou?;Embaixadores permanentes, chancelarias, imunidades e extraterritorialidade.
Por que surgiu a diplomacia moderna na Itália renascentista?;Por causa da insegurança e anarquia entre cidades-Estado.
O que marca o sistema de Estados modernos no século XVIII?;Diplomatas passaram a defender o interesse nacional.
O que indica a presença de diplomatas estrangeiros nas capitais?;A existência de uma sociedade de Estados.
Qual a função principal dos diplomatas, segundo Hedley Bull?;Facilitar comunicação entre líderes.
O que os diplomatas fazem nas negociações?;Identificam interesses comuns e mediam acordos.
Qual a função de inteligência dos diplomatas?;Coletar informações sobre outros Estados.
Como a diplomacia evita conflitos?;Usa convenções para minimizar fricções.
O que é política externa normal?;Reconhece os interesses legítimos de outros Estados.
O que é política externa revolucionária?;Não reconhece os interesses dos outros e tenta mudar o mundo.
Exemplo de política externa revolucionária?;Napoleão, Lenin, Hitler.
O que busca a política externa, segundo Aron?;Segurança, potência e glória.
O que é segurança para um Estado?;Defesa e expansão do território.
O que é potência, segundo Aron?;Capacidade de controlar pessoas.
O que é glória para um Estado?;Triunfo de ideias e causas.
O que é política externa?;Estratégia para realizar o interesse nacional.
Quais os instrumentos da política externa?;Diplomacia e guerra.
O que é a guerra para Clausewitz?;Continuação da política por outros meios.
Como o regime político afeta o interesse nacional?;Cada regime tem objetivos e táticas diferentes.
Por que se diz que democracias não guerreiam entre si?;Porque compartilham valores e estruturas compatíveis.
O que forma a identidade nacional?;Passado, valores e ambições futuras.
O que a identidade nacional influencia?;A definição do interesse nacional.
A política externa muda com o governo?;"Geralmente não; é uma dimensão constante do Estado."
Qual era a função econômica tradicional do Estado?;Defender o valor da moeda.
Como a função econômica do Estado mudou no século XX?;Passou a regular a economia.
O que influenciou essa mudança econômica do Estado?;O pós-guerra e a Grande Depressão.
Qual doutrina ampliou a atuação do Estado na economia?;Keynesianismo.
O que foram Bretton Woods e agências da ONU no pós-guerra?;Base institucional para negociações econômicas internacionais.
Por que o setor empresarial ganhou importância na política externa?;Por causa da integração dos mercados e dos blocos econômicos regionais.
O que fez De Gaulle em relação ao Japão nos anos 60?;Recusou receber um primeiro-ministro japonês com empresários na comitiva.
Por que empresários passaram a integrar comitivas oficiais modernas?;Para promover interesses econômicos nacionais no exterior.
O que era a diplomacia renascentista?;Diplomacia marcada por práticas vistas como imorais e não profissionais.
Por que os diplomatas renascentistas eram criticados?;Pela falta de separação entre público e privado.
Quando começou a profissionalização da diplomacia?;Na segunda metade do século XIX.
Por que antes os diplomatas eram pouco profissionais?;Eram escolhidos por laços familiares e políticos, não por mérito.
O que ainda resta da cultura aristocrática na diplomacia?;Traços culturais, apesar da crescente profissionalização.
O que foi o Rogers Act (EUA, 1924)?;Unificou os serviços diplomático e consular e instituiu o mérito.
O que fizeram as reformas Mello Franco e Oswaldo Aranha?;Unificaram e profissionalizaram o serviço diplomático brasileiro.
O que é o Instituto Rio Branco?;Escola criada em 1945 para formar diplomatas por mérito.
Por que a burocratização afetou as chancelarias?;Reduziu sua autonomia e criou concorrência interna no governo.
Como o Legislativo influenciou a diplomacia?;Disputando espaço com o Executivo e enfraquecendo o monopólio da chancelaria.
Por que a democracia mudou a política externa?;Porque a opinião pública e os grupos de pressão ganharam força.
O que os grupos de pressão fazem na política externa?;Influenciam decisões, em articulação com partidos políticos.
O que é a diplomacia fragmentária?;Conceito de Kennan para descrever a disputa entre órgãos do governo sobre o interesse nacional.
Por que a diplomacia fragmentária é um problema?;Gera interpretações divergentes sobre o que é o interesse nacional.
O que é o Estado moderno?;Criação do Renascimento, surgiu com as monarquias absolutas.
Por que as monarquias absolutas são consideradas o início do Estado moderno?;Porque unificaram poder político, fronteiras e cobrança de impostos.
O que Maquiavel defendia sobre política?;"Separação entre moral e política; razão de Estado e soberania."
O que é o Leviatã de Hobbes?;O Estado como um monstro que garante ordem e segurança.
Por que Hobbes defendia o Estado forte?;Para evitar o caos da liberdade total do estado de natureza.
O que Locke propôs sobre o Estado?;Limitação do poder, liberdade individual e consentimento político.
O que Montesquieu propôs?;Separação dos poderes: Executivo, Legislativo e Judiciário.
Por que Rousseau criticou Hobbes?;Porque acreditava que a natureza era harmoniosa, não caótica.
O que Rousseau defendia?;Soberania popular e democracia direta.
Como foi a transição do absolutismo na Inglaterra?;Gradual, com limitação do rei pelo Parlamento.
Como foi a transição do absolutismo na França?;Violenta, com a Revolução de 1789 e o fim do poder real.
O que é o Estado territorial?;Estado com fronteiras, poder unificado e impostos, criado no absolutismo.
O que é o Estado-nação?;Estado com soberania popular, surgido após o absolutismo.
O que Maquiavel dizia sobre consenso?;O governante deve buscar apoio popular com virtude e habilidade.
Por que Locke e Montesquieu valorizam o consenso?;Porque o poder deve vir de representantes eleitos.
O que Rousseau defendia sobre participação política?;Participação direta e constante dos cidadãos.
Por que as teorias clássicas não tratavam de relações internacionais?;Porque focavam nas relações internas do Estado.
Quando surgiu o estudo das relações internacionais?;No século XX, com a economia mundial integrada.
O que são relações internacionais?;Estudo das posições dos Estados no sistema global.
Por que não há consenso nas teorias de RI?;Porque há várias tradições e abordagens conflitantes.
O que é a escola idealista nas Relações Internacionais?;Corrente que defende normas, justiça e cooperação entre Estados.
Por que a escola idealista surgiu?;Reação moral aos horrores da Primeira Guerra Mundial.
Qual a base filosófica da escola idealista?;Direito natural e contrato social (influência de Rousseau).
Qual o objetivo moral da escola idealista?;Criar uma sociedade internacional baseada em justiça e direito.
O que são os Quatorze Pontos de Wilson?;Exemplo de idealismo aplicado às Relações Internacionais.
Por que a política de apaziguamento é considerada idealista?;Por tentar manter a paz através da conciliação e confiança.
O que a escola realista enfatiza?;O conflito, o poder e a anarquia no sistema internacional.
Quais pensadores inspiram a escola realista?;Maquiavel e Hobbes.
O que Maquiavel defendia na política?;Uso da força e da astúcia para manter o poder do soberano.
O que Hobbes via nas relações internacionais?;Um estado de natureza, sem autoridade central (guerra de todos contra todos).
Qual a principal ideia da escola realista?;Não há poder soberano acima dos Estados no sistema internacional.
Por que o realismo ganhou força entre guerras?;Devido ao fracasso do idealismo e da política de apaziguamento.
Quem foi Hans Morgenthau?;Fundador do realismo contemporâneo, defensor do equilíbrio de poder.
O que é o neorrealismo?;Corrente que foca na estrutura do sistema internacional e segurança dos Estados.
O que é o institucionalismo realista?;Estudo do impacto de instituições internacionais sobre os Estados.
Quais autores representam o institucionalismo?;Robert Keohane, Joseph Nye e Stanley Hoffmann.
Por que instituições limitam a soberania?;Porque reduzem a insegurança com compromissos internacionais.
O que é a escola radical nas RI?;Corrente inspirada no marxismo, centrada no conflito entre classes sociais.
Qual o papel do Estado na escola radical?;"Papel secundário; o foco está nas classes e corporações."
O que Lenin acrescentou à teoria radical?;A ideia de imperialismo como causa de guerras e dominação.
Como o imperialismo é visto na teoria radical?;Relação de subordinação econômica entre países desiguais.
O que analisa a teoria radical ou neo-marxista?;Atores não estatais como corporações e ONGs no sistema internacional.
O que é a Teoria do Sistema-Mundo de Wallerstein?;Teoria que analisa relações econômicas globais e a divisão entre centro e periferia.
Por que Wallerstein não foca nos Estados?;Porque seu foco está nas relações econômicas e não na estrutura estatal.
O que a Teoria do Sistema-Mundo estuda?;A evolução do capitalismo e os padrões globais de dominação.
O que distingue áreas centrais e periféricas?;Nível de desenvolvimento econômico dentro do capitalismo.
Por que Wallerstein é relevante para estudar a globalização?;Porque analisa fluxos de capital, corporações globais e blocos econômicos.
O que é a política de equilíbrio segundo o realismo?;Estratégia para evitar a hegemonia de um Estado e manter a estabilidade.
Por que Raymond Aron prefere “equilíbrio de forças” a “poder”?;Porque forças são mais mensuráveis que o poder.
O que é a política externa para Raymond Aron?;Política de poder em um sistema internacional anárquico.
O que dizia David Hume sobre equilíbrio de poder?;Que é uma preocupação antiga, presente desde a Grécia Antiga.
Por que o Império Persa intervinha nas repúblicas gregas?;Para manter o equilíbrio entre elas.
O que fizeram os sucessores de Alexandre quanto ao equilíbrio?;Vigiaram para manter a divisão territorial e evitar hegemonias.
Por que Roma não seguiu o equilíbrio de forças?;Porque subjugava os adversários sem permitir alianças de defesa.
Quem foi Hiero de Siracusa segundo Aron?;Único príncipe romano que compreendeu o princípio do equilíbrio.
Como a rivalidade França-Inglaterra ilustra o equilíbrio?;A Inglaterra impediu que a França alcançasse hegemonia na Europa.
Por que Hume critica o belicismo inglês?;Porque gerava altos custos sem ganhos claros e comprometia o futuro.
O que são os excessos de ardor belicoso?;Ações militares motivadas por rivalidade, com prejuízos econômicos.
Por que o fervor bélico é perigoso?;Pode isolar o Estado e enfraquecê-lo para futuros conflitos.
O que aconteceu com Atenas após guerras em excesso?;Enfraqueceu-se e passou a se afastar das questões externas.
Por que Hume é contra impérios extensos?;Porque criam obstáculos ao desenvolvimento humano e dificultam a administração interna.
O que Hume pensava sobre a expansão dos Bourbons?;Que causava limitações políticas e sociais, prejudicando a elevação da natureza humana.
Por que Hume via o Império Romano como exceção?;Porque surgiu quando a humanidade ainda vivia de forma desordenada.
Por que impérios grandes enfrentam problemas?;Porque são difíceis de administrar e controlar.
O que Montesquieu dizia sobre a decadência de Roma?;Que começou com a imensidão do império, que inviabilizou a República.
Por que Montesquieu critica a expansão dos Bourbons?;Porque nobres distantes recusariam servir ao rei, exigindo mercenários.
O que a política de equilíbrio busca preservar?;A independência dos Estados e a estabilidade internacional.
Por que a política de equilíbrio é considerada prudente?;Porque impede que um Estado domine os demais.
Quando a política de equilíbrio é considerada moralmente válida?;Quando evita o surgimento de monarquias universais opressoras.
O que faz um Estado na política de equilíbrio?;Se opõe a qualquer Estado ou coalizão que adquira força superior.
Por que a política de equilíbrio vale para todos os sistemas?;Porque todos os Estados devem se proteger contra hegemonias.
O que é um sistema internacional pluripolar?;Sistema com vários atores principais em equilíbrio.
O que é um sistema internacional bipolar?;Sistema com dois grandes blocos em confronto.
É possível haver sistemas intermediários?;Sim, quando há desigualdade entre os principais atores.
Quando Roma dominou o Ocidente?;De 146 a.C. até 476 d.C., por cerca de seis séculos.
O que o mito de Roma influenciou?;O sonho de um império universal na Idade Média e Moderna.
O que foi a monarquia universal católica?;Projeto imperial europeu baseado na união religiosa e política.
Quem simbolizou a monarquia universal católica?;Carlos Magno (800) e Oto I (962) no Sacro Império.
Qual família representava esse projeto no século XVII?;A Casa de Habsburgo, com vastos domínios europeus.
Por que a França combateu os Habsburgo?;Para impedir a hegemonia espanhola e manter o equilíbrio europeu.
O que foi a Guerra dos Trinta Anos?;Conflito entre Habsburgo e outras potências pela hegemonia europeia.
Qual o efeito da Guerra dos Trinta Anos sobre a Espanha?;Enfraqueceu o império e destruiu o sonho da monarquia universal.
O que foram os Tratados de Westfália (1648)?;Pactos que encerraram a Guerra dos Trinta Anos e fundaram o sistema de Estados modernos.
O que fez a Paz de Munster (1648)?;Encerrou a guerra entre Espanha e Holanda.
O que fez a Paz dos Pireneus (1659)?;Marcou o fim do poder dos Habsburgo espanhóis.
O que Westfália definiu sobre a religião?;Igualdade entre católicos e protestantes, liberdade religiosa aos calvinistas.
Qual foi o impacto político da Westfália na Alemanha?;Consolidação da fragmentação territorial sob o comando dos príncipes.
O que ocorreu com os Habsburgo após a Guerra dos Trinta Anos?;Perderam influência, mantendo apenas os territórios católicos do sul do Império.
Por que a Prússia ascendeu no Sacro Império?;A dinastia Hohenzollern aproveitou a fragmentação alemã para rivalizar com a Áustria.
O que garantiu a ascensão da França como potência?;A vitória na Guerra dos Trinta Anos e a aquisição de territórios como a Alsácia.
Por que a Paz dos Pireneus (1659) foi importante para a França?;Marcou o auge do absolutismo de Luís XIV.
Por que a Inglaterra se beneficiou dos tratados de paz?;Manteve-se neutra e fortaleceu seu controle sobre o comércio europeu.
Por que a Inglaterra não participou da Guerra dos Trinta Anos?;Estava envolvida em guerras civis internas.
O que representou Westfália para a escola idealista?;Início da ordem jurídica internacional entre Estados soberanos.
O que representou Westfália para a escola realista?;Origem do sistema europeu de equilíbrio de poder.
O que representou a coroação de Napoleão em 1804?;"Tentativa de restaurar o ideal do império universal, como uma ""Nova Roma""."
Por que a França napoleônica é importante para a história da Europa?;Foi o primeiro Estado-nação a tentar unificar a Europa.
O que foi o Império Carolíngio?;Tentativa medieval de unificação europeia (768–843).
Qual foi o auge territorial do Império Napoleônico?;Domínio sobre quase toda a Europa continental, incluindo Ibéria, Itália e Europa Central.
Quanto tempo durou o Império Napoleônico?;Cerca de 11 anos, de 1804 a 1815.
Qual foi o principal rival da França napoleônica?;A Grã-Bretanha, potência marítima.
Por que a Grã-Bretanha organizou coalizões contra Napoleão?;Para conter a expansão continental da França.
Qual teoria explica o conflito França vs. Inglaterra?;A oposição entre Poder Marítimo e Poder Continental (Alfred Mahan).
O que foi o Sistema Continental de Napoleão?;Bloqueio dos portos europeus ao comércio britânico.
Como a Grã-Bretanha respondeu ao Sistema Continental?;Cortou rotas oceânicas francesas e atacou suas colônias.
Por que o Caribe e a América Latina foram afetados pelo conflito?;Foram alvos da ofensiva britânica contra as posições espanholas e francesas.
Por que houve impasse entre França e Grã-Bretanha?;Cada potência dominava seu elemento: França na terra, Grã-Bretanha no mar.
O que Napoleão tentou fazer contra a Inglaterra?;Criar uma esquadra e invadir as Ilhas Britânicas, mas fracassou.
Quais foram as derrotas decisivas de Napoleão?;A resistência espanhola, a retirada da Rússia e a Batalha de Leipzig (1813).
Qual foi a importância da Grã-Bretanha no equilíbrio europeu?;Atuou como sentinela do equilíbrio de poder no continente.
Por que a Grã-Bretanha se opôs a Napoleão?;Para impedir que ameaçasse sua liberdade marítima e bases coloniais.
O que a derrota de Napoleão permitiu à Grã-Bretanha?;Afirmar sua hegemonia política e econômica no século XIX.
Como era o sistema europeu após 1815?;Equilíbrio multipolar com cinco potências principais.
Quais eram as cinco potências do equilíbrio europeu?;Grã-Bretanha, França, Prússia (Alemanha), Áustria-Hungria e Rússia.
Qual foi o impacto do equilíbrio europeu no século XIX?;Facilitou a expansão industrial e o mercado mundial.
Qual mudança desestabilizou o sistema europeu?;A unificação da Alemanha em 1871.
O que foi o Congresso de Viena (1814–1815)?;Reunião para redesenhar as fronteiras da Europa após Napoleão.
Qual foi o objetivo do Congresso de Viena?;Restaurar a ordem monárquica e conter o expansionismo revolucionário.
Qual princípio foi central no Congresso de Viena?;Princípio da legitimidade — restauração das monarquias tradicionais.
Quais monarquias foram restauradas após Napoleão?;Bourbons na Espanha, Bragança em Portugal e Luís XVIII na França.
O que foi a Santa Aliança?;Aliança entre Áustria e Rússia para proteger a Europa das dinastias.
Quem liderou a formação da Santa Aliança?;Metternich (Áustria) e o czar Alexandre I (Rússia).
O que foram as revoltas liberais da década de 1820?;Movimentos por independência e monarquias constitucionais em regiões como Espanha, Portugal, Nápoles, Piemonte e Grécia.
Por que o sistema de congressos da Santa Aliança enfraqueceu?;A Grã-Bretanha recusou-se a intervir nas repressões austríacas.
O que resultou da Revolução Francesa de 1830?;Estabelecimento da monarquia constitucional de Luís Felipe.
O que foi a Primavera dos Povos (1848)?;Revoluções liberais que abalaram a legitimidade monárquica na Europa.
Por que o princípio do equilíbrio foi central em Viena?;Para garantir estabilidade entre as potências após Napoleão.
Que ganhos territoriais teve a Grã-Bretanha após Viena?;Expansão dos domínios coloniais.
O que a Rússia conquistou após Viena?;Controle sobre a Polônia e hegemonia no mundo eslavo.
O que a Áustria anexou após o Congresso de Viena?;Estados italianos do norte.
Qual foi o ganho territorial da Prússia?;Renânia e parte da Polônia.
Por que não se reconstituiu o Sacro Império?;A fragmentação alemã foi mantida pela Confederação Germânica.
