;
Quando foi assinado o Acordo de Cartagena, também chamado de Pacto Andino?;Em 1969.
Quais países foram os signatários originais do Pacto Andino?;Bolívia, Chile, Colômbia, Equador e Peru.
Quais eram os objetivos principais do Pacto Andino?;Promover o desenvolvimento equilibrado, acelerar o crescimento, facilitar a integração regional, reduzir a vulnerabilidade externa e melhorar a posição internacional dos países-membros.
Qual instrumento visava substituir, em parte, a ALALC?;O Pacto Andino.
Por que o Pacto Andino foi considerado incompatível com a ALALC?;Porque a ALALC não previa acordos entre apenas alguns de seus membros.
Em que ano e por qual protocolo o Acordo de Cartagena foi modificado para criar a Comunidade Andina?;Em 1996, pelo Protocolo de Trujillo.
Quais países compunham a CAN após sua criação formal em 1996?;Bolívia, Colômbia, Equador, Peru e Venezuela.
Quais são os atuais países-membros da CAN?;Bolívia, Colômbia, Equador e Peru.
Quando e por que o Chile se retirou do Pacto Andino?;Em 1976, por divergências em relação à orientação econômica do bloco.
Quando a Venezuela aderiu e quando se retirou da CAN?;Aderiu em 1973 e se retirou em 2006.
Quais países do Mercosul são considerados associados à CAN?;Argentina, Brasil, Chile, Paraguai e Uruguai.
Que países têm status de observadores na CAN?;Espanha, Marrocos e Turquia.
Qual é o principal órgão da CAN, criado em 1990?;O Conselho Presidencial Andino.
Como é exercida a presidência anual do Conselho Presidencial Andino?;Por rodízio entre os membros, em ordem alfabética.
Qual é a função do Conselho Andino de Ministros de Relações Exteriores?;Formular a política exterior da sub-região e coordenar a ação externa dos órgãos do SAI.
O que compete à Comissão da CAN?;Formular a política de integração sub-regional em comércio e investimentos.
Qual é o principal órgão executivo e técnico da CAN?;A Secretaria Geral da CAN (SG-CAN).
Onde fica a sede da SG-CAN?;Em Lima, Peru.
Quando a CAF (Corporação Andina de Fomento) iniciou suas operações?;Em 1970.
Quando foi eliminada a dupla tributação entre os membros da CAN?;Em 1971.
O que foi facilitado em 2001 entre os países-membros da CAN?;A eliminação da necessidade de visto e passaporte para cidadãos da CAN viajarem entre os países-membros.
Qual documento ambiental foi aprovado pela CAN em 2020?;A Carta Ambiental Andina.
O que é o Estatuto Migratório Andino e quando entrou em vigor?;"É um mecanismo que regula a migração entre os membros da CAN; entrou em vigor em 2021."
Quando foi criada a Zona de Livre Comércio Andina?;Em 1993.
O que ocorreu em 1995 com a Zona de Livre Comércio Andina?;Foi transformada em uma união aduaneira, com adoção de uma Tarifa Externa Comum (TEC).
;
Quais países fundaram a Aliança do Pacífico?;Chile, Colômbia, México e Peru.
Quantos habitantes e qual porcentagem do PIB latino-americano representam os membros da AP?;Cerca de 230 milhões de habitantes e 35% do PIB da América Latina.
Qual era o PIB conjunto estimado da AP em 2021, segundo o FMI?;US$ 2,232 trilhões.
Quais países da AP são membros plenos da OCDE?;Chile, Colômbia e México.
Qual iniciativa antecedeu a criação da AP?;O Foro do Arco do Pacífico Latino-Americano.
Quando foi criado o Foro do Arco do Pacífico Latino-Americano e quais países o compunham?;"Criado em 2007; composto por Chile, Colômbia, México, Peru, Costa Rica, Equador, El Salvador, Honduras e Nicarágua."
Qual presidente propôs originalmente a criação da AP?;Alan García, do Peru.
Que documento marca a origem da Aliança do Pacífico?;A Declaração de Lima, de abril de 2011.
Quando foi assinado o Acordo-Marco que formalizou a AP?;Em junho de 2012.
Qual é o objetivo declarado da Aliança do Pacífico segundo a Declaração de Lima?;Fomentar a integração regional e promover maior crescimento, desenvolvimento e competitividade.
Qual é o objetivo da AP em relação à circulação de fatores econômicos?;Alcançar a livre circulação de bens, serviços, capitais e pessoas.
Qual foi o impacto do Protocolo Adicional de 2016?;Eliminou tarifas para 92% dos produtos comercializados entre os países da AP.
O que mais o Protocolo Adicional da AP regula, além de tarifas?;Regras de origem, barreiras técnicas, medidas sanitárias, e-commerce, serviços financeiros e transporte marítimo.
Qual é a previsão da AP para a consolidação plena do livre comércio?;Até o ano de 2030.
Em que princípios a Aliança do Pacífico se baseia?;Estado de Direito, democracia, direitos humanos, livre comércio e desenvolvimento sustentável.
Como funciona a presidência da Aliança do Pacífico?;É rotativa entre os países-membros.
Qual foi o impasse político entre México e Peru envolvendo a presidência da AP em 2022?;Obrador se recusou a passar a presidência para Dina Boluarte após a destituição de Pedro Castillo.
Quem assumiu a presidência da Aliança em junho de 2023?;O Chile.
Quais são os três principais órgãos políticos da AP?;Cúpula da AP, Conselho de Ministros e Grupo de Alto Nível (GAN).
Qual é a função do Grupo de Alto Nível (GAN)?;Coordenar comitês técnicos e avançar temas como comércio, inovação e propriedade intelectual.
O que é o CEAP e qual seu papel na AP?;Conselho Empresarial da AP, representa os setores privados dos países-membros.
Quais são as quatro instâncias adicionais da AP, além dos principais órgãos?;Conselho de Cooperação, CEAP, Conselho de Ministros de Finanças e Comissão Interparlamentar.
Que órgão é responsável pela implementação do Protocolo Comercial da AP?;Comissão de Livre Comércio, com comitês e subcomitês subordinados.
Quantos países observadores tem atualmente a AP?;63 países observadores.
O Brasil é observador da Aliança do Pacífico?;Não, o Brasil não é observador.
Quem foi o primeiro Estado Associado da AP?;Singapura, em 2022.
Quais países negociam atualmente para se tornarem Estados Associados?;Coreia do Sul, Austrália, Canadá e Nova Zelândia.
Quais países pleiteiam tornar-se membros plenos da AP?;Equador, Costa Rica, Guatemala e Panamá.
Por que a Costa Rica adiou sua entrada na AP?;Preferiu aguardar a resolução da crise política no Peru.
