Qual o principal antecedente da ALADI?;A Associação Latino-Americana de Livre Comércio (ALALC), criada em 1960 pelo primeiro Tratado de Montevidéu.
Qual era o objetivo original da ALALC?;Criar uma área de livre comércio após 12 anos do tratado, com a meta futura de um mercado comum.
Quais foram os sete países fundadores da ALALC?;Argentina, Brasil, Chile, México, Paraguai, Peru e Uruguai.
Que fatores motivaram a criação da ALALC?;Desenvolvimento econômico regional, Guerra Fria, Operação Pan-Americana, BID, substituição de importações e crise nos termos de troca.
Por que o objetivo da ALALC não foi cumprido?;Devido a políticas nacionalistas e protecionistas e à heterogeneidade econômica da região.
Quando e por que foi criada a ALADI?;Em 1980, para substituir a ALALC e dar novo rumo ao processo de integração regional.
Qual tratado criou a ALADI?;O Tratado de Montevidéu de 1980.
Quais países foram os signatários originais da ALADI?;Argentina, Bolívia, Brasil, Chile, Colômbia, Equador, México, Paraguai, Peru, Uruguai e Venezuela.
Quando o Brasil incorporou o Tratado de Montevidéu de 1980?;Pelo Decreto-Legislativo nº 66, de 16 de novembro de 1981.
Quais são os princípios gerais da ALADI segundo o Art. 3º do tratado de 1980?;Pluralismo político e econômico, convergência progressiva, flexibilidade, tratamento diferencial e multiplicidade de instrumentos.
Quais os objetivos da ALADI?;Reduzir barreiras comerciais, promover solidariedade, desenvolvimento econômico equilibrado e criar um mercado comum latino-americano.
Quais são os três grupos de países-membros da ALADI?;PMDER (Bolívia, Equador, Paraguai), PDI (Chile, Colômbia, Peru, Uruguai, Venezuela, Cuba, Panamá), e os demais (Argentina, Brasil, México).
Como a ALADI busca integrar os países PMDER?;Por meio de listas de abertura de mercado, programas especiais de cooperação e medidas compensatórias.
Quais são os três mecanismos de integração da ALADI?;Preferência tarifária regional, acordos de alcance regional e acordos de alcance parcial.
Que temas podem ser abordados nos acordos da ALADI?;Desgravação tarifária, cooperação financeira, meio ambiente, normas técnicas, turismo, agricultura, tecnologia, entre outros.
Qual o papel da ALADI frente a outros acordos sub-regionais?;Servir de guarda-chuva institucional e fomentar sua convergência rumo à integração continental.
A ALADI permite vínculos com países fora da América Latina?;Sim, por meio de acordos multilaterais e ações parciais com países ou áreas de integração de outras regiões.
Que tipo de participação é permitida aos países observadores da ALADI?;Acesso a sessões públicas do Comitê de Representantes e à documentação não confidencial.
Cite três países observadores da ALADI.;El Salvador, Espanha, China.
Cite três organismos internacionais observadores da ALADI.;CEPAL, OEA, Banco Interamericano de Desenvolvimento (BID).
Quando Cuba e Panamá aderiram à ALADI?;Cuba em 1999 e Panamá em 2012.
Quando a Nicarágua foi aceita como país em processo de adesão?;Em 11 de agosto de 2011, na 16ª Reunião do Conselho de Ministros.
Qual cláusula do GATT favoreceu a criação da ALADI?;A Cláusula de Habilitação, adotada na Rodada Tóquio em 1979.
Quais são os três órgãos políticos da ALADI?;Conselho de Ministros das Relações Exteriores, Conferência de Avaliação e Convergência, e Comitê de Representantes.
Qual é o órgão técnico da ALADI?;A Secretaria-Geral, com sede em Montevidéu.
Qual é o órgão supremo da ALADI?;O Conselho de Ministros das Relações Exteriores.
Quem compõe o Conselho de Ministros da ALADI?;Ministros das Relações Exteriores dos países-membros ou ministros/secretários com competência em integração.
Quais decisões pode adotar o Conselho de Ministros?;As de condução política superior do processo de integração.
O que faz a Conferência de Avaliação e Convergência?;Examina o funcionamento da integração, promove convergência dos acordos e ações de maior alcance.
Quem integra a Conferência de Avaliação e Convergência?;Plenipotenciários dos países-membros.
Qual é o órgão político permanente da ALADI?;O Comitê de Representantes.
Como é composto o Comitê de Representantes?;Um representante titular e um alterno por país-membro, cada um com direito a um voto.
Com que frequência se reúne o Comitê de Representantes?;Regularmente, a cada quinze dias.
Quantos votos são necessários para aprovar resoluções no Comitê?;Voto afirmativo de dois terços dos países-membros.
Quais são alguns dos órgãos auxiliares vinculados ao Comitê?;"Conselhos para Assuntos Financeiros, Transporte, Turismo, Aduanas; Comissões e Grupos de Trabalho."
Qual é a função da Secretaria-Geral da ALADI?;Apoiar tecnicamente os países-membros nas negociações e propor alternativas que aprofundem a integração.
Quem é o atual secretário-geral da ALADI (desde 2020)?;Sergio Abreu, do Uruguai.
Qual GT o Brasil coordenou em 2021 e 2022?;Grupo de Trabalho sobre Serviços e Novos Temas.
Em 2023, quais GTs o Brasil coordenou ou foi coordenador-adjunto?;"Coordenou o GT de Serviços, Investimentos e Outras Questões Comerciais; coordenador-adjunto dos GTs de Acesso a Mercados de Bens e Agenda Digital."
