Eixo Temático;Tópico / Subtópico;Descrição Detalhada (conforme seu material)
1. O Período Colonial;Configuração territorial (sécs. XVI-XVIII);Relação entre paradigma jurisdicionalista, organização do poder (capitanias, vilas e cidades) e mudanças nas práticas de territorialidade no século XVIII.
;Antecedentes territoriais;Importância dos Tratados de Utrecht, resultados das negociações entre 1750 e 1801 e a ação de D. João VI na definição de fronteiras.
;Tratado de Madri (1750);Contribuição do negociador Alexandre de Gusmão e resultados para a demarcação do território brasileiro.
2. O Processo de Independência;Contexto e projetos;Influência do reformismo ilustrado (1808-1824), impacto da chegada da família real e a diversidade de projetos políticos regionais.
;Dilemas políticos e sociais;"Sentidos da transferência da Corte, conflitos armados no processo de separação, a ""invenção"" de uma nação liberal e os debates sobre a escravidão."
;Período Joanino;Transferência da Corte lusitana, medidas de interiorização da metrópole e panorama político entre Brasil e Portugal.
;Independência em perspectiva;Peculiaridade do processo de emancipação brasileiro frente à conjuntura internacional e aos movimentos da América hispânica.
3. O Primeiro Reinado (1822-1831);Vida político-institucional;Relação entre herança colonial e ideias liberais, construção da Constituição de 1824, configurações jurídico-políticas e movimentos populares.
;Guerra Cisplatina;Disputa de fronteira no Prata e consequências do conflito para a crise política e a abdicação de D. Pedro I.
;Reconhecimento da independência;Análise das fases de José Bonifácio e da assinatura dos tratados com Portugal e Grã-Bretanha.
;Relações bilaterais (Inglaterra);A diplomacia entre Inglaterra e Brasil no período 1808-1831.
;Conformação estatal;Raízes coloniais da política externa de D. Pedro I e resultados dos reconhecimentos internacionais na década de 1820.
4. A Regência (1831-1840);Reformas e disputas;"As ""reformas liberais"" versus o ""regresso conservador"", centralização e descentralização, reformas institucionais e revoltas provinciais."
;Partidos políticos;Pensamento político das correntes liberal e conservadora durante a Regência e início do Segundo Reinado e impacto na institucionalização do Estado.
5. O Segundo Reinado (1840-1889);Política externa e Prata;"Motivações para a intervenção brasileira na navegação dos rios Amazonas, Paraná e Paraguai; Guerra do Paraguai, Tratado da Tríplice Aliança e atuação da diplomacia imperial."
;Relações com a Inglaterra;Pressão pelo fim do tráfico de escravos, herança lusitana na política externa e causas do rompimento/reatamento nas décadas de 1860 (Questão Christie).
;Trabalho e Escravidão;"O longo processo de abolição (1850-1888) e seus marcos legais; evolução das condições sociais e jurídicas do trabalho, da escravidão ao trabalho livre."
;Crise e Intelectuais;"Geração de 1870, circulação de ideias e crise do Estado Monárquico; construção da identidade nacional através do IHGB e da Academia Imperial de Belas Artes."
;Sistema Eleitoral;Análise das reformas eleitorais, fraudes, violência e o papel do Poder Moderador nas eleições do Império.
;Diplomacia nas Repúblicas do Pacífico;Política externa nas décadas de 1840/50 e a Missão Especial de Duarte da Ponte Ribeiro na Venezuela e Pacífico.
;Relações Regionais (Argentina);As relações Brasil-Argentina nas três últimas décadas do século XIX.
6. A Primeira República (1889-1930);Política Externa e Rio Branco;A obra do Barão do Rio Branco, arbitramentos de fronteiras (Guianas) e modernização da Chancelaria a partir de Campos Sales.
;Transformações estruturais;"A ""aliança não escrita"" com os EUA, solução de fronteiras e os primeiros lances da diplomacia multilateral."
;Brasil e a Grande Guerra;Posição brasileira na Primeira Guerra Mundial, fim da neutralidade em 1917 e participação na Conferência de Paz de Paris.
;Sociedade e Cultura;Movimento Modernista, Semana de Arte Moderna de 1922 e os modernismos no Brasil.
;Instituições e Crises;"Voto na Constituição de 1891, sistema eleitoral e cidadania; crise da década de 1920, Tenentismo e colapso da República Oligárquica."
;Economia;Defesa das exportações, leis alfandegárias, imigração europeia e valorização do café.
;Transição e Proclamação;Debates sobre o Manifesto Republicano e transformações ideológicas no final da Monarquia.
;Relações com EUA (Conferência de Washington 1889-1890);Comparação da posição brasileira entre Império e República.
7. A Era Vargas (1930-1945);Política e Economia;"Análise geral do governo (1930-1945), ascensão e queda, política externa e econômica; Estado Novo (1937-45) e suas mudanças econômicas."
;Crise do Estado Novo;Movimento do Queremismo, diplomacia pendular, crise dos submarinos e entrada na Segunda Guerra Mundial.
;Cultura;Política cultural de Vargas, criação de órgãos estatais, controle da cultura popular e relação com intelectuais.
;Movimentos Políticos;Doutrina do Integralismo, AIB e sua relação de aproximação e posterior aniquilação pelo governo Vargas.
;Capitalismo Nacional;Iniciativas para a construção de uma via associada de capitalismo no Brasil na Era Vargas.
8. A República Liberal (1945-1964);Desenvolvimentismo e JK;Política econômica de Juscelino Kubitschek, Plano de Metas, construção de Brasília e relações com o FMI.
;Política Externa Independente (PEI);Questão cubana na Conferência de Punta del Este (1962), descolonização afro-asiática e ideias de Araújo Castro.
;Relações com os EUA;"Influência das modificações sistêmicas internacionais na política externa do governo Dutra; Comissão Mista Brasil-Estados Unidos na década de 1950."
;Crise e Colapso;"Crise política de 1954; eleição e renúncia de Jânio Quadros; experiência da Constituição de 1946 e ruptura de 1964."
;Cultura e Pensamento;Trajetória da diplomacia cultural, impacto do ISEB no pensamento político e repercussões na política externa.
;Missões Econômicas;Dissertação sobre a Missão Abbink.
9. O Regime Militar (1964-1985);Política Externa;"Relações com a Argentina (Castelo Branco e Geisel) e solução de contenciosos hídricos; setor energético no governo Geisel."
;África e Descolonização;Política para a África no governo Médici e o reconhecimento de Angola em 1975.
;Estratégia e Segurança;"Extensão do mar territorial para 200 milhas; inserção internacional de segurança entre 1945 e 1990."
;Transição Política;"Abertura ""lenta, gradual e segura"", impacto das eleições de 1974 e formação de oposição ao regime."
10. O Processo Democrático a partir de 1985;Integração Regional;Importância do MERCOSUL na agenda diplomática, Tratado de Assunção e cooperação com a Argentina.
;Redemocratização;Processo de redemocratização na década de 1980, papel dos movimentos sociais, crise econômica e Constituição de 1988.
;Inserção Internacional;Tema do desenvolvimento na inserção do Brasil e impacto da globalização na ação externa do Estado.
;Diplomacia no Cone Sul;Política externa para a região nas décadas de 1980 e 1990.
11. Impactos tecnológicos e digitais (Século XXI);(Item do edital);Nenhuma questão discursiva no período 2003-2024 abordou especificamente este item.
Extras (Questões de História Mundial ou Teoria);Era das Revoluções;Transformações socioeconômicas e políticas na Europa na transição do século XVIII para o XIX.
;Orientalismo;A produção de conhecimento sobre territórios extraeuropeus (Edward Said) e sua importância para a expansão europeia no século XIX.
