Qual modelo econômico o governo Dutra adotou inicialmente?;Liberalismo econômico com princípios ortodoxos.
Por que o governo Dutra passou a intervir mais na economia?;Crises no balanço de pagamentos.
Qual foi o impacto da Guerra Fria na política econômica do Brasil?;Desafios econômicos e escassez de dólares.
A política econômica do governo Dutra foi fixa ou mudou durante o mandato?;Mudou, de ortodoxa para maior flexibilização.
Qual a influência de Getúlio Vargas no período 1945-1955?;Figura central pela presença política e legado.
O que o governo Dutra esperava com a política do café?;Aumento expressivo dos preços no mercado internacional.
Em que sistema internacional a política inicial do governo Dutra foi baseada?;Sistema de Bretton Woods.
Como era a política cambial no início do governo Dutra?;Liberal, com relaxamento dos controles.
O que aconteceu com a política cambial após 1947?;Passou a ter contingenciamento de importações.
Qual a diferença política entre PSD/ PTB e UDN?;"PSD/PTB ligados a Vargas; UDN oposição liberal-conservadora."
Como foi a política cambial no início do mandato de Dutra?;Relaxamento dos controles cambiais, abolindo restrições a pagamentos.
O que prejudicou a competitividade das exportações no governo Dutra?;A sobrevalorização do câmbio.
Como estavam as reservas internacionais do Brasil após a Segunda Guerra?;Maioria bloqueada ou em ouro, poucos dólares líquidos (US$92 milhões).
Por que o governo Dutra liberalizou a saída de capitais?;Para atrair investimentos estrangeiros.
Os EUA deram apoio financeiro significativo ao Brasil no pós-guerra?;Não, priorizaram a reconstrução da Europa.
Por que o câmbio foi mantido sobrevalorizado?;Para sustentar os preços internacionais do café.
Qual foi a solução escolhida para equilibrar a balança comercial?;Controles cambiais e de importação, não desvalorização.
Qual foi o resultado do sistema de licenciamento de importações?;Reduziu o déficit comercial, gerando superávit em 1949.
A política cambial favoreceu as exportações manufaturadas?;Não, perderam competitividade com desvalorização de moedas europeias.
Até quando o controle cambial implantado em 1947 permaneceu?;Até o início do governo Vargas, em 1951.
O que favoreceu o sistema de controle de importações?;Estímulo à indústria nacional e substituição de importações.
A sobrevalorização do câmbio prejudicou o acesso a bens de capital?;Não, barateou bens de capital e matérias-primas importadas.
Que tipo de indústria cresceu com a política econômica do governo Dutra?;Indústrias de bens de consumo duráveis, como eletrodomésticos.
Quem liderou a industrialização durante o governo Dutra?;Setor privado, exceto a CSN (Companhia Siderúrgica Nacional).
