Em que ano Cristóvão Colombo chegou às Bahamas?;1492
Qual foi a bula papal que dividiu terras entre Espanha e Portugal em 1493?;Inter Coetera
Quantas léguas a oeste de Cabo Verde o Tratado de Tordesilhas (1494) estabeleceu o meridiano?;370 léguas
Quem liderou a primeira viagem portuguesa à Índia (1498)?;Vasco da Gama
Qual navegador demarcou a linha de Tordesilhas no norte do Brasil (1498)?;Duarte Pacheco Pereira
"Quem nomeou o ""Mar Dulce"" (Rio Amazonas) em 1499?";Vicente Yáñez Pinzón
Em que data Pedro Álvares Cabral chegou ao Brasil?;22 de abril de 1500
Quantos indígenas habitavam o Brasil em 1500?;Cerca de 4 milhões
Qual mercadoria impulsionou a economia brasileira a partir de 1535?;Cana-de-açúcar
Quando chegaram os primeiros escravizados africanos ao Brasil?;1538
Quem fundou a primeira vila brasileira (São Vicente) em 1532?;Martim Afonso de Souza
Qual tratado definiu possessões no Pacífico em 1529?;Tratado de Saragoça
Quem conquistou Tenochtitlán em 1521?;Hernán Cortés
Qual navegador realizou a primeira circum-navegação (1521)?;Fernão de Magalhães
Qual foi a primeira capital do Brasil e quem a fundou?;Salvador, fundada por Tomé de Souza (1549)
Por que o Governo-Geral foi criado em 1548?;Fracasso das capitanias hereditárias
Quem explorou o Rio Amazonas em 1541?;Francisco de Orellana
Qual evento da Igreja Católica respondeu à Reforma em 1545?;Concílio de Trento
Quem fundou o Colégio de São Paulo em 1554?;Padres Manoel da Nóbrega e José de Anchieta
Qual navegador francês estabeleceu comércio com indígenas em 1504?;Binot Paulmier de Gonneville
Quem patrulhou o litoral contra franceses em 1516?;Cristóvão Jacques
Qual feitoria portuguesa na Ásia foi conquistada em 1511?;Malaca (por Afonso de Albuquerque)
Qual modelo de administração colonial foi adotado em 1530?;Capitanias hereditárias
Quem foi o segundo governador-geral do Brasil (1553)?;Duarte da Costa
Qual tratado não foi reconhecido por outras potências europeias?;Tratado de Tordesilhas (1494)
Quem fundou o Colégio de São Paulo em 1554?;Padre Manoel da Nóbrega e José de Anchieta
Qual foi a aliança indígena contra os portugueses liderada por Cunhambebe?;Confederação dos Tamoios
Qual colônia francesa foi estabelecida na Baía de Guanabara em 1555?;França Antártica
Quem comandou a França Antártica?;Nicolas Durand de Villegaignon e Gaspar de Coligny
Qual rei francês ironizou o Tratado de Tordesilhas?;Francisco I
Quem foi o terceiro governador-geral do Brasil (1557)?;Mem de Sá
Qual tratado encerrou a guerra entre França e Espanha em 1559?;Paz de Cateau-Cambrésis
Onde holandeses ergueram fortes em 1559?;Rio Xingu (Forte Orange e Forte Nassau)
Qual forte francês foi destruído por Mem de Sá em 1560?;Forte de Coligny (Ilha de Serigipe)
Qual acordo encerrou o conflito com os Tamoios em 1563?;Paz de Iperoig
Quem fundou o Rio de Janeiro em 1565?;Estácio de Sá
Quando os franceses foram expulsos definitivamente do RJ?;1567
Qual batalha deteve a expansão otomana no Mediterrâneo (1571)?;Batalha de Lepanto
Qual rei português morreu em Alcácer-Quibir (1578)?;D. Sebastião I
Quem liderou a independência dos Países Baixos em 1579?;Guilherme de Orange
Qual evento iniciou a União Ibérica (1580)?;Coroação de Filipe II como rei de Portugal
Qual corsário inglês atacou Salvador em 1587?;Robert Withrington e Christopher Lister
Qual frota espanhola foi derrotada em 1588?;Invencível Armada
Quem saqueou São Vicente em 1591?;Thomas Cavendish
Qual companhia holandesa foi fundada em 1602?;Companhia das Índias Orientais (VOC)
Qual código legal vigorou no Brasil por 300 anos?;Ordenações Filipinas (1603)
Qual tratado permitiu o comércio de açúcar com a Holanda (1609)?;Trégua dos 12 Anos
"Onde os franceses fundaram a ""França Equinocial"" (1612)?";São Luís (Maranhão)
Quem fundou Belém do Pará em 1616?;Francisco Caldeira Castelo Branco
Qual evento iniciou a Guerra dos 30 Anos (1618)?;Defenestração de Praga
Qual companhia holandesa visava o açúcar brasileiro (1621)?;Companhia das Índias Ocidentais (WIC)
Por que Portugal criou o Estado do Maranhão (1621)?;Separar a administração da Amazônia do Brasil
Qual forte português expulsou holandeses da Amazônia (1623)?;Forte de Gurupá
Quem liderou a invasão holandesa a Salvador (1624)?;Jacob Willekens e Johan van Dorf
Qual esquadra expulsou os holandeses em 1625?;Jornada dos Vassalos
Qual esquadra expulsou os holandeses de Salvador em 1625?;Jornada dos Vassalos
"Quem publicou ""Do Direito da Guerra e da Paz"" (1625)?";Hugo Grotius
"Qual corsário holandês capturou a ""frota da prata"" espanhola (1627)?";Pieter Heyn
O que justificou os ataques bandeirantes às missões jesuítas em 1628?;"""Guerra justa"" contra indígenas"
Quando os holandeses invadiram Pernambuco (ano e comandante)?;1630, Hendrick Lonck
Quem desertou para os holandeses em 1632?;Domingos Fernandes Calabar
Quem governou o Brasil Holandês (1637-1644)?;Johan Maurits van Nassau
Quais artistas vieram com Nassau ao Brasil?;Frans Post e Albert Eckhout
Qual expedição explorou o Amazonas até Quito (1638)?;Pedro Teixeira
Que batalha marcou o fim da União Ibérica (1640)?;Aclamação de D. João IV
Onde os guaranis derrotaram bandeirantes em 1641?;Batalha de Mbororé
Qual tratado garantiu trégua entre Portugal e Holanda (1641)?;Tratado de Haia (10 anos)
Que colônias africanas os holandeses tomaram em 1641?;São Tomé, Luanda e Mina
Qual tratado aliou Portugal e Inglaterra (1642)?;Primeiro Tratado Luso-Inglês
Qual cidade foi construída por Nassau no Recife?;Cidade Maurícia (1643)
Quando começou a Insurreição Luso-Brasileira?;1645
Quem negociou a paz com os holandeses (1646)?;Padre Antônio Vieira
Qual bandeira expandiu territórios até Belém (1647)?;Bandeira de Raposo Tavares
