Eixo Temático;Tópico / Subtópico;Descrição Detalhada (conforme seu material)
1. Relações Internacionais: conceitos básicos, atores, processos, instituições e paradigmas teóricos;Idealismo vs. Realismo;Dos “14 Pontos” de Wilson ao caráter realista da ONU e seus agentes atuais.
;Armadilha de Tucídides;Aplicação ao relacionamento contemporâneo entre EUA e China.
;Mackinder e o “Pivô Geográfico da História”;Aplicação aos objetivos estratégicos atuais de EUA, China e Rússia.
;Ordem e poder no mundo atual;Disjunção entre ordem e poder diante de uma suposta crise sistêmica do ordenamento internacional.
;Unipolaridade e multipolaridade;A configuração do sistema internacional pós-Guerra Fria.
2. A política externa brasileira: evolução desde 1945, principais vertentes e linhas de ação;Evolução 1945-1989;Governos Dutra e Vargas ao regime militar e redemocratização com Sarney.
;Araújo Castro e o TNP;O entendimento sobre o “congelamento do poder mundial” e a posição brasileira sobre o TNP.
;Pragmatismo Responsável e Ecumênico (governo Geisel);Antecedentes e principais linhas de ação.
;Joaquim Nabuco e a imagem externa do Brasil;Visão sobre a “grandeza” de um país e o papel da diplomacia.
;Diplomacia pública brasileira;Princípios e meios de aprimoramento.
;Idealismo como horizonte;Desafios para conciliar interesses socioeconômicos com o idealismo na política externa.
;Continuidade e inovação;Contrastes com a PEI (Política Externa Independente) e o Pragmatismo Responsável.
;Multilateralismo para o Brasil;Importância e estratégias de fortalecimento dessa dimensão.
;Conferências de cúpula (pós-anos 90);Impacto nos objetivos estratégicos do Brasil.
3. O Brasil e a América do Sul (Integração, MERCOSUL e iniciativas físicas/defesa);Evolução do MERCOSUL e UNASUL;Complementaridade na política externa atual.
;Cláusula democrática do MERCOSUL;Fundamentos, evolução e perspectivas.
;MERCOSUL e novas parcerias internacionais do Brasil;Papel e funcionalidade.
;Multinacionais brasileiras na integração sul-americana;Papel no processo de integração.
;Iniciativas brasileiras na América do Sul;Comunidade Sul-Americana de Nações e outras.
;Tratado de Cooperação Amazônica (TCA);Importância para a integração regional.
4. Argentina: política externa e relações com o Brasil;Relações bilaterais (1945-1980);Período de 1945 a 1980.
;Governo Mauricio Macri;Política externa argentina e evolução das relações bilaterais e no MERCOSUL.
;Agenda bilateral diversificada;Cooperação em reatores nucleares, indústria de defesa e integração física.
;Cooperação nuclear Brasil-Argentina;Marcos institucionais.
6. Estados Unidos da América: política externa e relações com o Brasil;Relações bilaterais Brasil-EUA;Evolução recente e perspectivas.
;Doutrina Bush e terrorismo;Consequências no âmbito multilateral.
;Relacionamento EUA-Irã;Foco no programa nuclear iraniano.
;Papel dos EUA na integração da Europa Ocidental;Plano Marshall e Pacto Atlântico.
7. União Europeia: origens, evolução, estrutura e relações com o Brasil;Desafios da integração europeia;Marco de seus cinquenta anos.
;Alargamento da UE;Impactos para relações políticas e econômicas com o Brasil.
;Trajetória da UE (mercado comum e moeda única);Perspectivas para relações com o MERCOSUL e o Brasil.
