Assembleia Nacional Constituinte;Proclamada pelo Terceiro Estado em 1789 para elaborar uma constituição e acabar com o absolutismo.
Juramento do Jogo da Péla;Compromisso liderado por Mirabeau e Sieyès de não se dispersar até criar uma constituição para a França.
Tomada da Bastilha;Ataque popular à prisão da Bastilha em 14 de julho de 1789, símbolo do início da Revolução Francesa.
Grande Medo;Ondas de revoltas camponesas e ataques a propriedades feudais em 1789.
Declaração dos Direitos do Homem e do Cidadão;Documento de 1789 que defendia liberdade, igualdade jurídica e soberania popular.
Abolição dos Direitos Feudais;Extinção dos privilégios da nobreza e do clero durante a Revolução.
Constituição Civil do Clero;Medida de 1790 que subordinou a Igreja ao Estado e confiscou bens eclesiásticos.
Noite de Varennes;Tentativa fracassada de fuga de Luís XVI em 1791.
Monarquia Constitucional;Regime criado pela Constituição de 1791, limitando os poderes do rei.
Constituição de 1791;Instituiu separação dos poderes, voto censitário e Estado laico.
Voto Censitário;"Sistema eleitoral baseado na renda; apenas cidadãos “ativos” votavam."
Convenção Nacional;Assembleia republicana que governou a França entre 1792 e 1795.
Jacobinos;Grupo político radical liderado por Robespierre, defensor de reformas populares.
Girondinos;Grupo político moderado e conservador ligado à burguesia.
Constituição do Ano I;Constituição jacobina de 1793 que criou a Primeira República e previa sufrágio universal masculino.
Comitê de Salvação Pública;Órgão controlado pelos jacobinos para defender a Revolução.
Terror;Período de repressão e execuções em massa entre 1793 e 1794.
Revolta da Vendeia;Revolta contrarrevolucionária de camponeses e religiosos contra os jacobinos.
Batalha de Valmy;Vitória francesa em 1792 contra monarquias europeias invasoras.
Reação Termidoriana;Golpe girondino que derrubou Robespierre e encerrou o Terror.
Diretório;Governo conservador entre 1795 e 1799, marcado pela ascensão burguesa.
Constituição do Ano III;Constituição conservadora de 1795 que restaurou o voto censitário.
Conselho dos Quinhentos;Câmara legislativa do Diretório responsável por propor leis.
Conselho dos Anciãos;Câmara do Diretório responsável por aprovar ou rejeitar leis.
Conspiração dos Iguais;Movimento liderado por Graco Babeuf que defendia igualdade social e fim da propriedade privada.
Golpe do 18 Brumário;Golpe liderado por Napoleão em 1799 que derrubou o Diretório.
Consulado;Primeira fase da Era Napoleônica, marcada pela centralização de poder em Napoleão.
Constituição do Ano VIII;Constituição de 1799 que fortaleceu o poder executivo de Napoleão.
Banco da França;Instituição criada por Napoleão para estabilizar a economia francesa.
Código Civil Napoleônico;Conjunto de leis de 1804 que garantiu igualdade jurídica e direito à propriedade.
Concordata de 1801;Acordo entre Napoleão e o Papa Pio VII restabelecendo relações com a Igreja.
Império Napoleônico;Período iniciado em 1804 com Napoleão como imperador dos franceses.
Confederação do Reno;União de Estados alemães sob influência francesa após vitórias napoleônicas.
Bloqueio Continental;Medida de 1806 que proibia o comércio europeu com a Inglaterra.
Batalha de Trafalgar;Derrota naval francesa para a Inglaterra em 1805.
Guerra da Rússia;Campanha militar fracassada de Napoleão contra a Rússia em 1812.
Batalha de Leipzig;Derrota de Napoleão para a Sexta Coalizão em 1813.
Tratado de Fontainebleau;Tratado que oficializou a abdicação de Napoleão em 1814.
Batalha de Waterloo;Derrota definitiva de Napoleão em 1815 para a Sétima Coalizão.
Congresso de Viena;Reunião das potências europeias em 1815 para reorganizar a Europa pós-Napoleão.
Princípio da Legitimidade;Defendia a restauração das dinastias absolutistas anteriores à Revolução.
Princípio das Compensações;Redistribuição territorial para compensar perdas nas guerras napoleônicas.
Princípio do Equilíbrio Europeu;Política para impedir a hegemonia de uma única potência na Europa.
Santa Aliança;Aliança entre Rússia, Áustria e Prússia para conter movimentos revolucionários.
Sistema de Congressos;Série de reuniões diplomáticas europeias para manter a ordem conservadora após 1815.
;
;
Crise da monarquia espanhola;A invasão napoleônica e a deposição de Fernando VII enfraqueceram a autoridade da Espanha sobre as colônias.
José Bonaparte;Irmão de Napoleão colocado no trono espanhol, provocando crise de legitimidade política.
Juntas de governo;Governos locais organizados nas colônias durante a crise da monarquia espanhola.
Criollos;Elite econômica colonial nascida na América, excluída dos altos cargos administrativos.
Peninsulares;Espanhóis nascidos na Europa que controlavam a administração colonial.
Reformas bourbônicas;Medidas centralizadoras da Espanha para aumentar arrecadação e controle sobre as colônias.
Ideias liberais;Influência do Iluminismo, da independência dos EUA e da Revolução Francesa nos movimentos emancipacionistas.
Simón Bolívar;Líder das independências de Venezuela, Colômbia, Equador, Panamá, Peru e Bolívia.
Grã-Colômbia;Estado criado por Bolívar reunindo Venezuela, Colômbia e Equador.
Projeto político de Bolívar;Defesa de um Executivo forte e centralizado para evitar fragmentação e anarquia.
José de San Martín;Líder das independências da Argentina, Chile e Peru.
Armada dos Andes;Exército liderado por San Martín que atravessou os Andes para combater os espanhóis.
Projeto político de San Martín;Defendia monarquia constitucional como forma de garantir estabilidade política.
Bernardo O’Higgins;Líder da independência chilena e Diretor Supremo do Chile entre 1818 e 1823.
Projeto político de O’Higgins;Defendia república com Executivo forte para consolidar o Estado chileno.
Independência do Chile;Consolidada em 1818 após vitória na Batalha de Maipú.
Batalha de Maipú;Vitória decisiva do Exército dos Andes contra os espanhóis em 1818.
Constituição chilena de 1833;Carta que consolidou a estabilidade política do Chile após guerras civis.
Revolução de Maio;Movimento de 1810 que iniciou a independência da Argentina ao depor o vice-rei espanhol.
Províncias Unidas do Rio da Prata;Nome inicial do Estado argentino após a Revolução de Maio.
Congresso de Tucumán;Assembleia que declarou formalmente a independência argentina em 1816.
Federais argentinos;Defendiam autonomia provincial e descentralização política.
Unitários argentinos;Defendiam governo central forte concentrado em Buenos Aires.
Grito de Dolores;Chamado do padre Miguel Hidalgo em 1810 para iniciar a independência mexicana.
Miguel Hidalgo;Padre que liderou o início da luta pela independência do México.
José Morelos;Líder revolucionário mexicano que deu continuidade à guerra de independência.
Plano de Iguala;Acordo de 1821 que garantiu independência do México e manutenção do catolicismo.
Agustín de Iturbide;Líder criollo que proclamou o Império Mexicano após a independência.
Império Mexicano;Regime monárquico instaurado no México entre 1822 e 1823 sob Agustín I.
López de Santa Anna;Militar que proclamou a República mexicana e derrubou Agustín I.
Constituição mexicana de 1824;Estabeleceu uma república federalista no México.
Zollverein;União aduaneira criada em 1834 que fortaleceu economicamente a Prússia.
Assembleia de Frankfurt;Reunião de 1848 que tentou criar uma constituição para uma Alemanha unificada.
Grande Alemanha;Projeto de unificação alemã incluindo a Áustria.
Pequena Alemanha;Projeto de unificação liderado pela Prússia e sem participação austríaca.
Otto von Bismarck;Chanceler prussiano responsável pela unificação alemã.
Realpolitik;Política pragmática baseada em diplomacia e guerras para fortalecer a Prússia.
Guerra dos Ducados;Conflito de 1864 contra a Dinamarca pelos ducados de Schleswig e Holstein.
Convenção de Gastein;Acordo de 1865 que dividiu a administração dos ducados entre Áustria e Prússia.
Guerra Austro-Prussiana;Guerra de 1866 vencida pela Prússia, consolidando sua liderança alemã.
Confederação da Alemanha do Norte;União dos Estados alemães do norte sob liderança prussiana após 1866.
Guerra Franco-Prussiana;Conflito de 1870-1871 que resultou na vitória alemã e na unificação da Alemanha.
Tratado de Frankfurt;Tratado de 1871 que garantiu a anexação da Alsácia-Lorena pela Alemanha.
Império Alemão;Estado unificado proclamado em 1871 no Palácio de Versalhes.
Risorgimento;Movimento nacionalista pela unificação da Itália.
Carbonari;Sociedade secreta italiana que defendia independência e liberalismo.
Jovem Itália;Organização criada por Mazzini para promover uma Itália republicana e unificada.
Giuseppe Mazzini;Nacionalista italiano defensor de uma república unitária e laica.
Camillo Cavour;Primeiro-ministro do Piemonte-Sardenha que liderou a unificação italiana de forma moderada.
Reino do Piemonte-Sardenha;Estado que liderou o processo de unificação italiana.
Vittorio Emmanuel II;Rei do Piemonte-Sardenha e primeiro rei da Itália unificada.
Primeira Guerra de Independência Italiana;Guerra de 1848-1849 contra a Áustria, encerrada com derrota piemontesa.
Segunda Guerra de Independência Italiana;Guerra de 1859 em aliança com a França contra a Áustria.
Giuseppe Garibaldi;Líder da Expedição dos Camisas Vermelhas na unificação italiana.
Camisas Vermelhas;Grupo militar liderado por Garibaldi que conquistou o sul da Itália.
Reino da Itália;Estado proclamado em 1861 durante a unificação italiana.
Questão Sulina;Desigualdade econômica entre norte e sul da Itália após a unificação.
Questão Romana;Conflito entre o Estado italiano e o Papa após a anexação de Roma.
Tratado de Latrão;Acordo de 1929 que encerrou a Questão Romana entre Itália e Vaticano.
;
;
Imperialismo;Expansão política, econômica e militar das potências industriais sobre África e Ásia no século XIX.
Darwinismo social;Ideologia que defendia a superioridade racial e cultural europeia para justificar o imperialismo.
Companhia Holandesa das Índias Orientais;Empresa que iniciou a colonização da África do Sul pelos holandeses.
Cidade do Cabo;Principal ponto estratégico da colonização europeia no sul da África.
Bôeres;Colonos holandeses da África do Sul que migraram para o interior durante o Grande Trek.
Grande Trek;Migração dos bôeres para o interior da África do Sul em reação ao domínio britânico.
Estado Livre de Orange;República criada pelos bôeres no interior sul-africano.
República do Transvaal;Estado fundado pelos bôeres na África do Sul.
Guerra dos Bôeres;Conflito entre britânicos e bôeres pelo controle das regiões auríferas e diamantíferas da África do Sul.
Primeira Guerra do Ópio;Guerra entre China e Grã-Bretanha (1839-1842) motivada pelo comércio do ópio.
Tratado de Nanquim;Tratado de 1842 que abriu portos chineses ao comércio britânico e cedeu Hong Kong.
Segunda Guerra do Ópio;Conflito entre China, Grã-Bretanha e França (1856-1860) pela ampliação de privilégios comerciais.
Tratados de Tianjin;Acordos que ampliaram a presença ocidental na China após a Segunda Guerra do Ópio.
Convenção de Pequim;Tratado de 1860 que confirmou os Tratados de Tianjin e legalizou o comércio do ópio.
Revolta dos Boxers;Movimento chinês antiocidental e anticristão ocorrido entre 1899 e 1901.
Canal de Suez;Canal construído no Egito em 1859 ligando o Mediterrâneo ao Mar Vermelho.
Ocupação inglesa do Egito;Controle britânico sobre o Egito estabelecido em 1882.
