O que é o IBAS?;Fórum de Diálogo Índia-Brasil-África do Sul, formado por três democracias do Sul Global que buscam cooperação e diálogo político, econômico e social, com princípios de soberania, democracia e direitos humanos.
Quais países compõem o IBAS?;Índia, Brasil e África do Sul.
Quando e onde foi discutida a ideia de criar o IBAS?;Em 2 de junho de 2003, em Evian, França, durante reunião entre o primeiro-ministro da Índia e os presidentes do Brasil e da África do Sul, à margem da Cúpula do G8.
Quais foram os principais fatores que aproximaram os membros?;Credenciais democráticas, condição de países em desenvolvimento, capacidade de atuação global, peso regional, economias emergentes, atuação em organismos multilaterais, desigualdade social, e defesa da reforma da ONU para maior representatividade.
Qual é o objetivo central do IBAS?;Promover diálogo Sul-Sul, cooperação entre os membros, convergência de posições internacionais, desenvolvimento social, comércio, investimento e intercâmbio tecnológico.
Quais áreas de cooperação o IBAS busca desenvolver?;Agricultura, mudança do clima, cultura, defesa, educação, energia, saúde, tecnologia da informação, ciência, desenvolvimento social, comércio, investimento, turismo e transporte.
Qual documento formalizou o IBAS?;Declaração de Brasília, emitida em 6 de junho de 2003 durante reunião dos chanceleres em Brasília.
Como o IBAS se relaciona com outros agrupamentos internacionais?;Os países membros também atuam em foros como G77, G20, BRICS e BASIC, coordenando suas posições em diversos temas multilaterais.
Como é a estrutura organizacional do IBAS?;"Não possui secretariado, sede, orçamento fixo ou personalidade jurídica internacional; baseia-se em reuniões de cúpula, Comissão Ministerial Trilateral e Pontos Focais nacionais."
Quantas cúpulas do IBAS foram realizadas até 2011?;Cinco cúpulas: Brasília (2006), Pretória (2007), Nova Delhi (2008), Brasília (2010) e Pretória (2011).
Quais são os três pilares do mecanismo IBAS?;Coordenação política em foros multilaterais, cooperação trilateral setorial e cooperação com terceiros países por meio do Fundo IBAS.
Qual foi um exemplo relevante de atuação conjunta do IBAS?;A ação no Conselho Geral da OMC em 2003, que permitiu a países em desenvolvimento exportar medicamentos genéricos para enfrentamento de crises de saúde pública, como a Emenda ao Acordo TRIPS.
O que o IBAS defende em relação à ONU?;Reforma da ONU para dotar a organização de maior representatividade, especialmente para países em desenvolvimento, garantindo maior participação no sistema internacional.
Qual antecedente histórico importante para a criação do IBAS?;Proposta do African National Congress (ANC) para um grupo que refletisse o G8 no Sul Global, embora não implementada no governo de Nelson Mandela, servindo de base para a iniciativa posterior.
Que papel tem a Comissão Ministerial Trilateral do IBAS?;É o fórum onde ministros de Relações Exteriores dos três países se reúnem para coordenar a cooperação e emitir declarações conjuntas sobre temas internacionais.
Quando e onde foi realizada a primeira reunião da Comissão Ministerial Trilateral?;Em Brasília, em 2003, ocasião da Declaração de Brasília, considerada a 1ª reunião ministerial do IBAS.
Qual foi a importância da declaração emitida em 2010 na cúpula do IBAS?;Reafirmou a defesa de uma solução política para o conflito israelo-palestino, baseada na criação de dois Estados conforme resoluções da ONU.
Quantos grupos de trabalho (GTs) o IBAS mantinha em sua fase áurea?;"Cerca de duas dezenas de GTs setoriais, além de sete foros de engajamento ""people-to-people"" para diferentes grupos como mulheres, acadêmicos, empresários, parlamentares, entre outros."
Quais GTs ainda estavam em funcionamento recentemente?;"Administração Aduaneira e Tributária; Agricultura; Comércio, Investimentos e Infraestrutura; Defesa; Economia Azul; Energia; Turismo."
Quais foram os principais obstáculos para a produtividade dos GTs?;Distância geográfica entre os países, barreiras linguísticas, calendário divergente de encontros, dependência orçamentária dos ministérios nacionais, escopo excessivo de alguns GTs e dificuldade de coordenação devido ao alto número de grupos.
Qual foi a decisão dos chanceleres em 2017 sobre os GTs?;Racionalizar a estrutura dos GTs, alinhando-os com a Agenda 2030 e os três pilares do desenvolvimento sustentável.
Qual é o principal resultado do IBAS na coordenação política?;A coordenação das posições conjuntas dos três países em temas multilaterais, mais do que reformas concretas obtidas.
Qual foi a principal reivindicação política do IBAS e do BRICS?;Reforma do sistema multilateral para aumentar voz e representação dos países emergentes e em desenvolvimento nas instituições internacionais.
Como o IBAS atuou durante a crise síria em 2011?;Representantes do IBAS reuniram-se com o governo sírio em Damasco, entregando documento pedindo comedimento, fim da violência e avanço das reformas, mas sem resultados concretos.
O que o IBAS afirmou sobre a reforma do Conselho de Segurança da ONU em 2020?;Que a reforma deve ser prioridade urgente, exigindo negociações substanciais, transparentes e baseadas em texto único, visando resultados concretos.
O IBAS apoia candidaturas a membros permanentes no Conselho de Segurança?;Não há apoio explícito mútuo a candidaturas permanentes, embora reforce o apoio à Posição Africana Comum.
Quais questões internacionais são foco de concertação no IBAS?;Terrorismo, direitos humanos, refugiados, financiamento para desenvolvimento, desarmamento, Agenda 2030, meio ambiente (com participação do BASIC) e questões regionais.
Qual exercício militar trilateral o IBAS realiza?;Exercícios navais IBSAMAR, já com sete edições realizadas, sendo a última em 2022 após cancelamento em 2020 por causa da pandemia.
Quais áreas de cooperação setorial contam com memorandos de entendimento (MoU)?;Energia (nuclear, biocombustíveis, eólica, solar), ciência e tecnologia, saúde, agricultura, meio ambiente, comércio, cultura, educação, moradia, sociedade da informação, cooperação aduaneira, administração pública, questões sociais, turismo, cooperação regulatória, transporte, aviação civil e igualdade de gênero.
Qual foi a meta do IBAS para o comércio trilateral até 2010?;"Alcançar US$ 15 bilhões em comércio entre os países membros; essa meta foi reafirmada para 2022, com o comércio chegando a cerca de US$ 12 bilhões em 2022."
Como o IBAS buscou facilitar o comércio trilateral?;Por meio de grupos de trabalho, acordos e planos de ação, como no caso do comércio entre MERCOSUL, Índia e União Aduaneira da África Austral (SACU).
Qual o papel dos foros people-to-people no IBAS?;Promover engajamento social e intercâmbio entre mulheres, acadêmicos, empresários, parlamentares e outros setores da sociedade civil para fortalecer as relações trilaterais.
O que é o Fundo IBAS?;Mecanismo do IBAS que financia projetos de infraestrutura social em países de menor desenvolvimento relativo, promovendo a Cooperação Sul-Sul.
Quando o Fundo IBAS foi criado e quando se tornou operacional?;Criado em 2004, tornou-se operacional em 2006, com o primeiro projeto iniciando antes mesmo de sua operacionalização formal.
Quem administra os recursos do Fundo IBAS?;O Escritório das Nações Unidas para a Cooperação Sul-Sul (ECSS).
Quantos projetos o Fundo IBAS apoiou desde sua criação?;42 projetos de desenvolvimento em 36 países, conforme relatório de 2022.
Quais tipos de projetos estão em andamento atualmente?;Projetos de saneamento em Angola e Kiribati, produção de sal no Benim, empoderamento feminino em Fiji, restauração de terras no Senegal e produção de soja na Zâmbia.
Cite alguns resultados alcançados por projetos do Fundo IBAS em 2021.;"Na Bolívia, mais de 11 mil pessoas ganharam acesso ampliado à água; em Camarões, mil agricultores adotaram novas práticas; em Kiribati, foi inaugurado centro de processamento de óleo de coco beneficiando pequenos agricultores."
Quais prêmios internacionais o Fundo IBAS recebeu?;Prêmio Parceria Sul-Sul para Aliança Sul-Sul (PNUD, 2006), Millennium Development Goals Awards (2010) e South-South and Triangular Cooperation Champions Award (ECSS, 2012).
Quem compõe o Conselho de Diretores do Fundo IBAS?;Representantes permanentes da Índia, Brasil e África do Sul junto às Nações Unidas em Nova York.
Qual a função do Conselho de Diretores do Fundo IBAS?;Aprovar propostas e projetos, fornecer orientação estratégica e monitorar o andamento da carteira de projetos.
Qual a importância do Acordo do Fundo IBAS de 2017?;"Visa garantir fluxo regular de recursos e criar base legal para transferências, sendo ratificado até agora apenas pela Índia; o Brasil ainda não enviou para aprovação no Congresso."
Quais os valores mínimos anuais fixados para contribuições ao Fundo?;US$ 1 milhão por país, a serem pagos antes do final do primeiro semestre de cada ano, com possibilidade de buscar outras fontes de financiamento.
Quanto o Fundo IBAS acumulou e alocou em recursos até 2022?;Acumulou cerca de US$ 47 milhões e alocou US$ 46,5 milhões em projetos.
Cite exemplos de países beneficiados por projetos do Fundo IBAS.;Angola, Benim, Bolívia, Cabo Verde, Camboja, Comores, Fiji, Guiné-Bissau, Haiti, Kiribati, Laos, Moçambique, Senegal, Timor-Leste, Uganda, Vietnã, Zâmbia, entre outros.
Como se distribuem regionalmente os recursos do Fundo?;África (58%), América Latina e Caribe (15%), Ásia e Pacífico (16%) e Estados Árabes (11%).
Qual a proporção dos recursos aplicados em países de menor desenvolvimento?;Cerca de 71% dos recursos foram aplicados em países com menor desenvolvimento relativo.
Qual é o impacto da Cooperação Sul-Sul do IBAS para os países membros?;Fortalece prestígio, soft power e liderança global, mostrando-os como provedores de bens públicos internacionais e facilitadores do desenvolvimento em países menos desenvolvidos.
Quais princípios orientam a Cooperação Sul-Sul do IBAS?;Horizontalidade, solidariedade, não indiferença e a convicção de que o desenvolvimento global favorece a estabilidade e prosperidade nacional.
O que indica o esvaziamento do Fórum IBAS após 2011?;Após a entrada da África do Sul no BRICS em 2011, não houve mais cúpulas do IBAS e as reuniões passaram a ocorrer apenas no nível de chanceleres, com periodicidade irregular.
Por que a Índia não realizou a cúpula do IBAS em 2012?;"Apesar de caber à Índia realizar a cúpula, não o fez, tentando garantir a autonomia do IBAS em relação ao BRICS; em 2013 a cúpula prevista foi cancelada."
Quais as diferenças entre as agendas do BRICS e do IBAS?;O BRICS privilegia cooperação financeira (Novo Banco de Desenvolvimento e Arranjo Contingente de Reservas), enquanto o IBAS prioriza cooperação setorial e com terceiros via Fundo IBAS.
Como a presença da China e da Rússia no BRICS influencia o IBAS?;China e Rússia, grandes potências nucleares e membros permanentes do CSNU, conferem outro caráter ao BRICS, diferenciado do IBAS, que reúne democracias emergentes sem a China.
Qual interesse chinês influenciou a entrada da África do Sul no BRICS?;A China incentivou a África do Sul a entrar no BRICS visando enfraquecer o IBAS, fórum do qual a China não participa.
Como Manmohan Singh caracterizou o IBAS e o BRICS?;Singh afirmou que o IBAS tem personalidade própria, unindo democracias de três continentes, enquanto os BRICS seriam um conceito artificial projetado pelo grupo financeiro Goldman Sachs.
O que mostra a comparação com o grupo RIC sobre o IBAS?;O RIC continuou ativo após o surgimento do BRICS, e o BRICS não absorveu toda a agenda de cooperação do IBAS, indicando que o IBAS tem funções específicas não substituídas pelo BRICS.
Quantos eventos oficiais o IBAS realizou no segundo semestre de 2021?;Foram 11 eventos oficiais, incluindo fórum acadêmico, reuniões ministeriais e conferências sobre turismo, energia, agricultura e PME, mesmo em contexto de pandemia.
Qual o tema que pode impulsionar a revitalização do IBAS?;A reforma da ONU, especialmente do Conselho de Segurança (CSNU), é tema comum que pode estimular a revitalização do Fórum.
O que mudou na posição da China e Rússia sobre o protagonismo de Brasil, Índia e África do Sul na ONU?;A partir da Declaração de Moscou (2020), China e Rússia passaram a não reconhecer mais o protagonismo crescente dos outros países no sistema ONU, possivelmente por tensões regionais e falta de concertação interna do IBAS.
Quais foram os principais temas da 10ª Reunião Ministerial do IBAS em 2022?;Defesa da democracia, respeito a direitos humanos, reforma do sistema multilateral, reforma do CSNU, recuperação da COVID-19, acesso equitativo a vacinas, Agenda 2030 e financiamento aos ODS, e compromisso com o Acordo de Paris.
