A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
A demanda do consumidor depende apenas do preço do bem.;❌ Errado. A demanda depende também da renda, preferências e preços de bens relacionados.
A completude nas preferências significa que o consumidor pode sempre comparar bens.;✅ Certo. O axioma da completude afirma que o consumidor sempre consegue decidir entre dois bens.
A transitividade garante que as escolhas do consumidor sejam inconsistentes.;❌ Errado. A transitividade garante escolhas consistentes. Se A é preferido a B, e B a C, então A é preferido a C.
A não-saciabilidade sugere que o consumidor sempre quer mais de um bem.;"✅ Certo. Esse axioma pressupõe que ""mais é melhor""."
As curvas de indiferença são crescentes.;❌ Errado. Elas são decrescentes, pois para manter o mesmo nível de utilidade, o consumidor deve abrir mão de um bem ao ganhar mais de outro.
O equilíbrio do consumidor ocorre quando a curva de indiferença é tangente à restrição orçamentária.;✅ Certo. Esse é o ponto onde a satisfação é maximizada dentro das limitações financeiras.
A restrição orçamentária representa todas as combinações possíveis de bens que o consumidor pode comprar.;✅ Certo. Ela mostra os limites do consumo com a renda disponível.
A curva de demanda mostra a relação entre preço e quantidade demandada.;✅ Certo. A curva de demanda normalmente tem inclinação negativa.
A lei da demanda afirma que, quando o preço sobe, a quantidade demandada também sobe.;❌ Errado. Segundo a lei da demanda, quando o preço sobe, a quantidade demandada cai, e vice-versa.
A curva de demanda pode se deslocar devido a mudanças na renda.;✅ Certo. O aumento da renda pode aumentar ou diminuir a demanda, dependendo se o bem é normal ou inferior.
Os bens substitutos afetam a demanda de maneira inversa.;✅ Certo. Se o preço de um bem substituto sobe, a demanda pelo outro bem aumenta.
Os bens complementares têm demandas independentes.;❌ Errado. Se o preço de um bem complementar sobe, a demanda pelo outro cai.
Um aumento no preço de um bem sempre reduz sua demanda.;❌ Errado. Para bens de Giffen, a demanda pode aumentar com o preço.
O efeito substituição ocorre quando o consumidor troca um bem por outro mais barato.;✅ Certo. Esse efeito acontece porque o bem mais barato se torna relativamente mais atraente.
O efeito renda sempre reduz a quantidade demandada de um bem.;"❌ Errado. Depende do tipo de bem. Para bens normais, a demanda aumenta com mais renda; para bens inferiores, cai."
A curva de demanda pode ter inclinação positiva para bens inferiores.;"❌ Errado. Para bens inferiores comuns, a curva de demanda ainda é negativa; apenas bens de Giffen podem ter inclinação positiva."
Se um bem é essencial, sua curva de demanda é sempre perfeitamente inelástica.;❌ Errado. A demanda pode ser inelástica, mas não necessariamente perfeita.
A elasticidade-preço da demanda mede a sensibilidade da quantidade demandada à mudança no preço.;✅ Certo. A elasticidade indica o quanto a demanda responde a variações no preço.
Uma elasticidade-preço da demanda maior que 1 indica uma demanda inelástica.;❌ Errado. Elasticidade maior que 1 significa demanda elástica, ou seja, a quantidade demandada muda mais que proporcionalmente ao preço.
Quando a elasticidade-preço da demanda é zero, a demanda é perfeitamente inelástica.;✅ Certo. Isso significa que a quantidade demandada não muda, independentemente do preço.
A elasticidade da demanda não afeta a receita total.;❌ Errado. A elasticidade influencia a receita: se a demanda é elástica, um aumento no preço reduz a receita total.
A demanda unitária ocorre quando a elasticidade é igual a 1.;✅ Certo. Isso significa que a variação percentual na quantidade demandada é igual à variação percentual no preço.
Se o preço de um bem aumenta e a receita total sobe, a demanda é inelástica.;✅ Certo. Quando a demanda é inelástica, o aumento no preço compensa a queda na quantidade vendida.
A elasticidade-renda da demanda sempre é positiva.;❌ Errado. Para bens inferiores, a elasticidade-renda é negativa, pois a demanda cai quando a renda aumenta.
Os bens de luxo têm elasticidade-renda maior que 1.;✅ Certo. A demanda por bens de luxo cresce mais que proporcionalmente ao aumento da renda.
A elasticidade cruzada da demanda mede a variação na demanda de um bem devido à mudança no preço de outro bem.;✅ Certo. Esse conceito ajuda a identificar bens substitutos e complementares.
A elasticidade cruzada entre dois bens substitutos é sempre negativa.;❌ Errado. A elasticidade cruzada entre substitutos é positiva, pois um aumento no preço de um bem eleva a demanda pelo outro.
A elasticidade cruzada entre bens complementares é positiva.;❌ Errado. Para bens complementares, a elasticidade cruzada é negativa, pois o aumento no preço de um reduz a demanda pelo outro.
A elasticidade-preço da demanda pode ser usada para prever o impacto de impostos sobre o consumo.;✅ Certo. Se a demanda for elástica, um imposto pode reduzir significativamente o consumo e a arrecadação.
A elasticidade-preço da demanda mede a variação da quantidade demandada em resposta à variação na renda do consumidor.;❌ Errado. Ela mede a variação da quantidade demandada em resposta à variação no preço do próprio bem.
Se a elasticidade-preço da demanda for maior que 1, o bem é considerado inelástico.;❌ Errado. Se for maior que 1, o bem é elástico, ou seja, a quantidade demandada muda mais do que proporcionalmente ao preço.
A demanda é unitária quando a elasticidade-preço da demanda é igual a 1.;✅ Certo. Isso significa que a variação percentual na quantidade demandada é igual à variação percentual no preço.
Um bem normal tem elasticidade-renda positiva.;✅ Certo. Para bens normais, um aumento na renda leva a um aumento na demanda.
Um bem inferior tem elasticidade-renda positiva.;❌ Errado. A elasticidade-renda é negativa para bens inferiores, pois a demanda diminui quando a renda aumenta.
A elasticidade-renda dos bens de luxo é menor que 1.;❌ Errado. Para bens de luxo, a elasticidade-renda é maior que 1, pois a demanda cresce mais do que proporcionalmente ao aumento da renda.
A elasticidade-preço da demanda sempre é negativa.;✅ Certo. Como regra geral, a demanda diminui quando o preço aumenta, resultando em uma elasticidade negativa.
Bens com demanda inelástica sofrem grandes variações na quantidade demandada quando o preço muda.;❌ Errado. Quando a demanda é inelástica, a quantidade demandada muda pouco em resposta ao preço.
A elasticidade-preço influencia a receita total de uma empresa.;"✅ Certo. Se a demanda for elástica, um aumento no preço reduz a receita total; se for inelástica, a receita pode aumentar."
Se a elasticidade-renda da demanda de um bem for zero, a demanda por esse bem não varia com a renda.;✅ Certo. Isso significa que a demanda é completamente insensível às mudanças na renda.
A oferta mede a quantidade de bens que as empresas estão dispostas a vender a diferentes preços.;✅ Certo. A oferta representa a disposição do produtor de vender bens no mercado.
