O que é a Convenção das Nações Unidas sobre o Direito do Mar (CNUDM)?;É um tratado internacional que regula todos os aspectos do direito marítimo, como fronteiras, meio ambiente e comércio.
"Por que a CNUDM é chamada de ""Constituição dos mares e oceanos""?";Porque normatiza amplamente o uso dos oceanos e tem muitos países signatários, garantindo segurança jurídica.
O que define a CNUDM sobre o mar territorial?;Limite de 12 milhas marítimas a partir da linha de base do país.
O que é a Zona Econômica Exclusiva (ZEE) segundo a CNUDM?;Área até 200 milhas marítimas da linha de base onde o Estado tem direitos econômicos exclusivos.
Por que a Plataforma Continental pode ser estendida além das 200 milhas?;Porque a CNUDM permite extensão até 350 milhas ou 100 milhas além da isóbata de 2.500 m, após análise científica.
O que é o Tribunal Internacional de Direito do Mar (TIDM)?;Órgão judicial independente que julga disputas sobre a interpretação e aplicação da CNUDM.
Por que o TIDM possui várias câmaras específicas?;Para tratar temas distintos como pesca, meio ambiente, delimitação marítima, entre outros.
Quem pode recorrer ao TIDM?;Estados partes da convenção, empresas estatais e entidades privadas em casos previstos.
O que é a Autoridade Internacional dos Fundos Marinhos (ISA)?;Organismo internacional responsável por organizar e controlar atividades na Área além da jurisdição nacional.
Por que a Área é considerada patrimônio comum da humanidade?;Porque nenhum Estado pode reivindicar soberania sobre o leito do mar e seus recursos além da jurisdição nacional.
O que faz a Assembleia da ISA?;Define a política geral da Autoridade e supervisiona os demais órgãos.
Qual o papel do Conselho da ISA?;É o órgão executivo que define políticas específicas, conforme diretrizes da Assembleia.
O que realiza a Empresa da ISA?;Executa as atividades de exploração, transporte, processamento e comercialização dos minerais extraídos.
Quais disputas a Câmara de Controvérsias dos Fundos Marinhos resolve?;Disputas entre Estados, Autoridade e contratantes relacionadas à Parte XI da CNUDM e atividades na Área.
Por que o Brasil é relevante no contexto da CNUDM?;Foi um dos países fundadores e participou com juízes no TIDM, embora nunca tenha tido caso julgado lá.
O que é a Comissão de Limites da Plataforma Continental (CLPC)?;Órgão da CNUDM que analisa reivindicações de extensão da plataforma continental além das 200 milhas.
Por que a CLPC foi criada?;Para garantir delimitações técnicas e científicas da plataforma continental, evitando reivindicações excessivas.
Onde funciona a CLPC?;Na sede da ONU, em Nova York.
Quantos membros compõem a CLPC?;21 membros independentes, especialistas em geologia, geofísica ou hidrografia.
Como são eleitos os membros da CLPC?;Por voto de dois terços dos Estados-Membros da CNUDM, com mandato de cinco anos.
Por que as recomendações da CLPC são vinculantes?;Porque os Estados ficam juridicamente obrigados às delimitações aprovadas para a plataforma continental.
Qual é a função principal da CLPC?;Implementar o Artigo 76 da CNUDM e analisar pleitos de extensão da plataforma continental.
O que a CLPC não pode analisar?;Disputas territoriais (soberania) sem a anuência de todas as partes interessadas.
Por que a Proclamação Truman de 1945 é importante para a PC?;Foi a primeira grande reivindicação moderna de direitos sobre a plataforma continental dos EUA.
Como a definição de plataforma continental evoluiu até a CNUDM?;De critérios de profundidade e exploração para critérios geomorfológicos e limites claros de 200 milhas.
Quais são as duas opções para pleitear a extensão da PC?;"1) 200 milhas a partir da linha de base (ZEE); 2) Extensão baseada em estudos geofísicos até 350 milhas."
O que acontece com a exploração na PC estendida além da ZEE?;É exclusiva do Estado, mas sujeita ao pagamento de royalties à ISA.
O que é o tratado BBNJ adotado em 2023?;Regula a exploração dos recursos vivos da área além da jurisdição nacional dos Estados.
Qual prazo a CNUDM fixou para apresentar pleitos à CLPC?;Dez anos após sua entrada em vigor, estendido até 2009 por diretrizes técnicas.
Quem foi o primeiro país a apresentar pleito à CLPC?;A Rússia, em 2001.
Quando o Brasil apresentou seu pleito à CLPC?;Em 2004, o segundo país a fazê-lo.
Quantos pleitos a CLPC recebeu até junho de 2023?;103 pleitos de 74 países, com 38 recomendações emitidas.
Quais países da América do Sul apresentaram pleitos próximos ao Brasil?;Guiana Francesa (2007), Suriname (2008), Uruguai (2009) e Argentina (2016).
Qual país da América do Sul apresentou reivindicação sobre a Antártida?;O Chile.
Qual é um dos principais desafios atuais da CLPC?;Acúmulo de pleitos para análise devido a limitações de subcomissões e falta de assentos.
Por que a CLPC enfrenta dificuldades financeiras?;Porque cada membro é custeado pelo país que o patrocinou, e nem todos os países dão apoio suficiente.
O que a Assembleia Geral da ONU pediu em 2013 para a CLPC?;Avaliar se a ONU poderia arcar com despesas de seguro-saúde dos membros da comissão.
O que foi autorizado excepcionalmente em 2023 para a CLPC?;Uso de recursos do fundo voluntário para plano de saúde dos membros.
O que são as negociações sobre BBNJ?;Acordo para conservação e uso sustentável da biodiversidade marinha além da jurisdição nacional dos Estados.
Quando foram iniciadas oficialmente as negociações sobre BBNJ?;Em 2018.
Quais são as prioridades do acordo BBNJ?;Uso sustentável, avaliação de impacto ambiental, capacitação e transferência de tecnologia marítima.
Qual é o foco principal das discussões sobre BBNJ?;Recursos genéticos marinhos, excluindo pesca e aves migratórias.
Por que houve dificuldade em criar um estatuto único para os recursos genéticos?;Porque há regimes jurídicos diferentes para alto-mar e Área.
Quando o acordo BBNJ foi finalizado?;Em março de 2023, adotado em junho de 2023 pela ONU.
Qual percentual dos oceanos o acordo BBNJ quer proteger até 2030?;Pelo menos 30%, hoje são 1,2%.
O que o acordo BBNJ estabelece para áreas protegidas?;Controle rígido sobre pesca, navegação e mineração em águas profundas.
Qual o papel do Brasil nas negociações do BBNJ?;Participação ativa para criar um acordo equilibrado, defendendo repartição de benefícios e preservação.
O que é a ISA segundo a CNUDM?;Organismo que controla atividades de mineração em fundos marinhos na Área.
"O que é o ""código de mineração"" da ISA?";Regulamentos que definem regras para exploração mineral em fundos marinhos.
Quando começaram as negociações para regular a exploração econômica de minerais na Área?;Em 2014.
Qual país notificou intenção de iniciar exploração econômica nos fundos marinhos?;Nauru.
Por que há dúvidas sobre a mineração em fundos marinhos?;Falta de comprovação da viabilidade e dos impactos ambientais.
O que a CNUDM exige para a proteção ambiental na mineração?;Proteção contra qualquer efeito danoso e dano sério ao ambiente marinho.
Qual o status da regulamentação da mineração pela ISA em 2023?;Negociações continuam, conclusão prevista para novembro de 2023.
Desde quando o Brasil tem autorização de pesquisa mineral na elevação do Rio Grande?;Desde quase uma década, com autorização válida por 15 anos.
O que é a Amazônia Azul?;Conceito político-estratégico criado pela Marinha do Brasil em 2004 que inclui 5,7 milhões km² de área oceânica.
Por que o termo Amazônia Azul foi criado?;Para destacar a importância ambiental, estratégica e econômica da área oceânica do Brasil, comparável à Amazônia terrestre.
Qual área cobre a Zona Econômica Exclusiva (ZEE) do Brasil?;Cerca de 3,6 milhões km².
Qual a área adicional pleiteada pelo Brasil na CLPC?;Cerca de 2,1 milhões km² além da ZEE.
Quando foi instituído o Dia Nacional da Amazônia Azul?;Em 16 de novembro de 2015, mesma data da vigência da CNUDM no Brasil.
O que é o PROMAR?;Programa da Marinha do Brasil para estimular o conhecimento e valorização do mar e suas potencialidades.
Qual o foco do interesse acadêmico e social sobre a Amazônia Azul?;Aspectos ambientais e econômicos dos oceanos.
Desde quando o Brasil reivindica direitos sobre a plataforma continental?;Desde 1950, com a proclamação de direitos sobre a plataforma submarina.
O que marcou a Constituição de 1967 para a plataforma continental?;Reconhecimento da plataforma submarina como bem da União.
Qual conflito internacional envolveu a plataforma continental brasileira?;A Guerra das Lagostas contra a França (1961-1964), por exploração de recursos vivos.
O que a Petrobras descobriu em 1968 na plataforma continental?;A primeira bacia petrolífera na costa de Sergipe.
Quando o Brasil estendeu o mar territorial para 200 milhas náuticas?;Em 1970, pelo Decreto nº 1.098.
O que é o LEPLAC?;Plano para estabelecer o limite exterior da plataforma continental brasileira, instituído em 1989.
Qual a importância da Lei nº 8.617/1993 para a plataforma continental?;Regulamentou o mar territorial, ZEE e plataforma continental conforme a CNUDM.
O que foi feito com os rochedos São Pedro e São Paulo?;Renomeados para arquipélago, construído farol e estação científica permanente.
Quando o Brasil apresentou sua proposta inicial à CLPC?;Em 17 de maio de 2004.
Quantos km² o pleito brasileiro reivindicou além das 200 milhas?;Cerca de 960 mil km².
Quais áreas são as principais no pleito além das 200 milhas?;Norte (Cone do Amazonas), Sudeste (Cadeia Vitória-Trindade) e Sul (Platô de Santa Catarina e Cone do Rio Grande).
Por que os EUA objetaram o pleito brasileiro na cadeia Vitória-Trindade?;Argumentaram que não havia espessura sedimentar suficiente (critério de Gardiner).
Como a CLPC respondeu à objeção dos EUA?;Desconsiderou a objeção por falta de legitimidade para interferir em área não adjacente.
Qual foi a decisão da CLPC sobre o pleito brasileiro em 2007?;Recomendou excluir cerca de 190 mil km² da área reivindicada.
Quais países o Brasil deveria consultar conforme recomendação da CLPC?;França (Guiana Francesa) e Uruguai.
Como o Brasil reagiu às recomendações da CLPC?;Não aceitou integralmente e elaborou proposta revista.
Em quantas áreas distintas foi dividida a nova proposta brasileira?;Três: Margem Sul, Margem Equatorial e Margem Oriental/Meridional.
Quando foi apresentada a proposta da Margem Sul?;Em abril de 2015.
Quando a proposta da Margem Sul foi aprovada pela CLPC?;Em março de 2019.
Quando foi enviada a proposta da Margem Equatorial?;Em 8 de setembro de 2017.
Quando foi enviada a proposta da Margem Oriental/Meridional?;Em 7 de dezembro de 2018.
Qual é a área total da Amazônia Azul com a inclusão da elevação de Rio Grande?;Cerca de 5,7 milhões de km².
O que é o Atlântico Sul para fins de CACD?;Grande área entre América do Sul e África, incluindo países banhados pelo Atlântico nos dois continentes.
O que é a Política Nacional para os Recursos do Mar?;Base para programas científicos ligados à soberania brasileira no mar.
Quais são os três grandes planos relacionados à Amazônia Azul?;LEPLAC, Plano Nacional de Gerenciamento Costeiro (PNGC) e Plano Setorial para os Recursos do Mar (PSRM).
