nome,categoria,exemplos,dificuldade,dica
"Substantivo concreto","Classes de Palavras","Casa, árvore e cachorro são concretos.|Mesa e livro existem concretamente.|Cidade, rio e pedra são concretos.","1","Designa seres que existem concretamente e podem ser percebidos pelos sentidos"
"Substantivo abstrato","Classes de Palavras","Amor, saudade e coragem são abstratos.|Felicidade e tristeza não se tocam.|Bondade e maldade são opostos abstratos.","1","Designa sentimentos, qualidades ou estados que não existem por si sós"
"Substantivo coletivo","Classes de Palavras","Alcateia (lobos), cardume (peixes), matilha (cães).|Constelação é o coletivo de estrelas.|Biblioteca é o coletivo de livros.","2","Um único substantivo que designa um conjunto de seres da mesma espécie"
"Artigo definido","Classes de Palavras","O aluno chegou cedo.|A professora explicou a lição.|Os meninos saíram juntos.","1","O, a, os, as — determina o substantivo de modo preciso e específico"
"Artigo indefinido","Classes de Palavras","Um aluno chegou.|Uma professora explicou.|Uns livros estavam na mesa.","1","Um, uma, uns, umas — determina o substantivo de modo vago e impreciso"
"Adjetivo uniforme","Classes de Palavras","Aluno inteligente / Aluna inteligente.|Homem feliz / Mulher feliz.|Dia agradável / Noite agradável.","2","Mesma forma para masculino e feminino — não varia em gênero"
"Adjetivo biforme","Classes de Palavras","Aluno bonito / Aluna bonita.|Homem alto / Mulher alta.|Menino estudioso / Menina estudiosa.","1","Formas diferentes para masculino e feminino — varia em gênero"
"Numeral cardinal","Classes de Palavras","Comprei três livros.|Há cem alunos na escola.|Estudamos por duas horas.","1","Indica quantidade exata: um, dois, três, cem, mil..."
"Numeral ordinal","Classes de Palavras","Ele ficou em primeiro lugar.|É o décimo segundo capítulo.|Moro no segundo andar.","2","Indica ordem ou posição: primeiro, segundo, terceiro, décimo..."
"Numeral multiplicativo","Classes de Palavras","Ganhou o dobro do salário.|A dose é o triplo do recomendado.|Recebeu o quádruplo do investido.","2","Indica multiplicação: dobro, triplo, quádruplo, quíntuplo..."
"Pronome pessoal reto","Classes de Palavras","Eu estudei ontem.|Ele saiu cedo.|Nós chegamos juntos.|Elas foram ao cinema.","1","Funciona como sujeito: eu, tu, ele, ela, nós, vós, eles, elas"
"Pronome possessivo","Classes de Palavras","Meu livro está aqui.|Sua casa é bonita.|Nosso projeto foi aprovado.|Tuas ideias são ótimas.","1","Indica posse em relação a uma das pessoas do discurso: meu, teu, seu, nosso, vosso"
"Pronome demonstrativo","Classes de Palavras","Este livro é meu (perto de mim).|Esse livro é seu (perto de você).|Aquele livro é dele (longe dos dois).","2","Indica posição no espaço ou no texto: este/esse/aquele e suas variações"
"Pronome relativo","Classes de Palavras","O aluno que estudou passou.|O livro cujo autor é famoso está esgotado.|A cidade onde nasci é linda.","3","Retoma um antecedente e introduz oração adjetiva: que, quem, cujo, onde, o qual"
"Pronome indefinido","Classes de Palavras","Alguém ligou para você.|Ninguém respondeu.|Qualquer pessoa pode participar.|Nada me surpreende.","2","Refere-se a pessoas ou coisas de modo vago e impreciso"
"Verbo regular","Classes de Palavras","Ele ama / amava / amou / amará.|Nós cantamos / cantávamos / cantaremos.|Você come / comia / comeu.","1","Segue o modelo de conjugação padrão sem alterações no radical"
"Verbo irregular","Classes de Palavras","Eu faço / fiz / farei (fazer).|Ele vai / foi / irá (ir).|Eu ponho / pus / porei (pôr).","3","Altera o radical ou as desinências na conjugação — foge do padrão"
"Verbo defectivo","Classes de Palavras","Abolir: não se usa eu abolo.|Falir: não tem 1ª pessoa do singular do presente.|Colorir: conjugação incompleta.","4","Não possui conjugação completa — faltam algumas formas, especialmente 1ª pessoa"
"Advérbio de modo","Classes de Palavras","Ele falou calmamente.|Ela agiu rapidamente.|Trabalharam silenciosamente.","1","Indica como a ação se realiza — frequentemente termina em -mente"
"Advérbio de tempo","Classes de Palavras","Ontem cheguei cedo.|Hoje ainda não almocei.|Amanhã viajamos.|Sempre chego pontual.","1","Indica quando a ação ocorre: ontem, hoje, amanhã, sempre, nunca, já, ainda"
"Preposição essencial","Classes de Palavras","Fui à cidade (a).|Vim de longe (de).|Saímos com amigos (com).|Estudei para a prova (para).","2","Sempre funciona como preposição: a, ante, com, de, em, para, por, sem, sob, sobre, até"
"Conjunção coordenativa","Classes de Palavras","Estudei e me saí bem.|Trabalhou mas não ganhou.|Ou vai ou fica.|Logo, merece o prêmio.","2","Liga orações independentes: e, nem, mas, porém, ou, logo, pois, portanto"
"Conjunção subordinativa","Classes de Palavras","Estudei porque queria aprender.|Se chover, fico em casa.|Embora chovesse, saiu assim mesmo.","3","Liga oração dependente à principal: porque, se, embora, quando, para que, como"
"Interjeição","Classes de Palavras","Ah, que saudade!|Oxalá tudo dê certo!|Psiu! Silêncio.|Ufa! Acabou!","1","Exprime emoção, estado de espírito ou apelo — geralmente seguida de ponto de exclamação"
"Sujeito simples","Sintaxe - Termos da Oração","O aluno estudou muito.|A chuva alagou a cidade.|Maria chegou cedo.","1","Possui apenas um núcleo — pode estar acompanhado de modificadores"
"Sujeito composto","Sintaxe - Termos da Oração","Pedro e Maria chegaram juntos.|O sol e a chuva causaram danos.|Professores e alunos participaram.","2","Possui dois ou mais núcleos — verbo geralmente vai para o plural"
"Sujeito oculto (elíptico)","Sintaxe - Termos da Oração","Estudei muito ontem. [Eu]|Saímos cedo. [Nós]|Comeram tudo. [Eles]","2","Está subentendido pela desinência verbal — identificado pelo contexto"
"Sujeito indeterminado","Sintaxe - Termos da Oração","Dizem que vai chover.|Precisa-se de funcionários.|Falam muito nesta cidade.","3","Não se identifica quem pratica a ação — verbo na 3ª pessoa do plural ou VTD+se"
"Oração sem sujeito","Sintaxe - Termos da Oração","Choveu muito ontem.|Há muitas pessoas aqui.|É tarde.|Faz dois anos que parti.","2","Verbo impessoal: fenômenos da natureza, haver=existir, fazer=tempo, ser=hora"
"Predicado verbal","Sintaxe - Termos da Oração","O aluno estudou muito.|A chuva caiu forte.|Ela trabalhou a noite toda.","1","O núcleo é um verbo significativo que indica ação, sem predicativo do sujeito"
"Predicado nominal","Sintaxe - Termos da Oração","A professora é inteligente.|O céu ficou nublado.|Ela parece cansada.","2","Núcleo é um nome — verbo de ligação (ser, estar, parecer, ficar) + predicativo do sujeito"
"Predicado verbo-nominal","Sintaxe - Termos da Oração","O aluno chegou cansado.|Ela saiu irritada da reunião.|Ele voltou diferente da viagem.","3","Possui dois núcleos: verbo significativo + predicativo do sujeito ou do objeto"
"Objeto direto","Sintaxe - Termos da Oração","Comprei um livro.|Ela ama o gato.|Vi um filme ontem à noite.","2","Complementa verbo transitivo direto — sem preposição obrigatória; responde o quê? ou quem?"
"Objeto indireto","Sintaxe - Termos da Oração","Gostei do filme.|Ele precisa de ajuda.|Obedecemos às leis.|Lembrei-me de você.","2","Complementa verbo transitivo indireto — ligado por preposição; responde de quê?, a quem?"
"Complemento nominal","Sintaxe - Termos da Oração","Tenho necessidade de você.|Ela tem amor à pátria.|Sou favorável ao projeto.","3","Complementa nome (substantivo, adjetivo ou advérbio) — sempre com preposição"
"Adjunto adnominal","Sintaxe - Termos da Oração","A linda menina chegou.|O carro vermelho é meu.|Três alunos faltaram.","2","Caracteriza ou determina o substantivo — pode ser adjetivo, artigo, numeral ou pronome"
"Adjunto adverbial","Sintaxe - Termos da Oração","Estudei muito ontem.|Ela chegou tarde à escola.|Trabalhou com dedicação.","2","Modifica verbo, adjetivo ou advérbio — indica circunstância (tempo, modo, lugar, causa...)"
"Aposto","Sintaxe - Termos da Oração","Maria, a professora, chegou.|Rio de Janeiro, cidade maravilhosa, encanta a todos.|Einstein, o gênio da física, revolucionou a ciência.","3","Explica ou especifica outro termo — geralmente isolado por vírgulas, travessão ou dois-pontos"
"Vocativo","Sintaxe - Termos da Oração","Professor, pode repetir?|Venha cá, João!|Senhoras e senhores, atenção!","1","Interpela ou chama o interlocutor — isolado por vírgula; nunca é sujeito nem objeto"
"Oração coordenada assindética","Sintaxe - Orações","Entrei, olhei, saí.|Chegou, comeu, dormiu.|Ela chorou, sorriu, se abraçou.","2","Orações independentes sem conjunção — ligadas por vírgula ou ponto e vírgula"
"Oração coordenada aditiva","Sintaxe - Orações","Estudei e aprendi.|Trabalhou e se cansou.|Não só veio como também trouxe presentes.","1","Adiciona uma ideia à outra — conjunções: e, nem, não só...mas também"
"Oração coordenada adversativa","Sintaxe - Orações","Estudou muito, mas não passou.|Trabalhou, porém não recebeu.|Queria ir, contudo estava doente.","2","Expressa oposição ou contraste — conjunções: mas, porém, contudo, todavia, entretanto"
"Oração coordenada alternativa","Sintaxe - Orações","Ou você vai ou você fica.|Ora chora, ora ri.|Quer durma, quer acorde, sorri sempre.","2","Expressa alternância ou exclusão — conjunções: ou...ou, ora...ora, quer...quer"
"Oração coordenada conclusiva","Sintaxe - Orações","Estudou bastante, logo passou.|Mentiu, portanto não confia-se nele.|Trabalhou muito; por isso merece.","3","Expressa conclusão — conjunções: logo, portanto, pois (pós-verbo), por isso, assim"
"Oração coordenada explicativa","Sintaxe - Orações","Corra, pois está atrasado.|Não saia, porque vai chover.|Estude, que a prova é amanhã.","3","Justifica ou explica a oração anterior — conjunções: pois (pré-verbo), porque, que"
"Oração subordinada substantiva subjetiva","Sintaxe - Orações","É necessário que você estude.|Convém que cheguemos cedo.|Parece que vai chover.","4","Funciona como sujeito da oração principal — o verbo principal não tem sujeito expresso"
