O que é carta rogatória?;Meio de cooperação jurídica internacional para atos processuais entre países.
Para que serve a carta rogatória?;Serve para solicitar citação, intimação, colheita de provas no exterior ou no Brasil.
Quem homologa a carta rogatória no Brasil?;Superior Tribunal de Justiça (STJ), desde a EC 45/2004.
A carta rogatória analisa o mérito do processo?;Não. O STJ analisa apenas a legalidade e formalidade do pedido.
A carta rogatória precisa passar pelo Itamaraty?;Sim. Em regra, há intermediação do Ministério das Relações Exteriores.
Pode ser usada em processos criminais?;Sim. Pode ser usada em processos cíveis, penais e trabalhistas.
É necessário advogado no Brasil para acompanhar carta rogatória?;Sim. A atuação de advogado é obrigatória no STJ.
A carta rogatória pode ser usada para ouvir testemunhas?;Sim. É comum para a oitiva de testemunhas no exterior.
É obrigatória a tradução dos documentos?;Sim. Devem ser traduzidos oficialmente para o idioma do país de destino.
O que acontece se a carta rogatória ofender a ordem pública?;Pode ser recusada pelo STJ.
A carta rogatória respeita a soberania do outro país?;Sim. A cooperação deve respeitar leis e soberania do país requerido.
A carta rogatória pode conter pedido de citação?;Sim. Citações e intimações são usos comuns da carta rogatória.
Pode haver recusa se violar garantias constitucionais brasileiras?;Sim. O STJ pode negar se houver ofensa a princípios como o devido processo legal.
A carta rogatória depende da legislação do país estrangeiro?;Sim. O cumprimento depende das leis do país de destino.
A carta rogatória é válida entre países sem tratado?;Sim. Pode ser aceita com base na reciprocidade internacional.
Pode ser usada para execução de sentença penal?;Não. Para isso é necessária a homologação da sentença estrangeira.
Precisa de chancela consular?;Sim. A legalização consular é exigida na maioria dos casos.
Pode ser enviada por correio comum?;Não. Deve seguir vias diplomáticas oficiais.
O STJ pode pedir esclarecimentos antes de decidir?;Sim. Pode solicitar informações complementares.
É usada para cobrar dívidas internacionais?;Não. Para isso usa-se homologação de sentença estrangeira.
É possível recorrer de decisão do STJ sobre carta rogatória?;Sim. Cabe agravo regimental dentro do próprio STJ.
Países com tratados facilitam a carta rogatória?;Sim. Tratados podem simplificar e agilizar o processo.
O Brasil pode negar se o pedido for por perseguição política?;Sim. Pode negar com base em princípios constitucionais.
A carta rogatória tem origem na Constituição de 1988?;Não. É anterior e baseada no Direito Internacional e no CPC.
A citação feita por carta rogatória tem efeito retroativo?;Não. Só tem efeito após a homologação e cumprimento formal.
Pode ser dispensada com tratado específico?;Sim. Tratados internacionais podem prever cooperação direta.
O Judiciário brasileiro é obrigado a cumprir carta recebida?;Não. Depende do cumprimento de requisitos legais e respeito à ordem pública.
A carta rogatória pode ser usada apenas em ações civis?;Não. Pode ser usada também em ações penais e trabalhistas.
O STJ atua como instância de mérito da causa?;Não. Avalia apenas requisitos formais e legais.
O trâmite pode ser acelerado em caso de urgência?;Sim. O STJ pode dar prioridade com justificativa adequada.
A súmula é o quê?;Entendimento consolidado de um tribunal sobre determinada norma.
Quem pode aprovar súmula vinculante?;Apenas o STF tem essa competência.
O que é súmula vinculante?;Enunciado do STF com efeito obrigatório para o Judiciário e a Administração Pública.
Para que serve a súmula vinculante?;Para uniformizar a jurisprudência e evitar decisões contraditórias.
Quem pode aprovar uma súmula vinculante?;Somente o STF, com voto de dois terços de seus ministros.
A súmula vinculante tem base em qual tipo de matéria?;Matéria exclusivamente constitucional.
Desde quando existe a súmula vinculante?;Desde a Emenda Constitucional nº 45/2004.
Quando a súmula vinculante começa a valer?;A partir da publicação oficial na imprensa.
A súmula vinculante obriga quais esferas do poder?;Federal, estadual e municipal.
Por que a súmula vinculante foi criada?;Para garantir segurança jurídica, coerência e celeridade no Judiciário.
A súmula vinculante é inspirada em qual sistema jurídico?;No modelo norte-americano, que valoriza a jurisprudência.
A súmula vinculante tem o mesmo valor que uma lei?;Não. Tem força normativa vinculante, mas não é equivalente ao processo legislativo.
O STF pode revisar uma súmula vinculante?;Sim. Pode revisar ou cancelar a qualquer tempo.
A iniciativa privada é obrigada a seguir a súmula vinculante?;Não. Apenas o Judiciário e a Administração Pública.
A súmula vinculante pode ser proposta por qualquer cidadão?;Não. Apenas por legitimados, como Presidente da República, PGR etc.
Qual lei regulamenta a súmula vinculante?;Lei nº 11.417/2006.
A súmula vinculante impede decisões diferentes?;Sim. Obriga juízes e órgãos públicos a seguir seu entendimento.
É possível contestar o descumprimento da súmula vinculante?;Sim. Por meio de reclamação constitucional ao STF.
A súmula vinculante vale para processos em andamento?;Sim. Desde que o tema ainda esteja sendo discutido.
A súmula vinculante pode tratar de qualquer assunto?;Não. Apenas sobre matéria constitucional.
A súmula vinculante tem previsão na Constituição?;Sim. Está no art. 103-A da Constituição Federal.
O STF pode editar súmula vinculante por iniciativa própria?;Sim. Pode ser de ofício ou por provocação de legitimados.
A súmula vinculante pode ser ignorada por órgãos do Executivo?;Não. Seu cumprimento é obrigatório.
Qual o instrumento para garantir o cumprimento da súmula vinculante?;Reclamação constitucional ao STF.
Pode ser aprovada sem previsão legal?;Não. Deve seguir a Constituição e a Lei nº 11.417/2006.
A súmula vinculante pode ser modificada?;Sim. Pode ser revista ou cancelada pelo STF.
Qual o quórum necessário para aprovar a súmula vinculante?;Voto de dois terços dos ministros do STF.
Qual o efeito principal da súmula vinculante nos processos?;Evita repetição de decisões sobre temas já pacificados.
A súmula vinculante vincula os tribunais superiores?;Sim. Vincula todos os órgãos do Judiciário.
A súmula vinculante tem caráter temporário?;Não. É permanente, mas pode ser alterada pelo STF.
A súmula vinculante pode fundamentar atos administrativos?;Sim. Deve ser seguida na prática administrativa.
A súmula vinculante limita a liberdade do juiz?;Sim. Dentro do tema tratado, o juiz deve seguir o entendimento do STF.
A súmula vinculante gera efeito erga omnes?;Sim. Aplica-se a todos os casos semelhantes no Judiciário e na Administração Pública.
Por que existe a súmula vinculante?;Para uniformizar a interpretação constitucional e evitar divergências.
A súmula vinculante pode tratar de matéria infraconstitucional?;Não. Deve tratar apenas de matéria constitucional.
Quem pode propor a criação da súmula vinculante?;Apenas legitimados do art. 103 da CF, como PGR, Presidente da República etc.
O STF pode editar súmula vinculante de ofício?;Sim. Pode editar por iniciativa própria ou provocação de legitimado.
A súmula vinculante tem força obrigatória?;Sim. Obriga o Judiciário e a Administração Pública.
A criação da súmula vinculante exige fundamentação?;Sim. Deve se basear em decisões reiteradas do STF.
Quantos votos são necessários para aprovar uma súmula vinculante?;Quórum qualificado de dois terços dos ministros do STF.
Qual o principal efeito prático da súmula vinculante?;Garantir segurança jurídica e estabilidade nas decisões.
A súmula vinculante apenas orienta os tribunais?;Não. Ela impõe obrigação de observância.
A súmula vinculante restringe a liberdade de interpretação dos juízes?;Sim. Obriga a seguir o entendimento do STF sobre o tema.
A súmula vinculante substitui o Legislativo?;Não. Embora tenha efeito normativo, não equivale a lei.
O STF pode cancelar uma súmula vinculante?;Sim. Pode revisar ou cancelar conforme previsto na Constituição.
A súmula vinculante se aplica a todas as esferas da Administração Pública?;Sim. Vale para União, estados e municípios.
A súmula vinculante trata de qualquer tema?;Não. Somente de matéria constitucional.
O que estabelece a Súmula Vinculante nº 12?;Proíbe cobrança de matrícula em universidades públicas.
A SV nº 12 reforça qual princípio?;O da gratuidade do ensino público (art. 206, IV, CF).
A súmula vinculante tem efeito retroativo automático?;Não. Só retroage se o STF decidir expressamente.
A súmula vinculante pode ser criada com apenas uma decisão do STF?;Não. Exige jurisprudência consolidada e reiterada.
Por que a súmula vinculante racionaliza o Judiciário?;Evita a repetição de processos sobre o mesmo tema.
A súmula vinculante só vale após publicação?;Sim. Só produz efeitos após publicação oficial.
A criação depende de provocação do Congresso?;Não. Pode vir de outros legitimados.
Um cidadão comum pode propor uma súmula vinculante?;Não. Apenas os legitimados constitucionais.
Como a súmula vinculante se aplica aos casos?;De forma automática a todos os casos semelhantes.
A súmula vinculante reforça qual princípio constitucional?;O da supremacia da Constituição Federal.
A súmula vinculante tem natureza jurídica constitucional?;Sim. Deriva do art. 103-A da Constituição.
