Tópico do edital;Temas de redação
1. Relações internacionais: conceitos básicos, atores, processos, instituições e principais paradigmas teóricos;1. “O retorno da rivalidade entre grandes potências e os limites do liberalismo internacional.”2. “A crescente influência de atores não estatais na governança global contemporânea.”
2. Política externa brasileira: evolução desde 1945, principais vertentes e linhas de ação;1. “Continuidade e mudança na política externa brasileira desde o pós-Segunda Guerra Mundial.”2. “Universalismo e autonomia como eixos históricos da diplomacia brasileira.”
3. O Brasil e a América do Sul;1. “A América do Sul como prioridade estratégica da política externa brasileira.”2. “Os desafios da liderança regional do Brasil no século XXI.”
3.1 Integração na América do Sul;1. “Integração regional sul-americana: avanços, obstáculos e perspectivas.”2. “A fragmentação política da América do Sul e seus impactos sobre a integração regional.”
3.2 O MERCOSUL: origens do processo de integração no Cone Sul;1. “O MERCOSUL como instrumento de aproximação política entre Brasil e Argentina.”2. “A redemocratização do Cone Sul e o surgimento do MERCOSUL.”
3.3 Objetivos, características e estágio atual de integração do MERCOSUL;1. “O futuro do MERCOSUL diante das transformações da economia global.”2. “União aduaneira incompleta: limites e possibilidades do MERCOSUL.”
3.4 Iniciativas de integração física, energética, política, econômica e de defesa na América do Sul;1. “Infraestrutura e integração regional: o papel dos corredores bioceânicos sul-americanos.”2. “Cooperação em defesa e segurança como dimensão da integração sul-americana.”
4. Argentina: política externa e relações com o Brasil;1. “Brasil e Argentina: cooperação estratégica e divergências históricas.”2. “As mudanças políticas argentinas e seus reflexos sobre a relação bilateral com o Brasil.”
5. Relações do Brasil com os demais países do hemisfério;1. “O papel do Brasil nas relações hemisféricas contemporâneas.”2. “Cooperação e tensões entre o Brasil e os países latino-americanos.”
6. Estados Unidos da América: política externa e relações com o Brasil;1. “Assimetria e cooperação nas relações entre Brasil e Estados Unidos.”2. “A política externa norte-americana para a América Latina no século XXI.”
7. União Europeia: origens, evolução histórica, estrutura e funcionamento, situação atual, política externa e relações com o Brasil;1. “Os desafios atuais da integração europeia diante do nacionalismo e da crise econômica.”2. “O acordo MERCOSUL-União Europeia e suas implicações geopolíticas.”
8. Rússia: política externa e relações com o Brasil;1. “A política externa russa no contexto da multipolaridade contemporânea.”2. “Brasil e Rússia: cooperação estratégica no âmbito dos BRICS.”
9. África: política externa e relações com o Brasil;1. “A reaproximação do Brasil com a África no século XXI.”2. “Cooperação Sul-Sul e desenvolvimento nas relações entre Brasil e África.”
10. O Brasil e a Ásia;1. “A crescente centralidade da Ásia na política externa brasileira.”2. “O deslocamento do eixo econômico mundial para a Ásia e seus impactos para o Brasil.”
10.1 China, Índia e Japão: políticas externas e relações com o Brasil;1. “A ascensão chinesa e seus efeitos sobre a inserção internacional do Brasil.”2. “Índia, Japão e China: oportunidades e desafios para a diplomacia brasileira.”
11. O Brasil e o Oriente Médio;1. “Os interesses brasileiros no Oriente Médio: energia, comércio e diplomacia.”2. “Neutralidade e pragmatismo na atuação brasileira no Oriente Médio.”
11.1 A questão israelo-palestina;1. “A solução de dois Estados e os impasses do conflito israelo-palestino.”2. “O papel da comunidade internacional na questão palestina.”
11.2 Síria, Iraque, Irã e outras situações nacionais relevantes;1. “Conflitos no Oriente Médio e os desafios à estabilidade internacional.”2. “O programa nuclear iraniano e o regime internacional de não proliferação.”
12. A Comunidade dos Países de Língua Portuguesa;1. “A CPLP como instrumento de cooperação política e cultural.”2. “Os limites e potencialidades da lusofonia nas relações internacionais.”
13. O Brasil e a agenda internacional;1. “O Brasil e os desafios da governança global contemporânea.”2. “A inserção internacional do Brasil diante das novas agendas globais.”
13.1 O multilateralismo de dimensão universal: ONU, conferências internacionais e órgãos multilaterais;1. “Crise e reforma do multilateralismo no século XXI.”2. “O papel das Nações Unidas diante dos conflitos contemporâneos.”
13.2 Desenvolvimento e desenvolvimento sustentável;1. “Desenvolvimento sustentável como desafio da ordem internacional contemporânea.”2. “Crescimento econômico e preservação ambiental: tensões e convergências.”
13.3 Pobreza, insegurança alimentar e fome. Ações de combate à fome;1. “A fome como desafio político e moral da comunidade internacional.”2. “Segurança alimentar e cooperação internacional no combate à pobreza.”
13.4 Meio ambiente;1. “Mudanças climáticas e governança ambiental global.”2. “A proteção da Amazônia e a soberania brasileira.”
13.5 Mar, espaço e Antártida;1. “A importância estratégica da Amazônia Azul para o Brasil.”2. “A disputa geopolítica pelo espaço e pela Antártida no século XXI.”
13.6 Direitos humanos e políticas de identidade: gênero, raça e religião como vetores da política mundial;1. “Direitos humanos e soberania nacional nas relações internacionais.”2. “Políticas identitárias e polarização no cenário internacional contemporâneo.”
13.7 Migrações internacionais, migrantes, refugiados e apátridas;1. “Crises migratórias e os limites da solidariedade internacional.”2. “Refugiados e direitos humanos em um mundo de fronteiras securitizadas.”
13.8 Comércio internacional, OMC e cadeias globais de suprimento;1. “O futuro da globalização diante da reorganização das cadeias produtivas.”2. “A crise da OMC e os desafios do comércio internacional.”
13.9 Sistema financeiro internacional;1. “A governança financeira internacional após as crises do século XXI.”2. “O papel das moedas emergentes na transformação da ordem econômica internacional.”
13.10 Desarmamento e não proliferação;1. “Desarmamento nuclear e segurança internacional contemporânea.”2. “Os desafios do regime de não proliferação em um mundo multipolar.”
13.11 Crimes de guerra e crimes contra a humanidade: genocídio, holocausto e o Tribunal Penal Internacional;1. “Memória histórica e prevenção de genocídios no século XXI.”2. “Os limites da jurisdição internacional na punição de crimes contra a humanidade.”
13.12 Terrorismo;1. “O terrorismo internacional e os dilemas entre segurança e liberdade.”2. “O impacto do terrorismo sobre a política internacional contemporânea.”
13.13 Narcotráfico, crime transnacional e crimes cibernéticos de alcance global;1. “Crime organizado transnacional e cooperação internacional.”2. “Cibersegurança e soberania no mundo digital.”
13.14 Reforma das Nações Unidas;1. “A reforma do Conselho de Segurança e a representação das potências emergentes.”2. “O Brasil e a defesa da democratização das Nações Unidas.”
13.15 Operações de paz das Nações Unidas;1. “As operações de paz da ONU e os desafios dos conflitos contemporâneos.”2. “A participação brasileira em missões de paz das Nações Unidas.”
14. O Brasil e o sistema interamericano;1. “O sistema interamericano e a defesa da democracia no continente.”2. “Os desafios da cooperação hemisférica nas Américas.”
14.1 A Organização dos Estados Americanos;1. “A OEA e as crises políticas na América Latina.”2. “Os limites institucionais da Organização dos Estados Americanos.”
15. O Brasil e a formação dos blocos econômicos, a negociação de acordos comerciais e a promoção comercial;1. “Regionalismo e abertura comercial na política externa brasileira.”2. “Acordos comerciais e competitividade internacional do Brasil.”
16. A dimensão da segurança na política exterior do Brasil;1. “Segurança e defesa como instrumentos da projeção internacional do Brasil.”2. “A política de defesa brasileira diante das novas ameaças globais.”
17. O Brasil e as coalizões internacionais: G-20, IBAS e BRICS;1. “Os BRICS e a transformação da ordem internacional.”2. “Coalizões de países emergentes e reforma da governança global.”
18. O Brasil e a cooperação Sul-Sul;1. “Cooperação Sul-Sul como instrumento da política externa brasileira.”2. “Solidariedade internacional e interesses nacionais na cooperação entre países em desenvolvimento.”
19. Cooperação e diplomacia da saúde;1. “A pandemia e a centralidade da diplomacia da saúde nas relações internacionais.”2. “Cooperação internacional em saúde e desigualdades globais.”
