O que são Relações Internacionais sob o prisma jurídico?;Conjunto de interações entre Estados, organizações internacionais, ONGs, empresas e indivíduos, influenciadas por fatores políticos, econômicos, culturais e militares.
Quais atores participam das Relações Internacionais?;Estados, organizações internacionais, ONGs, empresas e indivíduos.
Quais fatores influenciam as Relações Internacionais?;Política, economia, geopolítica, poder militar, cultura, interesses e necessidades humanas.
Qual é o papel do Direito Internacional Público?;Regular as relações internacionais para garantir convivência e realização de interesses comuns.
O Direito Internacional resolve todos os problemas globais?;"Não, mas também não é inútil; contribui para organizar e orientar as relações."
Por que é necessário compreender fatores além do Direito nas relações internacionais?;Porque as relações internacionais são complexas e influenciadas por fatores políticos e econômicos.
O Direito Internacional existe mesmo quando é descumprido?;Sim, sua existência independe do cumprimento de suas normas.
O Direito Internacional é estático?;Não, ele é influenciado pela dinâmica da sociedade internacional.
Qual a diferença entre Comunidade Internacional e Sociedade Internacional?;"Comunidade baseia-se em laços espontâneos; sociedade baseia-se em vínculos intencionais para objetivos comuns."
Existe consenso sobre a existência de uma comunidade internacional?;Não, há divergências doutrinárias.
Quais são as características da Sociedade Internacional?;Universal, heterogênea, desigual, descentralizada e baseada na coordenação de interesses.
O que significa dizer que a Sociedade Internacional é universal?;Abrange todo o mundo, ainda que com diferentes níveis de integração.
Por que a Sociedade Internacional é considerada heterogênea?;Porque envolve diversos tipos de atores.
O que caracteriza a desigualdade na Sociedade Internacional?;Diferenças de poder entre os Estados.
O que significa descentralização na Sociedade Internacional?;Ausência de um governo mundial e existência de múltiplos centros de poder.
A Sociedade Internacional é regida por subordinação?;Não, pela coordenação de interesses.
O que é globalização?;Processo de integração econômica, política, social e cultural entre países.
Quais momentos históricos marcaram a globalização?;Grandes Navegações, Revolução Industrial e fim da Guerra Fria.
O que intensificou a globalização contemporânea?;Avanços da Tecnologia da Informação e Comunicação (TIC).
Quais valores se expandiram com a globalização?;Estado Democrático de Direito e economia de mercado.
Quais são características da globalização atual?;Aumento do comércio, interdependência, blocos regionais, redefinição da soberania.
O termo globalização tem sido questionado?;Sim, devido a crises econômicas e preocupações com segurança.
Quais são os reflexos da globalização no Direito Internacional?;Ampliação das normas, uso de soft law e limitação da soberania estatal.
O que é soft law?;Normas internacionais mais flexíveis e não obrigatórias.
Qual é o objeto do Direito Internacional Público?;Reduzir a anarquia, regular cooperação, proteger bens jurídicos e atender interesses comuns.
O que significa reduzir a anarquia internacional?;Diminuir a ausência de autoridade central por meio de normas.
O que é o fundamento do Direito Internacional Público?;A base que explica por que as normas internacionais são obrigatórias.
Quais são as principais correntes sobre o fundamento do DIP?;Voluntarismo e objetivismo.
O que defende o voluntarismo?;Que a obrigatoriedade decorre da vontade dos Estados.
Como os Estados manifestam sua vontade no voluntarismo?;Por consentimento expresso (tratados) ou tácito (costumes).
O que é a teoria da autolimitação da vontade?;O Estado se submete voluntariamente às normas internacionais.
Quem formulou a teoria da vontade coletiva?;Heinrich Triepel.
O que diz a teoria da vontade coletiva?;O Direito Internacional surge da vontade comum dos Estados.
O que é o consentimento das nações?;A maioria dos Estados decide livremente sem necessidade de unanimidade.
O que defende a teoria da delegação do direito interno?;O Direito Internacional deriva do ordenamento jurídico nacional.
O que defende o objetivismo?;Que a obrigatoriedade independe da vontade dos Estados.
O que é o jusnaturalismo?;Corrente que fundamenta o Direito em princípios naturais ou racionais.
O que dizem as teorias sociológicas do Direito?;Que as normas derivam de fatos sociais.
O que é a teoria da norma-base de Kelsen?;O Direito Internacional se fundamenta em uma norma hipotética fundamental.
;
Qual é a principal crítica ao voluntarismo?;Condiciona o Direito Internacional à vontade dos Estados, sujeita a interesses políticos.
Qual é a principal crítica ao objetivismo?;Ignora a vontade dos Estados e pode gerar normas desconectadas dos interesses dos povos.
O que propõe a teoria conciliadora?;Combina elementos do voluntarismo e do objetivismo.
Quem desenvolveu a teoria conciliadora?;Dionísio Anzilotti.
Por que o Direito Internacional é obrigatório segundo Anzilotti?;Porque contém normas essenciais para a sociedade internacional.
A teoria conciliadora ignora a vontade dos Estados?;Não, ela reconhece a importância da vontade estatal.
O que acontece após os Estados aceitarem normas internacionais?;Devem cumpri-las de boa-fé.
O que significa o princípio pacta sunt servanda?;Os acordos devem ser cumpridos de boa-fé.
O que é jus cogens?;Normas imperativas do Direito Internacional que limitam a vontade dos Estados.
Quais críticas negam a existência do Direito Internacional como sistema jurídico?;Alegam que suas normas são morais, falta organização global e não há coercitividade.
Por que alguns negam o caráter jurídico do Direito Internacional?;Pela ausência de autoridade central e força coercitiva.
O Direito Internacional possui coercitividade?;Sim, ainda que de forma descentralizada e limitada.
Qual a diferença entre direito de coordenação e de subordinação?;"O internacional é de coordenação; o interno é de subordinação."
Por que o Direito Internacional é considerado de coordenação?;Porque os Estados negociam as normas entre si.
Como ocorre a produção normativa no Direito Internacional?;De forma descentralizada, por Estados e organizações internacionais.
As normas internacionais são obrigatórias?;Sim, e podem prever sanções.
Existe hierarquia rígida no Direito Internacional?;Não, mas há limitações importantes.
O que limita os tratados internacionais?;O jus cogens.
Normas regionais podem contrariar normas globais?;Não, devem respeitá-las.
O que é a fragmentação do Direito Internacional?;A existência de múltiplas áreas especializadas dentro do sistema.
Quais áreas exemplificam a fragmentação do Direito Internacional?;Direitos humanos, trabalho e meio ambiente.
O Direito Internacional influencia o direito interno?;Sim, impacta legislações nacionais.
Como o Protocolo de Quioto afeta os Estados?;Exige redução da poluição, influenciando leis ambientais internas.
O que os tratados de direitos humanos exigem dos Estados?;Garantia de direitos no âmbito interno.
O que o Direito Internacional atual regula principalmente?;A cooperação entre Estados.
Como os Estados eram vistos tradicionalmente?;Como soberanos e independentes.
Por que a cooperação internacional é necessária?;Porque problemas globais afetam vários países simultaneamente.
Cite problemas que exigem cooperação internacional.;Poluição, desastres naturais, conflitos armados e práticas trabalhistas desleais.
A cooperação internacional serve apenas para resolver problemas?;Não, também promove desenvolvimento e regula áreas globais.
Quais áreas globais são reguladas pela cooperação internacional?;Alto-mar e espaço extraatmosférico.
Como os Estados realizam cooperação internacional?;Por meio de tratados e organizações internacionais.
O que é o Tratado de Não Proliferação Nuclear (TNP)?;Acordo internacional para evitar a disseminação de armas nucleares.
Qual é a função da AIEA?;Fiscalizar o cumprimento do TNP.
