O que motivou a imigração europeia para o Brasil após 1888?;A abolição da escravidão e a necessidade de substituir a mão de obra no café.
Que países competiam com o Brasil na atração de imigrantes?;Argentina, Cuba, México e, sobretudo, Estados Unidos.
Qual foi o modelo político adotado pela Primeira República em relação à sociedade?;Um modelo excludente, priorizando modernidade e racionalidade, mas excluindo largas faixas da população.
Como os imigrantes reagiam às condições de trabalho no Brasil?;"Muitos enfrentaram pobreza, dívidas e revoltas; havia sensação de insegurança e exploração."
Quais eram as acusações feitas às populações imigrantes e aos libertos?;De serem responsáveis pela violência, desordem e descontrole urbano.
Quais teorias influenciaram as práticas policiais e médicas da época?;Darwinismo racial, higienismo e determinismo racial.
Qual a visão pessimista sobre a miscigenação segundo intelectuais da época?;Que a mistura de raças geraria degeneração e atraso social.
Qual a visão otimista associada ao imigrante?;A ideia de “melhoramento” pela miscigenação branca e pela ética do trabalho.
O que significava “regeneração” no contexto urbano da Primeira República?;Um projeto de modernização das cidades, inspirado em Paris, expulsando a pobreza do centro.
Quais dificuldades a população urbana enfrentava?;Crises de carestia, inflação, aumento de preços de alimentos, aluguel e transporte.
Que figuras populares compunham o cotidiano urbano?;Preta-mina cozinheira, engraxates mestiços, capoeiras, doceiras, vendedores de leite, baleiro, cura, etc.
Qual lema simbolizou a ideologia da República?;“Ordem e Progresso”, inspirado no positivismo e na fé no progresso inevitável.
Como se dividia o Brasil nesse contexto?;Cidades modernizadas e eufóricas versus sertão marginalizado e esquecido.
O que Euclides da Cunha expressou em Os sertões (1902)?;A frase “Estamos condenados ao progresso”, revelando a inevitabilidade do progresso, mas como fardo para o Brasil.
O que marcou a sociedade brasileira entre 1880 e 1930?;Forte urbanização, imigração em larga escala e início da industrialização, apesar da permanência da base agrícola.
Qual foi a taxa média de crescimento da população no período?;2,5% ao ano, com cidades acima de 50 mil habitantes crescendo ainda mais (3,7%).
Qual foi o lema adotado pelo jornal Província de São Paulo?;“O Brasil civiliza-se”, destacando a urbanização como sinal de progresso.
Quais cidades lideraram a urbanização no Brasil?;Rio de Janeiro, São Paulo e Belo Horizonte, concentrando recursos e modernização.
Quantos imigrantes São Paulo recebeu logo após a Abolição (1888)?;Aproximadamente 184 mil imigrantes.
Que profissões trouxeram os imigrantes além do trabalho rural?;Pedreiros, padeiros, sapateiros, comerciantes e profissionais liberais (alemães, italianos, espanhóis).
Quais foram os destinos da migração interna nordestina no fim do século XIX?;Amazônia (borracha), Rio de Janeiro (capital e empregos públicos) e Sul do Brasil (urbanização).
O que mostrou o Censo de 1920 sobre a economia brasileira?;69,7% trabalhavam na agricultura, 13,8% na indústria e 16,5% nos serviços.
Quais problemas acompanharam a urbanização?;Transporte precário, moradia irregular, educação insuficiente e exclusão social.
O que simbolizava o movimento “bota-abaixo” no Rio de Janeiro?;Demolição de cortiços e expulsão da população pobre do centro em nome da modernização.
Quem foram os responsáveis pela reforma do Rio de Janeiro no governo Rodrigues Alves?;Lauro Müller (porto), Oswaldo Cruz (saneamento) e Pereira Passos (reforma urbana).
Como Lima Barreto descreveu a reforma urbana do Rio?;Como uma mudança rápida e cenográfica: “de uma hora para a outra a antiga cidade desapareceu”.
Quais fatores impulsionaram o crescimento de São Paulo?;Expansão cafeeira, construção da ferrovia Santos-Jundiaí e chegada de imigrantes.
Que instituições e serviços marcaram a modernização paulista?;Criação do Instituto Butantã, iluminação elétrica e expansão dos transportes públicos.
O que caracterizou a belle époque no Brasil e no mundo?;Otimismo econômico, avanços científicos e culturais, invenções tecnológicas e reformas urbanas.
Que mudanças sociais e culturais marcaram a população urbana no fim do século XIX?;A população passou a ocupar as ruas, frequentar bailes, teatros, turfe e trottoir, abandonando o espaço exclusivo da casa patriarcal.
Que características tradicionais ainda marcavam São Paulo em expansão?;Padrões rurais, escravocratas e patriarcais continuavam a ditar hierarquias sociais rígidas, apesar da urbanização.
O que foram as “posturas municipais” em São Paulo?;Regulamentações oficiais que proibiam ou multavam atividades populares, como venda de galinhas, frutas e vassouras.
Qual foi o impacto da especulação imobiliária em São Paulo?;Demolição de casebres e favelas, expulsão dos pobres dos centros e construção de bairros e ruas elegantes, como a avenida Paulista.
Como Belo Horizonte surgiu como capital mineira?;Foi planejada em 1893, construída em quatro anos sob Aarão Reis e inaugurada em 1897 como primeira cidade moderna e republicana planejada do Brasil.
Quais símbolos da modernidade marcaram Belo Horizonte?;Palácio da Liberdade, iluminação elétrica (1895), telégrafo, Correio, parques, arborização e arquitetura art nouveau.
Que grupos sociais se instalaram em Belo Horizonte durante a construção?;Operários e imigrantes, principalmente italianos, que viviam em barracões e “cafuas” enquanto trabalhavam nas obras.
Qual foi a semelhança entre Rio, São Paulo e Belo Horizonte nesse período?;Todas buscaram modernização e civilidade, mas mantiveram exclusão social e marcas da sociedade agrário-escravista.
Que contradições marcavam a urbanização?;Inclusão e exclusão, avanço tecnológico e repressão, convivência de práticas modernas com tradições culturais e religiosas antigas.
Quais atividades populares resistiam nas cidades apesar da repressão?;Vendedores ambulantes, pequenos negociantes, carpinteiros, sapateiros, carroceiros, rezadores, benzedeiras e curandeiros.
O que caracterizava as moradias urbanas no período?;Cortiços, pensões, casarões coletivos e casinhas enfileiradas com alta densidade populacional.
Qual revolta urbana revelou tensões da modernidade?;A Revolta da Vacina (1904, no Rio), contra a vacinação obrigatória e as políticas autoritárias de higienização.
O que simbolizou a frase do médico Miguel Pereira em 1916?;“O Brasil ainda é um imenso hospital”, denunciando a presença de doenças tropicais, rurais e urbanas no país em modernização.
Quais doenças eram consideradas “de fora”?;Cólera, trazida por imigrantes e navios vindos da Europa.
Quais doenças eram consideradas “de dentro”?;Febre amarela, varíola e peste bubônica.
Qual inseto estava presente nas casas rurais de barro?;O barbeiro, transmissor da doença de Chagas.
Que doenças vinham junto com as condições precárias dos imigrantes nos navios?;O tracoma, infecção ocular transmissível.
Qual foi a importância de Oswaldo Cruz?;Erradicou a febre amarela, liderou campanhas sanitárias e tornou-se herói nacional.
O que buscavam as expedições científicas do Instituto Oswaldo Cruz (1907–1913)?;Levar higienização ao interior do Brasil e combater doenças endêmicas.
Quais eram as três grandes doenças chamadas “maldita trindade”?;Malária, doença de Chagas e ancilostomíase.
Quais outras doenças matavam muito no Brasil?;Lepra, sífilis e tuberculose.
Quais grupos sociais eram mais atingidos pelas doenças?;Ex-escravos, pobres urbanos, moradores de cortiços e favelas, imigrantes, mulheres, crianças, trabalhadores informais e camponeses.
Que ideias estavam ligadas ao combate às doenças?;Eugenia, higienismo e exclusão social, vistas como caminho para “civilizar” a população.
Qual foi o conflito mais visível do início da República?;A Guerra de Canudos (1896–1897), na Bahia.
Quem relatou e depois publicou um livro sobre Canudos?;Euclides da Cunha, autor de Os Sertões (1902).
Como terminou o conflito de Canudos?;"Com o massacre da população sertaneja; resistiram até o fim apenas quatro pessoas."
Qual a principal crítica de Euclides da Cunha em Os Sertões?;O abismo cultural entre o Brasil urbano/litorâneo e o Brasil sertanejo.
Qual movimento religioso-popular surgiu em Juazeiro?;O liderado pelo Padre Cícero, de caráter messiânico e milenarista.
O que foi a Revolta do Contestado (1912–1916)?;Levante rural entre Paraná e Santa Catarina, com caráter monarquista e messiânico.
Que influência predominava nesses movimentos sertanejos?;O catolicismo popular rústico, reinterpretado pela vivência sertaneja.
Quais eram as estruturas sociais vigentes nos sertões?;Relações de poder como padres/fiéis, coronéis/dependentes, padrinhos/afilhados, beatos/seguidores.
Quais condições de trabalho os operários enfrentavam?;Jornadas longas, baixos salários, ausência de idade mínima e exploração de mulheres e crianças.
Qual foi o papel dos imigrantes nas fábricas urbanas?;Italianos, espanhóis e portugueses dominaram o operariado, especialmente em São Paulo.
Em 1900, qual era a porcentagem de estrangeiros na indústria paulista?;92%, sendo 81% italianos.
Quais foram os principais movimentos operários do período?;As greves de 1917 e 1919, contra exploração e carestia de alimentos.
Como a Primeira Guerra impactou os trabalhadores?;Aumento da carestia, exportação de alimentos e agravamento da exploração de mão de obra.
Como era a disciplina de trabalho nas fábricas no início do século XX?;Regulamentos arbitrários dos patrões, castigos corporais e longas jornadas, chegando a 11 horas seguidas.
Qual a importância dos imigrantes nos movimentos grevistas?;Eles trouxeram ideologias, especialmente o anarquismo, e lideraram muitas mobilizações.
O que caracterizava o anarquismo no Brasil?;Corrente mais importante das reivindicações operárias, com destaque para o anarcosindicalismo.
Por que os anarquistas não defendiam a cidadania brasileira para os imigrantes?;Acreditavam que os direitos como estrangeiros eram inalienáveis e mais seguros do que a cidadania.
Quando ocorreu a primeira greve moderna no Brasil?;Em 1902, no Rio de Janeiro, em uma fábrica de sapatos.
Qual foi a primeira greve geral multiprofissional?;Ocorreu em 1903, no Rio de Janeiro, com pintores, gráficos, chapeleiros e outros.
Qual greve marcou os portos pela primeira vez?;A de 1904, na Cia. Docas de Santos, com grande adesão de operários e apoio de outras categorias.
Qual foi o motivo da greve ferroviária de 1906 em São Paulo?;Abusos sofridos pelos operários e redução de salários.
Qual foi o objetivo da greve geral de 1907 em São Paulo?;Defender a jornada de oito horas de trabalho.
Como o governo reagia às greves do período?;Repressão policial, prisões, espancamentos e expulsão de estrangeiros acusados de anarquismo.
O que fortaleceu os movimentos operários entre 1910 e 1913?;O aumento da carestia, que levou ao crescimento das associações e protestos sociais.
Qual foi a importância da greve de 1917?;Atingiu dezenas de milhares de operários, foi considerada total em São Paulo e organizou os trabalhadores rumo ao sindicalismo.
Que números expressivos marcaram o 1º de maio de 1919?;Entre 50 e 60 mil participantes em São Paulo e no Rio, com várias categorias reunidas.
O que aconteceu com o anarquismo nos anos 1920?;Foi enfraquecido, superado pelos comunistas e depois pelos sindicatos oficiais na era Vargas.
Quais greves fracassaram no início dos anos 1920?;A dos têxteis em São Paulo e a dos ferroviários no Rio, ambas em março de 1920.
Qual a relação entre Canudos e o surgimento das favelas?;Ex-combatentes de Canudos se instalaram no morro da Providência, originando as primeiras ocupações chamadas “favelas”.
Qual a origem da palavra “favela”?;Nome de uma planta abundante em um morro de Canudos, que passou a designar os morros ocupados no Rio.
O que revela a expansão das favelas no início do século XX?;As tensões entre campo, sertão e cidade, além da exclusão social de imigrantes e nacionais.
O que faltou após a Lei Áurea para os ex-escravizados?;Não houve política social de integração, dificultando a concorrência com imigrantes.
Como as teorias raciais influenciaram o pós-abolição?;Naturalizaram desigualdades sociais, associando inferioridade aos negros e mestiços.
O que dizia o hino da República sobre a escravidão?;Negava o passado escravocrata: “Nós nem cremos que escravos outrora tenha havido”.
Como eram vistos os cortiços após 1888?;Locais de tensão social, reunindo ex-escravos, imigrantes e pobres urbanos.
O que Lima Barreto dizia sobre o preconceito racial?;Que a capacidade dos negros era questionada “a priori”, enquanto a dos brancos “a posteriori”.
Por que havia medo entre ex-escravizados mesmo após a Abolição?;Persistia o receio da reescravização e o estigma social da escravidão.
Qual foi o símbolo de liberdade para negros após a Abolição?;Os sapatos, antes proibidos, comprados como troféus e exibidos com orgulho.
Como muitos ex-escravos lidaram com a vida rural?;Misturaram-se a camponeses, vivendo com mobilidade e roças itinerantes.
O que Antônio Cândido chamou de “mínimos vitais”?;Produção de pequenos excedentes agrícolas e sociabilidade baseada em vizinhança.
Como Monteiro Lobato retratou o caipira?;Como o Jeca Tatu, símbolo de atraso, apatia e marginalização rural.
Qual era a dúvida de Rui Barbosa sobre o povo brasileiro?;Se era o caboclo pobre e ignorado ou a elite letrada e afrancesada.
Como era a alimentação do interior pós-abolição?;Baseada em mandioca, milho, feijão, com pirão, angu e carne seca.
Como se praticava a religiosidade popular rural?;Mistura de catolicismo rústico, feitiços, rezas e santos diversos.
Qual era a diferença de ritmo entre campo e cidade?;"Na cidade, ritmo apressado de bondes e relógios; no campo, marcado por festas e fé."
O que cronistas e sanitaristas faziam em relação às populações mestiças?;Negavam ou obscureciam seus costumes, saberes e religiosidade.
Qual foi o período de maior intensidade migratória para o Brasil?;Entre 1830 e 1930, com destaque para o final do século XIX.
Quais fatores impulsionaram as migrações transoceânicas?;Expansão ferroviária, navegação a vapor, telégrafo, telefone e rádio.
Quais grupos imigraram em maior número para o Brasil?;Poloneses, alemães, espanhóis, italianos, portugueses e, a partir de 1910–20, japoneses.
Qual era o mito que atraía imigrantes?;O mito da abundância dos trópicos, a “terra prometida”.
Quantos europeus migraram entre 1830 e 1930?;Mais de 50 milhões, sendo 22% para a América Latina.
Quais nacionalidades se destacaram na América Latina?;38% italianos, 28% espanhóis, 11% portugueses, 3% franceses e alemães.
Para quais países da América Latina os imigrantes mais foram?;46% Argentina, 33% Brasil, 14% Cuba, e o restante para Uruguai, México e Chile.
Quais foram os dois modelos de imigração no Brasil?;"1) Sul: pequenas propriedades policultoras; 2) São Paulo: trabalho nas fazendas de café, subsidiado pelo Estado."
Quem financiava a imigração para São Paulo?;"Inicialmente os fazendeiros; depois, a União subsidiava 63% a 80% dos custos até 1900."
Que destino majoritário tiveram os imigrantes no Brasil?;As fazendas de café em São Paulo.
