spaço;Base dinâmica das relações humanas e naturais
Forma + função;Elementos que definem o espaço geográfico
Paisagem;Aparência visível do espaço
Paisagem natural;Formada por elementos da natureza
Paisagem cultural;Transformada pela ação humana
Território;Espaço controlado por poder
Lugar;Espaço vivido e com significado afetivo
Região;Divisão espacial por características comuns
Determinismo;Natureza determina a sociedade
Friedrich Ratzel;Principal autor do determinismo
Espaço vital;Recursos e território necessários ao Estado
Possibilismo;Meio oferece possibilidades ao homem
Paul Vidal de La Blache;Principal autor do possibilismo
Gênero de vida;Técnicas e hábitos de adaptação ao meio
Método regional;Estudo das particularidades das regiões
Richard Hartshorne;Defensor do método regional
Geografia teorética;Uso de modelos matemáticos e estatísticos
Geografia quantitativa;Busca leis gerais e análise de dados
Walter Christaller;Expoente da geografia teorética
Geografia crítica;Espaço como produto das relações sociais
Materialismo histórico;Base teórica da geografia crítica
Milton Santos;Principal nome da geografia crítica
David Harvey;Expoente da geografia crítica
Geografia humanista;Valoriza experiência e percepção do espaço
Topofilia;Relação afetiva com lugares
Yi-Fu Tuan;Autor ligado à topofilia
Heartland;Centro continental da Eurásia
Halford Mackinder;Teoria do Heartland
Ilha Mundial;Eurásia + África
Rimland;Faixa costeira da Eurásia
Nicholas Spykman;Teoria do Rimland
Poder marítimo;Controle dos mares garante poder global
Alfred Thayer Mahan;Defensor do poder marítimo
Bases navais;Pontos estratégicos de apoio marítimo
Pan-regiões;Grandes espaços autárquicos
Karl Haushofer;Defensor das pan-regiões
Pan-América;Área liderada pelos EUA
Pan-Ásia;Área liderada pelo Japão
Pan-África;Área liderada pela Alemanha
Pan-Rússia;Área liderada pela URSS
;
;
;
Golbery do Couto e Silva;Integração territorial e segurança nacional
Ideia central de Golbery;Integrar litoral, interior e Amazônia
Objetivo geopolítico de Golbery;Fortalecer o poder regional brasileiro
Contexto de Golbery;Guerra Fria
Carlos de Meira Mattos;Amazônia como centro estratégico
Ideia central de Meira Mattos;Ocupação e soberania da Amazônia
Objetivo de Meira Mattos;Brasil como potência regional
Integração sul-americana;Estratégia de projeção do Brasil
Therezinha de Castro;Geopolítica do Atlântico Sul
Teoria da Defrontação;Países voltados à Antártica teriam direitos geopolíticos
Ênfase de Therezinha;Atlântico Sul e Antártica
André Martin;Centralidade geopolítica da América do Sul
Ideia de André Martin;Brasil ocupa posição estratégica continental
Objetivo de André Martin;Autonomia regional sul-americana
População mundial (2024);Cerca de 8,27 bilhões
Continente mais populoso;Ásia
Participação da Ásia;Cerca de 59% da população mundial
Continente menos populoso;Oceania
País mais populoso;India
Segundo país mais populoso;China
População do Brasil;Cerca de 213 milhões
Maior taxa de fecundidade;África Subsaariana
Taxa de reposição populacional;2,1 filhos por mulher
Tendência demográfica global;Envelhecimento populacional
Pico populacional mundial;Cerca de 10,3 bilhões em 2080
Expectativa de vida global (2024);73,3 anos
Principal motor de crescimento em países desenvolvidos;Imigração
Principal corredor migratório;Mexico → United States
Maior país de origem de migrantes;India
Principal destino migratório;United States
Outro grande destino migratório;Germany
Migração por crise recente;Ukraine → Russia
;
;
;
Censo 2022;Recenseamento populacional do Brasil
População do Brasil (2022);Cerca de 203 milhões
Crescimento 2010–2022;6,50%
Taxa anual de crescimento;0,52%
Menor crescimento populacional;Desde 1872
Região mais populosa;Sudeste
Segunda região mais populosa;Nordeste
Região menos populosa;Centro-Oeste
Região que mais cresceu;Centro-Oeste
Segunda região que mais cresceu;Norte
Estados mais populosos;SP, MG e RJ
Estados menos populosos;RR, AP e AC
Municípios que concentram a população;319 municípios concentram 57%
Idade mediana em 2022;35 anos
Estrutura etária do Brasil;Envelhecimento populacional
Região mais envelhecida;Sudeste e Sul
Região mais jovem;Norte
Índice de envelhecimento;55,2 idosos para cada 100 crianças
Mulheres no Brasil;51,50%
Homens no Brasil;48,50%
Cor mais declarada no Censo 2022;Parda
População parda;45,30%
População branca;43,50%
População preta;10,20%
Crescimento da população indígena;89% desde 2010
Taxa de alfabetização;93%
Região mais alfabetizada;Sul
REGIC;Estudo da rede urbana brasileira
Objetivo da REGIC;Definir hierarquia e influência urbana
Teoria das Localidades Centrais;Hierarquia urbana baseada em influência
Teoria dos Fluxos Centrais;Relações urbanas locais e de longa distância
Metrópole nacional principal;São Paulo
Grande metrópole nacional;São Paulo
Metrópoles nacionais;Brasília e Rio de Janeiro
Cidade não capital classificada como metrópole;Campinas
Capitais regionais;Centros urbanos de influência intermediária
Centros locais;Influência restrita ao próprio município
Cidade global;Centro de comando da economia mundial
Saskia Sassen;Principal autora do conceito de cidade global
Característica das cidades globais;Forte integração econômica internacional
Cidade Alpha do Brasil;São Paulo
Cidade Beta- do Brasil;Rio de Janeiro
Fordismo;Produção em massa padronizada
Linha de montagem;Marca do fordismo
Produção flexível;Produção adaptável e diversificada
Just-in-time;Produção com baixos estoques
Trabalhador multifuncional;Característica da produção flexível
Fase Arquipélago;Economia exportadora dispersa
Modelo primário-exportador;Base da economia até 1930
Industrialização concentrada;Base industrial integrada nacional
Nacional-desenvolvimentismo;Modelo estatal de industrialização
ISI;Industrialização por substituição de importações
Concentração industrial brasileira;Forte em SP
Integração rodoviária;Marca da industrialização brasileira
;
Fase 3;Desconcentração Relativa (1970–1990)
Objetivo da Fase 3;Reduzir custos e estimular desenvolvimento regional
Desenvolvimento sustentável;Consolida-se na Fase 3
Fordismo;Entra em transição na Fase 3
Produção flexível;Maior flexibilidade produtiva pós-fordismo
Estado na Fase 3;Indutor regional
SUDENE e SUDAM;Superintendências regionais
Incentivos fiscais;Instrumento de desenvolvimento regional
Interiorização industrial;Expansão para Sul e Nordeste
Polígono industrial;Nova configuração industrial brasileira
Deseconomias de aglomeração;Aumento de custos urbanos
Fase 4;Inserção Passiva / Desintegração Competitiva (1990–2010)
Objetivo da Fase 4;Adaptar-se à globalização
Abertura econômica;Marca da Fase 4
Estado na Fase 4;Estado reativo
Guerra fiscal;Competição entre estados
Desconcentração desacelerada;Característica da Fase 4
Sudeste;Mantém liderança industrial
Competitividade regional;Diferenciada entre regiões
Censo Agro 2017;Redução dos estabelecimentos agropecuários
Agricultura familiar;77% dos estabelecimentos
Área da agricultura familiar;23% da área total
Mão de obra familiar;67% da mão de obra
Não familiar;23% dos estabelecimentos
Área não familiar;77% da área total
Mão de obra não familiar;34% da mão de obra
Tratores;Aumento entre 2006 e 2017
Agrotóxicos;Crescimento de 20%
Irrigação;Crescimento de 53%
Orientação técnica;Diminuiu
Adubação;Usada por 58%
Sem agrotóxicos;65% dos estabelecimentos
Uso da terra;45% pastagens
Matas/florestas;29% das terras
Lavouras;18% das terras
Outros usos;8% das terras
Pastagens plantadas;63% em boas condições
Florestas naturais;74% destinadas à preservação
Lavouras temporárias;88%
Produção vegetal;66,2% do valor agropecuário
Principal lavoura;Soja
Segunda lavoura;Cana-de-açúcar
Terceira lavoura;Milho
Quarta lavoura;Café
Regionalização de 1940;Critério geográfico
Regiões de 1940;Norte, Nordeste, Centro, Este e Sul
Objetivo de 1940;Conhecer e integrar o território
Regionalização de 1945;Zonas fisiográficas
Critério de 1945;Características físicas
Regiões de 1945;Norte, Nordeste Ocidental e Oriental, Centro-Oeste, Leste Setentrional e Meridional, Sul
Territórios de 1943;Ponta Porã, Iguaçu, Amapá, Rio Branco, Guaporé e Fernando de Noronha
Regionalização de 1970;Regiões homogêneas
Critério de 1970;Aspectos naturais, econômicos e sociais
Regiões de 1970;Norte, Nordeste, Centro-Oeste, Sudeste e Sul
CF/88;Atual organização regional
Tocantins;Criado pela CF/88
Mato Grosso do Sul;Desmembrado de Mato Grosso
Rondônia, Roraima e Amapá;Elevados a estados
Fernando de Noronha;Incorporado a Pernambuco
Guanabara;Incorporada ao Rio de Janeiro
Ocupação Colonial Inicial;Séculos XVI–XVIII
Economia colonial;Extrativista e agrária exportadora
Ocupação colonial;Concentrada no litoral
Interiorização econômica;Séculos XVIII–XIX
Economia mineradora;Marca da interiorização
Pecuária interiorana;Expansão territorial
Café;Impulsiona interiorização
Integração Nacional Inicial;1930–1960
Marcha para o Oeste;Interiorização planejada
Brasília;Símbolo da integração
Integração moderna;Desde 1960
Agropecuária moderna;Expansão econômica interiorana
Rodovias;Integração territorial moderna
Meio técnico-científico-informacional;Base da integração atual
PIN;Programa de Integração Nacional
Transamazônica;Projeto de integração
Cuiabá–Santarém;Eixo rodoviário
Zona Franca de Manaus;Projeto de desenvolvimento regional
Polocentro;Expansão agropecuária
Território usado;Espaço apropriado economicamente
Fundos territoriais;Áreas pouco ocupadas
Limite;Linha geopolítica entre Estados
Fronteira;Zona de interação
Frente de expansão;Primeira ocupação
Zona pioneira;Área integrada ao mercado
Rotas de Integração;Projeto do MPO
Objetivo das Rotas;Reduzir custos e tempo de transporte
Rota 1;Ilha das Guianas
Rota 1 – estados;RR, AM, PA e AP
Rota 1 – países;Guiana Francesa, Suriname, Guiana e Venezuela
Rota 2;Amazônica
Rota 2 – estado;Amazonas
Rota 2 – países;Colômbia, Peru e Equador
Rota 3;Quadrante Rondon
Rota 3 – estados;AC, RO e MT
Rota 3 – países;Peru, Bolívia e Chile
Rota 4;Bioceânica de Capricórnio
Rota 4 – estados;MS, PR e SC
