O que é o propósito de uma teoria das Relações Internacionais?;Explicar causas e efeitos para entender conflitos e cooperação entre Estados.
Por que autores propõem diferentes abordagens nas Relações Internacionais?;Porque as relações entre Estados são complexas e vistas sob várias perspectivas.
O que Raymond Aron critica nas teorias de Relações Internacionais?;"A confusão entre conceitos e teorias e o uso indevido do termo ""teoria""."
"Por que Aron distingue dois sentidos para ""teoria""?";Um filosófico, distante da prática, e outro científico, baseado em dados empíricos.
O que é necessário para construir uma teoria das Relações Internacionais?;Delimitar claramente o objeto de estudo e relacionar teoria com prática.
"Por que se usam situações fictícias ""ideais"" na teoria?";Para servir como referência no estudo das relações internacionais.
Por que estatística e empirismo não devem ser a base exclusiva?;Porque as relações internacionais são imprevisíveis e complexas.
O que caracteriza o sistema internacional segundo as Relações Internacionais?;A ausência de um poder soberano central que imponha ordem coercitiva.
Por que os Estados formam alianças e cooperam?;Pela falta de monopólio legítimo da força por um poder central.
Por que Aron questiona o conceito de “interesse nacional”?;Porque pode ser apenas uma conceitualização, não uma teoria.
Qual é uma limitação importante de teorias em Relações Internacionais?;Não separar variáveis internas e externas, que se inter-relacionam.
Por que prever conflitos usando só dados históricos é problemático?;Porque pode ser frustrante e perigoso devido à imprevisibilidade.
O que pode tornar uma teoria rígida ineficaz?;Sua abstração diante de crises internacionais reais e complexas.
Por que Kenneth Waltz recomenda simplificar as teorias?;Para evitar distorções e não tentar explicar tudo de uma vez.
O que as teorias devem fazer nas Relações Internacionais?;Identificar os principais elementos dos fenômenos internacionais.
Por que não se pode criar regras exatas para ações entre Estados?;Porque a ação humana é imprevisível e complexa.
Qual é a origem da disciplina de Relações Internacionais?;Surgiu para entender as causas da Primeira Guerra Mundial.
Onde foi criada a primeira cátedra de Relações Internacionais?;Universidade de Aberyswyth, Inglaterra, em 1919.
Quais pensadores influenciaram as Relações Internacionais?;Tucídides, Maquiavel, Kant, Rousseau e Hobbes.
O que é o Idealismo Wilsoniano?;Crença na democracia e opinião pública para evitar guerras.
Por que o Idealismo Wilsoniano é influenciado por Kant e Rousseau?;Porque acreditavam em governos republicanos e paz entre democracias.
O que foi criado em 1919 inspirado no Idealismo Wilsoniano?;A Liga das Nações.
Qual a base da Liga das Nações?;Liberalismo político e contrato social de Locke.
Por que se acreditava que tratados internacionais garantiriam a paz?;Porque regras internacionais criariam confiança entre países.
Qual foi a primeira falha do Idealismo Wilsoniano?;Incapacidade de conter a invasão japonesa da Manchúria em 1931.
Qual outra falha do Idealismo Wilsoniano?;Não impedir o protecionismo e tensões econômicas após a crise de 1929.
O que Edward Carr criticou no idealismo?;A harmonia de interesses é inviável e a moral depende do poder.
Por que a Segunda Guerra Mundial criticou o idealismo?;Mostrou que o idealismo falhou como base para as Relações Internacionais.
O que reforçou a crítica realista após a Segunda Guerra Mundial?;O sistema internacional é anárquico e o poder é mais importante que cooperação.
Por que a ONU reflete a desigualdade de poder?;Porque alguns países têm direito a veto no Conselho de Segurança.
Quais são as principais correntes do Realismo?;Realismo Clássico, Escola Inglesa, Neorrealismo e Realismo Neoclássico.
Qual é o ator central nas Relações Internacionais segundo o Realismo?;O Estado, que deve garantir paz interna e segurança externa.
Por que o sistema internacional é chamado anárquico?;Porque não existe uma autoridade central reguladora.
Quando ocorre cooperação segundo o Realismo?;Quando o benefício conjunto é maior que a ação individual.
Qual é a meta principal do Estado no Realismo?;A sobrevivência, garantindo paz interna e segurança externa.
Como o Realismo entende a ética nas decisões políticas?;Ética da responsabilidade, não da convicção.
Por que o acúmulo de poder é importante para os Estados?;Porque o poder garante a sobrevivência e os interesses nacionais.
"O que é a ""balança de poder""?";Alianças estratégicas para manter equilíbrio entre Estados.
"O que significa ""autoajuda"" no Realismo?";Estados devem garantir sua própria segurança, pois alianças são frágeis.
Qual é a obra principal do Realismo nas Relações Internacionais?;"""A Política entre as Nações"" de Hans Morgenthau (1948)."
O que são as Leis Objetivas da Política para Morgenthau?;Baseadas na natureza humana, com análise racional e adaptação histórica.
Como o Realismo define o interesse em termos de poder?;Como ferramenta para entender a política externa com base na racionalidade.
O que significa que o interesse não é fixo?;Ele varia conforme o contexto histórico e cultural.
Como o Realismo vê a moralidade na política?;Moralidade deve ser prudente e considerar as consequências das ações.
Por que o Realismo rejeita a moralidade nacional como lei universal?;Rejeita dogmatismos e busca entender interesses para evitar erros.
O que significa autonomia da política?;Política é distinta do direito e da religião, embora influenciada por economia e direito.
Por que a política internacional não se reduz a regras legais?;Porque as relações são mutáveis e baseadas no interesse dos Estados.
"Por que não há ""leis científicas"" para prever comportamento estatal?";O comportamento dos Estados é imprevisível e mutável.
Como a história ajuda nas Relações Internacionais?;Identifica tendências e orienta decisões políticas.
O que caracteriza o sistema internacional segundo o Realismo?;É anárquico, sem autoridade central (sem Leviatã).
Por que a anarquia causa disputa pelo poder?;Porque não existe um poder central para regular os Estados.
Qual a diferença entre Idealismo e Realismo sobre anarquia?;"Idealismo vê anarquia como problema a ser corrigido; Realismo como causa dos conflitos."
Como o Realismo se aproxima da visão sistêmica?;Analisa o sistema internacional como um todo, baseado em estruturas e interações.
