;
The conjunction “however” could be replaced by “nevertheless”.;Errado.
“Not only... but also” indicates a correlative conjunction.;Certo.
“Several” specifies an exact quantity.;Errado.
“The decomposition of the mummies adds to the effect...”;Certo.
The conjunction “while” introduces a purpose.;Errado.
“Terrifying” conveys intense fear and is formed from “to terrify”.;Certo.
In “The poems are quite short”, “quite” modifies “short”.;Certo.
The adjective “rapid” could be replaced by “quickly”.;Errado.
“Comfortable” is in the superlative form.;Errado.
In “This evolution resulted in benefits,” “evolution” is the subject.;Certo.
In the sentence, “bit” indicates an insignificant detail.;Certo.
“Hope” is used as adjective and verb.;Errado.
The success of quantum computing companies depends on dealing with daily user complaints.;Errado.
“More closely” modifies the noun “singer”.;Errado.
Lusofalantes usam artigos incorretamente porque em português eles são mais frequentes.;Certo.
The main goal of quantum computing is improving classical computing power.;Errado.
Perfecting the physics of quantum computing is the primary challenge.;Certo.
“These” functions as a demonstrative adjective.;Certo.
“Though” can be replaced by “Even if” without affecting meaning.;Errado.
“Quick” and “easy” describe “communication”.;Certo.
“Often” can be replaced by “commonly”.;Certo.
“Polarising” describes social media as unifying.;Errado.
“Analysis”, “criteria”, “children”, “mice”, “trusses” are the plurals of the listed words.;Errado.
“At the café” translates as “no café”.;Certo.
“On” can indicate electronic media, locations, and surfaces.;Certo.
“Less people” is correct because “less” is used with countable nouns.;Errado.
“To”, “through”, “towards” are used exclusively with movement verbs.;Errado.
“For” indicates a period of time.;Certo.
“Her” and “this” are determiners.;Certo.
Connectors like “in addition”, “moreover”, “however”, “despite” organize ideas.;Certo.
“Rousing” means stirring, exciting.;Certo.
Prepositional verbs cannot be separated.;Certo.
“Easier” is a superlative adjective.;Errado.
"“Advice” is countable; “an advice” is correct.";Errado.
“However” can be replaced by “Therefore” without changing meaning.;Errado.
“Despite” can be replaced by “In spite of” maintaining meaning and correctness.;Certo.
“Responsible for” uses “for” correctly.;Certo.
It is correct to use “a” before vowel sounds, as in “a apple”.;Errado.
“Higher” is a comparative adjective.;Certo.
"“Respect” is a noun; “patient autonomy” is the object of “for”.";Certo.
“I will go to the beach if the weather is nice” is an example of coordinated conjunction.;Errado.
“The most important” is a superlative adjective.;Certo.
“With” is a conjunction modifying verbs.;Errado.
“Often” can be replaced by “seldom”.;Errado.
“Rogue” is used with the sense of dangerous, harmful.;Certo.
“19th” is cardinal and spelled “ninteenth”.;Errado.
There are four prepositions in the fragment.;Certo.
“History”, “functions”, “linguistic” modify “characteristics”.;Certo.
The comma after “memoirist” is incorrect because of “and”.;Errado.
The sentence contains comparative adjectives.;Errado.
“the most important” é um adjetivo no superlativo e segue a mesma regra de “the most powerful”, “the most comfortable” e “the most intelligent”.;Certo
“With” é classificado como conjunção e conjunções modificam verbos indicando a ação.;Errado
“often” é um advérbio de frequência e pode ser substituído corretamente por “seldom”.;Errado
O adjetivo “rogue” é usado com o sentido de perigoso, nocivo.;Certo
“19th” é número cardinal e pode ser escrito como “ninteenth”.;Errado
Há quatro preposições em: “By gathering data and conducting thorough analysis, they identify opportunities for energy efficiency, waste reduction, and resource optimization.”;Certo
“history”, “functions” e “linguistic” funcionam como modificadores de “characteristics”.;Certo
Na frase dada, há uso de adjetivos no comparativo.;Errado
Preposições de tempo e de lugar têm o mesmo significado independentemente do contexto.;Errado
Em “Only John and Mary can understand…”, “only” modifica a frase inteira.;Errado
Conjunções coordenativas unem orações independentes, frases ou palavras.;Certo
“biases” é usado como advérbio.;Errado
A vírgula após “memoirist” está incorreta por causa do “and”.;Errado
A frase “He sleeps late in night” está correta quanto ao uso da preposição “in”.;Errado
“out of” é um exemplo de preposição complexa.;Certo
“microbusinesses” segue a mesma regra de plural que “technologies” e “companies”.;Errado
Compostos aglutinados são como football, housekeeper e window.;Errado
“heavy-handedness” funciona como adjetivo.;Errado
“That COVID warped our perception of time” é oração subordinada substantiva subjetiva.;Certo
“an useful tool” está com artigo correto.;Errado
Formas plurais irregulares como “children” e “geese” fogem às regras padrão.;Certo
Nomes possessivos são corretamente descritos no enunciado.;Certo
O enunciado define corretamente a função dos substantivos.;Certo
“best” e “worst” são comparativos.;Errado
Evidence, furniture e money são contáveis.;Errado
Always, usually, often e rarely são advérbios de frequência.;Certo
shelfs, wolfs, sheeps são plurais corretos.;Errado
“cheaper” é superlativo.;Errado
“under” pode ser substituído por “below” sem mudança de sentido.;Errado
“since” pode ser substituído por “for” no período final.;Errado
“information” é incontável.;Certo
A frase pode ser completada corretamente com a preposição “by”.;Certo
Em “most legal protections”, “legal” é substantivo.;Errado
“better” é o comparativo de “good” e a frase está correta.;Certo
“from the financial crisis of 2007-09” é locução prepositiva.;Certo
“good at sports” está com preposição correta.;Certo
“my house is bigger than yours” usa comparativo corretamente.;Certo
O enunciado define corretamente o artigo definido “the”.;Certo
“Billie is playing his guitar always” está com advérbio corretamente posicionado.;Errado
A explicação sobre conjunções correlativas está correta.;Certo
A definição de advérbios de frequência está correta.;Certo
A definição de advérbios de modo está correta.;Certo
Em “A beautiful big white horse”, a ordem dos adjetivos está correta.;Certo
“effectively” e “profitably” são advérbios derivados de “effective” e “profitable”.;Certo
“attendant” é substantivo.;Certo
“hottest” segue mesma regra ortográfica de big e thin.;Certo
“good at playing soccer” está com preposição correta.;Certo
A explicação sobre substantivos coletivos está correta.;Certo
A ordem apresentada para os adjetivos está correta.;Errado
Em “They treated him roughly”, o advérbio está correto.;Certo
Na frase “Billie is playing his guitar always”, o uso do advérbio está correto?;Errado
Correlative conjunctions: o uso está correto no item apresentado?;Certo
“Always” é advérbio de frequência?;Certo
Em “They treated him roughly”, a forma do advérbio está correta?;Certo
Ordem dos adjetivos em “A beautiful big white horse” está correta?;Certo
“Effectively” e “profitably” derivam de “effective” e “profitable”?;Certo
“Attendant” é substantivo?;Certo
“Hottest” segue mesma regra ortográfica de “big” e “thin”?;Certo
Preposição “at” está correta em “he’s very good at playing soccer”?;Certo
Explicação sobre collective nouns está correta?;Certo
Ordem correta de adjetivos: opinion > size > age > shape > color > origin > religion > material > purpose > noun?;Errado
“Roughly” está corretamente formado?;Certo
Ordem correta em “beautiful Asian guttural primaeval native language”?;Errado
Plural de “mouse” é “mice”?;Certo
“Born on April” está correto?;Errado
Adjetivos gradable aceitam “very/quite/rather”?;Certo
Adjective clauses definidas corretamente?;Certo
“By” e “with” são advérbios?;Errado
“Rarely” é advérbio de frequência?;Certo
“Bounced back” é noun phrase?;Errado
Oposto de “rigorous” é “lenient”?;Certo
Explicação sobre countable/uncountable nouns correta?;Certo
“Although” expressa contraste?;Certo
Pode-se usar artigo indefinido antes de “information/advice/bread”?;Errado
Uso correto: AN umbrella, AN hour, A university?;Certo
“Coming back on September” está correto?;Errado
Explicação sobre adjective order correta?;Certo
“Yet” funciona como indicador de tempo?;Errado
Plural de “curriculum” é “curricula”?;Certo
“Wealthier” significa “less rich”?;Errado
Há três artigos indefinidos em “a teacher, a doctor, a politician”?;Errado
“Occasionally” significa ação frequente em curto período?;Errado
“Little” é usado com countable e uncountable?;Errado
“Cheaper” é superlativo?;Errado
“Impulsively”, “easily” e “disability” são advérbios?;Errado
“Throughout” significa “sobre”?;Errado
“Exacerbated” e “overwhelmed” são adjetivos no texto?;Certo
