Tópico / Subtópico do Edital;Tema de Redação Discursiva
1. Normas jurídicas;Analise a distinção entre regras e princípios jurídicos (segundo Robert Alexy e Ronald Dworkin), discutindo os critérios de aplicação: regras (tudo-ou-nada, subsunção) versus princípios (ponderação, otimização) e sua relevância na solução de colisões de direitos fundamentais.
2. Personalidade jurídica;Discorra sobre o conceito de personalidade jurídica no Direito Civil (art. 1º, CC/2002), distinguindo-a da capacidade de fato (exercício de direitos) e analise as teorias sobre a personalidade da pessoa jurídica (ficção legal, realidade objetiva, realidade técnica) e sua aplicação ao Estado.
3. Constituição: conceito, classificações, primado da Constituição, controle de constitucionalidade;Compare a classificação das Constituições quanto à origem (promulgada, outorgada, cesarista), conteúdo (analítica, sintética) e estabilidade (rígida, flexível, semiflexível), discutindo o princípio da supremacia constitucional e os sistemas de controle concentrado (STF, via ADI) e difuso (juízes e tribunais).
4. Estado: elementos, soberania, formas, modelos de divisão de competência com entes subnacionais, sistemas de governo;Analise os elementos constitutivos do Estado (povo, território, governo soberano), as formas de Estado (unitário, federal, confederado) e os sistemas de governo (parlamentarismo, presidencialismo), discutindo a repartição de competências no federalismo brasileiro (exclusivas, comuns, concorrentes).
5. Estado democrático de direito: conceito, objetivos, divisão de poderes;"Discorra sobre a evolução do Estado de Direito (formal) para o Estado Democrático de Direito (material), destacando seus fundamentos (art. 1º, CF) e objetivos fundamentais (art. 3º, CF: construir uma sociedade livre, justa e solidária; erradicar a pobreza; reduzir desigualdades), bem como a tripartição dos poderes (Montesquieu) e o sistema de freios e contrapesos."
6. Organização e competências dos poderes no Direito Brasileiro;"Analise as competências típicas e atípicas dos três Poderes (Legislativo – fiscalizar, criar leis; Executivo – administrar, editar MPs; Judiciário – julgar), com ênfase nas funções essenciais à justiça (Ministério Público, Advocacia Pública, Defensoria Pública, Advocacia Privada)."
7. Processo legislativo brasileiro;Discorra sobre o procedimento de elaboração das espécies normativas previstas no art. 59 da CF/1988 (EC, LC, LO, MP, lei delegada, decreto legislativo, resolução), destacando a fase constitutiva (iniciativa, discussão, votação, sanção/veto) e a hierarquia entre as espécies.
8. Direitos e garantias fundamentais no ordenamento jurídico brasileiro;Analise a diferença conceitual entre direitos fundamentais (bens declarados, ex: vida, liberdade) e garantias fundamentais (instrumentos de proteção, ex: habeas corpus, mandado de segurança), discutindo a aplicabilidade imediata dos direitos fundamentais (art. 5º, §1º, CF) e a teoria dos direitos, deveres e limites (relatividade dos direitos).
9. Administração Pública no Brasil: princípios constitucionais, estrutura, atos administrativos, processo administrativo;Discorra sobre os princípios expressos do art. 37, caput, CF (legalidade, impessoalidade, moralidade, publicidade, eficiência) e o princípio implícito da razoabilidade, relacionando-os com a classificação dos atos administrativos (quanto à formação, discricionariedade vs. vinculação) e com o devido processo legal na esfera administrativa (Lei 9.784/1999).
10. Licitações e contratos administrativos;Analise os princípios da licitação (isonomia, julgamento objetivo, vinculação ao edital, adjudicação compulsória) e as modalidades previstas na Lei 14.133/2021 (Nova Lei de Licitações), bem como a distinção entre contratos administrativos (cláusulas exorbitantes) e contratos privados da Administração.
11. Responsabilidade civil do Estado;Discorra sobre a evolução da responsabilidade civil estatal: da teoria irresponsável (Estado absoluto) para a teoria do risco administrativo (art. 37, §6º, CF: pessoas jurídicas de direito público e prestadores de serviço público respondem por danos causados a terceiros, com direito de regresso contra o agente público).
12. Direitos, deveres e responsabilidades do servidor público: improbidade administrativa, PAD;Analise a Lei de Improbidade Administrativa (Lei 8.429/1992, alterada pela Lei 14.230/2021) e sua exigência de dolo (exclusão do crime culposo), discutindo as sanções (perda da função pública, suspensão de direitos políticos, multa) e o rito do Processo Administrativo Disciplinar (PAD – Lei 8.112/1990).
13. Regime Jurídico dos Servidores do Serviço Exterior Brasileiro (Lei nº 11.440/2006);Caracterize o regime jurídico especial do diplomata brasileiro: ingresso exclusivamente por concurso público do Instituto Rio Branco, vedações (sigilo, não exercício de comércio, impedimentos para parentes de chefes de Estado estrangeiros) e regime próprio de aposentadoria.
14. Finanças públicas. Normas orçamentárias;Analise os princípios orçamentários constitucionais (universalidade, anualidade, exclusividade, não afetação da receita) e a estrutura do PPA (plano plurianual), LDO (diretrizes orçamentárias) e LOA (orçamento anual), discutindo a vedação de abertura de crédito suplementar sem autorização legislativa.
"15. Direito Internacional: DIP e Direito Interno; Constituição e Direito Internacional";Discorra sobre as teorias monista (primado do Direito Internacional ou primado do Direito interno) e dualista (ordens jurídicas separadas), e sua aplicação no Brasil – tradicionalmente dualista moderado, com incorporação de tratados via decreto legislativo + decreto executivo (promulgação).
16. Princípios que regem o Brasil nas relações internacionais (art. 4º CF/1988);Analise os princípios da independência nacional, prevalência dos direitos humanos, autodeterminação dos povos, não intervenção, igualdade entre os Estados, defesa da paz, solução pacífica de controvérsias, repúdio ao terrorismo, cooperação entre os povos e integração regional (MERCOSUL).
17. DIP e direito internacional privado (Lei de Introdução às Normas do Direito Brasileiro – LINDB);Discorra sobre a aplicação da LINDB (arts. 7º a 19) na determinação da lei aplicável a relações jurídicas com elementos de estraneidade: lei do domicílio (estado civil, capacidade), lei do local do ato (forma, obrigações), lei do local da situação (bens imóveis), e a exceção da ordem pública.
18. Estado: surgimento, extinção, sucessão, soberania, reconhecimento;Analise as formas de surgimento de um Estado (efetividade, independência, reconhecimento) e a sucessão de Estados (dissolução, fusão, anexação) segundo a Convenção de Viena sobre Sucessão de Estados (1978/1983), discutindo a diferença entre reconhecimento de Estado (ato declaratório) e de governo (ato político discricionário).
19. Território. Formação do território brasileiro;Discorra sobre os princípios de aquisição de território no DIP (ocupação, acessão, cessão, sucessão) aplicados à formação histórica do Brasil: Tratado de Tordesilhas (1494) – princípio do uti possidetis –, Tratado de Madri (1750), Tratado de Petrópolis (1903 – incorporação do Acre).
20. Povo. Nacionalidade. Formas de aquisição, perda, reaquisição. Proteção a brasileiros no exterior. Dupla nacionalidade. Extradição. Asilo. Apatridia.;Analise a distinção constitucional entre brasileiros natos (art. 12, I – critérios de jus soli e jus sanguinis) e naturalizados (art. 12, II – tempo de residência, exceções), as hipóteses de perda da nacionalidade (cancelamento da naturalização, pedido de cancelamento), a extradição de brasileiro naturalizado (crime comum anterior à naturalização, tráfico de drogas) e o instituto do asilo diplomático.
21. Jurisdição: relações diplomáticas e consulares. Imunidades. Responsabilidade internacional do Estado. Proteção diplomática.;Discorra sobre as imunidades de jurisdição e execução do Estado estrangeiro (Convenção de Nova York de 2004 – teoria restritiva: atos de império imunes, atos de gestão não imunes), as imunidades consulares (CDV 1963) e diplomáticas (CDV 1961), e a proteção diplomática como exercício do direito do Estado de proteger seu nacional lesado por outro Estado.
22. Sujeitos especiais do Direito Internacional;Analise a personalidade jurídica internacional limitada de sujeitos como Santa Sé (concordatas, nunciatura), Ordem Soberana de Malta (status de observador), o Comitê Internacional da Cruz Vermelha (CICV – mandato dos tratados de Genebra) e os movimentos de libertação nacional.
23. Fontes do DIP: tratados, costumes, princípios gerais, jurisprudência, doutrina, soft law, jus cogens;Discorra sobre a hierarquia entre as fontes do DIP (art. 38, Estatuto da CIJ) e destaque o conceito de normas imperativas (jus cogens – proibição de genocídio, tortura, escravidão), obrigações erga omnes, bem como a incorporação de tratados internacionais no Brasil (decreto legislativo + decreto presidencial).
24. Solução pacífica de controvérsias: prática diplomática brasileira, bons ofícios, mediação, conciliação, arbitragem, CIJ;"Analise os meios diplomáticos (negociação, bons ofícios, mediação, inquérito, conciliação) e os meios jurisdicionais (arbitragem, Corte Internacional de Justiça, tribunais arbitrais), destacando a tradição brasileira de solução pacífica (ex: arbitragem da Questão do Amapá com a França – 1900; Laudo Suíço de 1914 sobre o Misiones)."
25. Organizações internacionais: ONU, OEA, Carta Democrática Interamericana;Discorra sobre a estrutura da ONU (Assembleia Geral, Conselho de Segurança, Secretariado, CIJ) e da OEA (Assembleia Geral, Conselho Permanente), bem como a Carta Democrática Interamericana (2001) que autoriza a suspensão do Estado-membro que romper a ordem democrática.
26. Direito da Integração Regional. MERCOSUL. Relação com o Direito brasileiro. Órgão de Solução de Controvérsias.;Analise o MERCOSUL (Tratado de Assunção/1991, Protocolo de Ouro Preto/1994) como bloco de integração econômica e suas normas de incorporação no Brasil: necessidade de decreto legislativo para aprovação das decisões do Conselho Mercado Comum (CMC). Discuta o Sistema de Solução de Controvérsias (Protocolo de Brasília/1991, Protocolo de Olivos/2002) e o Tribunal Arbitral Permanente de Revisão (TAPR).
27. Uso da força: segurança coletiva, operações de paz, desarmamento, terrorismo;Discorra sobre a proibição do uso da força pela Carta da ONU (art. 2º, §4º), com exceções: legítima defesa individual ou coletiva (art. 51), autorização do Conselho de Segurança (Capítulo VII) e operações de manutenção da paz (Capacetes Azuis), bem como a participação brasileira em missões de paz (MINUSTAH no Haiti).
28. Direito internacional dos direitos humanos: tratados ratificados pelo Brasil, sistema interamericano;"Analise o sistema global (Conselho de Direitos Humanos, Comitê de Direitos Humanos – PIDCP) e o sistema interamericano (Comissão Interamericana de Direitos Humanos – CIDH; Corte IDH), e o status normativo dos tratados de direitos humanos no Brasil (emenda constitucional – art. 5º, §3º, CF/1988: quórum qualificado para equivaler a EC; ou supralegalidade, conforme RE 466.343/SP)."
29. Conflitos armados e DIH: Direito Internacional Humanitário, Direito dos Refugiados, instituto do refúgio no Brasil;Discorra sobre os princípios do DIH (distinção entre combatentes e civis, proporcionalidade, proibição de armas indiscriminadas) e o Estatuto do Refugiado no Brasil (Lei 9.474/1997 – definição ampliada: refugiado por grave e generalizada violação de direitos humanos), contrastando com o asilo territorial.
30. Direito penal internacional: Tribunais internacionais penais, Tribunal Penal Internacional;Analise a evolução da responsabilidade penal individual: Tribunais de Nuremberg e Tóquio, Tribunais ad hoc (TPII, TPIJ), Tribunais mistos (Serra Leoa, Camboja) e o Estatuto de Roma (1998) que criou o Tribunal Penal Internacional (TPI), cujo Brasil é Estado-parte (Decreto 4.388/2002).
31. Direito do comércio internacional: OMC, acordos, Órgão de Solução de Controvérsias;"Discorra sobre os princípios da OMC (nação mais favorecida – cláusula NMF; tratamento nacional; proibição de restrições quantitativas) e o mecanismo de solução de controvérsias (painel, Órgão de Apelação), analisando a jurisprudência relevante (ex: algodão Brasil x EUA)."
32. Direito Internacional do Meio Ambiente. Direito Internacional do Mar. Tribunal do Direito do Mar;Analise os princípios do Direito Ambiental Internacional (precaução, prevenção, poluidor-pagador, responsabilidade comum porém diferenciada) e da Convenção das Nações Unidas sobre o Direito do Mar (UNCLOS, 1982): mar territorial (12 milhas), Zona Econômica Exclusiva (200 milhas), Plataforma Continental, e o papel do Tribunal Internacional do Direito do Mar (TIDM).
33. Direito internacional do trabalho: OIT, Convenções, recomendações e supervisão normativa;Discorra sobre a estrutura tripartite da OIT (governos, empregadores, trabalhadores), as Convenções Internacionais do Trabalho (ratificação pelos Estados-membros) e o sistema de controle (Comissão de Peritos e Comitê de Liberdade Sindical), bem como a incorporação no Brasil de Convenções fundamentais (ex: 158 – dispensa imotivada, não ratificada).
34. Áreas além dos limites da jurisdição exclusiva dos Estados;Analise o regime jurídico da Alta-Mar (liberdades de navegação, sobrevoo, pesca, colocação de cabos), da Área (Patrimônio Comum da Humanidade – Autoridade Internacional dos Fundos Marinhos) e do Espaço Exterior (Tratado do Espaço de 1967, princípio da não apropriação nacional, responsabilidade por danos).
35. Cooperação Jurídica internacional: matéria penal e cível, regimes vigentes no direito brasileiro;Discorra sobre a Lei 13.445/2017 (Migração) e a Lei 13.810/2019 (medidas de cooperação), bem como a Lei 9.807/1999 (proteção a vítimas e testemunhas), analisando os institutos de carta rogatória (cooperação passiva e ativa), auxílio direto (transferência de presos, homologação de sentença estrangeira) e a extradição (processual vs. executória).
