O que era a população indígena no Brasil pré-colonial?;"Cultural e linguisticamente homogênea; distribuída na costa e bacia dos rios Paraná-Paraguai."
Quem eram os Tupinambás?;Grupo Tupi-guarani que vivia na faixa litorânea do Norte até Cananéia (SP).
Quem eram os Guaranis?;Grupo Tupi-guarani na bacia Paraná-Paraguai e litoral sul de SP até o Sul.
Quem eram os Tapuias?;Diversos grupos indígenas que não falavam línguas tupi-guarani, como Goitacases e Aimorés.
"O que os Tupis-Guaranis chamavam de ""Tapuias""?";Povos que falavam línguas diferentes das suas.
Como os portugueses viam os índios?;"Dividiam entre ""bons"" (submissos) e ""maus"" (resistentes à dominação)."
Quem eram os Aimorés?;"Grupo Tapuia no sul da Bahia e norte do Espírito Santo; vistos negativamente pelos portugueses."
Quantos índios havia no Brasil em 1500, aproximadamente?;Estimativas variam entre 2 e 5 milhões, concentrados na Amazônia.
Como era a economia indígena?;Baseada em caça, pesca, coleta e agricultura (milho, feijão, mandioca, abóbora).
Qual a base alimentar dos indígenas?;Mandioca.
Como era a estrutura social indígena?;Alianças entre aldeias, trocas de bens e mulheres, e guerras.
Qual o impacto da chegada dos portugueses para os índios?;Doenças, violência, escravização e miscigenação.
Como alguns grupos indígenas resistiram?;Isolando-se em regiões remotas.
Quando começa o primeiro período colonial?;De 1500 (chegada de Cabral) até 1549 (início do governo-geral).
O que caracteriza o segundo período colonial?;De 1549 aos anos 1780, com consolidação da colonização portuguesa.
O que marca o terceiro período colonial?;De 1780 até 1822, com a crise do sistema colonial e movimentos de independência.
O que foi o sistema de feitorias?;Postos comerciais na costa, inspirados no modelo africano.
Quem arrendou o Brasil no início?;Fernão de Loronha e um consórcio de comerciantes.
O que era o pau-brasil?;Madeira nobre usada para tintura vermelha, base da economia inicial da colônia.
Como os portugueses obtinham o pau-brasil?;Trocando com os índios.
O que foi o Tratado de Tordesilhas?;Acordo entre Portugal e Espanha que dividia o mundo em duas áreas de influência.
Qual foi a principal ameaça à posse portuguesa do Brasil?;A presença dos franceses, que praticavam comércio e pirataria.
Onde os franceses se estabeleceram no Brasil?;No Rio de Janeiro (1555-1560) e no Maranhão (1612-1615).
Por que a Coroa criou as capitanias hereditárias?;Para ocupar e colonizar o território de forma mais eficiente.
O que foi a expedição de Martim Afonso de Sousa?;Primeira tentativa efetiva de colonização, entre 1530 e 1533.
Quando surgiram as capitanias hereditárias?;Em 1534.
Como o território foi dividido nas capitanias?;Em 15 grandes faixas de terra, seguindo o meridiano de Tordesilhas.
Quem eram os capitães-donatários?;Nobres, burocratas e comerciantes ligados à Coroa portuguesa.
Quem foi Duarte Coelho?;Capitão-donatário de Pernambuco, militar experiente.
Quem foi Jorge Figueiredo Correia?;Capitão-donatário e escrivão da Fazenda Real.
Quem foi Pero do Campo Tourinho?;Capitão-donatário que vendeu bens em Portugal para investir na colonização.
O que os donatários recebiam nas capitanias?;A posse (não propriedade) das terras e poderes administrativos e econômicos.
Quais eram os poderes dos donatários?;Arrecadar tributos, instalar engenhos, fundar vilas, aplicar justiça, formar milícias.
O que eram as sesmarias?;Terras doadas aos colonos com a obrigação de cultivo em até cinco anos.
Quais direitos a Coroa manteve nas capitanias?;Monopólio das drogas, arrecadação de tributos, justiça envolvendo nobres, divisão das terras.
Por que muitas capitanias fracassaram?;Falta de recursos, conflitos internos e ataques indígenas.
O que caracterizou as capitanias bem-sucedidas?;Produção de açúcar e boas relações com indígenas.
O que aconteceu com as capitanias ao longo do tempo?;Foram retomadas pela Coroa e passaram de privadas a públicas.
Quem completou a transição das capitanias para o controle real?;Marquês de Pombal, entre 1752 e 1754.
Por que foi criado o Governo Geral em 1549?;Falhas das capitanias e necessidade de administração centralizada.
Quem foi Tomé de Sousa?;Primeiro governador-geral do Brasil, com experiência militar e administrativa.
O que foi o Regimento de Tomé de Sousa?;Conjunto de instruções para a administração do governo-geral.
Quais funções foram criadas com o Governo Geral?;Ouvidor (justiça), Capitão-mor (defesa), Provedor-mor (finanças).
Como era a situação econômica do Brasil em 1558?;Representava apenas 2,5% das rendas da Coroa.
Qual era a principal fonte de renda da Coroa em 1558?;Comércio com a Índia, com 26% das rendas.
Quem foram os primeiros jesuítas no Brasil?;Incluíam Manuel da Nóbrega, enviados para catequizar os índios e reformar o clero.
Qual era o objetivo da atuação jesuítica?;Catequese dos indígenas e moralização do clero.
O que foi a fundação de São Salvador?;Construção da capital do Brasil em 1549 (atual Salvador), sede do Governo Geral.
Qual foi a capital do Brasil até 1763?;São Salvador (atual Salvador, na Bahia).
Qual era o principal desafio do Governo Geral?;Fraca ligação entre as capitanias, dificultando a centralização.
O que revelam as cartas dos jesuítas sobre as capitanias?;Mostram isolamento e dificuldades de comunicação entre as regiões.
O que o Brasil passou a ser para Portugal após a colonização?;Uma colônia fornecedora de gêneros alimentícios e minérios para a Europa.
Qual era o foco da política portuguesa no Brasil?;Incentivar produtos exportáveis e grandes propriedades.
Por que a grande propriedade foi escolhida na colônia?;Atendia aos interesses da Coroa, comerciantes e acumulação de riquezas.
Por que os pequenos proprietários eram malvistos?;Produziam apenas para subsistência, sem gerar excedentes para o comércio.
O que era o trabalho compulsório?;Trabalho forçado comum na América Latina colonial.
Qual foi a principal forma de trabalho compulsório no Brasil?;A escravidão.
Por que os colonos escolheram usar escravos?;Falta de trabalhadores livres e dificuldade de manter empregados assalariados.
Por que preferiram escravizar africanos e não índios?;Maior disponibilidade, resistência física e menores custos.
Por que a escravização dos índios foi difícil?;Cultura voltada para subsistência e rituais, incompatível com o trabalho intensivo.
Quais foram as duas formas de sujeição dos índios?;"1) Escravização direta; 2) Conversão religiosa pelos jesuítas."
Como as ordens religiosas atuaram com os índios?;Tentaram protegê-los da escravidão, mas rejeitavam sua cultura.
Como os índios resistiram à escravidão?;Com guerras, fugas e recusa ao trabalho.
O que dificultou o uso dos índios como escravos?;Epidemias trazidas pelos brancos que dizimaram populações indígenas.
Quando a escravidão indígena começou a ser substituída?;A partir da década de 1570, com o aumento da escravização de africanos.
Por que o tráfico africano foi facilitado?;Portugal já tinha contato com sociedades africanas escravistas.
Por que os africanos eram mais usados na economia açucareira?;Eram mais aptos ao trabalho intenso exigido nos engenhos.
Quantos africanos foram trazidos ao Brasil?;Cerca de 4 milhões entre 1550 e 1855.
Quando o tráfico negreiro cresceu mais intensamente?;A partir do século XVII.
De onde vinham os escravos africanos?;Guiné, Costa da Mina, Congo e Angola.
Quais eram os principais portos de entrada de escravos?;Salvador e Rio de Janeiro.
Como os negros resistiram à escravidão?;Fugas, revoltas e formação de quilombos.
O que foi o Quilombo dos Palmares?;Maior quilombo do Brasil, resistiu por quase 100 anos, destruído em 1695.
Por que a resistência negra era limitada?;Separação dos grupos e desenraizamento cultural dificultavam organização.
Qual foi a posição da Igreja e da Coroa sobre a escravidão?;"Não se opuseram; algumas ordens religiosas tinham escravos."
Quais justificativas usavam para a escravidão?;"Suposta inferioridade racial e ""salvação"" cristã dos africanos."
Que teorias reforçaram o racismo no século XIX?;Pseudociências que viam os negros como intelectualmente e emocionalmente inferiores.
Como a lei tratava os negros escravizados no Brasil?;Eram considerados coisas, sem direitos legais.
Como a lei tratava os indígenas?;Tinham leis protetoras, mas com aplicação restrita.
Qual era a taxa de mortalidade dos escravos negros no século XIX?;Variava entre 5% e 8% ao ano.
Qual era a expectativa de vida de um escravo no Brasil em 1872?;18,3 anos.
Qual era a expectativa média da população brasileira em 1872?;27,4 anos.
