O que estuda a sintaxe?;Trata da ordem, relação e função das palavras na frase.
Qual é a ordem direta da frase em português?;Sujeito (S) → Verbo (V) → Complemento (C) → Adjunto Adverbial (A).
Exemplo de frase com ordem direta:;"""Os alunos do Pestana se classificarão para o próximo concurso neste ano."""
O que é um sintagma?;"Um grupo de palavras que mantém relações entre si. Ex: ""Os alunos do Pestana"" é um sintagma nominal."
É possível inverter a ordem dos termos da frase?;Sim, desde que os sintagmas sejam preservados. Isso pode dar ênfase a certos termos.
O que é sujeito (S) na sintaxe?;Termo que pratica a ação do verbo.
Qual é a função do verbo (V)?;Indicar a ação ou o estado.
O que é o complemento (C)?;Termo que completa o sentido do verbo.
Qual é a função do adjunto adverbial (A)?;Indicar circunstâncias como tempo, modo, lugar etc.
Exemplo de ordem inversa com ênfase no adjunto adverbial:;"""Neste ano os alunos do Pestana se classificarão para o próximo concurso."""
O que é morfossintaxe?;É a junção da morfologia (classe gramatical) com a sintaxe (função sintática).
"Análise morfossintática de ""Maria"" em ""Maria comeu o bolo"":";Substantivo (classe) e sujeito (função sintática).
Exemplo de uso correto de pronomes oblíquos (MPE/SC – 2013):;"""A sentença, já a escrevi várias vezes, mas ainda sinto-me confuso."" Correto: ""a"" e ""me"" são pronomes oblíquos com função de objeto direto."
O que estuda a fonologia?;Os sons das palavras.
O que estuda a morfologia?;A forma e a estrutura das palavras.
O que estuda a sintaxe?;A organização das palavras em frases, orações e períodos.
O que é uma frase?;Qualquer enunciado que estabelece comunicação.
O que é uma frase nominal?;"Frase sem verbo. Ex: ""E agora, com o Vasco na frente da tabela?"""
O que é uma frase verbal?;"Frase com verbo. Ex: ""Agora, com o Vasco na frente da tabela, vou ser zoado!"""
Exemplo de frase com inversão sintática no Hino Nacional:;"""As margens plácidas do Ipiranga ouviram o brado retumbante de um povo heróico."""
Qual o efeito da inversão sintática?;Realçar ou enfatizar determinado termo da oração.
Questão Cespe – “O que principalmente sou?” – está correta?;"CERTO. A inversão enfatiza ""O que principalmente"", sendo uma construção gramaticalmente aceita."
O que deve ser preservado ao inverter uma oração?;Os sintagmas — ou seja, as palavras que funcionam como um grupo com sentido.
Exemplo de estrutura sintática correta (Vunesp – TJ/SP – 2010):;"""Os intelectuais sempre criticam os esportes."" (S) (A) (V) (C) — mesma estrutura de ""As artes nunca desperdiçam nosso tempo."""
O que é uma frase declarativa?;"É aquela que afirma ou nega algo. Ex.: ""Eu sou você amanhã."" (afirmativa) / ""Você nunca será como eu."" (negativa)"
O que é uma frase interrogativa?;"É aquela que faz uma pergunta. Pode ser direta (""Aonde você pretende chegar?"") ou indireta (""Não sei onde ela pode estar."")"
O que é uma frase exclamativa?;"Expressa emoção, como surpresa, alegria, tristeza etc. Ex.: ""Que pena!"" / ""Deus ouviu minhas preces!"""
O que é uma frase imperativa?;"Dá uma ordem, faz um pedido ou dá um conselho. Ex.: ""Volte!"" / ""Não faça isso..."""
O que é uma frase optativa?;"Expressa desejo. Ex.: ""Boa sorte!"" / ""Deus te ouça!"""
Quais os dois tipos de frases declarativas?;Afirmativa e negativa.
Quais os dois tipos de frases interrogativas?;Direta e indireta.
Que tipo de frase é “Tomara que a Ju esteja lá”?;Frase optativa — expressa desejo.
Que tipo de frase é “Que bom!”?;Frase exclamativa — expressa emoção.
O que é uma oração?;Frase verbal com verbo ou locução verbal como núcleo.
O que é uma oração absoluta?;"Oração que contém apenas um verbo ou locução verbal. Ex.: ""Eu sou um deles."""
O que é morfossintaxe?;Junção de morfologia (classe gramatical) e sintaxe (função sintática).
"Qual a análise morfossintática de ""Maria"" em ""Maria comeu o bolo""?";"""Maria"" é substantivo (morfologia) e sujeito (sintaxe)."
"Frase: ""A sentença, já a escrevi várias vezes, mas ainda sinto-me confuso."" Está correta?";"Sim. ""a"" e ""me"" são pronomes oblíquos com função de objeto direto."
O que é uma frase?;Qualquer enunciado que estabelece comunicação.
O que é uma frase nominal?;"Frase sem verbo. Ex.: ""E agora, com o Vasco na frente da tabela?"""
O que é uma frase verbal?;"Frase com verbo. Ex.: ""Agora, com o Vasco na frente da tabela, vou ser zoado!"""
O que é um período?;Frase composta por uma ou mais orações.
O que é um período simples?;"Contém apenas uma oração. Ex.: ""Estudo hoje com uma gramática."""
O que é um período composto?;Contém duas ou mais orações.
Quais os tipos de período composto?;Coordenação, subordinação e misto.
Exemplo de período composto por coordenação:;"""Os resultados foram ótimos, por isso ficamos satisfeitos."""
Exemplo de período composto por subordinação:;"""Pedi que todos viessem preparados."""
Exemplo de período composto misto:;"""Sei que eles passaram e que se estabeleceram."""
O que é construção expletiva com “é... que”?;"Estrutura usada para enfatizar. Ex.: ""É com uma ação eficiente... que promoveremos o desenvolvimento."" Sem ""é... que"", o período continua simples."
Quando uma frase é período simples mesmo com estrutura expletiva?;"Quando há apenas um verbo. Ex.: ""Certamente promoveremos o desenvolvimento."""
O que é uma frase nominal?;"É uma frase sem verbo. Ex.: ""Que tarde azul!"""
O que é uma oração?;É uma frase que possui verbo ou locução verbal.
O que é um período simples?;Período que contém apenas uma oração.
O que é um período composto?;Período que contém duas ou mais orações.
O que é sujeito?;"Termo da oração sobre o qual se declara algo; o verbo concorda com ele em número e pessoa."
Como identificar o sujeito de uma oração?;"Perguntando ""Quem?"" ou ""O que?"" antes do verbo."
Qual é o núcleo do sujeito em “As casas da vila estavam à venda”?;"""Casas"" — é a palavra principal do sujeito."
Pode haver mais de um núcleo no sujeito?;Sim. Quando há mais de um, temos um sujeito composto.
O sujeito pode ser iniciado por preposição?;"Não. Ex.: Errado: ""A Cleópatra era feita por cada subordinado uma mesura."""
Em que caso os advérbios podem funcionar como sujeito?;"Em construções como: ""Aqui é um bom lugar para viver."""
Exemplo de inversão sintática com sujeito posposto ao verbo?;"""Agradou-me [...] o fato de ter uma pessoa amiga ao meu lado."" → sujeito: ""o fato..."""
O que é uma oração absoluta?;É uma oração independente, com apenas um verbo ou locução verbal.
Qual é o núcleo do sujeito em “O novo desentendimento público entre os ministros…”?;"""Desentendimento"" — os demais termos são determinantes e complementos."
Em construções com infinitivo, qual forma é correta: “dela impedir” ou “de ela impedir”?;A forma correta é “de ela impedir” — sujeito do infinitivo não pode estar preposicionado.
O que é um sujeito simples?;"Sujeito que apresenta apenas um núcleo. Ex.: ""Alguém escondeu a minha bolsa."""
O que é um sujeito composto?;"Sujeito com dois ou mais núcleos ligados por conjunção. Ex.: ""Pedro e Ana viajaram juntos."""
O que indica o verbo da oração?;Uma ação ou estado relacionado ao sujeito.
Que tipo de sujeito há na frase “Comemora-se um aninho de vida”?;"Sujeito simples. O teste da voz passiva confirma: ""Um aninho de vida é comemorado."""
Em “Ordem e Progresso faz parte da bandeira”, o verbo está correto?;Sim. A expressão “Ordem e Progresso” funciona como ideia única, então o verbo pode ficar no singular.
"Em ""Ninguém deveria apoiar campanhas a favor das drogas"", quem é o sujeito?";"""Ninguém"" — pronome indefinido com função de sujeito simples."
"Em ""Quem nunca pecou nesta vida?"", qual o sujeito?";"""Quem"" — pronome interrogativo com função de sujeito."
A frase “O simples fato de exercer o jornalismo nos distingue…” tem sujeito simples?;Sim. Apesar de longa, o sujeito tem apenas um núcleo: fato.
Em “Está um pouco amarelado o branco dos olhos dela”, qual o sujeito?;"""O branco dos olhos dela"" — está posposto ao verbo (""está"")."
O sujeito pode ser uma oração inteira?;"Sim. Exemplo: ""O que ele fez surpreendeu a todos."" → sujeito: ""O que ele fez""."
O que é sujeito oculto?;É aquele que não está explícito na oração, mas pode ser identificado pelo contexto.
Exemplo de sujeito oculto na 1ª pessoa:;"""Não consigo deixar as responsabilidades de lado."" → sujeito: eu."
Exemplo de sujeito oculto na 2ª pessoa do singular:;"""Escondeste minha bolsa onde?"" → sujeito: tu."
O sujeito oculto pode estar em frases com imperativo?;"Sim. Exemplo: ""Nunca mais esconda a minha bolsa!"" → sujeito: você (oculto)."
Como aparece o pronome demonstrativo implícito no sujeito oculto?;"Em frases como ""Saia daqui, menino, porque é conversa de adulto."" → sujeito oculto: isso."
O que é sujeito composto?;"É aquele que possui mais de um núcleo explícito. Ex.: ""Minha chave, minha bolsa, minha moto foram roubadas."""
Quando o sujeito composto não leva o verbo ao plural?;1) Quando vem após o verbo. 2) Quando há um termo resumitivo. 3) Quando os núcleos designam a mesma coisa.
Exemplo de sujeito composto após o verbo com verbo no singular:;"""Foi escondida minha bolsa e minha chave."""
Exemplo com termo resumitivo:;"""Velhos, crianças, mulheres e homens, ninguém sobreviveu ao desastre."""
Exemplo com núcleos que indicam a mesma pessoa/coisa:;"""Morre o mais famoso escritor, cantor e compositor brasileiro."""
O que é silepse de pessoa?;"Quando a concordância verbal ocorre com a ideia, não com a forma gramatical. Ex.: ""Os dois apenas sentimos o desejo de mudar o mundo."" → inclui o locutor."
"Qual o sujeito em: ""Pedro e Bino, dancem com elas""?";"Sujeito oculto (vocês); ""Pedro e Bino"" é vocativo, não sujeito."
O que é sujeito indeterminado?;Quando o verbo indica ação sem agente identificado. Pode ocorrer por desconhecimento, ocultação ou generalização.
Como o sujeito é indeterminado com verbo na 3ª pessoa do plural?;"Quando não há sujeito explícito. Ex.: ""Esconderam minha bolsa."""
"O sujeito é indeterminado em ""Criticaram-nos na reunião de ontem""?";Sim. Verbo na 3ª pessoa do plural sem agente explícito.
"Como o ""se"" pode indicar sujeito indeterminado?";"Quando o verbo está na 3ª pessoa do singular e o ""se"" atua como índice de indeterminação. Ex.: ""Vive-se bem quando há paz."""
"Como saber se ""se"" é índice de indeterminação ou partícula apassivadora?";"Se o verbo for transitivo indireto ou intransitivo, o ""se"" é índice de indeterminação. Se for transitivo direto, é partícula apassivadora."
"Frase com ""se"" como partícula apassivadora:";"""Vendem-se casas."" → ""Casas são vendidas."" Sujeito simples: casas."
"Frase com ""se"" como índice de indeterminação:";"""Duvida-se de tudo hoje em dia."" → Sujeito indeterminado."
O que acontece com o sujeito no infinitivo impessoal?;"O sujeito é indeterminado. Ex.: ""Para conquistar sua confiança, é necessário trabalhar arduamente."""
Quando o infinitivo tem sujeito identificado, o sujeito não é indeterminado?;"Correto. Ex.: ""Nós estamos destinados a passar na prova."" → sujeito de ""passar"" é nós."
Como o registro coloquial pode generalizar o sujeito?;"Usando pronomes como ""você"", ""a gente"", ""todo mundo"". Ex.: ""Quando você pega um avião..."" → sujeito indeterminado."
"""Quem me ligou?"" tem que tipo de sujeito?";Sujeito simples, núcleo: quem (pronome interrogativo).
"""Alguém ligou, pai."" → tipo de sujeito?";Sujeito simples, núcleo: alguém (pronome indefinido).
O que é uma oração sem sujeito?;É aquela em que o verbo não possui agente (sujeito). Ocorre com verbos impessoais.
Como são conjugados os verbos impessoais?;Sempre na 3ª pessoa do singular, mesmo quando acompanhados por auxiliares.
O verbo “haver” com sentido de existir é impessoal?;"Sim. Exemplo: ""Havia poucas pessoas aqui."" → oração sem sujeito."
O verbo “haver” pode ser pessoal?;"Sim, quando usado em locução verbal ou com outros sentidos. Ex.: ""Eu havia entendido o mistério."""
Em “Houve duas confusões ali”, qual o sujeito?;Não há sujeito → oração sem sujeito (verbo impessoal).
O verbo “ter” pode substituir “haver” em linguagem informal?;Sim. Exemplo: “Tinha uma pedra no meio do caminho.”
O verbo “existir” é impessoal?;Não. É pessoal. Ex.: “Existem pessoas merecedoras da morte.” → sujeito: “pessoas”.
“Ocorrem às vezes certos contratempos.” → sujeito?;"Sim. Sujeito: ""certos contratempos"" → verbo pessoal."
O que acontece com o auxiliar quando o verbo principal é impessoal?;"O auxiliar também fica impessoal. Ex.: ""Deve haver lanches sobre a mesa."" (não: devem haver)"
O verbo “fazer” indicando tempo é impessoal?;Sim. Ex.: “Faz dez meses que não a vejo.” → oração sem sujeito.
O verbo “fazer” pode ser pessoal?;Sim. Exemplo: “Fazem dez anos de casamento ainda hoje os meus amigos.”
O verbo “ficar” pode ser impessoal?;Sim, quando indica tempo ou fenômeno natural. Ex.: “Ficou escuro do nada.”
“Estava frio naquele dia.” → sujeito?;"Não tem sujeito → oração sem sujeito (verbo impessoal: ""estar"" indicando estado climático)."
Quando “parecer” é impessoal?;Quando indica tempo ou fenômeno natural. Ex.: “Parecia tarde da noite.”
“Todos pareciam abobalhados.” → oração com sujeito?;Sim. Sujeito: “todos” → verbo pessoal.
O verbo “faltar” indicando tempo é impessoal?;Não! Exige sujeito. Ex.: “Faltam dois anos para a Copa.” → sujeito: “dois anos”.
Está correta a frase: “Falta dois anos para a Copa”?;Não. O correto é: “Faltam dois anos...” → sujeito plural exige verbo no plural.
O verbo “ir” pode indicar tempo decorrido?;Sim. Exemplo: “Vai para dois anos que ela está na França.”
O verbo “ir” pode ser pessoal?;"Sim. Exemplo: “Já se foram duas horas de aula…” → sujeito: ""duas horas""."
O verbo “passar” indicando tempo é impessoal?;Sim, quando exprime tempo decorrido. Ex.: “Já passava das duas da manhã!”
Quando “passar” é pessoal?;Quando tem sujeito claro. Ex.: “Ele passou há dez minutos.”
“Basta de tolices!” → oração com ou sem sujeito?;Oração sem sujeito → verbo “bastar” no sentido impessoal.
“Chega de problemas!” → sujeito existente?;Não. Oração sem sujeito → “chegar” usado de forma impessoal.
Quando “bastar” e “chegar” são pessoais?;Quando têm sujeito claro. Ex.: “Quatro fatias não chegam para tua satisfação?”
"O que indica o verbo ""tratar-se"" em “Não se trata de quem tem ou não razão”?";Indica assunto. Debate-se se é oração sem sujeito ou com sujeito indeterminado, mas o verbo permanece sempre na 3ª pessoa do singular.
O verbo “tratar-se” pode ir para o plural?;Não. Mesmo com sujeito plural, permanece no singular.
O verbo “ser” é impessoal ao indicar tempo, hora, data ou distância?;Sim. Exemplo: “São três horas.” / “Hoje são dezoito de outubro.”
O verbo “ser” fica no singular ao indicar horas?;Não. É uma exceção: vai para o plural. Ex.: “São três horas.”
"Quando o verbo ""ser"" é pessoal?";Quando indica característica de sujeito determinado. Ex.: “Ele é gente boa.”
Verbos indicando sensação têm sujeito?;Sim. Exemplo: “Coça muito aqui atrás.” → sujeito: implícito, mas presente (“isso”)
Verbos indicando fenômenos naturais são impessoais?;Sim. Ex.: “Choveu, trovejou e ventou no Sul do país.”
Quando verbos de fenômeno natural se tornam pessoais?;Quando usados em sentido figurado. Ex.: “Chovem notícias tristes.”
O que é sujeito oracional?;Quando o sujeito é uma oração. Ex.: “Descobrir e estudar importava muito.”
