Curvas de indiferença;Combinações de bens que geram o mesmo nível de utilidade
Inclinação negativa;Mais consumo de um bem implica menos do outro
Convexidade à origem;"TMS decrescente; substituição diminui conforme aumenta o consumo"
Curvas não se cruzam;Cada curva representa um nível único de utilidade
TMS (Taxa Marginal de Substituição);Quantidade de um bem sacrificada para obter outro mantendo a utilidade
Ponto ótimo de consumo;Tangência entre curva de indiferença e restrição orçamentária
FPP (Fronteira de Possibilidade de Produção);Combinações eficientes de produção de dois bens
Pontos dentro da FPP;Ineficiência produtiva
Pontos fora da FPP;Inalcançáveis com os recursos atuais
Custo de oportunidade;Quantidade sacrificada de um bem para produzir outro
Lei dos rendimentos decrescentes;Produzir mais de um bem aumenta o custo de oportunidade
Deslocamento da FPP;Tecnologia, mais fatores de produção ou maior eficiência
Eficiência produtiva;Curva de indiferença mais alta tangente à FPP
TMT = TMS;Equilíbrio entre produção e preferência do consumidor
Elasticidade-preço da demanda;Sensibilidade da demanda ao preço
Demanda elástica;|E| > 1
Demanda inelástica;|E| < 1
Demanda unitária;|E| = 1
Demanda infinitamente elástica;Curva horizontal
Demanda totalmente inelástica;Curva vertical
Bem com demanda elástica;Possui substitutos próximos
Bem com demanda inelástica;Bem essencial ou baixo peso no orçamento
Elasticidade e receita total;"Preço ↑ reduz RT se demanda elástica; aumenta RT se inelástica"
Elasticidade-renda da demanda;Sensibilidade da demanda à renda
Bem normal;E > 0
Bem inferior;E < 0
Bem de Giffen;Bem inferior cuja demanda aumenta quando o preço sobe
Elasticidade-preço cruzada;Sensibilidade da demanda ao preço de outro bem
Bens complementares;Elasticidade cruzada negativa
Bens substitutos;Elasticidade cruzada positiva
Bens independentes;Elasticidade cruzada igual a zero
Elasticidade-preço da oferta;Sensibilidade da oferta ao preço
Oferta elástica;|E| > 1
Oferta inelástica;|E| < 1
Oferta mais elástica;Curva mais horizontal
Oferta mais inelástica;Curva mais vertical
Concorrência perfeita;Muitos vendedores e produtos homogêneos
Concorrência perfeita – longo prazo;Lucro econômico zero
Concorrência perfeita – condição;P = CMg = RMg
Concorrência perfeita – eficiência;Eficiência produtiva e alocativa
Monopólio;Um vendedor com barreiras à entrada
Monopólio – condição;Produz onde CMg = RMg
Monopólio – preço;P > CMg
Monopólio – lucro;Lucro econômico positivo no longo prazo
Monopólio – consequência;Ineficiência alocativa e peso morto
;
Discriminação de preços de 1º grau;Monopolista cobra o preço máximo que cada consumidor aceita pagar
Discriminação de preços de 2º grau;Preços diferentes conforme quantidade ou versão do produto
Discriminação de preços de 3º grau;Preços diferentes para grupos diferentes de consumidores
Monopólio natural;Uma empresa produz a custo menor que várias
Causa do monopólio natural;Economias de escala e altos custos fixos
Monopólio natural – custo marginal;CMg baixo e inferior ao custo médio
Oligopólio;Poucos vendedores com interdependência estratégica
Oligopólio – consequência;Possibilidade de conluio
Oligopólio – análise;Aplicação da teoria dos jogos
Modelo de Stackelberg;Empresas decidem produção sequencialmente
Stackelberg – vantagem;Primeira empresa obtém benefício estratégico
Modelo de Bertrand;Variável estratégica é o preço
Bertrand – decisão;Empresas escolhem preços simultaneamente
Modelo de Cournot;Variável estratégica é a quantidade
Cournot – decisão;Empresas escolhem quantidades simultaneamente
Cournot – preços;Maiores que concorrência perfeita e menores que monopólio
Custos fixos;Não variam com a produção
Custos fixos – prazo;Existem apenas no curto prazo
Custos variáveis;Variam conforme o nível de produção
Custos variáveis – longo prazo;Todos os custos são variáveis
Custo total;Soma dos custos fixos e variáveis
Custo médio;Custo total dividido pela quantidade produzida
Custo marginal;Custo de produzir uma unidade adicional
Economia de escala;Custo médio cai com aumento da produção
Rivalidade;Consumo de um reduz disponibilidade para outro
Exclusão;Há barreiras ao acesso do bem
Bem público;Não rival e não exclusivo
Exemplo de bem público;Praças
Efeito carona;Benefício sem pagamento
Problema dos bens públicos;Mercado produz menos que o socialmente eficiente
Bem privado;Rival e exclusivo
Recurso comum;Não exclusivo, mas rival
Exemplo de recurso comum;Estoque de peixes
Externalidade;Impacto sobre terceiros não envolvidos
Teorema de Coase;Partes privadas podem resolver externalidades sem custos de transação
Condição do Teorema de Coase;Direitos de propriedade bem definidos
Imposto pigouviano;Tributo para corrigir externalidade negativa
PIB;Soma dos bens e serviços finais produzidos
PIB pela ótica do produto;Produção menos consumo intermediário
PIB pela ótica da renda;Soma das remunerações dos fatores
PIB pela ótica da despesa;C + I + G + (X − M)
PIB a preços de mercado (PIBpm);Inclui impostos indiretos e subsídios
PIBcf;PIB a custo de fatores
Produto interno;Produção dentro do território
Produto nacional;Produção dos nacionais em qualquer local
PIB maior que PNB;País com muitas multinacionais estrangeiras
Deflator do PIB;PIB nominal dividido pelo PIB real
Função do deflator;Separar variação de preços e quantidade
Hiato do produto;Diferença entre PIB efetivo e potencial
Balanço de pagamentos;Registra transações entre residentes e não residentes
Transações correntes;Bens, serviços, rendas e transferências
Balança comercial;Exportações e importações de bens
Conta capital;Ativos não financeiros e transferências de capital
Conta financeira;Fluxos de ativos e passivos financeiros
Transferências de migrantes;Não entram no balanço de pagamentos
Moeda como meio de troca;Elimina dupla coincidência de desejos
Moeda como unidade de conta;Mede e compara valores
Moeda como reserva de valor;Permite armazenar riqueza ao longo do tempo
;
Política monetária;Controle da oferta de moeda e juros para objetivos macroeconômicos
Instrumentos da política monetária;Juros, mercado aberto, compulsório e redesconto
Política monetária expansionista;Reduz juros e aumenta liquidez
Efeito da política monetária expansionista;Estimula consumo, investimento e inflação
Política fiscal;Uso de gastos e tributos para influenciar a economia
Instrumentos da política fiscal;Gastos públicos, impostos e transferências
Política fiscal expansionista;Mais gastos ou menos impostos
Efeito da política fiscal expansionista;Aumenta demanda agregada e produção
Resultado primário;Receitas menos despesas sem juros
Resultado operacional;Resultado primário + juros reais
Resultado nominal;Resultado operacional + inflação
Inflação de custos;Alta de preços causada por aumento dos custos de produção
Inflação de demanda;Demanda agregada maior que o produto potencial
Inflação inercial;Persistência inflacionária ligada às expectativas
Inflação inercial no Brasil;Associada à indexação
Câmbio fixo;Banco Central intervém frequentemente
Câmbio fixo – vantagem;Estabilidade cambial e controle da inflação
Câmbio fixo – desvantagem;Menor autonomia monetária
Câmbio fixo – risco;Ataques especulativos
Câmbio flutuante;Taxa de câmbio determinada pelo mercado
Câmbio flutuante – vantagem;Maior autonomia monetária
Câmbio flutuante – vantagem adicional;Ajuste automático a choques externos
Câmbio flutuante – desvantagem;Maior volatilidade cambial
Bandas cambiais;Câmbio mantido dentro de limites
Crawling peg;Ajustes cambiais graduais e periódicos
Currency board;Emissão monetária lastreada em moeda estrangeira
Currency board – consequência;Perda total da autonomia monetária
Modelo IS-LM-BP;Modelo de equilíbrio interno e externo
Curva IS;Equilíbrio no mercado de bens
Curva LM;Equilíbrio no mercado monetário
Curva BP;Equilíbrio no setor externo
Fatores que deslocam IS;Gastos, política fiscal e exportações líquidas
Fatores que deslocam LM;Oferta e demanda de moeda
Fatores que deslocam BP;Câmbio, juros internacionais e fluxo de capitais
Política fiscal ineficaz;Capitais móveis + câmbio flexível
Política fiscal ineficaz (2);Sem mobilidade de capitais + câmbio fixo
Câmbio fixo no Mundell-Fleming;Política monetária ineficaz
Câmbio flexível no Mundell-Fleming;Política monetária eficaz
Desemprego (IBGE);Pessoa sem trabalho, disponível e procurando emprego
Desemprego estrutural;Falta de compatibilidade entre qualificação e mercado
Desemprego friccional;Desemprego temporário de transição entre empregos
;
Adam Smith;Teoria das vantagens absolutas
Modelo de Adam Smith;2 países, 2 bens, 1 fator
Vantagem absoluta;Produzir com menor custo absoluto
Especialização em Smith;País produz o bem em que é mais eficiente
David Ricardo;Teoria das vantagens comparativas
Modelo de Ricardo;2 países, 2 bens, 1 fator
Vantagem comparativa;Produzir com menor custo de oportunidade
Comércio em Ricardo;Beneficia mesmo país mais eficiente em tudo
Hipótese de Ricardo;Fatores imóveis internacionalmente
Outra hipótese de Ricardo;Sem barreiras e sem custos de transporte
Heckscher-Ohlin;Teoria da dotação relativa de fatores
Modelo Heckscher-Ohlin;2 países, 2 bens, 2 fatores
Exportação em Heckscher-Ohlin;Bens intensivos no fator abundante
Importação em Heckscher-Ohlin;Bens intensivos no fator escasso
Fatores em Heckscher-Ohlin;Capital e trabalho
Tecnologia em Heckscher-Ohlin;Semelhante entre países
Mobilidade dos fatores em H-O;Interna sim, externa não
Resultado do comércio em H-O;Tendência à equalização dos preços dos fatores
Paul Krugman;Nova teoria do comércio internacional
Comércio em Krugman;Decorre de economias de escala e diferenciação
Economias de escala;Produção maior reduz custo médio
Comércio entre países semelhantes;Explicado por Krugman
Raúl Prebisch;Teoria centro-periferia
Países periféricos;Exportam produtos primários
Países centrais;Exportam manufaturados
Deterioração dos termos de troca;Primários perdem valor relativo ao longo do tempo
Elasticidade-renda dos primários;Menor
Elasticidade-renda dos manufaturados;Maior
Solução de Prebisch;Industrialização por substituição de importações
Tarifa de importação;Imposto sobre produtos importados
Tarifa ad valorem;Percentual sobre o valor do produto
Tarifa específica;Valor fixo por unidade
Efeito da tarifa;Protege produtores domésticos
Impacto da tarifa ao consumidor;Redução do bem-estar
Subsídio à exportação;Incentivo estatal às exportações
Forma de subsídio;Pagamento direto ou redução de custos
Subsídio à exportação – efeito;Reduz custo para exportador
Subsídio à exportação – custo;Gasto para o governo
Quota de importação;Limite quantitativo às importações
Quota – efeito nos produtores;Menor concorrência externa
Quota – efeito nos consumidores;Aumento provável de preços
Quota – receita estatal;Não gera receita ao governo
Dumping;Exportação abaixo do preço doméstico
Medida antidumping;Tarifa adicional contra dumping
Governo Dutra – início;Política econômica ortodoxa
“Ilusão de divisas”;Falsa percepção de reservas confortáveis
Objetivo inicial de Dutra;Combate à inflação
Política cambial de Dutra;Liberal para atrair IDE
1947 em Dutra;Controles cambiais e contingenciamento
Consequência do câmbio valorizado;Perda de competitividade das exportações
Efeito do crédito à indústria;Estímulo à indústria de transformação
1949 em Dutra;Política monetária mais flexível
SALTE;Saúde, alimentação, transporte e energia
Problema do SALTE;Falta de fontes definidas de financiamento
;
;
Plano de Metas;Plano desenvolvimentista do governo JK
Antecedente do Plano de Metas;Missão Abbink e CMBEU
CMBEU;Recomendou projetos setoriais e criação do BNDE
BNDE;Criado em 1952
Conselho de Desenvolvimento;Definiu metas de infraestrutura básica
Áreas prioritárias do Plano de Metas;Energia, transporte, indústria de base, alimentação e educação
Meta autônoma de JK;Construção de Brasília
Financiamento do Plano de Metas;Expansão monetária e crédito
Instrumento cambial do Plano de Metas;Instrução 70 da SUMOC
Política econômica no Plano de Metas;Monetária e fiscal passivas
Resultado do Plano de Metas;Crescimento industrial e infraestrutura
Problema do Plano de Metas;Forte aumento da inflação
Omissão do Plano de Metas;Agricultura e educação básica
Plano de Estabilização Monetária (PEM);Plano gradualista para conter inflação
Objetivo do PEM;Obter aval do FMI
Exigência do FMI ao Brasil;Contenção de gastos e reforma cambial
Medida do PEM;Redução de subsídios
Destino do PEM;Abandonado para preservar o Plano de Metas
Plano Trienal;Plano conservador do governo Goulart
Diagnóstico do Plano Trienal;Inflação por excesso de demanda
Solução do Plano Trienal;Corte de gastos e controle do crédito
Estratégia do Plano Trienal;Industrialização por substituição de importações
Lei de remessa de lucros;Reduziu ingresso de investimentos
Missão Dantas;Tentativa de renegociar dívida externa
PAEG;Plano de Ação Econômica do Governo
Diagnóstico do PAEG;Inflação causada por déficit público e salários
Estratégia do PAEG;Ajuste gradualista
Medida fiscal do PAEG;Aumento de receitas e corte de despesas
Política de crédito do PAEG;Restrição ao crédito privado
Reforma fiscal do PAEG;Centralizadora e regressiva
Reforma financeira do PAEG;Criação do BC e CMN
ORTN;Título com correção monetária
Lei do Mercado de Capitais;Autorizou títulos corrigidos monetariamente
Reforma externa do PAEG;Facilitação de empréstimos externos
Reforma trabalhista do PAEG;Criação do FGTS
Resultado do PAEG;Redução da inflação e preparação do Milagre Econômico
Contexto do governo Sarney;Inflação alta, dívida externa e estagnação
Plano Cruzado;Choque heterodoxo de 1986
Diagnóstico do Plano Cruzado;Inflação inercial
Medida do Plano Cruzado;Congelamento de preços
Nova moeda do Plano Cruzado;Cruzado
Gatilho salarial;Reajuste automático com 20% de inflação
Resultado inicial do Cruzado;Queda rápida da inflação
Problema do Cruzado;Escassez e mercado negro
Plano Bresser;Plano híbrido de 1987
Diagnóstico do Plano Bresser;Inflação de demanda e inercial
Medida do Plano Bresser;Congelamento temporário
Outra medida do Plano Bresser;Fim do gatilho salarial
Resultado do Plano Bresser;Redução temporária da inflação
Plano Verão;Plano híbrido de 1989
Nova moeda do Plano Verão;Cruzado Novo
Medida do Plano Verão;Congelamento por prazo indefinido
Resultado do Plano Verão;Hiperinflação no final do governo Sarney
Plano Real;Plano de estabilização monetária
Diagnóstico do Plano Real;Desajuste fiscal e inflação inercial
1ª fase do Plano Real;Ajuste fiscal
Programa de Ação Imediata;Reorganização fiscal e bancária
Fundo Social de Emergência;Desvinculação de receitas
IPMF;Tributo criado no Plano Real
2ª fase do Plano Real;Desindexação
Instrumento da desindexação;URV
Objetivo da URV;Eliminar memória inflacionária
Estratégia da URV;Convivência de duas unidades de conta
3ª fase do Plano Real;Criação do Real e âncoras econômicas
Âncora cambial do Plano Real;Câmbio valorizado
Âncora monetária do Plano Real;Juros elevados
