Nação é um conceito jurídico que se confunde com o Estado?;❌ Errado. Nação é um conceito sociológico, ligado a etnia, religião, costumes, etc.
O Estado é a nação organizada política e juridicamente?;✅ Certo.
Um Estado só pode conter uma única nação?;❌ Errado. Um Estado pode conter várias nações ou uma nação pode se espalhar por vários Estados.
O Estado de direito submete os cidadãos às leis, e não o Estado?;❌ Errado. No Estado de direito, o próprio Estado se submete às leis.
Soberania é o poder supremo de um Estado sobre seu território?;✅ Certo.
A soberania reconhece poderes superiores ao Estado?;❌ Errado. A soberania não reconhece poderes superiores.
O Estado é composto por Governo, Economia e Cultura?;❌ Errado. O Estado é composto por Povo, Território e Governo soberano.
A globalização fortalece o modelo tradicional de unidade política do Estado?;❌ Errado. A globalização tende a enfraquecer esse modelo, criando blocos de interesse comum.
O conceito de Estado é sociológico, e o de nação é jurídico?;❌ Errado. O conceito de Estado é jurídico, e o de nação é sociológico.
O poder do Estado se manifesta em três funções: executiva, legislativa e judiciária?;✅ Certo.
A administração pública é apenas uma atividade política e organizatória?;❌ Errado. Ela abrange todos os negócios de gestão da coisa pública.
O constitucionalismo antigo surgiu com a civilização hebraica?;✅ Certo.
O neoconstitucionalismo reforça o positivismo jurídico?;❌ Errado. Ele busca transcender o positivismo, focando em princípios e valores.
O neoconstitucionalismo considera a Constituição uma norma jurídica concreta?;✅ Certo.
A Magna Carta de 1215 é exemplo de constitucionalismo moderno?;❌ Errado. Ela é exemplo de constitucionalismo medieval.
O constitucionalismo moderno é marcado pela Revolução Francesa e independência dos EUA?;✅ Certo.
A Magna Carta de 1215 é marco do Constitucionalismo da Idade Média?;✅ Certo. O rei João Sem Terra teve que limitar seu poder perante os barões.
O constitucionalismo moderno surgiu na Idade Média?;❌ Errado. Ele surgiu com a Revolução Francesa e a Independência dos EUA.
O constitucionalismo moderno buscava garantir as liberdades individuais contra o Estado?;✅ Certo.
Todos os autores reconhecem o constitucionalismo anterior à Revolução Francesa?;❌ Errado. Alguns autores consideram que o constitucionalismo começa apenas com a Revolução Francesa.
O constitucionalismo clássico começa no século XVIII, com a Revolução Francesa?;✅ Certo.
O constitucionalismo moderno é aquele surgido após a Segunda Guerra Mundial?;✅ Certo. Representa uma superação do constitucionalismo clássico.
As constituições pós-guerra continuaram o modelo liberal clássico?;❌ Errado. Elas transitaram para um Estado Social, com novos direitos.
As constituições pós-guerra passaram a garantir direitos sociais, econômicos e culturais?;✅ Certo. São os chamados direitos de segunda geração.
