Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
Além dos tratados, quais são as outras fontes primárias do DIP?;Costume internacional e princípios gerais do direito.
O que é o soft law no contexto do Direito Internacional?;São instrumentos sem força vinculante obrigatória, como recomendações e declarações, mas que possuem relevância política e moral.
Qual é a diferença básica entre DIP e Direito Interno quanto à origem de suas normas?;O DIP é formado pela coordenação entre Estados soberanos, enquanto o Direito Interno emana de uma autoridade central (legislador) com poder de impor normas.
O que é a soberania estatal e qual sua relação com o DIP?;É a autoridade suprema de um Estado sobre seu território e população, sendo o princípio fundamental sobre o qual se assenta o DIP, que regula as relações entre soberanos.
O que se entende por monismo no debate sobre a relação entre DIP e Direito Interno?;É a teoria que defende a existência de uma única ordem jurídica, na qual o DIP e o Direito Interno são partes integrantes de um mesmo sistema.
O que se entende por dualismo no debate sobre a relação entre DIP e Direito Interno?;É a teoria que sustenta que DIP e Direito Interno são ordens jurídicas distintas e independentes, com diferentes fontes e objetos de regulação.
Qual é a principal consequência prática da adoção da teoria monista?;A possibilidade de aplicação direta das normas internacionais no ordenamento interno, sem a necessidade de um ato de internalização (transposição).
No Brasil, qual a teoria predominante na doutrina para explicar a relação entre DIP e Direito Interno?;O dualismo moderado, embora haja elementos de monismo, especialmente em matéria de direitos humanos.
Como um tratado internacional é incorporado ao ordenamento jurídico brasileiro?;Através de um Decreto Legislativo (aprovação no Congresso) e posterior Decreto Presidencial (promulgação e publicação).
Qual é o status hierárquico de um tratado internacional ordinário (não de direitos humanos) após sua incorporação no Brasil?;Lei ordinária, podendo ser revogado ou modificado por lei posterior, desde que haja denúncia do tratado.
Os tratados de direitos humanos, aprovados no Brasil pelo rito do art. 5º, §3º da CF, possuem qual status?;Status de emenda constitucional.
E os tratados de direitos humanos aprovados pelo rito ordinário (quórum simples), qual o seu status?;Supralegal, ou seja, acima das leis ordinárias, mas abaixo da Constituição.
O Decreto Presidencial que promulga um tratado é uma norma primária ou secundária?;É uma norma secundária, pois sua função é declarar a existência da norma internacional e ordenar seu cumprimento no plano interno.
O que ocorre em caso de conflito entre uma norma de tratado internacional (não de direitos humanos) e uma lei interna anterior?;A lei posterior revoga a anterior (se for incompatível), aplicando-se o critério cronológico, pois ambas têm status de lei ordinária.
E em caso de conflito entre uma norma de tratado internacional (não de direitos humanos) e uma lei interna posterior?;A lei posterior revoga o tratado no plano interno, mas o Estado continua obrigado internacionalmente, devendo denunciá-lo para se eximir da responsabilidade.
